pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,w_ij
2013,2043,CA3 Lucidum ORAX,CA3 Basket,i,i,-8.52475372736
2013,2044,CA3 Lucidum ORAX,CA3 Basket CCK+,i,i,-4.0369942474336
2013,2047,CA3 Lucidum ORAX,CA3 Horizontal Axo Axonic,i,i,-2.70318407744
2013,3007,CA3 Lucidum ORAX,CA2 Wide Arbor Basket,i,i,-0.8005727042060797
2019,1000,CA3 Spiny Lucidum,DG Granule,i,e,-375.7964667797133
2019,1001,CA3 Spiny Lucidum,DG Semilunar Granule,i,e,-397.88052527542504
2019,1004,CA3 Spiny Lucidum,DG Total Molecular Layer,i,i,-138.6707865399021
2019,1005,CA3 Spiny Lucidum,DG MOLAX,i,i,-213.23379020683177
2019,1007,CA3 Spiny Lucidum,DG Neurogliaform,i,i,-139.73308553853784
2019,1008,CA3 Spiny Lucidum,DG MOPP,i,i,-268.50718916299644
2019,1009,CA3 Spiny Lucidum,DG HICAP,i,i,-174.75144750117542
2019,1010,CA3 Spiny Lucidum,DG Axo Axonic,i,i,-313.0787505564543
2019,1026,CA3 Spiny Lucidum,DG HIPROM,i,i,-34.07591967584834
2019,1027,CA3 Spiny Lucidum,DG AIPRIM,i,i,-157.25613901475907
2019,1035,CA3 Spiny Lucidum,DG Basket,i,i,-298.0205343531258
2019,1041,CA3 Spiny Lucidum,DG Hilar Ectopic Granule,i,e,-351.9288247314467
2019,2000,CA3 Spiny Lucidum,CA3 Pyramidal,i,e,-244.51697829333048
2019,2001,CA3 Spiny Lucidum,CA3 Granule,i,e,-45.29354319476758
2019,2004,CA3 Spiny Lucidum,CA3c Pyramidal,i,e,-207.723809960859
2019,2005,CA3 Spiny Lucidum,CA3 LMR Targeting,i,i,-72.18101807485812
2019,2013,CA3 Spiny Lucidum,CA3 Lucidum ORAX,i,i,-251.73987115465937
2019,2019,CA3 Spiny Lucidum,CA3 Spiny Lucidum,i,i,-41.299154762673076
2019,2028,CA3 Spiny Lucidum,CA3 Axo Axonic,i,i,-121.40744282969739
2019,2035,CA3 Spiny Lucidum,CA3 Mossy Fiber Associated ORDEN,i,i,-203.18359003273716
2019,2036,CA3 Spiny Lucidum,CA3 Mossy Fiber Associated,i,i,-185.92549313675687
2019,2043,CA3 Spiny Lucidum,CA3 Basket,i,i,-237.54514002495918
2019,2044,CA3 Spiny Lucidum,CA3 Basket CCK+,i,i,-151.35706178951867
2019,4011,CA3 Spiny Lucidum,CA1 Neurogliaform Projecting,i,i,-173.40685220571874
2020,2000,CA3 Trilaminar,CA3 Pyramidal,i,e,-2136.4730641337997
2020,2001,CA3 Trilaminar,CA3 Granule,i,e,-201.85078665615356
2020,2004,CA3 Trilaminar,CA3c Pyramidal,i,e,-1777.6954780199999
2020,2005,CA3 Trilaminar,CA3 LMR Targeting,i,i,-401.39896882176
2020,2009,CA3 Trilaminar,CA3 O LM,i,i,-864.7142663073599
2020,2013,CA3 Trilaminar,CA3 Lucidum ORAX,i,i,-941.3588400063122
2020,2019,CA3 Trilaminar,CA3 Spiny Lucidum,i,i,-687.3818302679434
2020,2020,CA3 Trilaminar,CA3 Trilaminar,i,i,-1080.898983370752
2020,2028,CA3 Trilaminar,CA3 Axo Axonic,i,i,-1040.6253247790396
2020,2035,CA3 Trilaminar,CA3 Mossy Fiber Associated ORDEN,i,i,-2236.1549409239037
2020,2036,CA3 Trilaminar,CA3 Mossy Fiber Associated,i,i,-1256.605933448546
2020,2043,CA3 Trilaminar,CA3 Basket,i,i,-1799.1837100281857
2020,2044,CA3 Trilaminar,CA3 Basket CCK+,i,i,-1099.010698050989
2020,2047,CA3 Trilaminar,CA3 Horizontal Axo Axonic,i,i,-785.3823811125601
2020,3007,CA3 Trilaminar,CA2 Wide Arbor Basket,i,i,-171.03619277471998
2020,4000,CA3 Trilaminar,CA1 Pyramidal,i,e,-969.113620583539
2020,4003,CA3 Trilaminar,CA1 Quadrilaminar,i,i,-1228.6242147664466
2020,4005,CA3 Trilaminar,CA1 LMR,i,i,-158.70251779459
2020,4006,CA3 Trilaminar,CA1 Perforant Path Associated,i,i,-122.69805776836613
2020,4013,CA3 Trilaminar,CA1 Radial Trilaminar,i,i,-1162.1359459557118
2020,4015,CA3 Trilaminar,CA1 Schaffer Collateral Associated,i,i,-230.07581979430068
2020,4023,CA3 Trilaminar,CA1 Back Projection,i,i,-567.15671808432
2020,4028,CA3 Trilaminar,CA1 Radiatum,i,i,-233.895389112
2020,4033,CA3 Trilaminar,CA1 SO SO,i,i,-611.5928071991921
2020,4035,CA3 Trilaminar,CA1 Trilaminar,i,i,-709.75535915592
2020,4036,CA3 Trilaminar,CA1 Axo Axonic,i,i,-704.3595131944562
2020,4038,CA3 Trilaminar,CA1 Horizontal Axo Axonic,i,i,-317.05590493584
2020,4039,CA3 Trilaminar,CA1 Horizontal Basket,i,i,-1205.3811158849153
2020,4054,CA3 Trilaminar,CA1 Radiatum Giant,i,e,-313.61632727039995
2020,4055,CA3 Trilaminar,CA1 Oriens Alveus,i,i,-833.3650758909057
2020,4061,CA3 Trilaminar,CA1 R Receiving Apical Targeting,i,i,-354.31826656844794
2020,4066,CA3 Trilaminar,CA1 OR LM,i,i,-528.7711221821953
2020,4069,CA3 Trilaminar,CA1 O LM,i,i,-419.9716123386839
2020,4076,CA3 Trilaminar,CA1 Perforant Path Associated QuadD,i,i,-1637.045385389568
2020,4078,CA3 Trilaminar,CA1 Basket,i,i,-801.2179108828161
2020,4079,CA3 Trilaminar,CA1 Basket CCK+,i,i,-999.3735315127874
2020,4080,CA3 Trilaminar,CA1 Bistratified,i,i,-912.4019572039679
2020,4081,CA3 Trilaminar,CA1 Ivy,i,i,-1050.9643338963554
2020,4083,CA3 Trilaminar,CA1 Oriens Bistratified,i,i,-342.3900395412
2020,4087,CA3 Trilaminar,CA1 O LMR,i,i,-497.6728460594099
2020,4089,CA3 Trilaminar,CA1 Recurrent O LM,i,i,-533.44122368768
2028,2000,CA3 Axo Axonic,CA3 Pyramidal,i,e,-50.17163437535287
2028,2004,CA3 Axo Axonic,CA3c Pyramidal,i,e,-36.819662761444086
2035,1002,CA3 Mossy Fiber Associated ORDEN,DG Mossy,i,e,-44.509869557916
2035,1004,CA3 Mossy Fiber Associated ORDEN,DG Total Molecular Layer,i,i,-18.933122988256404
2035,1005,CA3 Mossy Fiber Associated ORDEN,DG MOLAX,i,i,-22.970378251772004
2035,1009,CA3 Mossy Fiber Associated ORDEN,DG HICAP,i,i,-11.243805914376
2035,1010,CA3 Mossy Fiber Associated ORDEN,DG Axo Axonic,i,i,-8.877043565208002
2035,1013,CA3 Mossy Fiber Associated ORDEN,DG HIPP,i,i,-20.100070601856
2035,1026,CA3 Mossy Fiber Associated ORDEN,DG HIPROM,i,i,-26.718983279788805
2035,1027,CA3 Mossy Fiber Associated ORDEN,DG AIPRIM,i,i,-18.019655992799997
2035,1035,CA3 Mossy Fiber Associated ORDEN,DG Basket,i,i,-9.7184450808424
2035,1041,CA3 Mossy Fiber Associated ORDEN,DG Hilar Ectopic Granule,i,e,-30.204015382800005
2035,2000,CA3 Mossy Fiber Associated ORDEN,CA3 Pyramidal,i,e,-144.96456240000003
2035,2004,CA3 Mossy Fiber Associated ORDEN,CA3c Pyramidal,i,e,-149.23378355508004
2035,2005,CA3 Mossy Fiber Associated ORDEN,CA3 LMR Targeting,i,i,-32.58919175232
2035,2013,CA3 Mossy Fiber Associated ORDEN,CA3 Lucidum ORAX,i,i,-56.55274498641601
2035,2019,CA3 Mossy Fiber Associated ORDEN,CA3 Spiny Lucidum,i,i,-133.27417596040732
2035,2028,CA3 Mossy Fiber Associated ORDEN,CA3 Axo Axonic,i,i,-87.086706525
2035,2035,CA3 Mossy Fiber Associated ORDEN,CA3 Mossy Fiber Associated ORDEN,i,i,-132.06107584824
2035,2036,CA3 Mossy Fiber Associated ORDEN,CA3 Mossy Fiber Associated,i,i,-139.04815458701268
2035,2043,CA3 Mossy Fiber Associated ORDEN,CA3 Basket,i,i,-148.42525497856002
2035,2044,CA3 Mossy Fiber Associated ORDEN,CA3 Basket CCK+,i,i,-69.59508659935999
2035,3007,CA3 Mossy Fiber Associated ORDEN,CA2 Wide Arbor Basket,i,i,-23.68286694737717
2036,1002,CA3 Mossy Fiber Associated,DG Mossy,i,e,-813.6746196068501
2036,1004,CA3 Mossy Fiber Associated,DG Total Molecular Layer,i,i,-499.03870437625113
2036,1005,CA3 Mossy Fiber Associated,DG MOLAX,i,i,-507.05741520563816
2036,1009,CA3 Mossy Fiber Associated,DG HICAP,i,i,-325.4927809983923
2036,1010,CA3 Mossy Fiber Associated,DG Axo Axonic,i,i,-263.03853267914235
2036,1013,CA3 Mossy Fiber Associated,DG HIPP,i,i,-435.8921505484552
2036,1026,CA3 Mossy Fiber Associated,DG HIPROM,i,i,-657.7612335451436
2036,1027,CA3 Mossy Fiber Associated,DG AIPRIM,i,i,-420.80768929751554
2036,1035,CA3 Mossy Fiber Associated,DG Basket,i,i,-294.8683168745125
2036,1041,CA3 Mossy Fiber Associated,DG Hilar Ectopic Granule,i,e,-591.3146043317713
2036,2000,CA3 Mossy Fiber Associated,CA3 Pyramidal,i,e,-501.80138988525
2036,2001,CA3 Mossy Fiber Associated,CA3 Granule,i,e,-22.82591603913712
2036,2004,CA3 Mossy Fiber Associated,CA3c Pyramidal,i,e,-426.7273091783521
2036,2005,CA3 Mossy Fiber Associated,CA3 LMR Targeting,i,i,-113.66738982144001
2036,2013,CA3 Mossy Fiber Associated,CA3 Lucidum ORAX,i,i,-251.61763238211597
2036,2019,CA3 Mossy Fiber Associated,CA3 Spiny Lucidum,i,i,-297.9301048197955
2036,2028,CA3 Mossy Fiber Associated,CA3 Axo Axonic,i,i,-233.55247099275005
2036,2035,CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated ORDEN,i,i,-466.989275520768
2036,2036,CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated,i,i,-383.799406745221
2036,2043,CA3 Mossy Fiber Associated,CA3 Basket,i,i,-419.0911920310752
2036,2044,CA3 Mossy Fiber Associated,CA3 Basket CCK+,i,i,-244.80444084095998
2036,3007,CA3 Mossy Fiber Associated,CA2 Wide Arbor Basket,i,i,-75.73835545046059
2043,2000,CA3 Basket,CA3 Pyramidal,i,e,-13694.304060989987
2043,2004,CA3 Basket,CA3c Pyramidal,i,e,-12332.371448150581
2043,2028,CA3 Basket,CA3 Axo Axonic,i,i,-5265.150495764399
2043,2035,CA3 Basket,CA3 Mossy Fiber Associated ORDEN,i,i,-9496.353522032381
2043,2043,CA3 Basket,CA3 Basket,i,i,-11284.42661996594
2043,2044,CA3 Basket,CA3 Basket CCK+,i,i,-8714.271657318712
2044,2000,CA3 Basket CCK+,CA3 Pyramidal,i,e,-34966.80758014469
2044,2004,CA3 Basket CCK+,CA3c Pyramidal,i,e,-25331.28423556513
2044,2028,CA3 Basket CCK+,CA3 Axo Axonic,i,i,-14340.514846752882
2044,2035,CA3 Basket CCK+,CA3 Mossy Fiber Associated ORDEN,i,i,-22938.076513784763
2044,2043,CA3 Basket CCK+,CA3 Basket,i,i,-24135.47962231189
2044,2044,CA3 Basket CCK+,CA3 Basket CCK+,i,i,-14955.928692639796
2047,2000,CA3 Horizontal Axo Axonic,CA3 Pyramidal,i,e,-363.54470534162556
2047,2004,CA3 Horizontal Axo Axonic,CA3c Pyramidal,i,e,-301.2173642982967
3000,1002,CA2 Pyramidal,DG Mossy,e,e,166772.89226404476
3000,1004,CA2 Pyramidal,DG Total Molecular Layer,e,i,60043.32026271068
3000,1005,CA2 Pyramidal,DG MOLAX,e,i,49646.03947226277
3000,1009,CA2 Pyramidal,DG HICAP,e,i,35161.503840972495
3000,1010,CA2 Pyramidal,DG Axo Axonic,e,i,67449.33224344137
3000,1013,CA2 Pyramidal,DG HIPP,e,i,107625.6998132426
3000,1026,CA2 Pyramidal,DG HIPROM,e,i,133938.29864952073
3000,1027,CA2 Pyramidal,DG AIPRIM,e,i,107377.78544555353
3000,1035,CA2 Pyramidal,DG Basket,e,i,41162.47019260612
3000,1041,CA2 Pyramidal,DG Hilar Ectopic Granule,e,e,88629.65246917283
3000,2000,CA2 Pyramidal,CA3 Pyramidal,e,e,96622.6483330502
3000,2001,CA2 Pyramidal,CA3 Granule,e,e,8050.31678792453
3000,2004,CA2 Pyramidal,CA3c Pyramidal,e,e,129221.16909989643
3000,2005,CA2 Pyramidal,CA3 LMR Targeting,e,i,5902.116751303301
3000,2009,CA2 Pyramidal,CA3 O LM,e,i,19424.195603172528
3000,2013,CA2 Pyramidal,CA3 Lucidum ORAX,e,i,23059.714589457966
3000,2019,CA2 Pyramidal,CA3 Spiny Lucidum,e,i,4192.342639914439
3000,2020,CA2 Pyramidal,CA3 Trilaminar,e,i,34566.71573536322
3000,2028,CA2 Pyramidal,CA3 Axo Axonic,e,i,67833.28376638966
3000,2035,CA2 Pyramidal,CA3 Mossy Fiber Associated ORDEN,e,i,67056.41054810608
3000,2036,CA2 Pyramidal,CA3 Mossy Fiber Associated,e,i,38248.401687534526
3000,2043,CA2 Pyramidal,CA3 Basket,e,i,92673.44196645782
3000,2044,CA2 Pyramidal,CA3 Basket CCK+,e,i,34299.94608199589
3000,2047,CA2 Pyramidal,CA3 Horizontal Axo Axonic,e,i,15807.104667428173
3000,3000,CA2 Pyramidal,CA2 Pyramidal,e,e,147252.43624969624
3000,3003,CA2 Pyramidal,CA2 Bistratified,e,i,143583.496707043
3000,3006,CA2 Pyramidal,CA2 Basket,e,i,179764.61481418752
3000,3007,CA2 Pyramidal,CA2 Wide Arbor Basket,e,i,94736.6674750576
3000,3008,CA2 Pyramidal,CA2 SP SR,e,i,63637.56046373856
3000,4000,CA2 Pyramidal,CA1 Pyramidal,e,e,190449.679492576
3000,4003,CA2 Pyramidal,CA1 Quadrilaminar,e,i,66410.44448576619
3000,4005,CA2 Pyramidal,CA1 LMR,e,i,41673.63231484375
3000,4006,CA2 Pyramidal,CA1 Perforant Path Associated,e,i,101553.92830126226
3000,4013,CA2 Pyramidal,CA1 Radial Trilaminar,e,i,31583.439997483834
3000,4015,CA2 Pyramidal,CA1 Schaffer Collateral Associated,e,i,144883.15589626142
3000,4023,CA2 Pyramidal,CA1 Back Projection,e,i,47830.79730897814
3000,4028,CA2 Pyramidal,CA1 Radiatum,e,i,99332.67112739132
3000,4033,CA2 Pyramidal,CA1 SO SO,e,i,81285.05246100693
3000,4035,CA2 Pyramidal,CA1 Trilaminar,e,i,149389.29334053132
3000,4036,CA2 Pyramidal,CA1 Axo Axonic,e,i,94187.19382724448
3000,4038,CA2 Pyramidal,CA1 Horizontal Axo Axonic,e,i,19443.58080619737
3000,4039,CA2 Pyramidal,CA1 Horizontal Basket,e,i,49160.07375106088
3000,4054,CA2 Pyramidal,CA1 Radiatum Giant,e,e,143751.09639017002
3000,4055,CA2 Pyramidal,CA1 Oriens Alveus,e,i,60795.19462842028
3000,4061,CA2 Pyramidal,CA1 R Receiving Apical Targeting,e,i,271292.6045769688
3000,4066,CA2 Pyramidal,CA1 OR LM,e,i,271267.4894236993
3000,4069,CA2 Pyramidal,CA1 O LM,e,i,70443.3946383042
3000,4076,CA2 Pyramidal,CA1 Perforant Path Associated QuadD,e,i,217306.00954947932
3000,4078,CA2 Pyramidal,CA1 Basket,e,i,97607.05448525614
3000,4079,CA2 Pyramidal,CA1 Basket CCK+,e,i,80091.9557527811
3000,4080,CA2 Pyramidal,CA1 Bistratified,e,i,75855.14627028363
3000,4081,CA2 Pyramidal,CA1 Ivy,e,i,69231.03908010862
3000,4083,CA2 Pyramidal,CA1 Oriens Bistratified,e,i,28221.857504341024
3000,4087,CA2 Pyramidal,CA1 O LMR,e,i,51643.53244749384
3000,4089,CA2 Pyramidal,CA1 Recurrent O LM,e,i,164199.62216817323
3003,3000,CA2 Bistratified,CA2 Pyramidal,i,e,-606.6751808458241
3003,3003,CA2 Bistratified,CA2 Bistratified,i,i,-1392.306988893504
3003,3006,CA2 Bistratified,CA2 Basket,i,i,-701.2677084241919
3003,3007,CA2 Bistratified,CA2 Wide Arbor Basket,i,i,-544.7024079955198
3003,3008,CA2 Bistratified,CA2 SP SR,i,i,-317.2433699635199
3003,4000,CA2 Bistratified,CA1 Pyramidal,i,e,-11.396674469311998
3003,4003,CA2 Bistratified,CA1 Quadrilaminar,i,i,-17.720184688615795
3003,4005,CA2 Bistratified,CA1 LMR,i,i,-2.6348048018626553
3003,4006,CA2 Bistratified,CA1 Perforant Path Associated,i,i,-2.7001571437363205
3003,4013,CA2 Bistratified,CA1 Radial Trilaminar,i,i,-12.433699485864961
3003,4015,CA2 Bistratified,CA1 Schaffer Collateral Associated,i,i,-4.804407492272207
3003,4023,CA2 Bistratified,CA1 Back Projection,i,i,-5.465473263417889
3003,4028,CA2 Bistratified,CA1 Radiatum,i,i,-4.749411117696
3003,4033,CA2 Bistratified,CA1 SO SO,i,i,-16.859526437644803
3003,4035,CA2 Bistratified,CA1 Trilaminar,i,i,-16.906057070031363
3003,4036,CA2 Bistratified,CA1 Axo Axonic,i,i,-6.865304195711694
3003,4038,CA2 Bistratified,CA1 Horizontal Axo Axonic,i,i,-3.4514053563023994
3003,4039,CA2 Bistratified,CA1 Horizontal Basket,i,i,-32.372136360598
3003,4054,CA2 Bistratified,CA1 Radiatum Giant,i,e,-7.34134338561792
3003,4055,CA2 Bistratified,CA1 Oriens Alveus,i,i,-8.59939849849293
3003,4061,CA2 Bistratified,CA1 R Receiving Apical Targeting,i,i,-9.506003523140736
3003,4066,CA2 Bistratified,CA1 OR LM,i,i,-12.465886354758146
3003,4069,CA2 Bistratified,CA1 O LM,i,i,-6.447021570913996
3003,4076,CA2 Bistratified,CA1 Perforant Path Associated QuadD,i,i,-29.96979308907091
3003,4078,CA2 Bistratified,CA1 Basket,i,i,-13.24449342160896
3003,4079,CA2 Bistratified,CA1 Basket CCK+,i,i,-14.454535016527872
3003,4080,CA2 Bistratified,CA1 Bistratified,i,i,-10.4722955970192
3003,4081,CA2 Bistratified,CA1 Ivy,i,i,-5.6698359102
3003,4083,CA2 Bistratified,CA1 Oriens Bistratified,i,i,-4.729814630217601
3003,4087,CA2 Bistratified,CA1 O LMR,i,i,-5.183377197653491
3003,4089,CA2 Bistratified,CA1 Recurrent O LM,i,i,-15.65555933436288
3006,3000,CA2 Basket,CA2 Pyramidal,i,e,-4620.858338011908
3006,3003,CA2 Basket,CA2 Bistratified,i,i,-8982.065675607737
3006,3006,CA2 Basket,CA2 Basket,i,i,-5327.324146106914
3006,3007,CA2 Basket,CA2 Wide Arbor Basket,i,i,-4425.022201373292
3006,3008,CA2 Basket,CA2 SP SR,i,i,-2453.7603815894936
3007,2000,CA2 Wide Arbor Basket,CA3 Pyramidal,i,e,-10657.681816103595
3007,2004,CA2 Wide Arbor Basket,CA3c Pyramidal,i,e,-8422.618638958242
3007,2028,CA2 Wide Arbor Basket,CA3 Axo Axonic,i,i,-4497.171197412319
3007,2035,CA2 Wide Arbor Basket,CA3 Mossy Fiber Associated ORDEN,i,i,-7756.807153145767
3007,2043,CA2 Wide Arbor Basket,CA3 Basket,i,i,-7573.167658355239
3007,2044,CA2 Wide Arbor Basket,CA3 Basket CCK+,i,i,-6711.4482894629855
3007,3000,CA2 Wide Arbor Basket,CA2 Pyramidal,i,e,-4990.534861964166
3007,3003,CA2 Wide Arbor Basket,CA2 Bistratified,i,i,-9875.04578100517
3007,3006,CA2 Wide Arbor Basket,CA2 Basket,i,i,-5778.399772405079
3007,3007,CA2 Wide Arbor Basket,CA2 Wide Arbor Basket,i,i,-4827.875244048963
3007,3008,CA2 Wide Arbor Basket,CA2 SP SR,i,i,-2735.036449203952
3007,4000,CA2 Wide Arbor Basket,CA1 Pyramidal,i,e,-6788.104812510384
3007,4013,CA2 Wide Arbor Basket,CA1 Radial Trilaminar,i,i,-8595.631380358649
3007,4036,CA2 Wide Arbor Basket,CA1 Axo Axonic,i,i,-5560.169291760153
3007,4039,CA2 Wide Arbor Basket,CA1 Horizontal Basket,i,i,-7146.016107589707
3007,4054,CA2 Wide Arbor Basket,CA1 Radiatum Giant,i,e,-9646.297609975492
3007,4066,CA2 Wide Arbor Basket,CA1 OR LM,i,i,-4128.6102833959085
3007,4078,CA2 Wide Arbor Basket,CA1 Basket,i,i,-5832.53777003356
3007,4079,CA2 Wide Arbor Basket,CA1 Basket CCK+,i,i,-6731.2694816324665
3007,4080,CA2 Wide Arbor Basket,CA1 Bistratified,i,i,-5880.391759337851
3007,4081,CA2 Wide Arbor Basket,CA1 Ivy,i,i,-7998.132405850585
3008,3000,CA2 SP SR,CA2 Pyramidal,i,e,-130.07752401150006
3008,3003,CA2 SP SR,CA2 Bistratified,i,i,-378.2645885241599
3008,3006,CA2 SP SR,CA2 Basket,i,i,-156.67222431744
3008,3007,CA2 SP SR,CA2 Wide Arbor Basket,i,i,-106.085202261714
3008,3008,CA2 SP SR,CA2 SP SR,i,i,-101.47024742400002
4000,4000,CA1 Pyramidal,CA1 Pyramidal,e,e,96170.58579124039
4000,4003,CA1 Pyramidal,CA1 Quadrilaminar,e,i,54869.18212827653
4000,4013,CA1 Pyramidal,CA1 Radial Trilaminar,e,i,35009.97556462689
4000,4023,CA1 Pyramidal,CA1 Back Projection,e,i,70681.71990070409
4000,4033,CA1 Pyramidal,CA1 SO SO,e,i,92632.40646962484
4000,4035,CA1 Pyramidal,CA1 Trilaminar,e,i,133386.20012865638
4000,4036,CA1 Pyramidal,CA1 Axo Axonic,e,i,50979.62872911275
4000,4038,CA1 Pyramidal,CA1 Horizontal Axo Axonic,e,i,34139.20669267882
4000,4039,CA1 Pyramidal,CA1 Horizontal Basket,e,i,111130.94343586842
4000,4055,CA1 Pyramidal,CA1 Oriens Alveus,e,i,48773.83945202497
4000,4066,CA1 Pyramidal,CA1 OR LM,e,i,76314.98468901217
4000,4069,CA1 Pyramidal,CA1 O LM,e,i,57943.448955756
4000,4076,CA1 Pyramidal,CA1 Perforant Path Associated QuadD,e,i,50774.80379330661
4000,4078,CA1 Pyramidal,CA1 Basket,e,i,42387.40709254397
4000,4079,CA1 Pyramidal,CA1 Basket CCK+,e,i,52663.470341011525
4000,4080,CA1 Pyramidal,CA1 Bistratified,e,i,75625.76819063886
4000,4081,CA1 Pyramidal,CA1 Ivy,e,i,78455.60288830579
4000,4083,CA1 Pyramidal,CA1 Oriens Bistratified,e,i,54313.144160106036
4000,4087,CA1 Pyramidal,CA1 O LMR,e,i,45331.42551755646
4000,4089,CA1 Pyramidal,CA1 Recurrent O LM,e,i,172923.81420279422
4000,5005,CA1 Pyramidal,SUB CA1 Projecting Pyramidal,e,e,201320.5528006127
4000,6002,CA1 Pyramidal,MEC LV Pyramidal,e,e,154668.50466462746
4000,6021,CA1 Pyramidal,EC LV Deep Pyramidal,e,e,312912.2223900131
4000,6023,CA1 Pyramidal,MEC LV Superficial Pyramidal,e,e,59451.75528655248
4000,6025,CA1 Pyramidal,LEC LIII Multipolar Principal,e,e,66524.38652066834
4000,6033,CA1 Pyramidal,MEC LV Multipolar Pyramidal,e,e,173947.05585647878
4000,6052,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,e,e,209589.69101139615
4000,6078,CA1 Pyramidal,LEC LVI Multipolar Pyramidal,e,e,264688.4365162759
4000,6086,CA1 Pyramidal,EC LIV VI Deep Multipolar Principal,e,e,239839.62870244664
4000,6095,CA1 Pyramidal,EC LIII V Bipolar Pyramidal,e,e,287297.4243556144
4003,3007,CA1 Quadrilaminar,CA2 Wide Arbor Basket,i,i,-0.3246643554754499
4003,4000,CA1 Quadrilaminar,CA1 Pyramidal,i,e,-13.142854294732798
4003,4003,CA1 Quadrilaminar,CA1 Quadrilaminar,i,i,-16.285852687535996
4003,4005,CA1 Quadrilaminar,CA1 LMR,i,i,-10.567310728291199
4003,4006,CA1 Quadrilaminar,CA1 Perforant Path Associated,i,i,-6.247483249203001
4003,4011,CA1 Quadrilaminar,CA1 Neurogliaform Projecting,i,i,-3.8072340878615996
4003,4012,CA1 Quadrilaminar,CA1 Neurogliaform,i,i,-3.960290368889999
4003,4013,CA1 Quadrilaminar,CA1 Radial Trilaminar,i,i,-15.13793484288
4003,4015,CA1 Quadrilaminar,CA1 Schaffer Collateral Associated,i,i,-7.891610165200621
4003,4023,CA1 Quadrilaminar,CA1 Back Projection,i,i,-2.6948812442580006
4003,4028,CA1 Quadrilaminar,CA1 Radiatum,i,i,-6.075828665424001
4003,4033,CA1 Quadrilaminar,CA1 SO SO,i,i,-3.8218456808909997
4003,4035,CA1 Quadrilaminar,CA1 Trilaminar,i,i,-4.3279191648
4003,4036,CA1 Quadrilaminar,CA1 Axo Axonic,i,i,-9.5034092972544
4003,4038,CA1 Quadrilaminar,CA1 Horizontal Axo Axonic,i,i,-1.20304130688
4003,4039,CA1 Quadrilaminar,CA1 Horizontal Basket,i,i,-5.1435951928578
4003,4055,CA1 Quadrilaminar,CA1 Oriens Alveus,i,i,-10.841224796999999
4003,4061,CA1 Quadrilaminar,CA1 R Receiving Apical Targeting,i,i,-8.859463012620001
4003,4066,CA1 Quadrilaminar,CA1 OR LM,i,i,-6.7144945982562
4003,4069,CA1 Quadrilaminar,CA1 O LM,i,i,-2.17037146688208
4003,4076,CA1 Quadrilaminar,CA1 Perforant Path Associated QuadD,i,i,-22.776458379147
4003,4078,CA1 Quadrilaminar,CA1 Basket,i,i,-10.050359516063999
4003,4079,CA1 Quadrilaminar,CA1 Basket CCK+,i,i,-12.6425378981088
4003,4080,CA1 Quadrilaminar,CA1 Bistratified,i,i,-8.676854555148001
4003,4081,CA1 Quadrilaminar,CA1 Ivy,i,i,-9.457347306771
4003,4083,CA1 Quadrilaminar,CA1 Oriens Bistratified,i,i,-1.3207342491
4003,4087,CA1 Quadrilaminar,CA1 O LMR,i,i,-2.1424735378872
4003,4089,CA1 Quadrilaminar,CA1 Recurrent O LM,i,i,-3.4147030409999997
4005,4000,CA1 LMR,CA1 Pyramidal,i,e,-162.25474999552
4005,4003,CA1 LMR,CA1 Quadrilaminar,i,i,-197.37262909977602
4005,4005,CA1 LMR,CA1 LMR,i,i,-204.87386449016637
4005,4006,CA1 LMR,CA1 Perforant Path Associated,i,i,-113.44000012800004
4005,4011,CA1 LMR,CA1 Neurogliaform Projecting,i,i,-79.92915441184078
4005,4012,CA1 LMR,CA1 Neurogliaform,i,i,-78.7826655366576
4005,4013,CA1 LMR,CA1 Radial Trilaminar,i,i,-179.98520503807995
4005,4015,CA1 LMR,CA1 Schaffer Collateral Associated,i,i,-136.1088971311808
4005,4028,CA1 LMR,CA1 Radiatum,i,i,-112.44052054609924
4005,4036,CA1 LMR,CA1 Axo Axonic,i,i,-118.96955400903843
4005,4054,CA1 LMR,CA1 Radiatum Giant,i,e,-228.10518639360004
4005,4055,CA1 LMR,CA1 Oriens Alveus,i,i,-134.26057765519357
4005,4061,CA1 LMR,CA1 R Receiving Apical Targeting,i,i,-155.514063224
4005,4066,CA1 LMR,CA1 OR LM,i,i,-90.2086449378048
4005,4076,CA1 LMR,CA1 Perforant Path Associated QuadD,i,i,-313.882761277008
4005,4078,CA1 LMR,CA1 Basket,i,i,-120.72038949427201
4005,4079,CA1 LMR,CA1 Basket CCK+,i,i,-147.6333370213984
4005,4080,CA1 LMR,CA1 Bistratified,i,i,-85.825820916864
4005,4081,CA1 LMR,CA1 Ivy,i,i,-78.1434658984176
4006,1000,CA1 Perforant Path Associated,DG Granule,i,e,-410.1623955455958
4006,1001,CA1 Perforant Path Associated,DG Semilunar Granule,i,e,-425.6154273912112
4006,1004,CA1 Perforant Path Associated,DG Total Molecular Layer,i,i,-165.0215454428213
