pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,w_ij
1005,1041,DG MOLAX,DG Hilar Ectopic Granule,i,e,-3355.3768550094
1005,4011,DG MOLAX,CA1 Neurogliaform Projecting,i,i,-1904.106605960637
1007,1000,DG Neurogliaform,DG Granule,i,e,-48.70676802368521
1007,1001,DG Neurogliaform,DG Semilunar Granule,i,e,-52.294380089591996
1007,1004,DG Neurogliaform,DG Total Molecular Layer,i,i,-15.685178136465602
1007,1005,DG Neurogliaform,DG MOLAX,i,i,-42.370045961546886
1007,1007,DG Neurogliaform,DG Neurogliaform,i,i,-6.547511973475201
1007,1008,DG Neurogliaform,DG MOPP,i,i,-12.598702910112003
1007,1009,DG Neurogliaform,DG HICAP,i,i,-18.19643688513252
1007,1010,DG Neurogliaform,DG Axo Axonic,i,i,-39.49972998325202
1007,1027,DG Neurogliaform,DG AIPRIM,i,i,-16.4847001493328
1007,1035,DG Neurogliaform,DG Basket,i,i,-19.15346085054624
1007,1041,DG Neurogliaform,DG Hilar Ectopic Granule,i,e,-55.48440426480001
1007,4011,DG Neurogliaform,CA1 Neurogliaform Projecting,i,i,-32.1361704991404
1007,5005,DG Neurogliaform,SUB CA1 Projecting Pyramidal,i,e,-285.546931192908
1008,1000,DG MOPP,DG Granule,i,e,-141.22529697224
1008,1001,DG MOPP,DG Semilunar Granule,i,e,-130.09502718
1008,1004,DG MOPP,DG Total Molecular Layer,i,i,-90.384323968575
1008,1005,DG MOPP,DG MOLAX,i,i,-119.167081191215
1008,1007,DG MOPP,DG Neurogliaform,i,i,-119.88691528800003
1008,1008,DG MOPP,DG MOPP,i,i,-140.097609072
1008,1009,DG MOPP,DG HICAP,i,i,-81.33840568853999
1008,1010,DG MOPP,DG Axo Axonic,i,i,-87.67444964396104
1008,1027,DG MOPP,DG AIPRIM,i,i,-76.56289324101002
1008,1035,DG MOPP,DG Basket,i,i,-89.79318890380797
1008,1041,DG MOPP,DG Hilar Ectopic Granule,i,e,-132.66519157125
1008,4011,DG MOPP,CA1 Neurogliaform Projecting,i,i,-184.73964355255498
1009,1000,DG HICAP,DG Granule,i,e,-125.96014447200001
1009,1001,DG HICAP,DG Semilunar Granule,i,e,-103.01006218744799
1009,1004,DG HICAP,DG Total Molecular Layer,i,i,-86.2667051610375
1009,1005,DG HICAP,DG MOLAX,i,i,-157.5078306872915
1009,1009,DG HICAP,DG HICAP,i,i,-69.4683689082201
1009,1010,DG HICAP,DG Axo Axonic,i,i,-67.32888292304713
1009,1026,DG HICAP,DG HIPROM,i,i,-198.4055371170163
1009,1027,DG HICAP,DG AIPRIM,i,i,-70.6828635016812
1009,1035,DG HICAP,DG Basket,i,i,-74.92934951603009
1009,1041,DG HICAP,DG Hilar Ectopic Granule,i,e,-122.781875814864
1010,1000,DG Axo Axonic,DG Granule,i,e,-290.3527656912882
1010,1002,DG Axo Axonic,DG Mossy,i,e,-307.6364004443646
1010,1041,DG Axo Axonic,DG Hilar Ectopic Granule,i,e,-279.33669893877413
1013,1000,DG HIPP,DG Granule,i,e,-4519.965682348033
1013,1001,DG HIPP,DG Semilunar Granule,i,e,-4421.7588128857915
1013,1004,DG HIPP,DG Total Molecular Layer,i,i,-2415.9540026948066
1013,1005,DG HIPP,DG MOLAX,i,i,-3142.6274015190106
1013,1007,DG HIPP,DG Neurogliaform,i,i,-3892.431415672801
1013,1008,DG HIPP,DG MOPP,i,i,-5264.097257229121
1013,1009,DG HIPP,DG HICAP,i,i,-2581.4899657562396
1013,1010,DG HIPP,DG Axo Axonic,i,i,-3199.135215302203
1013,1027,DG HIPP,DG AIPRIM,i,i,-2244.4833874161595
1013,1035,DG HIPP,DG Basket,i,i,-3295.452961004138
1013,1041,DG HIPP,DG Hilar Ectopic Granule,i,e,-4067.7105389628005
1013,4011,DG HIPP,CA1 Neurogliaform Projecting,i,i,-5463.381349298198
1026,1000,DG HIPROM,DG Granule,i,e,-7.1978899792696005
1026,1001,DG HIPROM,DG Semilunar Granule,i,e,-7.083911847743999
1026,1002,DG HIPROM,DG Mossy,i,e,-10.8700582906608
