pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,v_ij
1007,1009,DG Neurogliaform,DG HICAP,i,i,-31.5
1007,1010,DG Neurogliaform,DG Axo Axonic,i,i,-17.900000000000006
1007,1027,DG Neurogliaform,DG AIPRIM,i,i,-22.0
1007,1035,DG Neurogliaform,DG Basket,i,i,-26.299999999999997
1007,1041,DG Neurogliaform,DG Hilar Ectopic Granule,i,e,-30.0
1007,4011,DG Neurogliaform,CA1 Neurogliaform Projecting,i,i,-51.3
1007,5005,DG Neurogliaform,SUB CA1 Projecting Pyramidal,i,e,-21.0
1008,1000,DG MOPP,DG Granule,i,e,-20.6
1008,1001,DG MOPP,DG Semilunar Granule,i,e,-29.0
1008,1004,DG MOPP,DG Total Molecular Layer,i,i,-30.700000000000003
1008,1005,DG MOPP,DG MOLAX,i,i,-30.700000000000003
1008,1007,DG MOPP,DG Neurogliaform,i,i,-40.00000000000001
1008,1008,DG MOPP,DG MOPP,i,i,-40.00000000000001
1008,1009,DG MOPP,DG HICAP,i,i,-31.5
1008,1010,DG MOPP,DG Axo Axonic,i,i,-17.900000000000006
1008,1027,DG MOPP,DG AIPRIM,i,i,-22.0
1008,1035,DG MOPP,DG Basket,i,i,-26.299999999999997
1008,1041,DG MOPP,DG Hilar Ectopic Granule,i,e,-30.0
1008,4011,DG MOPP,CA1 Neurogliaform Projecting,i,i,-51.3
1009,1000,DG HICAP,DG Granule,i,e,-20.6
1009,1001,DG HICAP,DG Semilunar Granule,i,e,-29.0
1009,1004,DG HICAP,DG Total Molecular Layer,i,i,-30.700000000000003
1009,1005,DG HICAP,DG MOLAX,i,i,-30.700000000000003
1009,1009,DG HICAP,DG HICAP,i,i,-31.5
1009,1010,DG HICAP,DG Axo Axonic,i,i,-17.900000000000006
1009,1026,DG HICAP,DG HIPROM,i,i,-31.200000000000003
1009,1027,DG HICAP,DG AIPRIM,i,i,-22.0
1009,1035,DG HICAP,DG Basket,i,i,-26.299999999999997
1009,1041,DG HICAP,DG Hilar Ectopic Granule,i,e,-30.0
1010,1000,DG Axo Axonic,DG Granule,i,e,-20.6
1010,1002,DG Axo Axonic,DG Mossy,i,e,-31.700000000000003
1010,1041,DG Axo Axonic,DG Hilar Ectopic Granule,i,e,-30.0
1013,1000,DG HIPP,DG Granule,i,e,-20.6
1013,1001,DG HIPP,DG Semilunar Granule,i,e,-29.0
1013,1004,DG HIPP,DG Total Molecular Layer,i,i,-30.700000000000003
1013,1005,DG HIPP,DG MOLAX,i,i,-30.700000000000003
1013,1007,DG HIPP,DG Neurogliaform,i,i,-40.00000000000001
1013,1008,DG HIPP,DG MOPP,i,i,-40.00000000000001
1013,1009,DG HIPP,DG HICAP,i,i,-31.5
1013,1010,DG HIPP,DG Axo Axonic,i,i,-17.900000000000006
1013,1027,DG HIPP,DG AIPRIM,i,i,-22.0
1013,1035,DG HIPP,DG Basket,i,i,-26.299999999999997
1013,1041,DG HIPP,DG Hilar Ectopic Granule,i,e,-30.0
1013,4011,DG HIPP,CA1 Neurogliaform Projecting,i,i,-51.3
1026,1000,DG HIPROM,DG Granule,i,e,-20.6
1026,1001,DG HIPROM,DG Semilunar Granule,i,e,-29.0
1026,1002,DG HIPROM,DG Mossy,i,e,-31.700000000000003
1026,1004,DG HIPROM,DG Total Molecular Layer,i,i,-30.700000000000003
1026,1005,DG HIPROM,DG MOLAX,i,i,-30.700000000000003
1026,1007,DG HIPROM,DG Neurogliaform,i,i,-40.00000000000001
1026,1008,DG HIPROM,DG MOPP,i,i,-40.00000000000001
1026,1009,DG HIPROM,DG HICAP,i,i,-31.5
1026,1010,DG HIPROM,DG Axo Axonic,i,i,-17.900000000000006
1026,1013,DG HIPROM,DG HIPP,i,i,-24.0
1026,1026,DG HIPROM,DG HIPROM,i,i,-31.200000000000003
1026,1027,DG HIPROM,DG AIPRIM,i,i,-22.0
1026,1035,DG HIPROM,DG Basket,i,i,-26.299999999999997
1026,1041,DG HIPROM,DG Hilar Ectopic Granule,i,e,-30.0
1026,2000,DG HIPROM,CA3 Pyramidal,i,e,-37.5
1026,2001,DG HIPROM,CA3 Granule,i,e,-19.4
1026,2004,DG HIPROM,CA3c Pyramidal,i,e,-23.0
1026,2005,DG HIPROM,CA3 LMR Targeting,i,i,-24.0
1026,2009,DG HIPROM,CA3 O LM,i,i,-36.5
1026,2013,DG HIPROM,CA3 Lucidum ORAX,i,i,-28.200000000000003
1026,2019,DG HIPROM,CA3 Spiny Lucidum,i,i,-32.8
1026,2020,DG HIPROM,CA3 Trilaminar,i,i,-20.799999999999997
1026,2028,DG HIPROM,CA3 Axo Axonic,i,i,-22.5
1026,2035,DG HIPROM,CA3 Mossy Fiber Associated ORDEN,i,i,-33.0
1026,2036,DG HIPROM,CA3 Mossy Fiber Associated,i,i,-34.4
1026,2043,DG HIPROM,CA3 Basket,i,i,-37.6
1026,2044,DG HIPROM,CA3 Basket CCK+,i,i,-40.4
1026,2047,DG HIPROM,CA3 Horizontal Axo Axonic,i,i,-37.0
1026,3007,DG HIPROM,CA2 Wide Arbor Basket,i,i,-25.099999999999994
1026,4011,DG HIPROM,CA1 Neurogliaform Projecting,i,i,-51.3
1027,1000,DG AIPRIM,DG Granule,i,e,-20.6
1027,1001,DG AIPRIM,DG Semilunar Granule,i,e,-29.0
1027,1002,DG AIPRIM,DG Mossy,i,e,-31.700000000000003
1027,1004,DG AIPRIM,DG Total Molecular Layer,i,i,-30.700000000000003
1027,1005,DG AIPRIM,DG MOLAX,i,i,-30.700000000000003
1027,1009,DG AIPRIM,DG HICAP,i,i,-31.5
1027,1010,DG AIPRIM,DG Axo Axonic,i,i,-17.900000000000006
1027,1013,DG AIPRIM,DG HIPP,i,i,-24.0
1027,1026,DG AIPRIM,DG HIPROM,i,i,-31.200000000000003
1027,1027,DG AIPRIM,DG AIPRIM,i,i,-22.0
1027,1035,DG AIPRIM,DG Basket,i,i,-26.299999999999997
1027,1041,DG AIPRIM,DG Hilar Ectopic Granule,i,e,-30.0
1035,1000,DG Basket,DG Granule,i,e,-20.6
1035,1004,DG Basket,DG Total Molecular Layer,i,i,-30.700000000000003
1035,1005,DG Basket,DG MOLAX,i,i,-30.700000000000003
1035,1009,DG Basket,DG HICAP,i,i,-31.5
1035,1010,DG Basket,DG Axo Axonic,i,i,-17.900000000000006
1035,1013,DG Basket,DG HIPP,i,i,-24.0
1035,1035,DG Basket,DG Basket,i,i,-26.299999999999997
1041,1002,DG Hilar Ectopic Granule,DG Mossy,e,e,62.0
1041,1004,DG Hilar Ectopic Granule,DG Total Molecular Layer,e,i,54.5
1041,1005,DG Hilar Ectopic Granule,DG MOLAX,e,i,54.5
1041,1009,DG Hilar Ectopic Granule,DG HICAP,e,i,60.5
1041,1010,DG Hilar Ectopic Granule,DG Axo Axonic,e,i,65.1
1041,1013,DG Hilar Ectopic Granule,DG HIPP,e,i,65.0
1041,1026,DG Hilar Ectopic Granule,DG HIPROM,e,i,65.0
1041,1027,DG Hilar Ectopic Granule,DG AIPRIM,e,i,64.0
1041,1035,DG Hilar Ectopic Granule,DG Basket,e,i,62.0
1041,1041,DG Hilar Ectopic Granule,DG Hilar Ectopic Granule,e,e,70.0
1041,2000,DG Hilar Ectopic Granule,CA3 Pyramidal,e,e,60.5
1041,2004,DG Hilar Ectopic Granule,CA3c Pyramidal,e,e,62.0
1041,2005,DG Hilar Ectopic Granule,CA3 LMR Targeting,e,i,68.0
1041,2013,DG Hilar Ectopic Granule,CA3 Lucidum ORAX,e,i,61.0
1041,2019,DG Hilar Ectopic Granule,CA3 Spiny Lucidum,e,i,62.0
1041,2028,DG Hilar Ectopic Granule,CA3 Axo Axonic,e,i,58.0
1041,2035,DG Hilar Ectopic Granule,CA3 Mossy Fiber Associated ORDEN,e,i,57.0
1041,2036,DG Hilar Ectopic Granule,CA3 Mossy Fiber Associated,e,i,57.0
1041,2043,DG Hilar Ectopic Granule,CA3 Basket,e,i,58.0
1041,2044,DG Hilar Ectopic Granule,CA3 Basket CCK+,e,i,60.0
2000,2000,CA3 Pyramidal,CA3 Pyramidal,e,e,60.5
2000,2001,CA3 Pyramidal,CA3 Granule,e,e,78.0
2000,2004,CA3 Pyramidal,CA3c Pyramidal,e,e,62.0
2000,2005,CA3 Pyramidal,CA3 LMR Targeting,e,i,68.0
2000,2009,CA3 Pyramidal,CA3 O LM,e,i,60.0
2000,2013,CA3 Pyramidal,CA3 Lucidum ORAX,e,i,61.0
2000,2020,CA3 Pyramidal,CA3 Trilaminar,e,i,61.2
2000,2028,CA3 Pyramidal,CA3 Axo Axonic,e,i,58.0
2000,2035,CA3 Pyramidal,CA3 Mossy Fiber Associated ORDEN,e,i,57.0
2000,2036,CA3 Pyramidal,CA3 Mossy Fiber Associated,e,i,57.0
2000,2043,CA3 Pyramidal,CA3 Basket,e,i,58.0
2000,2044,CA3 Pyramidal,CA3 Basket CCK+,e,i,60.0
2000,2047,CA3 Pyramidal,CA3 Horizontal Axo Axonic,e,i,59.0
2000,3000,CA3 Pyramidal,CA2 Pyramidal,e,e,75.3
2000,3003,CA3 Pyramidal,CA2 Bistratified,e,i,72.7
2000,3006,CA3 Pyramidal,CA2 Basket,e,i,71.2
2000,3007,CA3 Pyramidal,CA2 Wide Arbor Basket,e,i,74.9
2000,3008,CA3 Pyramidal,CA2 SP SR,e,i,71.0
2000,4000,CA3 Pyramidal,CA1 Pyramidal,e,e,62.4
2000,4003,CA3 Pyramidal,CA1 Quadrilaminar,e,i,58.5
2000,4005,CA3 Pyramidal,CA1 LMR,e,i,53.1
2000,4006,CA3 Pyramidal,CA1 Perforant Path Associated,e,i,55.4
2000,4013,CA3 Pyramidal,CA1 Radial Trilaminar,e,i,57.0
2000,4015,CA3 Pyramidal,CA1 Schaffer Collateral Associated,e,i,60.6
2000,4023,CA3 Pyramidal,CA1 Back Projection,e,i,62.0
2000,4028,CA3 Pyramidal,CA1 Radiatum,e,i,55.8
2000,4033,CA3 Pyramidal,CA1 SO SO,e,i,59.0
2000,4035,CA3 Pyramidal,CA1 Trilaminar,e,i,64.0
2000,4036,CA3 Pyramidal,CA1 Axo Axonic,e,i,65.1
2000,4038,CA3 Pyramidal,CA1 Horizontal Axo Axonic,e,i,57.0
2000,4039,CA3 Pyramidal,CA1 Horizontal Basket,e,i,55.4
2000,4054,CA3 Pyramidal,CA1 Radiatum Giant,e,e,66.0
2000,4055,CA3 Pyramidal,CA1 Oriens Alveus,e,i,51.0
2000,4061,CA3 Pyramidal,CA1 R Receiving Apical Targeting,e,i,57.0
2000,4066,CA3 Pyramidal,CA1 OR LM,e,i,68.0
2000,4069,CA3 Pyramidal,CA1 O LM,e,i,60.0
2000,4076,CA3 Pyramidal,CA1 Perforant Path Associated QuadD,e,i,64.0
2000,4078,CA3 Pyramidal,CA1 Basket,e,i,57.0
2000,4079,CA3 Pyramidal,CA1 Basket CCK+,e,i,61.4
2000,4080,CA3 Pyramidal,CA1 Bistratified,e,i,64.0
2000,4081,CA3 Pyramidal,CA1 Ivy,e,i,71.0
2000,4083,CA3 Pyramidal,CA1 Oriens Bistratified,e,i,66.0
2000,4087,CA3 Pyramidal,CA1 O LMR,e,i,55.7
2000,4089,CA3 Pyramidal,CA1 Recurrent O LM,e,i,75.0
2001,2000,CA3 Granule,CA3 Pyramidal,e,e,60.5
