Neuron,DG Granule,DG Hilar Ectopic Granule,DG Semilunar Granule,DG Mossy,DG AIPRIM,DG Axo Axonic,DG Basket,DG HICAP,DG HIPP,DG HIPROM,DG MOLAX,DG Total Molecular Layer,DG MOPP,DG Neurogliaform,CA3 Pyramidal,CA3c Pyramidal,CA3 Granule,CA3 Axo Axonic,CA3 Horizontal Axo Axonic,CA3 Basket,CA3 Basket CCK+,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Spiny Lucidum,CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated ORDEN,CA3 O LM,CA3 Trilaminar,CA2 Pyramidal,CA2 Basket,CA2 Wide Arbor Basket,CA2 Bistratified,CA2 SP SR,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Axo Axonic,CA1 Horizontal Axo Axonic,CA1 Back Projection,CA1 Basket,CA1 Horizontal Basket,CA1 Basket CCK+,CA1 Bistratified,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 O LM,CA1 Recurrent O LM,CA1 O LMR,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 OR LM,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Quadrilaminar,CA1 R Receiving Apical Targeting,CA1 Radiatum,CA1 Schaffer Collateral Associated,CA1 SO SO,CA1 Trilaminar,CA1 Radial Trilaminar,SUB CA1 Projecting Pyramidal,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,MEC LII Oblique Pyramidal,MEC LII Stellate,MEC LII III Pyramidal Multiform,EC LII III Pyramidal Tripolar,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Bipolar Complex Pyramidal,EC LIII Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,EC LV Deep Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,LEC LVI Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron
CA2 Wide Arbor Basket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10657.68182,-8422.618639,0,-4497.171197,0,-7573.167658,-6711.448289,0,0,0,0,-7756.807153,0,0,-4990.534862,-5778.399772,-4827.875244,-9875.045781,-2735.036449,-6788.104813,-9646.29761,-5560.169292,0,0,-5832.53777,-7146.016108,-6731.269482,-5880.391759,-7998.132406,0,0,0,0,0,0,0,0,-4128.610283,0,0,0,0,0,0,0,0,-8595.63138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA2 Bistratified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-606.6751808,-701.2677084,-544.702408,-1392.306989,-317.24337,-11.39667447,-7.341343386,-6.865304196,-3.451405356,-5.465473263,-13.24449342,-32.37213636,-14.45453502,-10.4722956,-5.66983591,-2.634804802,0,0,-6.447021571,-15.65555933,-5.183377198,-8.599398498,-4.72981463,-12.46588635,-2.700157144,-29.96979309,-17.72018469,-9.506003523,-4.749411118,-4.804407492,-16.85952644,-16.90605707,-12.43369949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA2 SP SR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-130.077524,-156.6722243,-106.0852023,-378.2645885,-101.4702474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96170.58579,0,50979.62873,34139.20669,70681.7199,42387.40709,111130.9434,52663.47034,75625.76819,78455.60289,0,0,0,57943.44896,172923.8142,45331.42552,48773.83945,54313.14416,76314.98469,0,50774.80379,54869.18213,0,0,0,92632.40647,133386.2001,35009.97556,201320.5528,0,0,0,0,0,0,66524.38652,0,0,0,0,0,0,287297.4244,239839.6287,173947.0559,154668.5047,312912.2224,59451.75529,209589.691,264688.4365,0,0
CA1 Radiatum Giant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1808.126275,0,1022.707709,430.4094116,1043.426196,702.4871956,1168.90138,842.7368119,895.2399478,1110.750523,0,0,0,990.0511659,2623.701668,846.0242332,549.5984968,666.6998045,1217.970273,0,596.7808386,637.0945492,0,0,0,1478.028078,2390.546346,392.7735947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Axo Axonic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-223.8647726,-257.3165618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Horizontal Axo Axonic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-112.5481371,-133.8797987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Back Projection,0,-1788.769126,0,-2390.663204,-1195.606136,-738.8721308,-842.6493942,-873.1419573,-1262.373551,-1840.980933,-1496.501083,-1396.673735,0,0,-9551.446862,-5258.993736,-1318.475295,-3560.227717,-2038.36065,-5943.780452,-2744.569457,-2674.474094,-1778.637586,-741.0652756,-2063.991996,-3849.190708,-2280.929304,-1812.042442,0,0,-340.0590404,0,0,-2752.077438,-1603.944204,-2183.27669,-479.0198375,-1013.21949,-2223.03625,-1447.744153,-2763.559975,-1744.723841,-2138.676228,-1463.169009,-964.6518576,-859.5208829,-622.3111537,-657.4649611,-778.1301243,-2494.558289,-486.6721507,-861.7617151,-806.8093364,-3817.220739,-3135.904705,-751.9608081,-487.5228732,-902.1654361,-799.1812458,-922.959605,-3082.408509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Basket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6486.070905,-5897.135275,-3684.105879,0,0,-3937.416918,-4629.172015,-4105.228871,-3377.598787,-4705.46469,0,0,0,0,0,0,0,0,-2633.577996,0,0,0,0,0,0,0,0,-5058.244394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Horizontal Basket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2941.988765,-4464.09032,-2745.978179,0,0,-2902.329525,-3478.561965,-3348.933599,-3748.977591,-4893.405686,0,0,0,0,0,0,0,0,-1981.976524,0,0,0,0,0,0,0,0,-5525.324154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Basket CCK+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10764.81158,-12502.93118,-7911.27738,0,0,-8008.786957,-9651.142763,-8908.811549,-8342.406397,-11018.06518,0,0,0,0,0,0,0,0,-5586.579571,0,0,0,0,0,0,0,0,-12095.67811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Bistratified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-101.74837,0,0,-1992.089033,-1179.062196,-1362.061706,-428.2009709,-652.3295734,-1572.013595,-1452.322677,-1932.442741,-1628.674895,-1938.121192,-886.4325668,0,0,-600.8522972,-678.7481562,-727.0325775,-1588.974932,-438.757707,-1115.34614,-531.5957651,-2756.5345,-2104.116246,-1189.774317,-840.2772502,-738.4940234,-800.3602601,-922.9641047,-2197.373346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Ivy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-198.3027302,0,0,-1319.094372,-410.0397489,-988.8233425,-469.6637354,-741.4329954,-1159.115877,-1660.841787,-1365.561801,-1260.767321,-1533.389858,-227.8120531,0,0,-547.6707665,-633.4016482,-687.9370463,-1161.075719,-473.4750614,-685.331667,-165.1833972,-2052.308601,-1593.622581,-448.9042364,-273.0193758,-266.4776559,-777.7708167,-844.7123803,-1679.646855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 LMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-162.25475,-228.1051864,-118.969554,0,0,-120.7203895,0,-147.633337,-85.82582092,-78.1434659,-204.8738645,-78.78266554,-79.92915441,0,0,0,-134.2605777,0,-90.20864494,-113.4400001,-313.8827613,-197.3726291,-155.5140632,-112.4405205,-136.1088971,0,0,-179.985205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Neurogliaform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-498.7138342,-678.0620351,-416.7982948,0,0,-338.9754617,0,-486.2117792,0,0,-661.6301293,-841.0328369,-967.0348573,0,0,0,-429.8353025,0,0,-372.3887003,-759.6526149,-577.4770699,0,0,-336.9988758,0,0,-539.1641101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Neurogliaform Projecting,-34.78227829,-39.55498972,-37.1852773,0,-17.24014423,-25.946011,-19.07069952,-18.94609282,0,0,-36.06490635,-19.66967276,-25.39607685,-20.96544693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.25878288,-48.36111875,-31.38250077,0,0,-23.96606684,0,-35.86428952,0,0,-46.10614966,-63.80739579,-69.36186631,0,0,0,-30.71062941,0,0,-26.90824773,-54.343068,-40.96104499,0,0,-22.82571187,0,0,-34.79683362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 O LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-274.8424173,-361.2488688,-225.2116951,0,0,-186.2424326,0,-262.8342914,0,0,-367.9852081,-392.394369,-446.2729185,0,0,0,-236.2032819,0,0,-205.4140829,-393.2394398,-311.1695382,0,0,-178.2874718,0,0,-276.7348443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Recurrent O LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-176.7963513,-135.3720547,-133.1333652,-32.39290948,-30.91523091,-130.0767926,-112.316614,-158.9363081,-32.31958552,-37.8707612,-149.6685929,-173.2930446,-181.3731278,-43.91465707,-49.04534594,-51.93288551,-148.9304233,-33.3172035,-24.01259685,-75.22675808,-188.7743545,-175.6472805,0,0,-66.6097052,-60.10022737,-66.647624,-165.0617562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 O LMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-363.7497948,-550.760796,-269.238096,0,0,-254.4494014,0,-339.6557173,-131.99179,-90.99277263,-413.1850402,-227.7021322,-235.2231049,0,0,0,-288.6902196,0,-197.0286903,-269.7636303,-886.6163946,-478.660747,-316.1295738,-199.1876696,-325.5966166,0,0,-370.6145855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Oriens Alveus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66.54118426,0,0,-377.0064704,0,-297.6269224,-191.1229562,-316.9818478,-346.2197249,-827.7800344,-410.2988887,-368.4438557,-482.0486427,0,0,0,-245.0273346,-329.9403088,-289.3599744,-338.1967985,-204.9978544,-141.730215,0,-407.4760713,-442.3663806,0,0,0,-401.6285628,-422.9570484,-440.7733165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Oriens Bistratified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-227.9112318,0,-140.1064506,-35.1786164,-47.05204834,-185.1820716,-187.3989169,-189.0889747,-173.1654857,-138.1398737,-114.5641333,0,0,-67.33758303,-118.9602084,-59.36646573,-171.5553634,-42.30684624,-190.6166263,-82.23968589,-447.0003148,-258.6695538,-220.5113778,-128.3691444,-121.9623519,-131.2496287,-143.1136506,-195.3106546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 OR LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-228.0095751,-325.7455203,-200.4504151,0,0,-146.4235324,0,-226.1537969,0,0,-304.4610634,-354.9286484,-390.1575252,0,0,0,-197.3118682,0,0,-188.815701,-382.3909762,-289.1333411,0,0,-134.8486828,0,0,-242.8571163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Perforant Path Associated,-410.1623955,-380.5410889,-425.6154274,0,-173.0032605,-321.1879151,-302.9150239,-203.4800583,0,0,-235.4898376,-165.0215454,-476.0878666,-300.6638341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-685.5232628,-860.1806414,-603.8136113,0,0,-497.7785786,0,-685.0015288,0,0,-946.6298508,-1230.775373,-1228.24523,0,0,0,-608.0269932,0,0,-469.1268062,-801.9042632,-696.0017666,0,0,-393.6849951,0,0,-553.411284,-88240.64897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Perforant Path Associated QuadD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34.88648646,0,0,-29.97886329,0,-39.87046042,0,0,-57.32426433,-69.668196,-71.90973046,0,0,0,-36.75600001,0,0,-28.47840173,-47.70372486,-41.52939553,0,0,-23.9403073,0,0,-35.02076964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Quadrilaminar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.324664355,0,0,-13.14285429,0,-9.503409297,-1.203041307,-2.694881244,-10.05035952,-5.143595193,-12.6425379,-8.676854555,-9.457347307,-10.56731073,-3.960290369,-3.807234088,-2.170371467,-3.414703041,-2.142473538,-10.8412248,-1.320734249,-6.714494598,-6.247483249,-22.77645838,-16.28585269,-8.859463013,-6.075828665,-7.891610165,-3.821845681,-4.327919165,-15.13793484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 R Receiving Apical Targeting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-404.5567742,-501.1680042,-287.6613762,0,0,-293.7216113,0,-346.6326679,-166.9322948,-158.8387052,-514.5635425,-196.082512,-182.1592344,0,0,0,-335.3059984,0,-162.5291355,-258.7916192,-533.8510166,-402.8879164,-321.3514595,-205.6718949,-264.8635722,0,0,-334.4196654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Radiatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53.54274288,-92.04617872,-46.49493507,0,0,-55.40466012,0,-60.22073793,-53.87764249,-49.41774056,-79.28456652,0,0,0,0,0,-55.27097398,0,-52.51985281,-44.05437391,-127.6348814,-72.72673863,-95.85726641,-69.40554762,-55.73908999,0,0,-65.74362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Schaffer Collateral Associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-198.1683332,0,0,-1695.904828,-929.0478187,-1203.580807,-160.1857176,-569.6104132,-1346.124177,-588.6357613,-1515.446756,-1320.69063,-1655.654221,-679.1971811,0,0,-307.7678656,-397.8327575,-313.7036508,-1333.826125,-163.7587754,-756.7131036,-394.3916518,-2391.998636,-1724.33754,-934.1028809,-673.2428769,-375.2287761,-405.8740914,-503.8022365,-1692.478287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 SO SO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-346.5687588,0,-243.0433345,-264.0743927,-243.4875179,-266.0782447,-672.6813269,-281.1392181,-248.9518402,-319.1981693,0,0,0,-346.9819125,-314.7203896,-433.5533275,-258.669745,-271.3138717,-189.2637037,0,-285.2076875,-308.5062107,0,0,0,-395.1764375,-478.4402722,-300.1673762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Trilaminar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-289.6362162,0,0,-1386.795538,-438.2087403,-1090.943252,-287.4419315,-673.9741876,-1154.230815,-938.1924893,-1398.383515,-1191.930701,-1522.398754,-386.5629212,0,0,-308.3731316,-332.4078516,-387.8934971,-1232.649303,-292.2285021,-450.7104248,-208.1400153,-1795.454016,-1509.954861,-449.8235353,-333.3007612,-296.3188308,-419.2093893,-454.4052241,-1561.780224,-838.781467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Radial Trilaminar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.85107795,0,0,-165.9451447,-67.97182818,-112.8749017,-35.48995634,-68.82613286,-129.842552,-109.6984926,-151.4109639,-124.8604095,-154.6752381,-43.27466965,0,0,-61.64320683,-65.58008433,-71.74620535,-127.0550594,-37.39440663,-89.34415113,-29.25511401,-230.4427104,-171.5031467,-78.59515673,-47.44399797,-40.60397249,-76.23423341,-94.47194715,-149.2316954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUB CA1 Projecting Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2949.222369,0,0,3656.060709,4528.812042,2389.436934,0,2462.307505,1470.57317,0,2546.011211,1596.334812,651.5739051,1275.423526,1465.511278,999.5926924,0,0,0,1875.16287,0,3215.409743,2399.262293,8838.11182,3846.640629,1774.218081,1175.471,3699.815545,0,0,2060.721804,44766.56626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC LI II Multipolar Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335584.7113,135890.6828,160408.487,241611.0723,392297.2757,495186.0715,199992.3132,368742.2195,145068.7766,320940.9448,457228.6134,400546.0726,306846.4176,321940.9837,0,0,105271.3599,127246.0526,55913.64716,0,0,454021.4725,397502.8195
EC LI II Pyramidal Fan,150836.9756,92086.02558,144865.2672,0,36591.91822,236409.3344,100283.0011,33515.46298,0,0,27780.76639,17658.94676,108057.225,42935.29752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33430.43509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32044.34749,137058.641,18762.87758,24009.68269,48948.58746,39692.19529,36616.84396,22434.36749,36640.95344,31668.93257,21473.24633,31502.80478,40945.92304,30940.80849,34791.03196,0,0,31115.86314,19250.9001,17570.49647,0,0,48957.02616,40543.03879
MEC LII Oblique Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628.8219653,205.480954,0,0,4761.525295,601.5577032,227.7542037,942.9774645,107.9520834,623.6028552,384.766445,2899.551279,0,0,3325.886793,0,0,944.5217367,413.987343
MEC LII Stellate,16736.46256,10128.52691,15834.57509,0,4011.044507,25977.37004,10939.03174,3767.221331,0,0,3115.556099,1960.778023,11842.38958,4737.104402,318996.6672,0,266639.6493,129029.8456,0,159021.0287,63996.49848,146487.2618,0,0,0,0,0,0,411540.5366,159516.2325,103327.4391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3713.124589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5429.742328,21641.0418,6188.429777,21471.68603,0,39846.43182,13369.98924,0,0,33420.19482,23557.37955,12807.868,15542.06587,10627.74699,21451.9253,11938.21052,50972.30139,68250.30627,21732.14951,51171.25715,48648.55767,0,44585.87139,40392.24114
MEC LII III Pyramidal Multiform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1904.338272,451.0219131,1803.987626,3084.321829,5645.585231,1734.321078,0,0,13433.54615,5047.307409,1619.806007,3765.225041,1348.903647,7262.665097,5838.751829,33908.96009,24788.02921,5981.216397,26638.98261,20148.50722,0,7526.870262,4328.393772
EC LII III Pyramidal Tripolar,62906.88601,37749.1798,58949.38736,0,15109.32027,98332.22716,41698.79624,13922.54343,0,0,11565.44762,7347.737586,44677.86627,17690.39375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13907.09195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20349.77966,77336.67835,18827.74804,18337.84404,31925.57868,36533.61109,39081.82328,13694.27001,31671.01226,26013.02714,14242.06118,31577.56942,35373.50193,28855.3079,32238.57826,0,0,21246.86168,18188.39825,19795.51842,0,0,38880.16226,35152.77968
LEC LIII Multipolar Principal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9894.567639,1613.420811,0,0,0,5365.587708,10989.80706,11953.2158,0,0,4835.721613,8728.581792,4257.262441,10633.01181,4293.876969,0,0,5510.142203,0,0,817.2360433,0,0
LEC LIII Complex Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4486.718087,1170.42896,0,0,0,6287.331062,18041.15998,15997.08822,0,0,5792.64458,11567.06948,4412.752478,16451.63989,8112.004763,0,0,8393.478745,0,0,1549.970562,0,0
MEC LIII Complex Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10125.7015,1348.857815,5698.41647,11943.98559,9113.203042,2712.29799,0,0,15198.30707,5474.179993,2263.442345,4354.383152,2270.092509,3587.653486,880.8524826,7220.592401,6217.956199,1382.953671,7287.243515,0,0,11683.1378,9253.648531
MEC LIII Bipolar Complex Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2033.0231,325.8739338,1295.365325,2688.727575,2863.228702,897.849819,0,0,9003.569464,1846.47661,791.6193101,2096.412517,689.6506327,1699.460153,554.4914131,3981.030559,1033.622175,326.3117045,6611.574884,0,0,3478.548485,2790.240426
EC LIII Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13763.10482,10343.56373,14236.47817,0,0,4924.201789,0,13598.96992,0,0,4948.161887,31583.4037,9618.063079,0,0,0,7619.904881,0,0,7455.365568,10203.23436,7249.75467,0,0,5169.36325,0,0,2895.077994,1350.187458,0,0,0,0,321.6029331,319.3110825,1848.337821,1230.583571,997.2191859,316.211996,333.3662005,1188.866449,168.5429707,1746.343379,1934.265857,1311.532103,576.3369403,1421.968476,793.2599358,740.1247902,1141.109976,552.2581593,153.5597408
EC LIII Pyramidal Stellate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184216.6647,138467.3589,190946.229,0,0,66529.69193,0,183063.7504,0,0,66324.52942,423904.0355,128820.7189,0,0,0,102657.2549,0,0,100124.7221,137013.1582,97390.96664,0,0,70048.71399,0,0,38955.51052,18172.24074,0,0,0,0,4431.484132,4370.01473,8857.257955,4414.658709,6768.765484,4379.68518,4597.951653,7742.542196,2349.208036,3262.054661,0,0,0,0,2137.578086,0,0,7615.628031,2131.538322
EC LIII Stellate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177.763926,1198.146565,2274.860145,1160.795324,1733.530884,1155.160267,1243.017459,1965.823492,634.4436659,873.2585331,0,0,0,0,578.0810891,0,0,1977.428928,617.5361357
EC LIII V Bipolar Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5436.885143,5842.383676,24189.45525,12436.34407,11036.10795,5213.529511,5794.578727,12926.81387,3540.205461,23950.51746,22795.43221,16129.21828,10208.75157,19455.0328,17344.67655,14337.23868,17261.04369,7080.338451,3979.695944
