cell,ei,deg,030T,120U,021D,210,012,021U,201,120D,021C,111U,120C,102,300,111D,030C,all_triads,per_deg
DG Neurogliaform,I,24,59,23,59,16,1222,48,5,39,79,67,15,516,6,30,0,2184,91.0
DG Semilunar Granule,E,38,84,34,55,59,1227,43,10,48,120,122,22,686,17,59,1,2587,68.07894736842105
DG Total Molecular Layer,I,38,23,23,131,54,800,30,7,92,26,132,5,962,37,41,0,2363,62.18421052631579
EC LI II Multipolar Pyramidal,E,30,5,22,3,48,919,7,28,7,35,72,0,987,50,16,0,2199,73.3
EC LI II Pyramidal Fan,E,43,44,61,87,48,1211,82,28,40,83,137,0,816,50,50,0,2737,63.651162790697676
EC LII III Pyramidal Tripolar,E,50,35,53,24,37,1056,77,24,39,80,230,4,1024,96,56,0,2835,56.7
EC LIII Pyramidal,E,52,80,36,72,59,1048,149,24,59,100,239,8,835,71,96,0,2876,55.30769230769231
EC LIII Pyramidal Stellate,E,47,78,27,49,56,1116,159,15,61,149,188,6,716,54,104,4,2782,59.191489361702125
EC LIII Stellate,E,31,6,7,57,51,961,8,20,19,3,64,0,994,54,18,0,2262,72.96774193548387
EC LIII V Bipolar Pyramidal,E,40,5,8,36,59,850,4,30,26,17,85,3,1243,84,21,0,2471,61.775
EC LIV VI Deep Multipolar Principal,E,28,9,11,37,34,944,11,45,19,53,73,5,878,23,29,1,2172,77.57142857142857
EC LV Deep Pyramidal,E,28,4,46,72,45,1208,16,15,19,16,64,4,742,16,35,0,2302,82.21428571428571
LEC LIII Complex Pyramidal,E,21,0,4,0,17,681,7,64,0,0,63,0,910,26,25,0,1797,85.57142857142857
LEC LIII Multipolar Principal,E,23,0,0,5,18,634,0,70,4,14,78,2,949,29,28,0,1831,79.6086956521739
LEC LVI Multipolar Pyramidal,E,16,0,1,5,15,810,13,29,7,43,40,2,696,12,44,1,1718,107.375
MEC LII III Pyramidal Multiform,E,35,0,19,0,38,755,4,18,3,1,111,1,1209,89,12,0,2260,64.57142857142857
MEC LII Oblique Pyramidal,E,24,20,8,55,62,1126,5,3,10,40,29,7,730,21,19,0,2135,88.95833333333333
MEC LII Stellate,E,51,97,65,308,47,1281,118,6,60,130,196,3,592,45,85,0,3033,59.470588235294116
MEC LIII Bipolar Complex Pyramidal,E,34,0,13,0,38,692,3,18,1,1,108,1,1218,89,14,0,2196,64.58823529411765
MEC LIII Complex Pyramidal,E,35,0,9,0,40,632,2,28,0,0,103,0,1278,93,11,0,2196,62.74285714285714
MEC LIII Superficial Multipolar Interneuron,I,32,0,9,1,32,698,2,20,4,1,107,3,1163,83,13,0,2136,66.75
MEC LIII Superficial Trilayered Interneuron,I,32,0,9,1,32,698,2,20,4,1,107,3,1163,83,13,0,2136,66.75
MEC LV Multipolar Pyramidal,E,27,7,8,30,51,1052,9,21,22,48,58,11,807,29,23,1,2177,80.62962962962963
MEC LV Pyramidal,E,49,45,60,71,51,1112,73,24,46,102,218,6,904,74,46,2,2834,57.83673469387755
MEC LV Superficial Pyramidal,E,38,1,6,3,47,645,0,32,5,14,120,2,1301,97,15,0,2288,60.21052631578947
MEC LV VI Pyramidal Polymorphic,E,12,8,18,64,8,1035,2,6,8,22,77,0,442,1,10,0,1701,141.75
SUB CA1 Projecting Pyramidal,E,33,150,17,106,19,1335,131,7,82,195,110,28,225,0,72,0,2477,75.06060606060606
