injection_seed,sender,receiver,edge_present,weight
MEC LV Pyramidal,DG Mossy,DG Hilar Ectopic Granule,1,2119.754290320353
MEC LV Pyramidal,DG Hilar Ectopic Granule,CA3c Pyramidal,1,0.0550567880071112
MEC LV Pyramidal,CA3c Pyramidal,CA1 Pyramidal,1,85609.60976338176
MEC LV Pyramidal,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
MEC LV Superficial Pyramidal,MEC LV Superficial Pyramidal,MEC LIII Complex Pyramidal,1,495.9622533998108
MEC LV Superficial Pyramidal,MEC LIII Complex Pyramidal,MEC LII Stellate,1,1193.0847203135872
MEC LV Superficial Pyramidal,MEC LII Stellate,CA3 Granule,1,19640.6765649223
MEC LV Superficial Pyramidal,CA3 Granule,CA3c Pyramidal,1,2.280811281935155
MEC LV Superficial Pyramidal,CA3c Pyramidal,CA1 Pyramidal,1,85609.60976338176
MEC LV Superficial Pyramidal,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
MEC LV VI Pyramidal Polymorphic,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,1,86.77596588341953
MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,1,2246.3636143897743
MEC LV VI Pyramidal Polymorphic,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,1,304.0317537911717
MEC LV VI Pyramidal Polymorphic,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,1,556.0635991085179
MEC LV VI Pyramidal Polymorphic,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,1,538.1000722266449
MEC LV VI Pyramidal Polymorphic,EC LIII Pyramidal Stellate,CA1 Pyramidal,1,5351.494110639728
MEC LV VI Pyramidal Polymorphic,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
SUB CA1 Projecting Pyramidal,SUB CA1 Projecting Pyramidal,CA1 Back Projection,1,477.1459483921526
