chain_enrichment_multiplier,spectral_radius,max_real_eigenvalue,response_solver,condition_number_I_minus_scaled_J,receiver_group,input_group,mean_response,std_response,paradoxical
0.0,0.9054566293497861,0.9054566293497861,inverse,1187.7403507931494,E,E,11.508028876646023,1.48719898593602,False
0.0,0.9054566293497861,0.9054566293497861,inverse,1187.7403507931494,E,I,-0.14082734627491716,0.018199318824889642,False
0.0,0.9054566293497861,0.9054566293497861,inverse,1187.7403507931494,I,E,86.32979170007383,0.8524347090813184,False
0.0,0.9054566293497861,0.9054566293497861,inverse,1187.7403507931494,I,I,-0.13590580517625483,0.0013419565044286445,True
0.25,0.9395648505069429,0.9395648505069429,inverse,1514.7427198686057,E,E,17.83525371888354,2.3048752769871164,False
0.25,0.9395648505069429,0.9395648505069429,inverse,1514.7427198686057,E,I,-0.229271130067011,0.02962903515405839,False
0.25,0.9395648505069429,0.9395648505069429,inverse,1514.7427198686057,I,E,119.10945564714791,1.1761065580484082,False
0.25,0.9395648505069429,0.9395648505069429,inverse,1514.7427198686057,I,I,-0.6420698221951945,0.0063399041201715346,True
0.5,0.974180374140749,0.974180374140749,inverse,2855.6209016473354,E,E,41.36807216338873,5.346054970054123,False
0.5,0.974180374140749,0.974180374140749,inverse,2855.6209016473354,E,I,-0.5556453455901489,0.07180684054232031,False
0.5,0.974180374140749,0.974180374140749,inverse,2855.6209016473354,I,E,244.45867443666302,2.4138255742558608,False
0.5,0.974180374140749,0.974180374140749,inverse,2855.6209016473354,I,I,-2.4238150202477944,0.023933152286872404,True
0.75,1.0091986549249239,1.0091986549249239,inverse,6362.838044681898,E,E,-115.10001813402113,14.874539513670616,True
0.75,1.0091986549249239,1.0091986549249239,inverse,6362.838044681898,E,I,1.6081360050537288,0.2078217096601636,False
0.75,1.0091986549249239,1.0091986549249239,inverse,6362.838044681898,I,E,-597.3229115366523,5.898065688520767,False
0.75,1.0091986549249239,1.0091986549249239,inverse,6362.838044681898,I,I,9.177768097238697,0.09062280730579782,False
1.0,1.0445413474029914,1.0445413474029914,inverse,1024.9434709433249,E,E,-23.57076869031559,3.046084057462528,True
1.0,1.0445413474029914,1.0445413474029914,inverse,1024.9434709433249,E,I,0.34125904017751596,0.044101392508967746,False
1.0,1.0445413474029914,1.0445413474029914,inverse,1024.9434709433249,I,E,-106.40946821823108,1.0507047717575715,False
1.0,1.0445413474029914,1.0445413474029914,inverse,1024.9434709433249,I,I,2.3469918089790878,0.023174587132724394,False
1.25,1.0801487745978808,1.0801487745978808,inverse,434.79451099273604,E,E,-12.993805263522072,1.6792079876143113,True
1.25,1.0801487745978808,1.0801487745978808,inverse,434.79451099273604,E,I,0.19430973263222043,0.025110923897191256,False
1.25,1.0801487745978808,1.0801487745978808,inverse,434.79451099273604,I,E,-50.41514269970331,0.4978074967424928,False
1.25,1.0801487745978808,1.0801487745978808,inverse,434.79451099273604,I,I,1.5360514050535894,0.015167226826514883,False
1.5,1.1159747921683045,1.1159747921683045,inverse,223.30361546046092,E,E,-8.910967474387277,1.151577036664508,True
1.5,1.1159747921683045,1.1159747921683045,inverse,223.30361546046092,E,I,0.13724856875519048,0.017736828301509994,False
1.5,1.1159747921683045,1.1159747921683045,inverse,223.30361546046092,I,E,-29.24981550786826,0.2888175389065666,False
1.5,1.1159747921683045,1.1159747921683045,inverse,223.30361546046092,I,I,1.20982219543035,0.011945985399625452,False
