method,seed,length_edges,n_nodes_visited,transition_weight_sum,self_weight_sum,summed_weight,n_self_connections_included,terminus,path,annealing_iterations,annealing_initial_temperature,annealing_cooling_rate,annealing_score,bb_states_seen,bb_status,dp_mode
greedy_tree_path,EC LI II Multipolar Pyramidal,14,15,155698.90674238442,29439.123421439625,185138.03016382403,12,CA1 Radiatum Giant,EC LI II Multipolar Pyramidal -> MEC LIII Bipolar Complex Pyramidal -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> SUB CA1 Projecting Pyramidal -> CA1 Radiatum Giant,,,,,,,
greedy_tree_path,EC LI II Pyramidal Fan,15,16,163171.34384923204,29809.87788244817,192981.2217316802,13,CA1 Radiatum Giant,EC LI II Pyramidal Fan -> EC LI II Multipolar Pyramidal -> MEC LIII Bipolar Complex Pyramidal -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> SUB CA1 Projecting Pyramidal -> CA1 Radiatum Giant,,,,,,,
greedy_tree_path,EC LII III Pyramidal Tripolar,15,16,159915.302446034,31716.42126379673,191631.72370983072,13,CA1 Radiatum Giant,EC LII III Pyramidal Tripolar -> EC LI II Multipolar Pyramidal -> MEC LIII Bipolar Complex Pyramidal -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> SUB CA1 Projecting Pyramidal -> CA1 Radiatum Giant,,,,,,,
greedy_tree_path,EC LIII Pyramidal,16,17,70863.65275640332,17217.502779581333,88081.15553598465,14,CA1 Radiatum Giant,EC LIII Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA2 Pyramidal -> DG Mossy -> DG Hilar Ectopic Granule -> CA3 Pyramidal -> CA1 Radiatum Giant,,,,,,,
greedy_tree_path,EC LIII Pyramidal Stellate,16,17,75217.68818495833,17260.64225308981,92478.33043804814,14,CA1 Radiatum Giant,EC LIII Pyramidal Stellate -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA2 Pyramidal -> DG Mossy -> DG Hilar Ectopic Granule -> CA3 Pyramidal -> CA1 Radiatum Giant,,,,,,,
greedy_tree_path,EC LIII Stellate,22,23,194837.7148272929,18616.230243521186,213453.94507081408,19,CA1 Radiatum Giant,EC LIII Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Bipolar Complex Pyramidal -> MEC LII III Pyramidal Multiform -> MEC LV Multipolar Pyramidal -> MEC LV Superficial Pyramidal -> MEC LV Pyramidal -> DG Granule -> DG Mossy -> DG Hilar Ectopic Granule -> CA3 Pyramidal -> CA2 Pyramidal -> CA1 Radiatum Giant,,,,,,,
greedy_tree_path,EC LIII V Bipolar Pyramidal,16,17,108993.79474688401,17181.48776911636,126175.28251600037,15,CA3 Granule,EC LIII V Bipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> EC LV Deep Pyramidal -> MEC LV Pyramidal -> DG Granule -> DG Mossy -> DG Hilar Ectopic Granule -> CA3c Pyramidal -> CA2 Pyramidal -> CA3 Pyramidal -> CA3 Granule,,,,,,,
greedy_tree_path,EC LIV VI Deep Multipolar Principal,17,18,69254.61751614326,18069.961112617075,87324.57862876034,15,CA1 Radiatum Giant,EC LIV VI Deep Multipolar Principal -> MEC LV VI Pyramidal Polymorphic -> EC LV Deep Pyramidal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> CA1 Pyramidal -> EC LIII V Bipolar Pyramidal -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA2 Pyramidal -> DG Mossy -> DG Hilar Ectopic Granule -> CA3 Pyramidal -> CA1 Radiatum Giant,,,,,,,
greedy_tree_path,EC LV Deep Pyramidal,17,18,68952.1721771052,18069.961112617075,87022.13328972227,15,CA1 Radiatum Giant,EC LV Deep Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> CA1 Pyramidal -> EC LIII V Bipolar Pyramidal -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA2 Pyramidal -> DG Mossy -> DG Hilar Ectopic Granule -> CA3 Pyramidal -> CA1 Radiatum Giant,,,,,,,
greedy_tree_path,LEC LIII Complex Pyramidal,14,15,155794.07654363938,29439.123421439628,185233.19996507902,12,CA1 Radiatum Giant,LEC LIII Complex Pyramidal -> LEC LIII Multipolar Principal -> EC LI II Multipolar Pyramidal -> MEC LIII Bipolar Complex Pyramidal -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> EC LIII Pyramidal Stellate -> SUB CA1 Projecting Pyramidal -> CA1 Radiatum Giant,,,,,,,
