seed,length_edges__branch_and_bound,length_edges__dynamic_programming,length_edges__greedy_tree_path,length_edges__greedy_tree_simulated_annealing,length_edges__maximum_spanning_tree,n_nodes_visited__branch_and_bound,n_nodes_visited__dynamic_programming,n_nodes_visited__greedy_tree_path,n_nodes_visited__greedy_tree_simulated_annealing,n_nodes_visited__maximum_spanning_tree,n_self_connections_included__branch_and_bound,n_self_connections_included__dynamic_programming,n_self_connections_included__greedy_tree_path,n_self_connections_included__greedy_tree_simulated_annealing,n_self_connections_included__maximum_spanning_tree,self_weight_sum__branch_and_bound,self_weight_sum__dynamic_programming,self_weight_sum__greedy_tree_path,self_weight_sum__greedy_tree_simulated_annealing,self_weight_sum__maximum_spanning_tree,summed_weight__branch_and_bound,summed_weight__dynamic_programming,summed_weight__greedy_tree_path,summed_weight__greedy_tree_simulated_annealing,summed_weight__maximum_spanning_tree,terminus__branch_and_bound,terminus__dynamic_programming,terminus__greedy_tree_path,terminus__greedy_tree_simulated_annealing,terminus__maximum_spanning_tree,transition_weight_sum__branch_and_bound,transition_weight_sum__dynamic_programming,transition_weight_sum__greedy_tree_path,transition_weight_sum__greedy_tree_simulated_annealing,transition_weight_sum__maximum_spanning_tree
EC LI II Pyramidal Fan,24,4,15,26,4,25,5,16,27,5,22,4,13,22,4,40129.52558520475,3805.2954288703413,29809.87788244817,39971.50166431591,5140.434134211655,186953.62172840434,121261.52875851309,192981.2217316802,275525.2214029784,112849.05439900148,DG Hilar Ectopic Granule,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,146824.0961431996,117456.23332964274,163171.34384923204,235553.71973866248,107708.62026478983
EC LII III Pyramidal Tripolar,25,4,15,25,6,26,5,16,26,7,23,4,13,22,6,40208.497579843555,5711.838810218902,31716.42126379673,39998.925405607646,25713.810436770855,183644.89731148494,119243.75224184495,191631.72370983072,270183.3375162443,140324.0262980479,CA3 Granule,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,143436.39973164137,113531.91343162605,159915.302446034,230184.41211063668,114610.21586127703
EC LIII Pyramidal,27,4,16,22,6,28,5,17,23,7,25,4,14,18,6,40384.370672723504,4016.4093774218227,17217.502779581333,35868.85817779773,23454.05765754649,182949.80685123987,101010.02761567898,88081.15553598465,161880.42312625458,133847.87781517394,CA3 Granule,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,142565.43617851636,96993.61823825716,70863.65275640332,126011.56494845684,110393.82015762746
EC LIII Pyramidal Stellate,27,4,16,22,6,28,5,17,23,7,25,4,14,20,6,40384.370672723504,6071.100492076042,17260.64225308981,38782.915667973924,23796.69565735102,187652.1244969947,96545.39681492929,92478.33043804814,182878.1064199641,134190.51581497848,CA3 Granule,CA1 Pyramidal,CA1 Radiatum Giant,CA3 Granule,MEC LV VI Pyramidal Polymorphic,147267.75382427117,90474.29632285325,75217.68818495833,144095.1907519902,110393.82015762746
EC LIII Stellate,27,4,22,22,6,28,5,23,23,7,24,4,19,19,6,40366.82560959076,5771.601965779988,18616.230243521186,38085.23893937758,23497.197131054967,183412.23720709299,96061.07353063828,213453.94507081408,266636.9230728837,133891.01728868243,CA3 Granule,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,143045.4115975022,90289.4715648583,194837.7148272929,228551.6841335061,110393.82015762746
EC LIII V Bipolar Pyramidal,28,4,16,24,6,29,5,17,25,7,25,4,15,21,6,40384.370672723504,4470.689508157284,17181.48776911636,37730.08274555887,23908.33778828195,181724.06744369553,101677.56940630182,126175.28251600037,266061.20208394644,134302.15794590942,CA3 Granule,CA1 Pyramidal,CA3 Granule,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,141339.69677097202,97206.87989814453,108993.79474688401,228331.11933838757,110393.82015762746
EC LIV VI Deep Multipolar Principal,29,4,17,24,7,30,5,18,25,8,26,4,15,20,5,40488.51416037096,5968.208448041807,18069.961112617075,38894.55779890485,24069.796641745033,193616.36873140367,103428.14388053401,87324.57862876034,258200.42802405223,82476.92943980616,CA1 Radiatum Giant,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Radiatum Giant,CA3 Granule,153127.8545710327,97459.9354324922,69254.61751614326,219305.8702251474,58407.13279806113
EC LV Deep Pyramidal,28,4,17,25,7,29,5,18,26,8,25,4,15,21,5,39152.45407394952,4397.042516589369,18069.961112617075,39638.74234267038,22498.630710292593,185615.01331112898,101550.29675334367,87022.13328972227,264314.5273238563,80905.76350835373,CA1 Radiatum Giant,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Radiatum Giant,CA3 Granule,146462.55923717946,97153.2542367543,68952.1721771052,224675.78498118595,58407.13279806113
LEC LIII Complex Pyramidal,27,4,14,24,6,28,5,15,25,7,25,4,12,20,6,40384.370672723504,23068.82150035764,29439.123421439628,39128.922009439164,24180.697138179286,179263.12192497446,99884.17405944239,185233.19996507902,265645.38503553736,134819.133165909,CA3 Granule,DG Mossy,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,138878.75125225095,76815.35255908476,155794.07654363938,226516.46302609818,110638.43602772972
LEC LIII Multipolar Principal,27,4,17,24,6,28,5,18,25,7,25,4,15,21,6,40384.370672723504,22821.046541410407,18069.961112617075,39189.60654608038,23932.92217923205,179561.90500594012,99931.2350580449,94281.194758302,265497.112866331,134866.19416451151,CA3 Granule,DG Mossy,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,139177.5343332166,77110.18851663449,76211.23364568492,226307.50632025066,110933.27198527945
