method,n_seeds,mean_length,median_length,mean_transition_weight,mean_self_weight,mean_summed_weight,median_summed_weight,max_summed_weight,mean_self_connections_included,n_unique_termini
branch_and_bound,32,24.5625,27.0,141864.52212636065,39503.47345023026,181367.9955765909,182802.11680396838,249353.9607024293,22.0625,5
dynamic_programming,32,4.46875,4.0,106348.00152551259,10283.05045543833,116631.05198095091,109028.36095484208,159419.09517787886,4.3125,5
greedy_tree_path,32,16.6875,16.0,125314.2411090784,18973.30866299747,144287.54977207587,135698.8352390485,213682.88819956564,14.375,4
greedy_tree_simulated_annealing,32,23.21875,24.0,203401.45953456653,38708.49712398766,242109.95665855418,261531.83355524787,275525.2214029784,20.125,4
maximum_spanning_tree,32,5.46875,6.0,95745.16627732743,18007.65784437665,113752.82412170408,114771.04725219583,140324.0262980479,4.9375,2
