variant,motif,E_source,I_first,I_second,E_receiver,E_to_I,I_to_I,I_to_E,signed_contribution,abs_contribution
with_self,E-I-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,1.6789451712394607,-0.17899388333431104,-0.014714947928216548,0.004422149631832968,0.004422149631832968
with_self,E-I-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,1.5290396361113439,-0.17899388333431104,-0.015335705705200408,0.004197210005813744,0.004197210005813744
with_self,E-I-I-E,CA3c Pyramidal,CA1 OR LM,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,13.624940861972432,-0.004177651802060348,-0.07220663505536311,0.0041100203504559575,0.0041100203504559575
with_self,E-I-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,1.5290396361113439,-0.17899388333431104,-0.014714947928216548,0.004027315590595549,0.004027315590595549
with_self,E-I-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Basket CCK+,CA1 Pyramidal,46.82397293872388,-0.006659266306275775,-0.011929814372781952,0.0037198748513931575,0.0037198748513931575
with_self,E-I-I-E,EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,1.3333665420906016,-0.17899388333431104,-0.015335705705200408,0.003660087848417565,0.003660087848417565
with_self,E-I-I-E,EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,1.3333665420906016,-0.17899388333431104,-0.014714947928216548,0.003511935031714851,0.003511935031714851
with_self,E-I-I-E,CA3c Pyramidal,CA1 Basket,CA1 Basket CCK+,CA1 Pyramidal,13.448626436843558,-0.019549581356893414,-0.011929814372781952,0.003136527344636774,0.003136527344636774
with_self,E-I-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Horizontal Basket,CA1 Pyramidal,13.314089769914581,-0.05812453152432544,-0.003260380321643853,0.0025231275730898815,0.0025231275730898815
with_self,E-I-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Basket,CA1 Pyramidal,46.82397293872388,-0.007335821891274715,-0.007188014515186286,0.002469027823132939,0.002469027823132939
with_self,E-I-I-E,CA3c Pyramidal,CA1 Basket,CA1 Basket,CA1 Pyramidal,13.448626436843558,-0.025024621462370052,-0.007188014515186286,0.002419103181160034,0.002419103181160034
with_self,E-I-I-E,DG Granule,DG AIPRIM,DG Basket,DG Granule,8.554852573701078,-0.03108981350161071,-0.009053485046684987,0.0024079442915876333,0.0024079442915876333
with_self,E-I-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,1.6789451712394607,-0.17899388333431104,-0.007965358514344446,0.0023937568378398634,0.0023937568378398634
with_self,E-I-I-E,CA3c Pyramidal,CA1 LMR,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,13.086698098688606,-0.0025099227360778453,-0.07220663505536311,0.0023717425382985304,0.0023717425382985304
with_self,E-I-I-E,CA3c Pyramidal,CA1 Schaffer Collateral Associated,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,3.4724074631549184,-0.008726133398812109,-0.07220663505536311,0.002187910918081775,0.002187910918081775
with_self,E-I-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,1.5290396361113439,-0.17899388333431104,-0.007965358514344446,0.002180028953278829,0.002180028953278829
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,EC LIII V Bipolar Pyramidal,15.570332158163957,-0.17899388333431104,-0.0007716612254250568,0.0021506153733561375,0.0021506153733561375
with_self,E-I-I-E,DG Semilunar Granule,DG AIPRIM,DG AIPRIM,DG Hilar Ectopic Granule,1.674476211167667,-0.10451361641756894,-0.0120639231928534,0.002111253687657614,0.002111253687657614
with_self,E-I-I-E,CA3c Pyramidal,CA1 Trilaminar,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,6.32800678987357,-0.004605212941902904,-0.07220663505536311,0.002104232672426539,0.002104232672426539
with_self,E-I-I-E,EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,1.3333665420906016,-0.17899388333431104,-0.007965358514344446,0.0019010479509107478,0.0019010479509107478
with_self,E-I-I-E,DG Granule,DG AIPRIM,DG Total Molecular Layer,DG Hilar Ectopic Granule,8.554852573701078,-0.025677983787481387,-0.008247490695680745,0.0018117375446505182,0.0018117375446505182
with_self,E-I-I-E,DG Granule,DG AIPRIM,DG MOLAX,DG Granule,8.554852573701078,-0.03452312085274818,-0.005873553731326984,0.0017346965882234784,0.0017346965882234784
with_self,E-I-I-E,CA3 Pyramidal,CA1 Back Projection,CA3 Basket,CA3c Pyramidal,6.237137836109075,-0.03392153289169063,-0.008054368105544408,0.001704089048274605,0.001704089048274605
with_self,E-I-I-E,CA2 Pyramidal,CA1 Perforant Path Associated,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,2.246936823816551,-0.010379690017985159,-0.07220663505536311,0.001684039803601438,0.001684039803601438
