variant,inhibitory_cell,ii_chain_order,score,I_to_E_abs,E_to_I_abs,II_chain_participation,positive_disinhibitory_drive_to_E
with_self,CA1 Perforant Path Associated,2,2.7575139403977293,0.07415843497187756,35.94133356475251,0.0065714115723644675,0.0
with_self,MEC LIII Superficial Multipolar Interneuron,2,1.5420572814615323,0.06316394868943966,22.015365842850432,0.06075076012466253,0.0
with_self,DG AIPRIM,2,0.4886851446909596,0.030742911379953795,14.034394526318064,0.05729992527238858,0.0
with_self,CA1 Basket CCK+,2,0.22164117647487316,0.012802673277689443,15.642120563803102,0.04025813396194827,0.0
with_self,CA1 Back Projection,2,0.1784749799444309,0.01916081008221962,8.07074404049946,0.026882052395653843,0.0
with_self,CA1 Trilaminar,2,0.13856811126018687,0.0022538397578235917,59.727639024959565,0.012404029164915582,0.0
with_self,CA1 Basket,2,0.13490369331873056,0.007599707338740604,16.2562928244489,0.028678042652934714,0.0
with_self,MEC LIII Superficial Trilayered Interneuron,2,0.10896162795927318,0.04358701543684072,1.46419999150436,0.01447301487731741,0.0
with_self,CA2 Wide Arbor Basket,2,0.08735632793751656,0.02149468000921931,2.9237767429591104,0.03575990964567822,0.0
with_self,DG Total Molecular Layer,2,0.07888260728990613,0.021368946173572937,2.6094313319311757,0.022726167016543463,0.0
with_self,CA3 Basket CCK+,2,0.060991444884363206,0.03295155196516037,0.775513521785604,0.042483197395898765,0.0
with_self,CA3 Basket,2,0.06094435428626008,0.014480153167200138,3.015199072641841,0.048221931191927095,0.0
with_self,DG MOLAX,2,0.03966102651240859,0.009607795833213011,3.0672648879018936,0.014933826548440278,0.0
with_self,DG Basket,2,0.03743954740152106,0.009053485046685,3.0904817177383697,0.010974835239268628,0.0
with_self,CA1 Horizontal Basket,2,0.026419463772667285,0.003572028920981047,6.194594881379242,0.028022660300753767,0.0
with_self,CA2 Basket,2,0.024182832919264312,0.002589557548918928,8.287918184756103,0.005456363716296907,0.0
with_self,CA3 O LM,2,0.022878515761902543,0.012399967108513769,0.8302661803369318,0.008075496111894636,0.0
with_self,CA1 Bistratified,2,0.021979799452774004,0.002289992456519366,8.417580464599412,0.01917868961858655,0.0
with_self,DG HIPP,2,0.021129750095792602,0.012312016548137992,0.7010862698077037,0.008878416125859198,0.0
with_self,DG Axo Axonic,2,0.019800319860546797,0.0011052574873015274,16.59817467709235,0.01798438488622337,0.0
no_self,CA1 Perforant Path Associated,1,10.264406730326295,0.13101107087794145,63.495307052868235,0.21478030311359653,0.000413332275485639
no_self,MEC LIII Superficial Multipolar Interneuron,1,5.142154296047618,0.11158779930861484,38.89317049281394,0.1551272741305102,0.0006810327323155119
no_self,DG AIPRIM,1,2.2089255887790116,0.054311579570426136,24.79368741686241,0.5767949484627226,0.0034696012726371708
no_self,CA1 Basket CCK+,1,1.0320113992022755,0.022617682490826074,27.633956496558334,0.5935108704915222,0.0018859390601656384
no_self,CA1 Back Projection,1,0.8596915895258687,0.033850205289693625,14.25807893503376,0.6644912398082279,0.008905371275682859
no_self,CA1 Basket,1,0.5737863244936405,0.01342592784199029,28.718976233035306,0.4380435541525277,0.0010574698389978442
no_self,CA1 Trilaminar,1,0.5663428020303279,0.003981717796117524,105.51708585326104,0.33533315642072703,0.0016963660965595788
no_self,CA2 Wide Arbor Basket,1,0.3810403304504747,0.03797330738242259,5.1652535850891725,0.6275771196677526,0.0062481085862805584
no_self,MEC LIII Superficial Trilayered Interneuron,1,0.3190294284931973,0.07700245522871899,2.5867105871261122,0.1551272741305102,0.016323395279044823
no_self,DG Total Molecular Layer,1,0.28247306251183923,0.03775118127552902,4.609919199459895,0.33379746195248994,0.004650221666321296
no_self,CA3 Basket,1,0.2551818986957586,0.025581181340071583,5.326763699460288,0.5766948679281089,0.0025378503721645023
no_self,CA3 Basket CCK+,1,0.22015334442138182,0.058213446814012484,1.370051255908852,0.5956742414064313,0.005369346232099915
no_self,DG MOLAX,1,0.1354971938876486,0.016973492244856527,5.418745120264802,0.2436808984672873,0.0020569463198692518
no_self,DG Basket,1,0.1288011295046043,0.01599422603232429,5.459760842082843,0.24663697195593393,0.0014171518956917811
no_self,CA1 Horizontal Basket,1,0.10743777551260886,0.0063104801810093605,10.94360350744012,0.4254737459086063,0.001048787351302657
no_self,CA1 Bistratified,1,0.09162407556391489,0.0040455865087333865,14.8708131622062,0.42701630236898397,0.0033732426948540925
no_self,CA2 Basket,1,0.0789382270703019,0.0045748094294678805,14.641746918545726,0.10313612187219903,0.000662726196611876
no_self,DG Axo Axonic,1,0.07870047093839785,0.0019525893050756462,29.322957528562096,0.32921387894172277,0.0
no_self,CA3 O LM,1,0.06220272074028531,0.021906246677855293,1.4667793547818115,0.15109482720223327,0.002521688170740697
no_self,DG HIPP,1,0.05737551087487514,0.021750869921273053,1.23856528283209,0.17836591088057102,0.002761367646969229
