rank_by_real,real,imag,abs,decay_time_constant
1,-0.05000000000000038,0.0,0.05000000000000038,19.99999999999985
2,-0.6299403100981994,0.0,0.6299403100981994,1.5874519918309613
3,-0.8406775531657971,0.0,0.8406775531657971,1.1895167133156244
4,-0.9074690106853331,0.0,0.9074690106853331,1.1019660045964392
5,-0.9513229013621884,0.01303714070545382,0.9514122291067874,1.0511677986182308
6,-0.9513229013621884,-0.01303714070545382,0.9514122291067874,1.0511677986182308
7,-0.9540909311277838,0.0,0.9540909311277838,1.0481181272920699
8,-0.9717140833775522,-0.30992162460234296,1.0199410145838983,1.02910929985097
9,-0.9717140833775522,0.30992162460234296,1.0199410145838983,1.02910929985097
10,-0.987277440904143,0.0,0.987277440904143,1.012886508461295
11,-0.9931816158619918,-0.06428359356600767,0.995259816574545,1.0068651936656021
12,-0.9931816158619918,0.06428359356600767,0.995259816574545,1.0068651936656021
13,-0.9935016234753273,0.0038678721072394067,0.9935091525913333,1.006540881636349
14,-0.9935016234753273,-0.0038678721072394067,0.9935091525913333,1.006540881636349
15,-0.9959923622833924,0.0,0.9959923622833924,1.004023763502985
16,-0.9975065490075236,0.0,0.9975065490075236,1.0024996838316071
17,-0.9983480585738181,0.0002508023039676798,0.9983480900767565,1.001654674852117
18,-0.9983480585738181,-0.0002508023039676798,0.9983480900767565,1.001654674852117
19,-0.9986863066059161,0.004816834073064054,0.9986979227437359,1.0013154214545592
20,-0.9986863066059161,-0.004816834073064054,0.9986979227437359,1.0013154214545592
21,-0.9990329891626846,0.0,0.9990329891626846,1.0009679468524117
22,-0.9993415563626581,0.0,0.9993415563626581,1.0006588774710206
23,-0.9994659519059392,0.0025601155270155262,0.9994692307473786,1.0005343334538235
24,-0.9994659519059392,-0.0025601155270155262,0.9994692307473786,1.0005343334538235
25,-0.9995880240910531,7.036381652212689e-05,0.9995880265676067,1.0004121457030475
26,-0.9995880240910531,-7.036381652212689e-05,0.9995880265676067,1.0004121457030475
27,-0.9997138050901865,0.013840288974202974,0.9998096047182128,1.000286276840788
28,-0.9997138050901865,-0.013840288974202974,0.9998096047182128,1.000286276840788
29,-0.999763511410227,0.0,0.999763511410227,1.0002365445298553
30,-0.9997938777919386,-0.0001548050812942957,0.9997938897767155,1.0002061647031852
31,-0.9997938777919386,0.0001548050812942957,0.9997938897767155,1.0002061647031852
32,-0.9998527891317697,7.756126871871374e-05,0.9998527921400878,1.0001472325424607
33,-0.9998527891317697,-7.756126871871374e-05,0.9998527921400878,1.0001472325424607
34,-0.9999085392952614,0.0,0.9999085392952614,1.0000914690705642
35,-0.9999829271966215,0.0,0.9999829271966215,1.000017073094864
36,-0.9999839855545276,1.6199775965810787e-05,0.9999839856857461,1.000016014701939
37,-0.9999839855545276,-1.6199775965810787e-05,0.9999839856857461,1.000016014701939
38,-0.9999915075071318,0.0,0.9999915075071318,1.0000084925649912
39,-0.9999927536057788,0.0,0.9999927536057788,1.0000072464467318
40,-0.9999967255187342,0.0,0.9999967255187342,1.000003274491988
41,-0.9999998522341956,0.0,0.9999998522341956,1.0000001477658262
42,-1.0000014912111472,0.0,1.0000014912111472,0.9999985087910764
43,-1.00000328753982,0.0001761104367902863,1.0000033030472117,0.999996712470988
44,-1.00000328753982,-0.0001761104367902863,1.0000033030472117,0.999996712470988
45,-1.0000055578333695,-3.019041912694361e-06,1.0000055578379268,0.9999944421975198
46,-1.0000055578333695,3.019041912694361e-06,1.0000055578379268,0.9999944421975198
47,-1.000010797401165,-1.2896738672696352e-05,1.0000107974843269,0.9999892027154177
48,-1.000010797401165,1.2896738672696352e-05,1.0000107974843269,0.9999892027154177
49,-1.0000312466450294,0.0,1.0000312466450294,0.999968754331293
50,-1.000044040868348,0.0,1.000044040868348,0.9999559610711647
