time,growth,frobenius_growth
0.0,1.0,9.219544457292887
0.1,5.736521379438313,10.931135752300976
0.2,10.34085168997297,14.952142564210398
0.30000000000000004,14.208429728011762,18.97789924194081
0.4,17.403929391995153,22.472554722563427
0.5,20.00898845588649,25.356700781062578
0.6000000000000001,22.099244426690557,27.66193044551324
0.7000000000000001,23.742185561291397,29.44851805630072
0.8,24.997528061856848,30.78171808791641
0.9,25.918005300105033,31.72401813688782
1.0,26.55017220238081,32.33257944603415
1.1,26.935138545650805,32.65858400601389
1.2000000000000002,27.109217787379144,32.74733156201982
1.3,27.104496906241803,32.63863228339976
1.4000000000000001,26.94933703892591,32.367302637463354
1.5,26.668814791091545,31.963679132116006
1.6,26.285113029923075,31.454111718394916
1.7000000000000002,25.81786867652428,30.861420526801076
1.8,25.284483775121245,30.205310147283786
1.9000000000000001,24.700404948867106,29.502740819468926
2.0,24.07937518612461,28.768258398326694
2.1,23.433660608104933,28.014286105972808
2.2,22.7742532792299,27.251381525451503
2.3000000000000003,22.111049044511432,26.4884623748271
2.4000000000000004,21.45299666018311,25.733004498617955
2.5,20.808211155779553,24.991215324409843
2.6,20.184040929335914,24.26818580624241
2.7,19.587075925783218,23.56802363885981
2.8000000000000003,19.02308601293252,22.8939702896565
2.9000000000000004,18.496887868154328,22.24850416155924
3.0,18.01215772362383,21.633431969332523
3.1,17.5712335383261,21.04997018133433
3.2,17.17497246171496,20.498818146171985
3.3000000000000003,16.82273101819388,19.980224288048838
3.4000000000000004,16.51250581706084,19.4940465172028
3.5,16.241220786387164,19.039807766691716
3.6,16.005099598828377,18.6167473402945
3.7,15.800043682230674,18.223868546540874
3.8000000000000003,15.621951006569441,17.85998290945247
3.9000000000000004,15.466943276031403,17.52375109519921
4.0,15.331499991936187,17.213720581154146
4.1000000000000005,15.212516547020908,16.92836002222959
4.2,15.107309591265002,16.666090237858345
4.3,15.013590913617579,16.425311747090777
4.4,14.929425810862794,16.20442881188631
4.5,14.85318642527414,16.00187000102281
4.6000000000000005,14.783506149267854,15.816105349910584
4.7,14.719238170840532,15.645660256412816
4.800000000000001,14.659419354463456,15.489126312446402
4.9,14.603239590130672,15.345169320539988
5.0,14.550016207273801,15.212534780620626
5.1000000000000005,14.499172827267708,15.090051153988645
5.2,14.45022197810695,14.976631219208688
5.300000000000001,14.402750831739588,14.871271830098284
5.4,14.356409499012454,14.773052371427891
5.5,14.3109014023188,14.681132185915793
5.6000000000000005,14.265975328315681,14.594747219129133
5.7,14.221418836510614,14.513206099256658
5.800000000000001,14.1770527621809,14.435885838297771
