method,target,scale,raw_spectral_radius,raw_spectral_abscissa,spectral_radius,spectral_abscissa,frobenius_norm
spectral_radius,0.95,3.6241379629906e-05,26213.130120909358,26213.130120909358,0.9499999999999992,0.9499999999999992,77.18213429907077
spectral_abscissa,0.95,3.6241379629906e-05,26213.130120909358,26213.130120909358,0.9499999999999992,0.9499999999999992,77.18213429907077
frobenius,10.0,4.695565879206625e-06,26213.130120909358,26213.130120909358,0.12308547938294566,0.12308547938294566,10.000000000000002
none,1.0,1.0,26213.130120909358,26213.130120909358,26213.130120909358,26213.130120909358,2129668.7677800455
