,CA1 Axo Axonic,CA1 Back Projection,CA1 Basket,CA1 Basket CCK+,CA1 Bistratified,CA1 Horizontal Axo Axonic,CA1 Horizontal Basket,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 O LM,CA1 O LMR,CA1 OR LM,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Pyramidal,CA1 Quadrilaminar,CA1 R Receiving Apical Targeting,CA1 Radial Trilaminar,CA1 Radiatum,CA1 Radiatum Giant,CA1 Recurrent O LM,CA1 SO SO,CA1 Schaffer Collateral Associated,CA1 Trilaminar,CA2 Basket,CA2 Bistratified,CA2 Pyramidal,CA2 SP SR,CA2 Wide Arbor Basket,CA3 Axo Axonic,CA3 Basket,CA3 Basket CCK+,CA3 Granule,CA3 Horizontal Axo Axonic,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated ORDEN,CA3 O LM,CA3 Pyramidal,CA3 Spiny Lucidum,CA3 Trilaminar,CA3c Pyramidal,DG AIPRIM,DG Axo Axonic,DG Basket,DG Granule,DG HICAP,DG HIPP,DG HIPROM,DG Hilar Ectopic Granule,DG MOLAX,DG MOPP,DG Mossy,DG Neurogliaform,DG Semilunar Granule,DG Total Molecular Layer,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,EC LII III Pyramidal Tripolar,EC LIII Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,EC LV Deep Pyramidal,LEC LIII Complex Pyramidal,LEC LIII Multipolar Principal,LEC LVI Multipolar Pyramidal,MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,MEC LII Stellate,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,SUB CA1 Projecting Pyramidal
CA1 Neurogliaform Projecting,-31.38250077331201,0.0,-23.966066835455997,-35.86428951765121,0.0,0.0,0.0,0.0,-46.10614966387198,-63.80739579110401,-69.36186630827518,0.0,0.0,0.0,-30.710629407360006,0.0,-26.908247726899212,-54.343067999616,-37.258782879744,-40.961044988063996,0.0,-34.796833623552,0.0,-48.361118747135954,0.0,0.0,-22.82571187335551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.24014423296,-25.946011003776007,-19.070699519135996,-34.782278294016,-18.946092816504002,0.0,0.0,-39.55498971840002,-36.0649063466496,-25.396076851199993,0.0,-20.965446925823993,-37.18527730176,-19.6696727578368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 O LM,-225.21169511480326,0.0,-186.24243259664004,-262.8342914026272,0.0,0.0,0.0,0.0,-367.9852080888324,-392.3943689955303,-446.27291849206443,0.0,0.0,0.0,-236.20328192073595,0.0,-205.4140828721793,-393.23943976432497,-274.8424173018012,-311.16953821220204,0.0,-276.7348443216,0.0,-361.24886881422003,0.0,0.0,-178.2874718077864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 O LMR,-269.2380959750273,0.0,-254.44940136,-339.65571729488,-131.9917899664,0.0,0.0,-90.9927726349824,-413.18504020955004,-227.70213224653438,-235.2231048920558,0.0,0.0,-197.0286903268992,-288.69021962922955,0.0,-269.76363032819205,-886.616394566826,-363.749794820412,-478.6607469629664,-316.129573761456,-370.6145855104001,-199.18766957644806,-550.7607959532,0.0,0.0,-325.5966166049085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 OR LM,-200.45041506986408,0.0,-146.4235324463808,-226.15379685602377,0.0,0.0,0.0,0.0,-304.46106343536235,-354.92864844833275,-390.15752515776893,0.0,0.0,0.0,-197.31186822551038,0.0,-188.81570103669,-382.39097615482507,-228.00957513062403,-289.133341120602,0.0,-242.85711631104002,0.0,-325.74552032030397,0.0,0.0,-134.84868281670717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Oriens Alveus,-297.6269223530311,-316.981847842932,-346.219724889792,-410.2988886624901,-368.44385570899203,-191.122956239886,-827.7800344077598,-482.04864271265126,0.0,0.0,0.0,-245.02733457272817,-289.359974372448,-141.7302150082992,-338.1967984647808,-204.9978543837,0.0,-407.47607126424,-377.00647036975,-442.3663805617729,0.0,-440.77331649727995,0.0,0.0,-329.9403088238399,-401.628562772976,0.0,-422.9570484433801,0.0,0.0,0.0,0.0,-66.54118425724748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Oriens Bistratified,-140.10645063340402,-47.05204834473,-185.18207162559997,-189.08897467773204,-173.16548568,-35.178616403424,-187.398916904352,-138.13987365360003,-114.5641332769024,0.0,0.0,-67.33758303295198,-59.366465733770994,-190.61662631616002,-171.555363385824,-42.30684623868,-82.23968588563604,-447.000314805,-227.91123184999992,-258.66955384008,-220.511377772,-195.31065456576,-128.3691443664,0.0,-118.96020835840001,-131.24962865090998,-121.96235185956584,-143.11365057528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Perforant Path Associated,-603.813611268322,0.0,-497.778578567424,-685.0015287678091,0.0,0.0,0.0,0.0,-946.6298507560399,-1230.7753726347285,-1228.2452297282377,0.0,0.0,0.0,-608.0269932461761,0.0,-469.1268061935743,-801.9042632092799,-685.5232627540223,-696.0017666472768,0.0,-553.4112840278401,0.0,-860.180641421598,0.0,0.0,-393.68499514680394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-173.00326051548666,-321.1879150621536,-302.91502392844865,-410.1623955455958,-203.4800583283606,0.0,0.0,-380.5410889218456,-235.48983759098593,-476.08786664994676,0.0,-300.6638341159681,-425.6154273912112,-165.0215454428213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88240.648965
CA1 Perforant Path Associated QuadD,-34.886486464117205,0.0,-29.978863292928008,-39.870460421074796,0.0,0.0,0.0,0.0,-57.32426433359999,-69.66819600048,-71.909730464418,0.0,0.0,0.0,-36.7560000112272,0.0,-28.478401734076805,-47.703724855644,0.0,-41.52939552505921,0.0,-35.02076963616,0.0,0.0,0.0,0.0,-23.94030730071374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Pyramidal,50979.62872911275,70681.71990070409,42387.40709254397,52663.470341011525,75625.76819063886,34139.20669267882,111130.94343586842,78455.60288830579,0.0,0.0,0.0,57943.448955756,45331.42551755646,76314.98468901216,48773.83945202497,54313.144160106036,0.0,50774.80379330661,96170.58579124039,54869.18212827653,0.0,35009.97556462689,0.0,0.0,172923.81420279422,92632.40646962484,0.0,133386.20012865638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287297.42435561446,239839.62870244664,312912.2223900131,0.0,66524.38652066834,264688.43651627586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173947.05585647878,154668.50466462746,59451.75528655247,209589.69101139618,201320.55280061273
CA1 Quadrilaminar,-9.5034092972544,-2.6948812442580006,-10.050359516063997,-12.6425378981088,-8.676854555148001,-1.20304130688,-5.1435951928578,-9.457347306771,-10.567310728291199,-3.9602903688899986,-3.8072340878615956,-2.1703714668820795,-2.1424735378871995,-6.7144945982562,-10.841224797,-1.3207342491,-6.247483249203001,-22.776458379147,-13.142854294732796,-16.285852687536,-8.859463012620001,-15.13793484288,-6.075828665424002,0.0,-3.414703040999997,-3.8218456808909997,-7.89161016520062,-4.3279191648,0.0,0.0,0.0,0.0,-0.32466435547544886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
