1151,DG Granule,DG Semilunar Granule,DG Mossy,DG AIPRIM,DG Axo Axonic,DG Basket,DG HICAP,DG HIPP,DG HIPROM,DG MOLAX,DG MOPP,DG Neurogliaform,DG Total Molecular Layer,CA3 Pyramidal,CA3c Pyramidal,CA3 Granule,CA3 Axo Axonic,CA3 Basket,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Spiny Lucidum,CA3 Mossy Fiber Associated ORDEN,CA3 Trilaminar,CA2 Basket,CA2 Wide Arbor Basket,CA2 Bistratified,CA2 SP SR,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Axo Axonic,CA1 Horizontal Axo Axonic,CA1 Basket,CA1 Basket CCK+,CA1 Horizontal Basket,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 Recurrent O LM,CA1 O LMR,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 OR LM,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Radiatum,CA1 R Receiving Apical Targeting,CA1 Schaffer Collateral Associated,CA1 SO SO,CA1 Trilaminar,CA1 Radial Trilaminar,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,MEC LII Stellate,EC LII III Pyramidal Tripolar,LEC LIII Multipolar Principal,EC LIII Pyramidal,LEC LIII Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Bipolar Complex Pyramidal,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,EC LV Deep Pyramidal,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,LEC LVI Multipolar Pyramidal,MEC LIII Superficial Trilayered Interneuron
CA1 Schaffer Collateral Associated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-443.1285121,0,0,-3894.845751,-2068.5043,-3486.26687,-479.3159851,-3955.520413,-3862.545739,-1716.658943,-4047.230123,-1804.848703,0,0,-1019.818307,-976.7291701,-3289.104325,-374.4270097,-1902.307207,-1034.149921,-6078.856652,-1808.216101,-2754.728517,-1396.621908,-1163.67254,-1235.632097,-4850.984727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 SO SO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-346.5687588,0,-243.0433345,-264.0743927,-266.0782447,-281.1392181,-672.6813269,-319.1981693,0,0,0,-314.7203896,-433.5533275,-258.669745,-271.3138717,-189.2637037,0,-285.2076875,0,0,0,-395.1764375,-478.4402722,-300.1673762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Trilaminar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-289.6362162,0,0,-1386.795538,-438.2087403,-1090.943252,-287.4419315,-1154.230815,-1398.383515,-938.1924893,-1522.398754,-386.5629212,0,0,-332.4078516,-387.8934971,-1232.649303,-292.2285021,-450.7104248,-208.1400153,-1795.454016,-333.3007612,-449.8235353,-744.1385414,-419.2093893,-454.4052241,-1561.780224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Radial Trilaminar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.85107795,0,0,-165.9451447,-67.97182818,-112.8749017,-35.48995634,-129.842552,-151.4109639,-109.6984926,-154.6752381,-43.27466965,0,0,-65.58008433,-71.74620535,-127.0550594,-37.39440663,-89.34415113,-29.25511401,-230.4427104,-47.44399797,-78.59515673,-144.6234077,-76.23423341,-94.47194715,-149.2316954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC LI II Multipolar Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335584.7113,135890.6828,392297.2757,160408.487,241611.0723,495186.0715,199992.3132,498454.1441,368742.2195,145068.7766,320940.9448,306846.4176,321940.9837,0,127246.0526,0,105271.3599,55913.64716,0,0,397502.8195
EC LI II Pyramidal Fan,142125.1931,136026.2638,0,34801.9822,222073.5687,94455.78857,31780.3616,0,0,26447.06764,100491.4275,39929.12723,16818.39394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32254.53265,0,0,0,0,0,0,0,0,0,0,0,0,0,137058.641,18762.87758,39692.19529,24009.68269,48948.58746,36616.84396,22434.36749,34343.22161,36640.95344,31668.93257,21473.24633,30940.80849,34791.03196,0,19250.9001,0,31115.86314,17570.49647,0,0,40543.03879
MEC LII III Pyramidal Multiform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1904.338272,451.0219131,5645.585231,1803.987626,3084.321829,1734.321078,0,1765.85409,0,13433.54615,5047.307409,1348.903647,7262.665097,5838.751829,5981.216397,33908.96009,24788.02921,26638.98261,20148.50722,0,4328.393772
MEC LII Oblique Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628.8219653,0,0,205.480954,0,248.2894188,0,4761.525295,601.5577032,107.9520834,623.6028552,384.766445,0,2899.551279,0,3325.886793,0,0,413.987343
MEC LII Stellate,15769.82675,14868.42313,0,3814.839623,24402.1129,10303.38998,3572.191624,0,0,2965.984514,11013.22595,4405.42992,1867.446437,272974.242,0,225689.7189,110217.5931,175066.742,124132.6094,0,0,0,0,159516.2325,103327.4391,0,0,0,0,0,0,0,0,0,0,0,0,3582.516889,0,0,0,0,0,0,0,0,0,0,0,0,0,21641.0418,6188.429777,39846.43182,21471.68603,0,13369.98924,0,13962.67577,0,33420.19482,23557.37955,10627.74699,21451.9253,11938.21052,21732.14951,50972.30139,68250.30627,51171.25715,48648.55767,0,40392.24114
EC LII III Pyramidal Tripolar,59273.61832,55352.57052,0,14370.23038,92369.40096,39275.77593,13201.77092,0,0,11010.21372,41549.67481,16451.77799,6997.990704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13417.91545,0,0,0,0,0,0,0,0,0,0,0,0,0,77336.67835,18827.74804,36533.61109,18337.84404,31925.57868,39081.82328,13694.27001,34424.72732,31671.01226,26013.02714,14242.06118,28855.3079,32238.57826,0,18188.39825,0,21246.86168,19795.51842,0,0,35152.77968
LEC LIII Multipolar Principal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9894.567639,1613.420811,0,0,0,5365.587708,10989.80706,5271.7293,11953.2158,0,0,4257.262441,10633.01181,4293.876969,5510.142203,0,0,0,0,817.2360433,0
EC LIII Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191274.3689,143602.0736,197379.0102,0,68497.02397,188594.7334,0,0,68511.93171,434544.2417,132332.2335,0,0,105755.1427,0,0,103391.1202,141935.7357,0,0,0,0,0,40194.08194,0,0,4277.525527,0,0,4247.042442,24584.07993,4833.770028,16367.55171,13263.65553,4205.822602,2241.729739,23227.48835,25726.97798,18913.09384,17444.21917,7665.6514,10550.86654,9844.13498,15177.49545,2042.443161
LEC LIII Complex Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4486.718087,1170.42896,0,0,0,6287.331062,18041.15998,6314.932206,15997.08822,0,0,4412.752478,16451.63989,8112.004763,8393.478745,0,0,0,0,1549.970562,0
MEC LIII Complex Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10125.7015,1348.857815,9113.203042,5698.41647,11943.98559,2712.29799,0,2467.523212,0,15198.30707,5474.179993,2270.092509,3587.653486,880.8524826,1382.953671,7220.592401,6217.956199,7287.243515,0,0,9253.648531
MEC LIII Bipolar Complex Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2033.0231,325.8739338,2863.228702,1295.365325,2688.727575,897.849819,0,862.9948216,0,9003.569464,1846.47661,689.6506327,1699.460153,554.4914131,326.3117045,3981.030559,1033.622175,6611.574884,0,0,2790.240426
EC LIII Stellate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177.763926,0,0,1198.146565,2274.860145,1355.092804,1160.795324,1733.530884,1155.160267,634.4436659,873.2585331,0,0,0,0,578.0810891,0,0,617.5361357
EC LIII V Bipolar Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5436.885143,0,0,5842.383676,24189.45525,6317.040743,12436.34407,11036.10795,5213.529511,3540.205461,23950.51746,22795.43221,19455.0328,16129.21828,10208.75157,17344.67655,14337.23868,17261.04369,3979.695944
EC LIV VI Deep Multipolar Principal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41790.72458,0,28354.69677,14924.37351,0,0,52872.38912,87760.43377,59641.23101,53038.93425,21638.54084,29858.52132,39895.2933,56257.54106,0
EC LV Deep Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4372.424863,0,0,0,0,0,9157.388272,14554.73002,17984.56198,7634.568456,7786.634975,3228.585362,9789.211074,15248.95493,0
MEC LV Multipolar Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1587.183118,0,0,509.5009709,0,549.6304724,0,4780.347933,1558.522235,336.7608824,1618.668101,1534.748045,1279.979055,9114.136439,5226.221826,6253.279778,4790.628658,0,1071.468317
MEC LV Pyramidal,151026.2976,93817.12132,0,58876.51135,115184.4097,68131.85647,49384.62014,0,107091.4589,67548.92936,8722.595396,3415.920477,37522.61183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2776.845283,0,0,0,0,0,0,0,0,0,0,0,0,0,7287.820683,883.8135548,6811.548011,3886.060828,9015.918818,2034.479268,0,1844.716729,0,15063.14131,4056.948539,1579.234101,6273.280217,5368.495239,6085.033809,29919.95664,25530.4755,20473.35915,16345.02019,0,7168.65425
MEC LV Superficial Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749.6833818,153.7346155,2188.245157,705.9759753,1351.611614,723.2629239,0,692.9781612,0,5185.177767,1973.740391,455.8654892,2027.89845,1128.712474,1234.58883,9869.518801,6254.642574,4703.861231,1529.48452,0,1553.77469
MEC LV VI Pyramidal Polymorphic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3867.021653,3533.356249,0,0,0,20643.69726,0,0
LEC LVI Multipolar Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840.7068499,6730.833602,954.9455305,3781.866508,0,0,454.1538317,5129.430361,6149.430146,5030.030336,0,0,0,0,5326.009458,0
MEC LIII Superficial Trilayered Interneuron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2372.49874,-643.9387919,-1958.989336,-1382.508069,-2324.923514,-453.322852,0,-603.6496857,0,-1952.434496,-855.8579324,-664.3395879,-520.0073196,0,-632.10737,0,-1975.057523,-1374.680935,0,0,-1330.892188
