component,source,receiver,m_ij,abs_m_ij,source_rank,receiver_rank,source_loading_magnitude,receiver_loading_magnitude,depth
1,CA1 Quadrilaminar,CA1 Oriens Alveus,-1.6847263334538,1.6847263334538,1,3,0.4811383960932033,0.3180209311631331,1
1,CA1 Oriens Alveus,CA1 Ivy,-21.113730550814125,21.113730550814125,3,5,0.3180209311631331,0.22676567870060893,2
1,CA1 Ivy,CA1 O LMR,-46.13305832300746,46.13305832300746,5,6,0.22676567870060893,0.16912310008841622,3
1,CA1 O LMR,CA1 Neurogliaform Projecting,-5.379552408881317,5.379552408881317,6,7,0.16912310008841622,0.1689121880166523,4
2,CA3 Pyramidal,CA3c Pyramidal,6774.278639391325,6774.278639391325,2,4,0.33163086443800005,0.28877913389436477,1
