component,source,receiver,m_ij,abs_m_ij,source_rank,receiver_rank,source_loading_magnitude,receiver_loading_magnitude,depth
2,CA3 Trilaminar,CA1 Oriens Bistratified,-6.2006836160911325,6.2006836160911325,2,3,0.39250981912157834,0.27880622216627704,1
3,MEC LV Pyramidal,MEC LV Multipolar Pyramidal,662.4278400096001,662.4278400096001,4,7,0.2620303686190089,0.18260732643973293,1
3,MEC LV Pyramidal,DG MOPP,130.2785056526632,130.2785056526632,4,5,0.2620303686190089,0.22102877882405603,1
3,MEC LV Pyramidal,EC LIV VI Deep Multipolar Principal,120.46903316644207,120.46903316644207,4,6,0.2620303686190089,0.21990714941919914,1
