component,source,receiver,m_ij,abs_m_ij,source_rank,receiver_rank,source_loading_magnitude,receiver_loading_magnitude,depth
1,CA3 Mossy Fiber Associated,DG HIPP,-6.891454900171078,6.891454900171078,1,7,0.35776359441889366,0.19733808768401484,1
1,CA3 Mossy Fiber Associated,CA3 Granule,-1.6813569754428404,1.6813569754428404,1,6,0.35776359441889366,0.19965376788749276,1
2,LEC LIII Multipolar Principal,EC LIII Stellate,407.20715251546153,407.20715251546153,2,5,0.29165660014813166,0.2385419810928822,1
2,EC LIII Stellate,MEC LIII Complex Pyramidal,165.81222907217855,165.81222907217855,5,3,0.2385419810928822,0.28685412810147126,2
