component,source,receiver,m_ij,abs_m_ij,source_rank,receiver_rank,source_loading_magnitude,receiver_loading_magnitude,depth
1,LEC LIII Multipolar Principal,EC LI II Multipolar Pyramidal,539.4518276519966,539.4518276519966,1,3,0.3842947832106779,0.2536746767850301,1
1,EC LI II Multipolar Pyramidal,EC LIII Stellate,29349.85984134182,29349.85984134182,3,6,0.2536746767850301,0.2036994178069595,2
1,EC LI II Multipolar Pyramidal,MEC LII Stellate,24134.5300159425,24134.5300159425,3,4,0.2536746767850301,0.21308269738807303,2
2,CA3 O LM,CA3 Lucidum ORAX,-128.8647277058631,128.8647277058631,2,7,0.2761529031934866,0.19807701249392234,1
