g,spectral_abscissa
0.0,-0.12383672312442084
0.1,-0.13415372981600926
0.2,-0.14449179953110564
0.30000000000000004,-0.15486878087819878
0.4,-0.165302912507707
0.5,-0.17581294309418438
0.6000000000000001,-0.18641829471071625
0.7000000000000001,-0.19713927177011126
0.8,-0.2079973204332175
0.9,-0.21901534677920065
1.0,-0.23021810634292694
1.1,-0.24163268326129872
1.2000000000000002,-0.25328908487302826
1.3,-0.26522098816504713
1.4000000000000001,-0.2774666894602568
1.5,-0.2900703305332535
1.6,-0.30308350658477184
1.7000000000000002,-0.31656740996805827
1.8,-0.3305957372682552
1.9000000000000001,-0.3452586999978513
2.0,-0.36066864969350343
