g,terminal_peak_abs_activity,terminal_auc_abs_activity,terminal_time_to_peak,total_backbone_auc,spectral_abscissa,stable_continuous
0.0,3.1830638981348137e-18,7.135615134242222e-18,0.0,1.1784374742141444,-0.12383672312442084,True
0.1,1.9285287404602683e-06,9.632671419893623e-06,2.5,1.1800073817633392,-0.13415372981600926,True
0.2,3.84338801387679e-06,1.7986386355674287e-05,2.333333333333333,1.1813920763397492,-0.14449179953110564,True
0.30000000000000004,5.749053622568397e-06,2.5443480651608833e-05,2.333333333333333,1.182618951862322,-0.15486878087819878,True
0.4,7.646486849253661e-06,3.345451921765283e-05,2.333333333333333,1.183712732400469,-0.165302912507707,True
0.5,9.537469070642138e-06,4.174537803142249e-05,2.333333333333333,1.1846928407315354,-0.17581294309418438,True
0.6000000000000001,1.1423736135662832e-05,5.0170409320071736e-05,2.333333333333333,1.1855757790979367,-0.18641829471071625,True
0.7000000000000001,1.3306979423104506e-05,5.866690774441394e-05,2.333333333333333,1.1863756151897173,-0.19713927177011126,True
0.8,1.5188846880061918e-05,6.719359707671913e-05,2.333333333333333,1.187104371083335,-0.2079973204332175,True
0.9,1.7070944031069568e-05,7.571671828044014e-05,2.333333333333333,1.1877722278548755,-0.21901534677920065,True
1.0,1.8954834973241436e-05,8.421235224547312e-05,2.333333333333333,1.188387976233823,-0.23021810634292694,True
1.1,2.084204334341054e-05,9.267816108163387e-05,2.333333333333333,1.1889591140751932,-0.24163268326129872,True
1.2000000000000002,2.273405327067428e-05,0.00010109695851024346,2.333333333333333,1.189492148271856,-0.25328908487302826,True
1.3,2.463231030029253e-05,0.00010948695715729605,2.333333333333333,1.189992669146029,-0.26522098816504713,True
1.4000000000000001,2.653822230918451e-05,0.0001178402281894765,2.333333333333333,1.1904654950721036,-0.2774666894602568,True
1.5,2.8453160389654147e-05,0.0001261723629621111,2.333333333333333,1.1909151463404084,-0.2900703305332535,True
1.6,3.0378459722769577e-05,0.0001345004215770935,2.333333333333333,1.1913504405052118,-0.30308350658477184,True
1.7000000000000002,3.231542042563679e-05,0.0001428423128590165,2.333333333333333,1.1917707626665548,-0.31656740996805827,True
1.8,3.4265308391268155e-05,0.00015121631532022387,2.333333333333333,1.1921778965219494,-0.3305957372682552,True
1.9000000000000001,3.62293560996086e-05,0.0001596407103833914,2.333333333333333,1.1925740775826301,-0.3452586999978513,True
2.0,3.820876341083593e-05,0.00016814906829110696,2.333333333333333,1.1929612796437468,-0.36066864969350343,True
