g,G_max,time_of_G_max,eigenvector_condition_number
0.0,41.00302627516669,1.6666666666666665,64763.71789305416
1.0,38.17118814229702,1.5,29057.272670647875
2.0,36.002215426524636,1.3333333333333333,266157.2751805866
