sender,receiver,inhibitory_weight,baseline_terminal_peak,ablated_terminal_peak,delta_terminal_peak
CA3 Spiny Lucidum,DG HICAP,0.001567695965873146,1.8954834973241436e-05,1.895483497342705e-05,1.8561541192951836e-16
DG HIPROM,CA3 Axo Axonic,2.2907588059695414e-05,1.8954834973241436e-05,1.895483497342705e-05,1.8561541192951836e-16
DG Neurogliaform,DG Basket,7.308415868076703e-05,1.8954834973241436e-05,1.895483497342358e-05,1.8214596497756474e-16
DG MOPP,DG Hilar Ectopic Granule,0.00014069774314938075,1.8954834973241436e-05,1.8954834973414908e-05,1.734723475976807e-16
CA2 SP SR,CA2 Basket,0.0005766787383024583,1.8954834973241436e-05,1.8954834973413173e-05,1.717376241217039e-16
DG Neurogliaform,DG Semilunar Granule,8.759248220773654e-06,1.8954834973241436e-05,1.895483497339756e-05,1.5612511283791264e-16
DG HIPP,DG Hilar Ectopic Granule,0.00431400042346183,1.8954834973241436e-05,1.895483497339756e-05,1.5612511283791264e-16
CA1 Neurogliaform Projecting,CA1 Radiatum Giant,3.6967056435522053e-06,1.8954834973241436e-05,1.895483497339409e-05,1.5265566588595902e-16
DG HIPROM,DG HIPP,3.5419165149930715e-06,1.8954834973241436e-05,1.8954834973390622e-05,1.491862189340054e-16
CA1 Neurogliaform Projecting,DG MOPP,1.4734531115655045e-05,1.8954834973241436e-05,1.8954834973366336e-05,1.249000902703301e-16
CA3 Trilaminar,CA1 Quadrilaminar,0.003841814002863451,1.8954834973241436e-05,1.8954834973359397e-05,1.1796119636642288e-16
CA1 Neurogliaform Projecting,DG Semilunar Granule,6.228490967602895e-06,1.8954834973241436e-05,1.8954834973352458e-05,1.1102230246251565e-16
CA3 Spiny Lucidum,DG MOPP,0.00015578498823578358,1.8954834973241436e-05,1.895483497334899e-05,1.0755285551056204e-16
CA3 Mossy Fiber Associated ORDEN,DG HICAP,0.00010086822984919375,1.8954834973241436e-05,1.8954834973336845e-05,9.540979117872439e-17
CA2 Bistratified,CA1 Quadrilaminar,5.5409662980630584e-05,1.8954834973241436e-05,1.8954834973336845e-05,9.540979117872439e-17
CA1 Radiatum,CA1 Radial Trilaminar,0.0003426346210849452,1.8954834973241436e-05,1.895483497333164e-05,9.020562075079397e-17
CA1 Neurogliaform Projecting,CA1 Axo Axonic,9.963816543576417e-05,1.8954834973241436e-05,1.8954834973328172e-05,8.673617379884035e-17
CA3 Mossy Fiber Associated ORDEN,DG Axo Axonic,0.00010037094317553425,1.8954834973241436e-05,1.8954834973288273e-05,4.683753385137379e-17
CA1 Neurogliaform Projecting,CA1 Quadrilaminar,0.00012808205659285175,1.8954834973241436e-05,1.895483497328654e-05,4.5102810375396984e-17
