g,numerical_abscissa
0.0,34.399038381474746
0.1,34.39654219513135
0.2,34.39404772529014
0.30000000000000004,34.39155497145525
0.4,34.38906393313097
0.5,34.38657460982222
0.6000000000000001,34.38408700103434
0.7000000000000001,34.381601106272896
0.8,34.37911692504406
0.9,34.376634456854504
1.0,34.37415370121094
1.1,34.371674657620964
1.2000000000000002,34.369197325592246
1.3,34.36672170463316
1.4000000000000001,34.364247794252165
1.5,34.3617755939584
1.6,34.35930510326136
1.7000000000000002,34.356836321670976
1.8,34.35436924869745
1.9000000000000001,34.351903883851676
2.0,34.34944022664464
