,value
observed_terminal_peak,1.8954834973241436e-05
null_mean_terminal_peak,6.648909365016477e-06
null_sd_terminal_peak,2.371013572758043e-05
z_score,0.5190154012450587
empirical_p_null_ge_observed,0.07920792079207921
empirical_p_null_le_observed,0.9306930693069307
