sender,receiver,inhibitory_weight,backbone_distance,abs_backbone_distance,direction_class,long_range
CA1 Radiatum,CA1 R Receiving Apical Targeting,0.0010384736451460564,-2,2,feedback inhibition,False
CA1 Schaffer Collateral Associated,CA1 R Receiving Apical Targeting,0.010119642047183056,-6,6,feedback inhibition,False
CA1 Trilaminar,CA1 R Receiving Apical Targeting,0.004873181802764565,-7,7,feedback inhibition,False
CA2 Bistratified,CA1 R Receiving Apical Targeting,0.00010298368083393723,-9,9,feedback inhibition,False
CA3 Trilaminar,CA1 R Receiving Apical Targeting,0.0038385215394768912,-25,25,feedback inhibition,False
CA1 Back Projection,CA1 Radial Trilaminar,0.01606452215696947,20,20,feedforward inhibition,False
CA1 Basket,CA1 Radial Trilaminar,0.026361943557310356,19,19,feedforward inhibition,False
CA1 Basket CCK+,CA1 Radial Trilaminar,0.06303878552430389,18,18,feedforward inhibition,False
CA1 Bistratified,CA1 Radial Trilaminar,0.011452003424510773,17,17,feedforward inhibition,False
CA1 Horizontal Basket,CA1 Radial Trilaminar,0.028796213101358426,15,15,feedforward inhibition,False
CA1 Ivy,CA1 Radial Trilaminar,0.008753779403793854,14,14,feedforward inhibition,False
CA1 LMR,CA1 Radial Trilaminar,0.000938025023421124,13,13,feedforward inhibition,False
CA1 Neurogliaform,CA1 Radial Trilaminar,0.0028099500003645056,12,12,feedforward inhibition,False
CA1 Neurogliaform Projecting,CA1 Radial Trilaminar,0.00018134990966511675,11,11,feedforward inhibition,False
CA1 O LM,CA1 Radial Trilaminar,0.0014422530383610642,10,10,feedforward inhibition,False
CA1 O LMR,CA1 Radial Trilaminar,0.0019315240671034647,9,9,feedforward inhibition,False
CA1 OR LM,CA1 Radial Trilaminar,0.0012656932116584382,8,8,feedforward inhibition,False
CA1 Oriens Alveus,CA1 Radial Trilaminar,0.0022971688169774367,7,7,feedforward inhibition,False
CA1 Oriens Bistratified,CA1 Radial Trilaminar,0.001017896339227886,6,6,feedforward inhibition,False
CA1 Perforant Path Associated,CA1 Radial Trilaminar,0.0028842016906439542,5,5,feedforward inhibition,False
CA1 Perforant Path Associated QuadD,CA1 Radial Trilaminar,0.00018251699216740913,4,4,feedforward inhibition,False
CA1 Quadrilaminar,CA1 Radial Trilaminar,7.889404955554918e-05,2,2,feedforward inhibition,False
CA1 R Receiving Apical Targeting,CA1 Radial Trilaminar,0.001742887780088612,1,1,feedforward inhibition,False
CA1 Radiatum,CA1 Radial Trilaminar,0.0003426346210849452,-1,1,feedback inhibition,False
CA1 Recurrent O LM,CA1 Radial Trilaminar,0.0008602488059903654,-3,3,feedback inhibition,False
CA1 SO SO,CA1 Radial Trilaminar,0.0015643758608275792,-4,4,feedback inhibition,False
CA1 Schaffer Collateral Associated,CA1 Radial Trilaminar,0.00882065270040458,-5,5,feedback inhibition,False
CA1 Trilaminar,CA1 Radial Trilaminar,0.008139496417787823,-6,6,feedback inhibition,False
CA2 Bistratified,CA1 Radial Trilaminar,6.480044428636286e-05,-8,8,feedback inhibition,False
CA2 Wide Arbor Basket,CA1 Radial Trilaminar,0.044797667259230435,-11,11,feedback inhibition,False
CA3 Trilaminar,CA1 Radial Trilaminar,0.006056678923653744,-24,24,feedback inhibition,False
CA1 Back Projection,CA1 Radiatum,0.0021864794067911857,21,21,feedforward inhibition,False
CA1 Bistratified,CA1 Radiatum,0.0037685388824161125,18,18,feedforward inhibition,False
CA1 Ivy,CA1 Radiatum,0.0012244579194170312,15,15,feedforward inhibition,False
CA1 LMR,CA1 Radiatum,0.0005042817397819248,14,14,feedforward inhibition,False
CA1 O LMR,CA1 Radiatum,0.0008933319062315839,10,10,feedforward inhibition,False
CA1 Oriens Bistratified,CA1 Radiatum,0.0005757196350657683,7,7,feedforward inhibition,False
CA1 Quadrilaminar,CA1 Radiatum,2.724933533868453e-05,3,3,feedforward inhibition,False
CA1 R Receiving Apical Targeting,CA1 Radiatum,0.0009224128497139218,2,2,feedforward inhibition,False
CA1 Radial Trilaminar,CA1 Radiatum,0.00021278042578135094,1,1,feedforward inhibition,False
CA1 Schaffer Collateral Associated,CA1 Radiatum,0.003019410508064378,-4,4,feedback inhibition,False
CA1 Trilaminar,CA1 Radiatum,0.0014948124299141157,-5,5,feedback inhibition,False
CA2 Bistratified,CA1 Radiatum,2.1300517729188364e-05,-7,7,feedback inhibition,False
CA3 Trilaminar,CA1 Radiatum,0.0010489917084652053,-23,23,feedback inhibition,False
CA1 Axo Axonic,CA1 Radiatum Giant,1.9669180753769094e-05,23,23,feedforward inhibition,False
CA1 Back Projection,CA1 Radiatum Giant,0.00012260488891358164,22,22,feedforward inhibition,False
CA1 Basket,CA1 Radiatum Giant,0.00045077479217806753,21,21,feedforward inhibition,False
CA1 Basket CCK+,CA1 Radiatum Giant,0.0009557193347785923,20,20,feedforward inhibition,False
CA1 Bistratified,CA1 Radiatum Giant,9.012706875838188e-05,19,19,feedforward inhibition,False
CA1 Horizontal Axo Axonic,CA1 Radiatum Giant,1.0233721225223637e-05,18,18,feedforward inhibition,False
CA1 Horizontal Basket,CA1 Radiatum Giant,0.0003412333773174843,17,17,feedforward inhibition,False
CA1 Ivy,CA1 Radiatum Giant,3.13432834737257e-05,16,16,feedforward inhibition,False
CA1 LMR,CA1 Radiatum Giant,1.7436274257296568e-05,15,15,feedforward inhibition,False
CA1 Neurogliaform,CA1 Radiatum Giant,5.1830805756185085e-05,14,14,feedforward inhibition,False
CA1 Neurogliaform Projecting,CA1 Radiatum Giant,3.6967056435522053e-06,13,13,feedforward inhibition,False
CA1 O LM,CA1 Radiatum Giant,2.761372703255473e-05,12,12,feedforward inhibition,False
CA1 O LMR,CA1 Radiatum Giant,4.2099947135074814e-05,11,11,feedforward inhibition,False
CA1 OR LM,CA1 Radiatum Giant,2.4899864488788975e-05,10,10,feedforward inhibition,False
CA1 Perforant Path Associated,CA1 Radiatum Giant,6.575188320691803e-05,7,7,feedforward inhibition,False
CA1 R Receiving Apical Targeting,CA1 Radiatum Giant,3.830909287221028e-05,3,3,feedforward inhibition,False
CA1 Radial Trilaminar,CA1 Radiatum Giant,5.195740862842607e-06,2,2,feedforward inhibition,False
CA1 Radiatum,CA1 Radiatum Giant,7.035975121273674e-06,1,1,feedforward inhibition,False
CA1 Recurrent O LM,CA1 Radiatum Giant,1.0347788710687331e-05,-1,1,feedback inhibition,False
CA1 Schaffer Collateral Associated,CA1 Radiatum Giant,7.101606421904496e-05,-3,3,feedback inhibition,False
CA1 Trilaminar,CA1 Radiatum Giant,3.349651052651995e-05,-4,4,feedback inhibition,False
CA2 Bistratified,CA1 Radiatum Giant,5.611695144350945e-07,-6,6,feedback inhibition,False
CA2 Wide Arbor Basket,CA1 Radiatum Giant,0.0007373593444070684,-9,9,feedback inhibition,False
CA3 Trilaminar,CA1 Radiatum Giant,2.397271355512763e-05,-22,22,feedback inhibition,False
CA1 Back Projection,CA1 Recurrent O LM,0.0008928058430903499,23,23,feedforward inhibition,False
CA1 Bistratified,CA1 Recurrent O LM,0.0009217073998375511,20,20,feedforward inhibition,False
CA1 Ivy,CA1 Recurrent O LM,0.0008601290197378719,17,17,feedforward inhibition,False
CA1 Oriens Alveus,CA1 Recurrent O LM,0.0004480430943044644,10,10,feedforward inhibition,False
CA1 Oriens Bistratified,CA1 Recurrent O LM,0.00016154224999667636,9,9,feedforward inhibition,False
CA1 Quadrilaminar,CA1 Recurrent O LM,4.637002741721254e-06,5,5,feedforward inhibition,False
CA1 Radial Trilaminar,CA1 Recurrent O LM,8.905460509232847e-05,3,3,feedforward inhibition,False
CA1 SO SO,CA1 Recurrent O LM,0.00042737517492266963,-1,1,feedback inhibition,False
CA1 Schaffer Collateral Associated,CA1 Recurrent O LM,0.000540237779181965,-2,2,feedback inhibition,False
CA1 Trilaminar,CA1 Recurrent O LM,0.00045139389886695647,-3,3,feedback inhibition,False
CA2 Bistratified,CA1 Recurrent O LM,2.1259497732300905e-05,-5,5,feedback inhibition,False
CA3 Trilaminar,CA1 Recurrent O LM,0.0007243875637462539,-21,21,feedback inhibition,False
CA1 Back Projection,CA1 SO SO,0.005559776873711493,24,24,feedforward inhibition,False
CA1 Bistratified,CA1 SO SO,0.005567979088849846,21,21,feedforward inhibition,False
CA1 Ivy,CA1 SO SO,0.005410827922231133,18,18,feedforward inhibition,False
CA1 Oriens Alveus,CA1 SO SO,0.0027940660606735647,11,11,feedforward inhibition,False
CA1 Oriens Bistratified,CA1 SO SO,0.000913082800579619,10,10,feedforward inhibition,False
CA1 Quadrilaminar,CA1 SO SO,2.6587972808461588e-05,6,6,feedforward inhibition,False
CA1 Radial Trilaminar,CA1 SO SO,0.00053034944218901,4,4,feedforward inhibition,False
CA1 Recurrent O LM,CA1 SO SO,0.00041810772716035594,1,1,feedforward inhibition,False
CA1 Schaffer Collateral Associated,CA1 SO SO,0.002823601528180905,-1,1,feedback inhibition,False
CA1 Trilaminar,CA1 SO SO,0.0029163730757630364,-2,2,feedback inhibition,False
CA2 Bistratified,CA1 SO SO,0.00011728904511475061,-4,4,feedback inhibition,False
CA3 Trilaminar,CA1 SO SO,0.004254753929225061,-20,20,feedback inhibition,False
CA1 Back Projection,CA1 Schaffer Collateral Associated,0.0016577063006481,25,25,feedforward inhibition,False
CA1 Bistratified,CA1 Schaffer Collateral Associated,0.0013569641959307371,22,22,feedforward inhibition,False
CA1 Ivy,CA1 Schaffer Collateral Associated,0.0004896459912514625,19,19,feedforward inhibition,False
CA1 LMR,CA1 Schaffer Collateral Associated,0.00025009667553830406,18,18,feedforward inhibition,False
CA1 Neurogliaform,CA1 Schaffer Collateral Associated,0.0006192269592359043,17,17,feedforward inhibition,False
CA1 Neurogliaform Projecting,CA1 Schaffer Collateral Associated,4.194167153392967e-05,16,16,feedforward inhibition,False
CA1 O LM,CA1 Schaffer Collateral Associated,0.00032759874577693344,15,15,feedforward inhibition,False
CA1 O LMR,CA1 Schaffer Collateral Associated,0.000598275594731512,14,14,feedforward inhibition,False
CA1 OR LM,CA1 Schaffer Collateral Associated,0.00024778106342801065,13,13,feedforward inhibition,False
CA1 Oriens Bistratified,CA1 Schaffer Collateral Associated,0.00022410275436669165,11,11,feedforward inhibition,False
CA1 Perforant Path Associated,CA1 Schaffer Collateral Associated,0.0007233862779788351,10,10,feedforward inhibition,False
CA1 Perforant Path Associated QuadD,CA1 Schaffer Collateral Associated,4.398971260125112e-05,9,9,feedforward inhibition,False
CA1 Quadrilaminar,CA1 Schaffer Collateral Associated,1.4500635216070824e-05,7,7,feedforward inhibition,False
CA1 R Receiving Apical Targeting,CA1 Schaffer Collateral Associated,0.00048668015292643857,6,6,feedforward inhibition,False
CA1 Radial Trilaminar,CA1 Schaffer Collateral Associated,7.460877832255811e-05,5,5,feedforward inhibition,False
CA1 Radiatum,CA1 Schaffer Collateral Associated,0.00010241917609755414,4,4,feedforward inhibition,False
CA1 Recurrent O LM,CA1 Schaffer Collateral Associated,0.0001223936581597958,2,2,feedforward inhibition,False
CA1 Trilaminar,CA1 Schaffer Collateral Associated,0.0005444783996433987,-1,1,feedback inhibition,False
CA2 Bistratified,CA1 Schaffer Collateral Associated,8.827977943209238e-06,-3,3,feedback inhibition,False
CA3 Trilaminar,CA1 Schaffer Collateral Associated,0.00042275853280073774,-19,19,feedback inhibition,False
CA1 Back Projection,CA1 Trilaminar,0.02330292929866251,26,26,feedforward inhibition,False
CA1 Bistratified,CA1 Trilaminar,0.023303042908511186,23,23,feedforward inhibition,False
CA1 Ivy,CA1 Trilaminar,0.021327339539489988,20,20,feedforward inhibition,False
CA1 Oriens Alveus,CA1 Trilaminar,0.010678840269130465,13,13,feedforward inhibition,False
CA1 Oriens Bistratified,CA1 Trilaminar,0.003613340457264311,12,12,feedforward inhibition,False
CA1 Quadrilaminar,CA1 Trilaminar,0.00010927151498881966,8,8,feedforward inhibition,False
CA1 Radial Trilaminar,CA1 Trilaminar,0.0023852323474381153,6,6,feedforward inhibition,False
CA1 Recurrent O LM,CA1 Trilaminar,0.001682722474062681,3,3,feedforward inhibition,False
CA1 SO SO,CA1 Trilaminar,0.012079683418577868,2,2,feedforward inhibition,False
CA1 Schaffer Collateral Associated,CA1 Trilaminar,0.012720023535105722,1,1,feedforward inhibition,False
CA2 Bistratified,CA1 Trilaminar,0.00042684495670684304,-2,2,feedback inhibition,False
CA3 Trilaminar,CA1 Trilaminar,0.01791993806103936,-18,18,feedback inhibition,False
CA2 Bistratified,CA2 Basket,0.002581224458056684,-1,1,feedback inhibition,False
CA2 SP SR,CA2 Basket,0.0005766787383024583,-3,3,feedback inhibition,False
CA2 Wide Arbor Basket,CA2 Basket,0.021269119683946687,-4,4,feedback inhibition,False
CA2 Basket,CA2 Bistratified,0.035856281941907105,1,1,feedforward inhibition,False
CA2 SP SR,CA2 Bistratified,0.0015100270054353676,-2,2,feedback inhibition,False
CA2 Wide Arbor Basket,CA2 Bistratified,0.03942104617143138,-3,3,feedback inhibition,False
CA2 Basket,CA2 Pyramidal,0.002835384051315854,2,2,feedforward inhibition,False
CA2 Bistratified,CA2 Pyramidal,0.00037225922248018906,1,1,feedforward inhibition,False
CA2 SP SR,CA2 Pyramidal,7.981628304483892e-05,-1,1,feedback inhibition,False
CA2 Wide Arbor Basket,CA2 Pyramidal,0.0030622195964650455,-2,2,feedback inhibition,False
CA2 Basket,CA2 SP SR,0.0027919439490905955,3,3,feedforward inhibition,False
CA2 Bistratified,CA2 SP SR,0.00036096666724442123,2,2,feedforward inhibition,False
CA2 Wide Arbor Basket,CA2 SP SR,0.0031119862078589438,-1,1,feedback inhibition,False
CA1 Back Projection,CA2 Wide Arbor Basket,0.0009319482659068856,31,31,feedforward inhibition,False
CA1 Bistratified,CA2 Wide Arbor Basket,0.0002788463346051118,28,28,feedforward inhibition,False
CA1 Ivy,CA2 Wide Arbor Basket,0.0005434582338815855,25,25,feedforward inhibition,False
CA1 Oriens Alveus,CA2 Wide Arbor Basket,0.0001823593373938282,18,18,feedforward inhibition,False
CA1 Quadrilaminar,CA2 Wide Arbor Basket,8.897583864905237e-07,13,13,feedforward inhibition,False
CA1 Radial Trilaminar,CA2 Wide Arbor Basket,2.9737904522935854e-05,11,11,feedforward inhibition,False
CA1 Schaffer Collateral Associated,CA2 Wide Arbor Basket,0.00054308991260671,6,6,feedforward inhibition,False
CA1 Trilaminar,CA2 Wide Arbor Basket,0.0007937620748137537,5,5,feedforward inhibition,False
CA2 Basket,CA2 Wide Arbor Basket,0.012126987603283035,4,4,feedforward inhibition,False
CA2 Bistratified,CA2 Wide Arbor Basket,0.0014927833237062768,3,3,feedforward inhibition,False
CA2 SP SR,CA2 Wide Arbor Basket,0.00029073163346396766,1,1,feedforward inhibition,False
CA3 Lucidum ORAX,CA2 Wide Arbor Basket,2.194008259759889e-06,-7,7,feedback inhibition,False
CA3 Mossy Fiber Associated,CA2 Wide Arbor Basket,0.0002075646303776132,-8,8,feedback inhibition,False
CA3 Mossy Fiber Associated ORDEN,CA2 Wide Arbor Basket,6.490404359822475e-05,-9,9,feedback inhibition,False
CA3 Trilaminar,CA2 Wide Arbor Basket,0.0004687329679042174,-13,13,feedback inhibition,False
DG HIPROM,CA2 Wide Arbor Basket,1.947866984157337e-06,-21,21,feedback inhibition,False
CA1 Back Projection,CA3 Axo Axonic,0.017234202109147057,32,32,feedforward inhibition,False
CA2 Wide Arbor Basket,CA3 Axo Axonic,0.021769719098761006,1,1,feedforward inhibition,False
CA3 Basket,CA3 Axo Axonic,0.02548732131243887,-1,1,feedback inhibition,False
CA3 Basket CCK+,CA3 Axo Axonic,0.06941896722211868,-2,2,feedback inhibition,False
CA3 LMR Targeting,CA3 Axo Axonic,0.011804643691023126,-5,5,feedback inhibition,False
CA3 Lucidum ORAX,CA3 Axo Axonic,2.3969636649933168e-05,-6,6,feedback inhibition,False
CA3 Mossy Fiber Associated,CA3 Axo Axonic,0.0011305710779387838,-7,7,feedback inhibition,False
CA3 Mossy Fiber Associated ORDEN,CA3 Axo Axonic,0.00042156570320835563,-8,8,feedback inhibition,False
CA3 O LM,CA3 Axo Axonic,0.013912518941546938,-9,9,feedback inhibition,False
CA3 Spiny Lucidum,CA3 Axo Axonic,0.0005877040946144521,-11,11,feedback inhibition,False
CA3 Trilaminar,CA3 Axo Axonic,0.00503741574715498,-12,12,feedback inhibition,False
DG HIPROM,CA3 Axo Axonic,2.2907588059695414e-05,-20,20,feedback inhibition,False
CA1 Back Projection,CA3 Basket,0.037141701445267655,33,33,feedforward inhibition,False
CA2 Wide Arbor Basket,CA3 Basket,0.047323472736276656,2,2,feedforward inhibition,False
CA3 Basket CCK+,CA3 Basket,0.15081862219481063,-1,1,feedback inhibition,False
CA3 LMR Targeting,CA3 Basket,0.030178474504339005,-4,4,feedback inhibition,False
CA3 Lucidum ORAX,CA3 Basket,5.326977676971301e-05,-5,5,feedback inhibition,False
CA3 Mossy Fiber Associated,CA3 Basket,0.002618831576799347,-6,6,feedback inhibition,False
CA3 Mossy Fiber Associated ORDEN,CA3 Basket,0.0009274848813895514,-7,7,feedback inhibition,False
CA3 O LM,CA3 Basket,0.032679360886668216,-8,8,feedback inhibition,False
CA3 Spiny Lucidum,CA3 Basket,0.0014843803101604154,-10,10,feedback inhibition,False
CA3 Trilaminar,CA3 Basket,0.011242801571299645,-11,11,feedback inhibition,False
DG HIPROM,CA3 Basket,4.566578042897871e-05,-19,19,feedback inhibition,False
CA1 Back Projection,CA3 Basket CCK+,0.009885532175319683,34,34,feedforward inhibition,False
CA2 Wide Arbor Basket,CA3 Basket CCK+,0.02417364145501139,3,3,feedforward inhibition,False
CA3 Basket,CA3 Basket CCK+,0.0313875142145282,1,1,feedforward inhibition,False
CA3 LMR Targeting,CA3 Basket CCK+,0.011700398961038912,-3,3,feedback inhibition,False
CA3 Lucidum ORAX,CA3 Basket CCK+,1.4540654607533586e-05,-4,4,feedback inhibition,False
CA3 Mossy Fiber Associated,CA3 Basket CCK+,0.0008817492922913403,-5,5,feedback inhibition,False
CA3 Mossy Fiber Associated ORDEN,CA3 Basket CCK+,0.00025067118122994734,-6,6,feedback inhibition,False
CA3 O LM,CA3 Basket CCK+,0.012664995311462958,-7,7,feedback inhibition,False
CA3 Spiny Lucidum,CA3 Basket CCK+,0.0005451656908581486,-9,9,feedback inhibition,False
CA3 Trilaminar,CA3 Basket CCK+,0.0039584735550472604,-10,10,feedback inhibition,False
DG HIPROM,CA3 Basket CCK+,1.2604860029142647e-05,-18,18,feedback inhibition,False
CA1 Back Projection,CA3 Granule,0.004056683756805976,35,35,feedforward inhibition,False
CA3 LMR Targeting,CA3 Granule,0.008806155274614013,-2,2,feedback inhibition,False
CA3 Lucidum ORAX,CA3 Granule,1.5530303784073802e-06,-3,3,feedback inhibition,False
CA3 Mossy Fiber Associated,CA3 Granule,7.023076059787762e-05,-4,4,feedback inhibition,False
CA3 O LM,CA3 Granule,0.008623954534074725,-6,6,feedback inhibition,False
CA3 Spiny Lucidum,CA3 Granule,0.0001393591382395009,-8,8,feedback inhibition,False
CA3 Trilaminar,CA3 Granule,0.0006210543423464501,-9,9,feedback inhibition,False
DG HIPROM,CA3 Granule,5.602674119634337e-07,-17,17,feedback inhibition,False
CA1 Back Projection,CA3 Horizontal Axo Axonic,0.006664135248684147,36,36,feedforward inhibition,False
CA3 Lucidum ORAX,CA3 Horizontal Axo Axonic,8.837682523662877e-06,-2,2,feedback inhibition,False
CA3 O LM,CA3 Horizontal Axo Axonic,0.002547450397410271,-5,5,feedback inhibition,False
CA3 Trilaminar,CA3 Horizontal Axo Axonic,0.0025676979240438986,-8,8,feedback inhibition,False
DG HIPROM,CA3 Horizontal Axo Axonic,7.7947221454459e-06,-16,16,feedback inhibition,False
CA1 Back Projection,CA3 LMR Targeting,0.007608809619573182,37,37,feedforward inhibition,False
CA3 Lucidum ORAX,CA3 LMR Targeting,4.343455122388331e-06,-1,1,feedback inhibition,False
CA3 Mossy Fiber Associated,CA3 LMR Targeting,0.00032338078386491564,-2,2,feedback inhibition,False
CA3 Mossy Fiber Associated ORDEN,CA3 LMR Targeting,9.271540756715319e-05,-3,3,feedback inhibition,False
CA3 O LM,CA3 LMR Targeting,0.012559222155962594,-4,4,feedback inhibition,False
CA3 Spiny Lucidum,CA3 LMR Targeting,0.00020535312935295792,-6,6,feedback inhibition,False
CA3 Trilaminar,CA3 LMR Targeting,0.0011419696835130964,-7,7,feedback inhibition,False
DG HIPROM,CA3 LMR Targeting,3.998756521270463e-06,-15,15,feedback inhibition,False
CA1 Back Projection,CA3 Lucidum ORAX,0.02303268772030386,38,38,feedforward inhibition,False
CA3 LMR Targeting,CA3 Lucidum ORAX,0.006036061335264538,1,1,feedforward inhibition,False
CA3 Mossy Fiber Associated,CA3 Lucidum ORAX,0.003258353695021482,-1,1,feedback inhibition,False
CA3 Mossy Fiber Associated ORDEN,CA3 Lucidum ORAX,0.000732336775628898,-2,2,feedback inhibition,False
CA3 O LM,CA3 Lucidum ORAX,0.005382716444636912,-3,3,feedback inhibition,False
CA3 Spiny Lucidum,CA3 Lucidum ORAX,0.0032599366411466043,-5,5,feedback inhibition,False
CA3 Trilaminar,CA3 Lucidum ORAX,0.01219024289211027,-6,6,feedback inhibition,False
DG HIPROM,CA3 Lucidum ORAX,3.384605183780777e-05,-14,14,feedback inhibition,False
CA1 Back Projection,CA3 Mossy Fiber Associated,0.009358479177041074,39,39,feedforward inhibition,False
CA3 LMR Targeting,CA3 Mossy Fiber Associated,0.0018903450418637452,2,2,feedforward inhibition,False
CA3 Lucidum ORAX,CA3 Mossy Fiber Associated,2.5813769690959048e-05,1,1,feedforward inhibition,False
CA3 Mossy Fiber Associated ORDEN,CA3 Mossy Fiber Associated,0.0006304672024336445,-1,1,feedback inhibition,False
CA3 O LM,CA3 Mossy Fiber Associated,0.0018761907095270977,-2,2,feedback inhibition,False
CA3 Spiny Lucidum,CA3 Mossy Fiber Associated,0.0008430167654305238,-4,4,feedback inhibition,False
CA3 Trilaminar,CA3 Mossy Fiber Associated,0.005697657978819523,-5,5,feedback inhibition,False
DG HIPROM,CA3 Mossy Fiber Associated,2.267958043139749e-05,-13,13,feedback inhibition,False
CA1 Back Projection,CA3 Mossy Fiber Associated ORDEN,0.01990639393507444,40,40,feedforward inhibition,False
CA2 Wide Arbor Basket,CA3 Mossy Fiber Associated ORDEN,0.040114941182877666,9,9,feedforward inhibition,False
CA3 Basket,CA3 Mossy Fiber Associated ORDEN,0.049111142699177435,7,7,feedforward inhibition,False
CA3 Basket CCK+,CA3 Mossy Fiber Associated ORDEN,0.11862607539825884,6,6,feedforward inhibition,False
CA3 LMR Targeting,CA3 Mossy Fiber Associated ORDEN,0.0019526997805293367,3,3,feedforward inhibition,False
CA3 Lucidum ORAX,CA3 Mossy Fiber Associated ORDEN,4.478413478272979e-05,2,2,feedforward inhibition,False
CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated ORDEN,0.0024150719427068657,1,1,feedforward inhibition,False
CA3 O LM,CA3 Mossy Fiber Associated ORDEN,0.00467548861311576,-1,1,feedback inhibition,False
CA3 Spiny Lucidum,CA3 Mossy Fiber Associated ORDEN,0.0010507799926653674,-3,3,feedback inhibition,False
CA3 Trilaminar,CA3 Mossy Fiber Associated ORDEN,0.011564451991639961,-4,4,feedback inhibition,False
DG HIPROM,CA3 Mossy Fiber Associated ORDEN,4.056454760878829e-05,-12,12,feedback inhibition,False
CA1 Back Projection,CA3 O LM,0.016962773079905714,41,41,feedforward inhibition,False
CA3 Lucidum ORAX,CA3 O LM,2.4064620172418e-05,3,3,feedforward inhibition,False
CA3 Trilaminar,CA3 O LM,0.0064306911443360905,-3,3,feedback inhibition,False
DG HIPROM,CA3 O LM,2.2733953150543814e-05,-11,11,feedback inhibition,False
CA1 Back Projection,CA3 Pyramidal,0.004907289926598387,42,42,feedforward inhibition,True
CA2 Wide Arbor Basket,CA3 Pyramidal,0.005475645247484226,11,11,feedforward inhibition,False
CA3 Axo Axonic,CA3 Pyramidal,2.5776906842050422e-05,10,10,feedforward inhibition,False
CA3 Basket,CA3 Pyramidal,0.007035784351889951,9,9,feedforward inhibition,False
CA3 Basket CCK+,CA3 Pyramidal,0.017965054413297713,8,8,feedforward inhibition,False
CA3 Horizontal Axo Axonic,CA3 Pyramidal,0.00018678000266850674,6,6,feedforward inhibition,False
CA3 LMR Targeting,CA3 Pyramidal,0.003254108465132922,5,5,feedforward inhibition,False
CA3 Lucidum ORAX,CA3 Pyramidal,5.007171161227002e-06,4,4,feedforward inhibition,False
CA3 Mossy Fiber Associated,CA3 Pyramidal,0.00025781276295511424,3,3,feedforward inhibition,False
CA3 Mossy Fiber Associated ORDEN,CA3 Pyramidal,7.44790969420582e-05,2,2,feedforward inhibition,False
CA3 O LM,CA3 Pyramidal,0.0040879190609137625,1,1,feedforward inhibition,False
CA3 Spiny Lucidum,CA3 Pyramidal,0.00012562659058727374,-1,1,feedback inhibition,False
CA3 Trilaminar,CA3 Pyramidal,0.0010976654005870152,-2,2,feedback inhibition,False
DG HIPROM,CA3 Pyramidal,4.341143791227043e-06,-10,10,feedback inhibition,False
CA1 Back Projection,CA3 Spiny Lucidum,0.0011106477472186728,43,43,feedforward inhibition,True
CA3 Lucidum ORAX,CA3 Spiny Lucidum,5.595787686924555e-06,5,5,feedforward inhibition,False
CA3 Mossy Fiber Associated,CA3 Spiny Lucidum,0.00044651316241292144,4,4,feedforward inhibition,False
CA3 Mossy Fiber Associated ORDEN,CA3 Spiny Lucidum,0.00019974038478606158,3,3,feedforward inhibition,False
CA3 Trilaminar,CA3 Spiny Lucidum,0.0010301914101757744,-1,1,feedback inhibition,False
DG HIPROM,CA3 Spiny Lucidum,7.194640581617172e-06,-9,9,feedback inhibition,False
CA1 Back Projection,CA3 Trilaminar,0.0007690056229170126,44,44,feedforward inhibition,True
CA3 Lucidum ORAX,CA3 Trilaminar,1.6011756213587532e-06,6,6,feedforward inhibition,False
CA3 O LM,CA3 Trilaminar,0.0004333680070326539,3,3,feedforward inhibition,False
DG HIPROM,CA3 Trilaminar,1.5038468236317725e-06,-8,8,feedback inhibition,False
CA1 Back Projection,CA3c Pyramidal,0.003760744731228218,45,45,feedforward inhibition,True
CA2 Wide Arbor Basket,CA3c Pyramidal,0.006023075945546778,14,14,feedforward inhibition,False
CA3 Axo Axonic,CA3c Pyramidal,2.6330009063431585e-05,13,13,feedforward inhibition,False
CA3 Basket,CA3c Pyramidal,0.008818968661044695,12,12,feedforward inhibition,False
CA3 Basket CCK+,CA3c Pyramidal,0.01811458588939647,11,11,feedforward inhibition,False
CA3 Horizontal Axo Axonic,CA3c Pyramidal,0.00021540273150850731,9,9,feedforward inhibition,False
CA3 LMR Targeting,CA3c Pyramidal,0.00031513946370895083,8,8,feedforward inhibition,False
CA3 Lucidum ORAX,CA3c Pyramidal,6.2513984086576145e-06,7,7,feedforward inhibition,False
CA3 Mossy Fiber Associated,CA3c Pyramidal,0.0003051558074031396,6,6,feedforward inhibition,False
CA3 Mossy Fiber Associated ORDEN,CA3c Pyramidal,0.0001067181657538173,5,5,feedforward inhibition,False
CA3 O LM,CA3c Pyramidal,0.0008652214539317154,4,4,feedforward inhibition,False
CA3 Spiny Lucidum,CA3c Pyramidal,0.00014854480972289726,2,2,feedforward inhibition,False
CA3 Trilaminar,CA3c Pyramidal,0.0012712429864322897,1,1,feedforward inhibition,False
DG HIPROM,CA3c Pyramidal,5.592027684377599e-06,-7,7,feedback inhibition,False
CA1 Back Projection,DG AIPRIM,0.012490196443687096,46,46,feedforward inhibition,True
CA1 Neurogliaform Projecting,DG AIPRIM,0.00018010344848924556,37,37,feedforward inhibition,False
CA1 Perforant Path Associated,DG AIPRIM,0.001807321528038795,31,31,feedforward inhibition,False
