condition,spectral_radius,max_real_eigenvalue,stability_margin_1_minus_max_real,stable_by_max_real_lt_1,near_marginal_by_max_real,e_subnetwork_spectral_radius,e_subnetwork_max_real_eigenvalue,e_subnetwork_stability_margin_1_minus_max_real,e_subnetwork_unstable_by_max_real_gt_1,dominant_eigenvalue_real,dominant_eigenvalue_imag,response_solver,condition_number_I_minus_scaled_J,mean_E_to_E_input,mean_I_to_E_input,mean_E_to_I_input,mean_I_to_I_input,paradoxical_I_response,isn_plausible_stable_full_unstable_E_negative_I_response,matrix,removed_block,receiver_group_removed,sender_group_removed,n_removed_entries,n_removed_nonzero_edges,removed_weight_sum,removed_abs_weight_sum,delta_spectral_radius,delta_max_real_eigenvalue,delta_stability_margin_1_minus_max_real,delta_e_subnetwork_max_real_eigenvalue,delta_e_subnetwork_stability_margin_1_minus_max_real,delta_mean_I_to_I_input
original,1.0337424834576134,1.0337424834576134,-0.03374248345761344,False,False,1.112642809563327,1.112642809563327,-0.11264280956332695,True,1.0337424834576134,0.0,inverse,1364.3160372497825,-31.64976121603751,-142.87015510353277,0.45818979097473883,2.874637232212931,False,False,Jeff,none,none,none,,,,,0.0,0.0,0.0,0.0,0.0,0.0
remove_E<-E,0.3170398765673501,4.900399340515817e-18,1.0,True,False,0.0,0.0,1.0,False,-0.12009877027829272,0.293411943709663,inverse,40.58672491660918,0.9250291661916039,4.175673223787818,-0.013391536113330962,0.7458724404311128,False,False,Jeff,E<-E,E,E,1024.0,1024.0,35.604569906026434,35.604569906026434,-0.7167026068902633,-1.0337424834576134,1.0337424834576134,-1.112642809563327,1.112642809563327,-2.128764791781818
remove_E<-I,1.1126428095633263,1.1126428095633263,-0.11264280956332628,False,False,1.112642809563327,1.112642809563327,-0.11264280956332695,True,1.1126428095633263,0.0,inverse,382.68087548304464,-8.877619475904613,-40.0744530998212,-2.0644957063212372e-17,0.806323160059818,False,False,Jeff,E<-I,E,I,1696.0,1696.0,-0.5745341058303505,0.5745341058303505,0.07890032610571285,0.07890032610571285,-0.07890032610571285,0.0,0.0,-2.068314072153113
remove_I<-E,1.1126428095633274,1.1126428095633274,-0.1126428095633274,False,False,1.112642809563327,1.112642809563327,-0.11264280956332695,True,1.1126428095633274,0.0,inverse,11.011406620715615,-8.877619475904613,0.0,0.1285202306662856,0.8063231600598181,False,False,Jeff,I<-E,I,E,1696.0,1696.0,296.713846583254,296.713846583254,0.07890032610571396,0.07890032610571396,-0.07890032610571396,0.0,0.0,-2.068314072153113
remove_I<-I,1.0134638575077293,1.0134638575077293,-0.013463857507729271,False,False,1.112642809563327,1.112642809563327,-0.11264280956332695,True,1.0134638575077293,0.0,inverse,4363.492309816488,-82.45024837138882,-461.58736501923477,1.4803274913608182,9.287427625747302,False,False,Jeff,I<-I,I,I,2809.0,2809.0,-12.730469649499028,12.730469649499028,-0.020278625949884166,-0.020278625949884166,0.020278625949884166,0.0,0.0,6.412790393534371
