motif,composition,count,signed_score_sum,abs_score_sum,mean_score,mean_abs_score,max_abs_score
chain,EII,9213,-44.84704259107368,44.911820431442166,-0.004867800129281849,0.004874831263588643,1.085374676594018
chain,III,9205,0.24430699215051904,0.24430699215051904,2.654068355790538e-05,2.654068355790538e-05,0.006178205614994952
chain,EEI,5395,255.55175713150444,267.3123785791425,0.047368258967841415,0.0495481702649013,10.045140911067879
chain,EEE,4224,26.86615788899447,26.86615788899447,0.006360359348720281,0.006360359348720281,1.6900251856305897
convergent,EII,5849,-50.73782351464609,50.74517001578956,-0.008674615064907862,0.008675871091774588,1.778609488751928
convergent,III,5360,0.2281768795467138,0.2281768795467138,4.25703133482675e-05,4.25703133482675e-05,0.005953315865021035
convergent,EEI,2533,2107.446477983774,2108.4997890610475,0.8319962408147549,0.832412076218337,296.3024186851019
convergent,EEE,2137,10.65555482256552,10.65555482256552,0.004986221255295049,0.004986221255295049,1.378350727676203
divergent,III,6634,0.3389974311424745,0.3389974311424745,5.11000046943736e-05,5.11000046943736e-05,0.01492321792631823
divergent,EII,6518,25380.869063814494,25380.869063814494,3.893965796841745,3.893965796841745,1065.2843894001826
divergent,EEI,3698,1484.0693451902157,1484.0693451902157,0.401316750997895,0.401316750997895,117.86906175171637
divergent,EEE,2435,56.644317112451816,56.644317112451816,0.023262553228932985,0.023262553228932985,3.0430638829064254
reciprocal,II,174,0.011270404983669753,0.011270404983669753,6.477244243488363e-05,6.477244243488363e-05,0.003948564539594391
reciprocal,EE,124,0.4973684780379368,0.4973684780379368,0.004011036113209168,0.004011036113209168,0.177058603292081
reciprocal,EI,124,-0.25819466226204707,0.25819466226204707,-0.002082215018242315,0.002082215018242315,0.07572092702595021
