rank,fro_error,relative_fro_error,variance_explained,spectral_radius,max_real_eigenvalue
1,49.951983827442554,0.6148363875529901,0.6219762165407894,0.30240473398136086,0.30240473398136086
2,21.109167199929264,0.259823196417804,0.9324919066032352,0.4000693909933378,0.4000693909933378
3,13.617637772072445,0.16761334732388408,0.971905765798883,0.8090720931847755,0.8090720931847755
5,3.150062328366588,0.03877269317731585,0.9984966782637777,0.8593167380262854,0.8593167380262854
10,0.4384269562874516,0.005396399208904661,0.9999708788755781,0.9084259096676586,0.9084259096676586
