motif,motif_block,count,signed_score_sum,abs_score_sum,mean_score,mean_abs_score,max_abs_score
chain,I->I->I,9205,0.24430699215051904,0.24430699215051904,2.654068355790538e-05,2.654068355790538e-05,0.006178205614994952
chain,E->E->E,4224,26.86615788899447,26.86615788899447,0.006360359348720281,0.006360359348720281,1.6900251856305897
chain,E->I->I,4150,-31.067132434521803,31.067132434521803,-0.007486056008318507,0.007486056008318507,1.085374676594018
chain,I->E->I,3258,-13.812299076736121,13.812299076736121,-0.004239502479047305,0.004239502479047305,0.7682639801241109
chain,E->E->I,2940,261.43206785532345,261.43206785532345,0.08892247205963383,0.08892247205963383,10.045140911067879
chain,I->I->E,1805,0.03238892018424184,0.03238892018424184,1.794400010207304e-05,1.794400010207304e-05,0.001493933218510279
chain,I->E->E,1238,-0.5643761762749024,0.5643761762749024,-0.0004558773637115529,0.0004558773637115529,0.054031337606506656
chain,E->I->E,1217,-5.315934547544112,5.315934547544112,-0.004368064541942574,0.004368064541942574,2.131309285989189
convergent,"I,I->I",5360,0.2281768795467138,0.2281768795467138,4.25703133482675e-05,4.25703133482675e-05,0.005953315865021035
convergent,"I,E->I",3911,-43.69166971835746,43.69166971835746,-0.011171482924663119,0.011171482924663119,1.778609488751928
convergent,"E,E->E",2137,10.65555482256552,10.65555482256552,0.004986221255295049,0.004986221255295049,1.378350727676203
convergent,"E,E->I",1173,2107.973133522411,2107.973133522411,1.7970785452023965,1.7970785452023965,296.3024186851019
convergent,"I,I->E",1147,0.0036732505717364523,0.0036732505717364523,3.2024852412697927e-06,3.2024852412697927e-06,0.00013325194569885384
convergent,"I,E->E",859,-0.35113660888375847,0.35113660888375847,-0.0004087737006795791,0.0004087737006795791,0.03896164816229957
convergent,"E,I->I",791,-7.049827046860364,7.049827046860364,-0.008912549996030802,0.008912549996030802,1.5167894377649704
convergent,"E,I->E",501,-0.17551892975306088,0.17551892975306088,-0.00035033718513585005,0.00035033718513585005,0.017959530682154477
divergent,"I->I,I",6634,0.3389974311424745,0.3389974311424745,5.11000046943736e-05,5.11000046943736e-05,0.01492321792631823
divergent,"E->I,I",4302,25380.80885870406,25380.80885870406,5.899769609182719,5.899769609182719,1065.2843894001826
divergent,"E->I,E",2453,1056.313523888511,1056.313523888511,0.43062108597167187,0.43062108597167187,117.86906175171637
divergent,"E->E,E",2435,56.644317112451816,56.644317112451816,0.023262553228932985,0.023262553228932985,3.0430638829064254
divergent,"I->I,E",1593,0.04615143456501786,0.04615143456501786,2.89713964626603e-05,2.89713964626603e-05,0.002278823706886626
divergent,"E->E,I",848,427.7518723781851,427.7518723781851,0.5044243778044636,0.5044243778044636,65.39234042468375
divergent,"I->E,I",623,0.01405367587049962,0.01405367587049962,2.2558067207864558e-05,2.2558067207864558e-05,0.0008630564807187517
divergent,"I->E,E",397,0.003948923519395619,0.003948923519395619,9.946910628200552e-06,9.946910628200552e-06,0.00027144653158049913
reciprocal,I<->I,174,0.011270404983669753,0.011270404983669753,6.477244243488363e-05,6.477244243488363e-05,0.003948564539594391
reciprocal,E<->E,124,0.4973684780379368,0.4973684780379368,0.004011036113209168,0.004011036113209168,0.177058603292081
reciprocal,I<->E,76,-0.17204548820093843,0.17204548820093843,-0.0022637564236965583,0.0022637564236965583,0.07572092702595021
reciprocal,E<->I,48,-0.08614917406110864,0.08614917406110864,-0.00179477445960643,0.00179477445960643,0.02499497748679536
