condition,spectral_radius,max_real_eigenvalue,stability_margin_1_minus_max_real,stable_by_max_real_lt_1,near_marginal_by_max_real,e_subnetwork_spectral_radius,e_subnetwork_max_real_eigenvalue,e_subnetwork_stability_margin_1_minus_max_real,e_subnetwork_unstable_by_max_real_gt_1,dominant_eigenvalue_real,dominant_eigenvalue_imag,response_solver,condition_number_I_minus_scaled_J,mean_E_to_E_input,mean_I_to_E_input,mean_E_to_I_input,mean_I_to_I_input,paradoxical_I_response,isn_plausible_stable_full_unstable_E_negative_I_response,matrix,removed_block,receiver_group_removed,sender_group_removed,n_removed_entries,n_removed_nonzero_edges,removed_weight_sum,removed_abs_weight_sum,delta_spectral_radius,delta_max_real_eigenvalue,delta_stability_margin_1_minus_max_real,delta_e_subnetwork_max_real_eigenvalue,delta_e_subnetwork_stability_margin_1_minus_max_real,delta_mean_I_to_I_input
original,0.9999999999999994,0.9999999999999994,5.551115123125783e-16,True,True,1.0419282697498593,1.0419282697498593,-0.041928269749859304,True,0.9999999999999994,0.0,inverse,2.420350444389487e+18,-2765725199067590.0,-8833518310275509.0,16203869186686.018,51753939692257.97,False,False,J,none,none,none,,,,,0.0,0.0,0.0,0.0,0.0,0.0
remove_E<-E,0.36700752398637476,0.0743302389496471,0.9256697610503529,True,False,0.0,0.0,1.0,False,-0.0705479569503978,0.36016316917854646,inverse,3743.4135734756687,0.8514372342803886,6.888625235050939,-0.008409645306937786,0.7244004411370669,False,False,J,E<-E,E,E,1024.0,382.0,31.647857126324404,31.647857126324404,-0.6329924760136247,-0.9256697610503524,0.9256697610503524,-1.0419282697498593,1.0419282697498593,-51753939692257.24
remove_E<-I,1.0419282697498577,1.0419282697498577,-0.04192826974985775,False,False,1.0419282697498593,1.0419282697498593,-0.041928269749859304,True,1.0419282697498577,0.0,inverse,35534.39464359409,-16.748649626346293,-49.58948570477751,-5.694116302584123e-17,0.9231911015300529,False,False,J,E<-I,E,I,1696.0,171.0,-0.4253965018137351,0.4253965018137351,0.041928269749858305,0.041928269749858305,-0.041928269749858305,0.0,0.0,-51753939692257.05
remove_I<-E,1.0419282697498569,1.0419282697498569,-0.04192826974985686,False,False,1.0419282697498593,1.0419282697498593,-0.041928269749859304,True,1.0419282697498569,0.0,inverse,287.8234869591813,-16.748649626346296,0.0,0.05804458353176345,0.923191101530053,False,False,J,I<-E,I,E,1696.0,352.0,431.9102422299798,431.9102422299798,0.041928269749857416,0.041928269749857416,-0.041928269749857416,0.0,0.0,-51753939692257.05
remove_I<-I,0.9925261366759701,0.9925261366759701,0.0074738633240298835,True,False,1.0419282697498593,1.0419282697498593,-0.041928269749859304,True,0.9925261366759701,0.0,inverse,189139.01757001804,93.80327580932808,336.5546419135952,-0.6357297343441861,-1.5286563218302913,True,True,J,I<-I,I,I,2809.0,736.0,-4.49968957228994,4.49968957228994,-0.007473863324029328,-0.007473863324029328,0.007473863324029328,0.0,0.0,-51753939692259.5
original,1.0337424834576134,1.0337424834576134,-0.03374248345761344,False,False,1.112642809563327,1.112642809563327,-0.11264280956332695,True,1.0337424834576134,0.0,inverse,1364.3160372497825,-31.64976121603751,-142.87015510353277,0.45818979097473883,2.874637232212931,False,False,Jeff,none,none,none,,,,,0.0,0.0,0.0,0.0,0.0,0.0
remove_E<-E,0.3170398765673501,4.900399340515817e-18,1.0,True,False,0.0,0.0,1.0,False,-0.12009877027829272,0.293411943709663,inverse,40.58672491660918,0.9250291661916039,4.175673223787818,-0.013391536113330962,0.7458724404311128,False,False,Jeff,E<-E,E,E,1024.0,1024.0,35.604569906026434,35.604569906026434,-0.7167026068902633,-1.0337424834576134,1.0337424834576134,-1.112642809563327,1.112642809563327,-2.128764791781818
remove_E<-I,1.1126428095633263,1.1126428095633263,-0.11264280956332628,False,False,1.112642809563327,1.112642809563327,-0.11264280956332695,True,1.1126428095633263,0.0,inverse,382.68087548304464,-8.877619475904613,-40.0744530998212,-2.0644957063212372e-17,0.806323160059818,False,False,Jeff,E<-I,E,I,1696.0,1696.0,-0.5745341058303505,0.5745341058303505,0.07890032610571285,0.07890032610571285,-0.07890032610571285,0.0,0.0,-2.068314072153113
remove_I<-E,1.1126428095633274,1.1126428095633274,-0.1126428095633274,False,False,1.112642809563327,1.112642809563327,-0.11264280956332695,True,1.1126428095633274,0.0,inverse,11.011406620715615,-8.877619475904613,0.0,0.1285202306662856,0.8063231600598181,False,False,Jeff,I<-E,I,E,1696.0,1696.0,296.713846583254,296.713846583254,0.07890032610571396,0.07890032610571396,-0.07890032610571396,0.0,0.0,-2.068314072153113
remove_I<-I,1.0134638575077293,1.0134638575077293,-0.013463857507729271,False,False,1.112642809563327,1.112642809563327,-0.11264280956332695,True,1.0134638575077293,0.0,inverse,4363.492309816488,-82.45024837138882,-461.58736501923477,1.4803274913608182,9.287427625747302,False,False,Jeff,I<-I,I,I,2809.0,2809.0,-12.730469649499028,12.730469649499028,-0.020278625949884166,-0.020278625949884166,0.020278625949884166,0.0,0.0,6.412790393534371
