chain_enrichment_multiplier,spectral_radius,max_real_eigenvalue,stability_margin_1_minus_max_real,stable_by_max_real_lt_1,near_marginal_by_max_real,e_subnetwork_spectral_radius,e_subnetwork_max_real_eigenvalue,e_subnetwork_stability_margin_1_minus_max_real,e_subnetwork_unstable_by_max_real_gt_1,response_solver,condition_number_I_minus_scaled_J,isn_plausible_stable_full_unstable_E_negative_I_response,receiver_group,input_group,mean_response,std_response,paradoxical
0.0,0.9054566293497861,0.9054566293497861,0.0945433706502139,True,False,1.012622413251374,1.012622413251374,-0.01262241325137392,True,inverse,1187.7403507931494,False,E,E,11.508028876646023,1.48719898593602,False
0.0,0.9054566293497861,0.9054566293497861,0.0945433706502139,True,False,1.012622413251374,1.012622413251374,-0.01262241325137392,True,inverse,1187.7403507931494,False,E,I,-0.14082734627491716,0.018199318824889642,False
0.0,0.9054566293497861,0.9054566293497861,0.0945433706502139,True,False,1.012622413251374,1.012622413251374,-0.01262241325137392,True,inverse,1187.7403507931494,False,I,E,86.32979170007383,0.8524347090813184,False
0.0,0.9054566293497861,0.9054566293497861,0.0945433706502139,True,False,1.012622413251374,1.012622413251374,-0.01262241325137392,True,inverse,1187.7403507931494,True,I,I,-0.13590580517625483,0.0013419565044286445,True
0.25,0.9395648505069429,0.9395648505069429,0.06043514949305706,True,False,1.0398654853235083,1.0398654853235083,-0.03986548532350831,True,inverse,1514.7427198686057,False,E,E,17.83525371888354,2.3048752769871164,False
0.25,0.9395648505069429,0.9395648505069429,0.06043514949305706,True,False,1.0398654853235083,1.0398654853235083,-0.03986548532350831,True,inverse,1514.7427198686057,False,E,I,-0.229271130067011,0.02962903515405839,False
0.25,0.9395648505069429,0.9395648505069429,0.06043514949305706,True,False,1.0398654853235083,1.0398654853235083,-0.03986548532350831,True,inverse,1514.7427198686057,False,I,E,119.10945564714791,1.1761065580484082,False
0.25,0.9395648505069429,0.9395648505069429,0.06043514949305706,True,False,1.0398654853235083,1.0398654853235083,-0.03986548532350831,True,inverse,1514.7427198686057,True,I,I,-0.6420698221951945,0.0063399041201715346,True
0.5,0.974180374140749,0.974180374140749,0.025819625859251016,True,False,1.0671408924326165,1.0671408924326165,-0.06714089243261645,True,inverse,2855.6209016473354,False,E,E,41.36807216338873,5.346054970054123,False
0.5,0.974180374140749,0.974180374140749,0.025819625859251016,True,False,1.0671408924326165,1.0671408924326165,-0.06714089243261645,True,inverse,2855.6209016473354,False,E,I,-0.5556453455901489,0.07180684054232031,False
0.5,0.974180374140749,0.974180374140749,0.025819625859251016,True,False,1.0671408924326165,1.0671408924326165,-0.06714089243261645,True,inverse,2855.6209016473354,False,I,E,244.45867443666302,2.4138255742558608,False
0.5,0.974180374140749,0.974180374140749,0.025819625859251016,True,False,1.0671408924326165,1.0671408924326165,-0.06714089243261645,True,inverse,2855.6209016473354,True,I,I,-2.4238150202477944,0.023933152286872404,True
0.75,1.0091986549249239,1.0091986549249239,-0.009198654924923888,False,False,1.0944450141907627,1.0944450141907627,-0.09444501419076268,True,inverse,6362.838044681898,False,E,E,-115.10001813402113,14.874539513670616,True
0.75,1.0091986549249239,1.0091986549249239,-0.009198654924923888,False,False,1.0944450141907627,1.0944450141907627,-0.09444501419076268,True,inverse,6362.838044681898,False,E,I,1.6081360050537288,0.2078217096601636,False
0.75,1.0091986549249239,1.0091986549249239,-0.009198654924923888,False,False,1.0944450141907627,1.0944450141907627,-0.09444501419076268,True,inverse,6362.838044681898,False,I,E,-597.3229115366523,5.898065688520767,False
0.75,1.0091986549249239,1.0091986549249239,-0.009198654924923888,False,False,1.0944450141907627,1.0944450141907627,-0.09444501419076268,True,inverse,6362.838044681898,False,I,I,9.177768097238697,0.09062280730579782,False
1.0,1.0445413474029914,1.0445413474029914,-0.04454134740299143,False,False,1.1217747510383234,1.1217747510383234,-0.12177475103832336,True,inverse,1024.9434709433249,False,E,E,-23.57076869031559,3.046084057462528,True
1.0,1.0445413474029914,1.0445413474029914,-0.04454134740299143,False,False,1.1217747510383234,1.1217747510383234,-0.12177475103832336,True,inverse,1024.9434709433249,False,E,I,0.34125904017751596,0.044101392508967746,False
1.0,1.0445413474029914,1.0445413474029914,-0.04454134740299143,False,False,1.1217747510383234,1.1217747510383234,-0.12177475103832336,True,inverse,1024.9434709433249,False,I,E,-106.40946821823108,1.0507047717575715,False
1.0,1.0445413474029914,1.0445413474029914,-0.04454134740299143,False,False,1.1217747510383234,1.1217747510383234,-0.12177475103832336,True,inverse,1024.9434709433249,False,I,I,2.3469918089790878,0.023174587132724394,False
1.25,1.0801487745978808,1.0801487745978808,-0.08014877459788083,False,False,1.1491274341859554,1.1491274341859554,-0.14912743418595542,True,inverse,434.79451099273604,False,E,E,-12.993805263522072,1.6792079876143113,True
1.25,1.0801487745978808,1.0801487745978808,-0.08014877459788083,False,False,1.1491274341859554,1.1491274341859554,-0.14912743418595542,True,inverse,434.79451099273604,False,E,I,0.19430973263222043,0.025110923897191256,False
1.25,1.0801487745978808,1.0801487745978808,-0.08014877459788083,False,False,1.1491274341859554,1.1491274341859554,-0.14912743418595542,True,inverse,434.79451099273604,False,I,E,-50.41514269970331,0.4978074967424928,False
1.25,1.0801487745978808,1.0801487745978808,-0.08014877459788083,False,False,1.1491274341859554,1.1491274341859554,-0.14912743418595542,True,inverse,434.79451099273604,False,I,I,1.5360514050535894,0.015167226826514883,False
1.5,1.1159747921683045,1.1159747921683045,-0.11597479216830453,False,False,1.1765007535118002,1.1765007535118002,-0.17650075351180017,True,inverse,223.30361546046092,False,E,E,-8.910967474387277,1.151577036664508,True
1.5,1.1159747921683045,1.1159747921683045,-0.11597479216830453,False,False,1.1765007535118002,1.1765007535118002,-0.17650075351180017,True,inverse,223.30361546046092,False,E,I,0.13724856875519048,0.017736828301509994,False
1.5,1.1159747921683045,1.1159747921683045,-0.11597479216830453,False,False,1.1765007535118002,1.1765007535118002,-0.17650075351180017,True,inverse,223.30361546046092,False,I,E,-29.24981550786826,0.2888175389065666,False
1.5,1.1159747921683045,1.1159747921683045,-0.11597479216830453,False,False,1.1765007535118002,1.1765007535118002,-0.17650075351180017,True,inverse,223.30361546046092,False,I,I,1.20982219543035,0.011945985399625452,False
