rank_by_abs,real,imag,abs
1,0.9999999999999994,0.0,0.9999999999999994
2,0.3895365156861058,0.0,0.3895365156861058
3,0.02977464907626154,0.32623328905509713,0.3275892071105534
4,0.02977464907626154,-0.32623328905509713,0.3275892071105534
5,-0.32661720692740187,0.0,0.32661720692740187
6,-0.19133311469042696,0.0,0.19133311469042696
7,0.16770783877284956,0.0,0.16770783877284956
8,-0.04487419705830118,-0.11149632224359957,0.12018786725570864
9,-0.04487419705830118,0.11149632224359957,0.12018786725570864
10,-0.06417341907518084,-0.09090736497395817,0.11127612826795881
11,-0.06417341907518084,0.09090736497395817,0.11127612826795881
12,-0.10687870169270447,0.0,0.10687870169270447
