source,target,weight
DG MOPP,DG MOLAX,-119.1670812
DG MOPP,DG MOPP,-140.0976091
DG MOPP,DG Neurogliaform,-119.8869153
DG MOPP,DG Total Molecular Layer,-90.38432397
DG MOPP,CA1 Neurogliaform Projecting,-184.7396436
DG Neurogliaform,DG Granule,-48.70676802
DG Neurogliaform,DG Semilunar Granule,-52.29438009
DG Neurogliaform,DG AIPRIM,-16.48470015
DG Neurogliaform,DG Axo Axonic,-39.49972998
DG Neurogliaform,DG Basket,-19.15346085
DG Neurogliaform,DG HICAP,-16.75227523
DG Neurogliaform,DG MOLAX,-42.37004596
DG Neurogliaform,DG MOPP,-12.59870291
DG Neurogliaform,DG Neurogliaform,-6.54983736
DG Neurogliaform,DG Total Molecular Layer,-15.68517814
DG Neurogliaform,CA1 Neurogliaform Projecting,-32.1361705
DG Total Molecular Layer,DG Granule,-4088.47068
DG Total Molecular Layer,DG Semilunar Granule,-3909.870445
DG Total Molecular Layer,DG Mossy,-5027.841134
DG Total Molecular Layer,DG AIPRIM,-4666.196837
DG Total Molecular Layer,DG Axo Axonic,-3496.86551
DG Total Molecular Layer,DG Basket,-3556.482476
DG Total Molecular Layer,DG HICAP,-3940.760581
DG Total Molecular Layer,DG HIPP,-2498.027912
DG Total Molecular Layer,DG HIPROM,-6450.7415
DG Total Molecular Layer,DG MOLAX,-7452.518615
DG Total Molecular Layer,DG MOPP,-1769.660126
DG Total Molecular Layer,DG Neurogliaform,-1405.900723
DG Total Molecular Layer,DG Total Molecular Layer,-4903.586445
DG Total Molecular Layer,CA1 Neurogliaform Projecting,-2118.724267
CA3 Pyramidal,CA3 Pyramidal,266540.7127
CA3 Pyramidal,CA3c Pyramidal,395693.8458
CA3 Pyramidal,CA3 Granule,41592.49664
CA3 Pyramidal,CA3 Axo Axonic,175688.468
CA3 Pyramidal,CA3 Basket,229695.88
CA3 Pyramidal,CA3 LMR Targeting,29902.14385
CA3 Pyramidal,CA3 Lucidum ORAX,96208.96061
CA3 Pyramidal,CA3 Mossy Fiber Associated ORDEN,203028.4106
CA3 Pyramidal,CA3 Trilaminar,185716.6009
CA3 Pyramidal,CA2 Basket,485909.8258
CA3 Pyramidal,CA2 Wide Arbor Basket,196409.1927
CA3 Pyramidal,CA2 Bistratified,468952.7398
CA3 Pyramidal,CA2 SP SR,278151.1629
CA3 Pyramidal,CA1 Pyramidal,380827.9828
CA3 Pyramidal,CA1 Radiatum Giant,165936.0382
CA3 Pyramidal,CA1 Axo Axonic,159502.0083
CA3 Pyramidal,CA1 Horizontal Axo Axonic,330795.0048
CA3 Pyramidal,CA1 Basket,228141.6357
CA3 Pyramidal,CA1 Basket CCK+,156057.7545
CA3 Pyramidal,CA1 Horizontal Basket,755237.5847
CA3 Pyramidal,CA1 Ivy,69076.63515
CA3 Pyramidal,CA1 LMR,32725.76193
CA3 Pyramidal,CA1 Recurrent O LM,2081164.348
CA3 Pyramidal,CA1 O LMR,673425.8315
CA3 Pyramidal,CA1 Oriens Alveus,124756.4419
CA3 Pyramidal,CA1 Oriens Bistratified,476142.3705
CA3 Pyramidal,CA1 OR LM,530494.5778
CA3 Pyramidal,CA1 Perforant Path Associated,78833.56183
CA3 Pyramidal,CA1 Perforant Path Associated QuadD,584453.5674
CA3 Pyramidal,CA1 Radiatum,77702.49045
CA3 Pyramidal,CA1 R Receiving Apical Targeting,212463.5636
CA3 Pyramidal,CA1 Schaffer Collateral Associated,405597.7514
CA3 Pyramidal,CA1 SO SO,1082066.721
CA3 Pyramidal,CA1 Trilaminar,2030611.127
CA3 Pyramidal,CA1 Radial Trilaminar,48612.11039
CA3c Pyramidal,DG Granule,160418.7567
CA3c Pyramidal,DG Semilunar Granule,87352.46675
CA3c Pyramidal,DG Mossy,33393.42822
CA3c Pyramidal,DG AIPRIM,108136.7762
CA3c Pyramidal,DG Axo Axonic,143794.6172
CA3c Pyramidal,DG Basket,96808.27901
CA3c Pyramidal,DG HICAP,82111.44265
CA3c Pyramidal,DG HIPP,18549.9662
CA3c Pyramidal,DG HIPROM,164558.2794
CA3c Pyramidal,DG MOLAX,108931.5881
CA3c Pyramidal,DG Total Molecular Layer,72103.63782
CA3c Pyramidal,CA3 Pyramidal,31089.11555
CA3c Pyramidal,CA3c Pyramidal,37375.23771
CA3c Pyramidal,CA3 Granule,5108.886819
CA3c Pyramidal,CA3 Axo Axonic,19320.76491
CA3c Pyramidal,CA3 Basket,25171.51724
CA3c Pyramidal,CA3 LMR Targeting,4152.834731
CA3c Pyramidal,CA3 Lucidum ORAX,12467.06147
CA3c Pyramidal,CA3 Mossy Fiber Associated ORDEN,19935.28605
CA3c Pyramidal,CA3 Trilaminar,40886.40713
CA3c Pyramidal,CA2 Basket,1119782.669
CA3c Pyramidal,CA2 Wide Arbor Basket,541851.3914
CA3c Pyramidal,CA2 Bistratified,1005433.811
CA3c Pyramidal,CA2 SP SR,636442.6318
CA3c Pyramidal,CA1 Pyramidal,2946974.519
CA3c Pyramidal,CA1 Radiatum Giant,2221043.972
CA3c Pyramidal,CA1 Axo Axonic,2006266.478
CA3c Pyramidal,CA1 Horizontal Axo Axonic,52687.91822
CA3c Pyramidal,CA1 Basket,2116029.98
CA3c Pyramidal,CA1 Basket CCK+,2795834.075
CA3c Pyramidal,CA1 Horizontal Basket,111868.5427
CA3c Pyramidal,CA1 Ivy,1842331.582
CA3c Pyramidal,CA1 LMR,826291.8396
CA3c Pyramidal,CA1 Recurrent O LM,274726.7905
CA3c Pyramidal,CA1 O LMR,115467.0882
CA3c Pyramidal,CA1 Oriens Alveus,1743888.309
CA3c Pyramidal,CA1 Oriens Bistratified,81403.51345
CA3c Pyramidal,CA1 OR LM,2982732.151
CA3c Pyramidal,CA1 Perforant Path Associated,1334059.612
CA3c Pyramidal,CA1 Perforant Path Associated QuadD,2795497.155
CA3c Pyramidal,CA1 Radiatum,1362763.212
CA3c Pyramidal,CA1 R Receiving Apical Targeting,2023667.388
CA3c Pyramidal,CA1 SO SO,154057.071
CA3c Pyramidal,CA1 Trilaminar,274426.1153
CA3c Pyramidal,CA1 Radial Trilaminar,1107880.821
CA3 Granule,CA3 Pyramidal,76.58690108
CA3 Granule,CA3c Pyramidal,133.2249581
CA3 Granule,CA3 Axo Axonic,68.72718369
CA3 Granule,CA3 Basket,75.53845131
CA3 Granule,CA3 LMR Targeting,53.25509613
CA3 Granule,CA3 Lucidum ORAX,80.26403534
CA3 Granule,CA3 Spiny Lucidum,240.6769874
CA3 Granule,CA3 Mossy Fiber Associated ORDEN,57.56240378
CA3 Axo Axonic,CA3 Pyramidal,-393.0578362
CA3 Axo Axonic,CA3c Pyramidal,-1201.911623
CA3 Basket,CA3 Pyramidal,-13694.30406
CA3 Basket,CA3c Pyramidal,-12332.37145
CA3 Basket,CA3 Axo Axonic,-5265.150496
CA3 Basket,CA3 Basket,-6212.436996
CA3 Basket,CA3 Mossy Fiber Associated ORDEN,-9496.353522
CA3 LMR Targeting,CA3 Pyramidal,-6333.728912
CA3 LMR Targeting,CA3c Pyramidal,-440.68837
CA3 LMR Targeting,CA3 Granule,-2862.115677
CA3 LMR Targeting,CA3 Axo Axonic,-2438.593873
CA3 LMR Targeting,CA3 Basket,-2658.769866
CA3 LMR Targeting,CA3 LMR Targeting,-4841.434197
CA3 LMR Targeting,CA3 Lucidum ORAX,-466.1186612
CA3 LMR Targeting,CA3 Mossy Fiber Associated ORDEN,-377.582895
CA3 Lucidum ORAX,CA3 Pyramidal,-9.745853616
CA3 Lucidum ORAX,CA3c Pyramidal,-8.741902847
CA3 Lucidum ORAX,CA3 Granule,-0.504755192
CA3 Lucidum ORAX,CA3 Axo Axonic,-4.951628409
CA3 Lucidum ORAX,CA3 Basket,-4.693148994
CA3 Lucidum ORAX,CA3 LMR Targeting,-1.526711639
CA3 Lucidum ORAX,CA3 Lucidum ORAX,-3.854790117
CA3 Lucidum ORAX,CA3 Spiny Lucidum,-11.4227317
CA3 Lucidum ORAX,CA3 Mossy Fiber Associated ORDEN,-8.659663626
CA3 Lucidum ORAX,CA3 Trilaminar,-3.772921935
CA3 Lucidum ORAX,CA2 Wide Arbor Basket,-0.800572704
CA3 Spiny Lucidum,DG Granule,-598.6907983
CA3 Spiny Lucidum,DG Semilunar Granule,-758.9987819
CA3 Spiny Lucidum,DG AIPRIM,-300.8673248
CA3 Spiny Lucidum,DG Axo Axonic,-537.707866
CA3 Spiny Lucidum,DG Basket,-689.8718978
CA3 Spiny Lucidum,DG HICAP,-396.4168161
CA3 Spiny Lucidum,DG HIPROM,-70.77830968
CA3 Spiny Lucidum,DG MOLAX,-411.3566062
CA3 Spiny Lucidum,DG MOPP,-673.3246295
CA3 Spiny Lucidum,DG Neurogliaform,-250.6976545
CA3 Spiny Lucidum,DG Total Molecular Layer,-246.1158009
CA3 Spiny Lucidum,CA3 Pyramidal,-471.9910301
CA3 Spiny Lucidum,CA3c Pyramidal,-278.5529166
CA3 Spiny Lucidum,CA3 Granule,-54.83127441
CA3 Spiny Lucidum,CA3 Axo Axonic,-248.2556705
CA3 Spiny Lucidum,CA3 Basket,-254.3644038
CA3 Spiny Lucidum,CA3 LMR Targeting,-124.4571427
CA3 Spiny Lucidum,CA3 Lucidum ORAX,-459.4739318
CA3 Spiny Lucidum,CA3 Spiny Lucidum,-98.63605963
CA3 Spiny Lucidum,CA3 Mossy Fiber Associated ORDEN,-387.6990947
CA3 Spiny Lucidum,CA1 Neurogliaform Projecting,-310.609146
CA3 Mossy Fiber Associated ORDEN,DG Mossy,-44.50986956
CA3 Mossy Fiber Associated ORDEN,DG AIPRIM,-18.01965599
CA3 Mossy Fiber Associated ORDEN,DG Axo Axonic,-8.877043565
CA3 Mossy Fiber Associated ORDEN,DG Basket,-9.718445081
CA3 Mossy Fiber Associated ORDEN,DG HICAP,-10.35144037
CA3 Mossy Fiber Associated ORDEN,DG HIPP,-24.28758531
CA3 Mossy Fiber Associated ORDEN,DG HIPROM,-26.71898328
CA3 Mossy Fiber Associated ORDEN,DG MOLAX,-22.97037825
CA3 Mossy Fiber Associated ORDEN,DG Total Molecular Layer,-18.93312299
CA3 Mossy Fiber Associated ORDEN,CA3 Pyramidal,-144.9645624
CA3 Mossy Fiber Associated ORDEN,CA3c Pyramidal,-149.2337836
CA3 Mossy Fiber Associated ORDEN,CA3 Axo Axonic,-87.08670653
