source,target,weight
CA1 Ivy,CA1 Radial Trilaminar,-1679.646855
CA1 LMR,CA1 Pyramidal,-162.25475
CA1 LMR,CA1 Radiatum Giant,-228.1051864
CA1 LMR,CA1 Axo Axonic,-118.969554
CA1 LMR,CA1 Basket,-120.7203895
CA1 LMR,CA1 Basket CCK+,-147.633337
CA1 LMR,CA1 Ivy,-78.1434659
CA1 LMR,CA1 LMR,-204.8738645
CA1 LMR,CA1 Neurogliaform,-78.78266554
CA1 LMR,CA1 Neurogliaform Projecting,-79.92915441
CA1 LMR,CA1 Oriens Alveus,-134.2605777
CA1 LMR,CA1 OR LM,-90.20864494
CA1 LMR,CA1 Perforant Path Associated,-113.4400001
CA1 LMR,CA1 Perforant Path Associated QuadD,-313.8827613
CA1 LMR,CA1 Radiatum,-112.4405205
CA1 LMR,CA1 R Receiving Apical Targeting,-155.5140632
CA1 LMR,CA1 Schaffer Collateral Associated,-291.7967002
CA1 LMR,CA1 Radial Trilaminar,-179.985205
CA1 Neurogliaform,CA1 Pyramidal,-498.7138342
CA1 Neurogliaform,CA1 Radiatum Giant,-678.0620351
CA1 Neurogliaform,CA1 Axo Axonic,-416.7982948
CA1 Neurogliaform,CA1 Basket,-338.9754617
CA1 Neurogliaform,CA1 Basket CCK+,-486.2117792
CA1 Neurogliaform,CA1 LMR,-661.6301293
CA1 Neurogliaform,CA1 Neurogliaform,-841.0328369
CA1 Neurogliaform,CA1 Neurogliaform Projecting,-967.0348573
CA1 Neurogliaform,CA1 Oriens Alveus,-429.8353025
CA1 Neurogliaform,CA1 Perforant Path Associated,-372.3887003
CA1 Neurogliaform,CA1 Perforant Path Associated QuadD,-759.6526149
CA1 Neurogliaform,CA1 Schaffer Collateral Associated,-991.2138351
CA1 Neurogliaform,CA1 Radial Trilaminar,-539.1641101
CA1 Neurogliaform Projecting,DG Granule,-34.78227829
CA1 Neurogliaform Projecting,DG Semilunar Granule,-37.1852773
CA1 Neurogliaform Projecting,DG AIPRIM,-17.24014423
CA1 Neurogliaform Projecting,DG Axo Axonic,-25.946011
CA1 Neurogliaform Projecting,DG Basket,-19.07069952
CA1 Neurogliaform Projecting,DG HICAP,-17.44243466
CA1 Neurogliaform Projecting,DG MOLAX,-36.06490635
CA1 Neurogliaform Projecting,DG MOPP,-25.39607685
CA1 Neurogliaform Projecting,DG Neurogliaform,-20.96544693
CA1 Neurogliaform Projecting,DG Total Molecular Layer,-19.66967276
CA1 Neurogliaform Projecting,CA1 Pyramidal,-37.25878288
CA1 Neurogliaform Projecting,CA1 Radiatum Giant,-48.36111875
CA1 Neurogliaform Projecting,CA1 Axo Axonic,-31.38250077
CA1 Neurogliaform Projecting,CA1 Basket,-23.96606684
CA1 Neurogliaform Projecting,CA1 Basket CCK+,-35.86428952
CA1 Neurogliaform Projecting,CA1 LMR,-46.10614966
CA1 Neurogliaform Projecting,CA1 Neurogliaform,-63.80739579
CA1 Neurogliaform Projecting,CA1 Neurogliaform Projecting,-69.36186631
CA1 Neurogliaform Projecting,CA1 Oriens Alveus,-30.71062941
CA1 Neurogliaform Projecting,CA1 Perforant Path Associated,-26.90824773
CA1 Neurogliaform Projecting,CA1 Perforant Path Associated QuadD,-54.343068
CA1 Neurogliaform Projecting,CA1 Schaffer Collateral Associated,-63.75956616
CA1 Neurogliaform Projecting,CA1 Radial Trilaminar,-34.79683362
CA1 Recurrent O LM,CA1 Pyramidal,-176.7963513
CA1 Recurrent O LM,CA1 Radiatum Giant,-135.3720547
CA1 Recurrent O LM,CA1 Axo Axonic,-133.1333652
CA1 Recurrent O LM,CA1 Horizontal Axo Axonic,-32.39290948
CA1 Recurrent O LM,CA1 Basket,-130.0767926
CA1 Recurrent O LM,CA1 Basket CCK+,-158.9363081
CA1 Recurrent O LM,CA1 Horizontal Basket,-112.316614
CA1 Recurrent O LM,CA1 Ivy,-37.8707612
CA1 Recurrent O LM,CA1 LMR,-149.6685929
CA1 Recurrent O LM,CA1 Neurogliaform,-173.2930446
CA1 Recurrent O LM,CA1 Neurogliaform Projecting,-181.3731278
CA1 Recurrent O LM,CA1 Recurrent O LM,-49.04534594
CA1 Recurrent O LM,CA1 O LMR,-51.93288551
CA1 Recurrent O LM,CA1 Oriens Alveus,-148.9304233
CA1 Recurrent O LM,CA1 Oriens Bistratified,-33.3172035
CA1 Recurrent O LM,CA1 OR LM,-24.01259685
CA1 Recurrent O LM,CA1 Perforant Path Associated,-75.22675808
CA1 Recurrent O LM,CA1 Perforant Path Associated QuadD,-188.7743545
CA1 Recurrent O LM,CA1 Schaffer Collateral Associated,-153.1458371
CA1 Recurrent O LM,CA1 SO SO,-60.10022737
CA1 Recurrent O LM,CA1 Trilaminar,-66.647624
CA1 Recurrent O LM,CA1 Radial Trilaminar,-165.0617562
CA1 O LMR,CA1 Pyramidal,-363.7497948
CA1 O LMR,CA1 Radiatum Giant,-550.760796
CA1 O LMR,CA1 Axo Axonic,-269.238096
CA1 O LMR,CA1 Basket,-254.4494014
CA1 O LMR,CA1 Basket CCK+,-339.6557173
CA1 O LMR,CA1 Ivy,-90.99277263
CA1 O LMR,CA1 LMR,-413.1850402
CA1 O LMR,CA1 Neurogliaform,-227.7021322
CA1 O LMR,CA1 Neurogliaform Projecting,-235.2231049
CA1 O LMR,CA1 Oriens Alveus,-288.6902196
CA1 O LMR,CA1 OR LM,-197.0286903
CA1 O LMR,CA1 Perforant Path Associated,-269.7636303
CA1 O LMR,CA1 Perforant Path Associated QuadD,-886.6163946
CA1 O LMR,CA1 Radiatum,-199.1876696
CA1 O LMR,CA1 R Receiving Apical Targeting,-316.1295738
CA1 O LMR,CA1 Schaffer Collateral Associated,-786.8639431
CA1 O LMR,CA1 Radial Trilaminar,-370.6145855
CA1 Oriens Alveus,CA2 Wide Arbor Basket,-66.54118426
CA1 Oriens Alveus,CA1 Pyramidal,-377.0064704
CA1 Oriens Alveus,CA1 Axo Axonic,-297.6269224
CA1 Oriens Alveus,CA1 Horizontal Axo Axonic,-191.1229562
CA1 Oriens Alveus,CA1 Basket,-346.2197249
CA1 Oriens Alveus,CA1 Basket CCK+,-410.2988887
CA1 Oriens Alveus,CA1 Horizontal Basket,-827.7800344
CA1 Oriens Alveus,CA1 Ivy,-482.0486427
CA1 Oriens Alveus,CA1 Recurrent O LM,-329.9403088
CA1 Oriens Alveus,CA1 O LMR,-289.3599744
CA1 Oriens Alveus,CA1 Oriens Alveus,-338.1967985
CA1 Oriens Alveus,CA1 Oriens Bistratified,-204.9978544
CA1 Oriens Alveus,CA1 OR LM,-141.730215
CA1 Oriens Alveus,CA1 Perforant Path Associated QuadD,-407.4760713
CA1 Oriens Alveus,CA1 SO SO,-401.6285628
CA1 Oriens Alveus,CA1 Trilaminar,-422.9570484
CA1 Oriens Alveus,CA1 Radial Trilaminar,-440.7733165
CA1 Oriens Bistratified,CA1 Pyramidal,-227.9112319
CA1 Oriens Bistratified,CA1 Radiatum Giant,-189.7314381
CA1 Oriens Bistratified,CA1 Axo Axonic,-140.1064506
CA1 Oriens Bistratified,CA1 Horizontal Axo Axonic,-35.1786164
CA1 Oriens Bistratified,CA1 Basket,-185.1820716
CA1 Oriens Bistratified,CA1 Basket CCK+,-189.0889747
CA1 Oriens Bistratified,CA1 Horizontal Basket,-187.3989169
CA1 Oriens Bistratified,CA1 Ivy,-138.1398737
CA1 Oriens Bistratified,CA1 LMR,-114.5641333
CA1 Oriens Bistratified,CA1 Recurrent O LM,-118.9602084
CA1 Oriens Bistratified,CA1 O LMR,-59.36646573
CA1 Oriens Bistratified,CA1 Oriens Alveus,-171.5553634
CA1 Oriens Bistratified,CA1 Oriens Bistratified,-42.30684624
CA1 Oriens Bistratified,CA1 OR LM,-190.6166263
CA1 Oriens Bistratified,CA1 Perforant Path Associated,-82.23968589
CA1 Oriens Bistratified,CA1 Perforant Path Associated QuadD,-447.0003148
CA1 Oriens Bistratified,CA1 Radiatum,-128.3691444
CA1 Oriens Bistratified,CA1 R Receiving Apical Targeting,-220.5113778
CA1 Oriens Bistratified,CA1 Schaffer Collateral Associated,-294.7570287
CA1 Oriens Bistratified,CA1 SO SO,-131.2496287
CA1 Oriens Bistratified,CA1 Trilaminar,-143.1136506
CA1 Oriens Bistratified,CA1 Radial Trilaminar,-195.3106546
CA1 OR LM,CA1 Pyramidal,-228.0095751
CA1 OR LM,CA1 Radiatum Giant,-325.7455203
CA1 OR LM,CA1 Axo Axonic,-200.4504151
CA1 OR LM,CA1 Basket,-146.4235324
CA1 OR LM,CA1 Basket CCK+,-226.1537969
CA1 OR LM,CA1 LMR,-304.4610634
CA1 OR LM,CA1 Neurogliaform,-354.9286484
CA1 OR LM,CA1 Neurogliaform Projecting,-390.1575252
CA1 OR LM,CA1 Oriens Alveus,-197.3118682
CA1 OR LM,CA1 Perforant Path Associated,-188.815701
CA1 OR LM,CA1 Perforant Path Associated QuadD,-382.3909762
CA1 OR LM,CA1 Schaffer Collateral Associated,-365.3103987
CA1 OR LM,CA1 Radial Trilaminar,-242.8571163
CA1 Perforant Path Associated,DG Granule,-410.1623955
CA1 Perforant Path Associated,DG Semilunar Granule,-425.6154274
CA1 Perforant Path Associated,DG AIPRIM,-173.0032605
CA1 Perforant Path Associated,DG Axo Axonic,-321.1879151
CA1 Perforant Path Associated,DG Basket,-302.9150239
CA1 Perforant Path Associated,DG HICAP,-187.3308473
CA1 Perforant Path Associated,DG MOLAX,-235.4898376
CA1 Perforant Path Associated,DG MOPP,-476.0878666
CA1 Perforant Path Associated,DG Neurogliaform,-300.6638341
CA1 Perforant Path Associated,DG Total Molecular Layer,-165.0215454
CA1 Perforant Path Associated,CA1 Pyramidal,-685.5232628
CA1 Perforant Path Associated,CA1 Radiatum Giant,-860.1806414
CA1 Perforant Path Associated,CA1 Axo Axonic,-603.8136113
CA1 Perforant Path Associated,CA1 Basket,-497.7785786
CA1 Perforant Path Associated,CA1 Basket CCK+,-685.0015288
CA1 Perforant Path Associated,CA1 LMR,-946.6298508
CA1 Perforant Path Associated,CA1 Neurogliaform,-1230.775373
CA1 Perforant Path Associated,CA1 Neurogliaform Projecting,-1228.24523
CA1 Perforant Path Associated,CA1 Oriens Alveus,-608.0269932
CA1 Perforant Path Associated,CA1 Perforant Path Associated,-469.1268062
CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,-801.9042632
CA1 Perforant Path Associated,CA1 Schaffer Collateral Associated,-948.2328836
CA1 Perforant Path Associated,CA1 Radial Trilaminar,-553.411284
CA1 Perforant Path Associated QuadD,CA1 Pyramidal,-41.5473279
CA1 Perforant Path Associated QuadD,CA1 Radiatum Giant,-51.98031024
CA1 Perforant Path Associated QuadD,CA1 Axo Axonic,-34.88648646
CA1 Perforant Path Associated QuadD,CA1 Basket,-29.97886329
CA1 Perforant Path Associated QuadD,CA1 Basket CCK+,-39.87046042
CA1 Perforant Path Associated QuadD,CA1 LMR,-57.32426433
CA1 Perforant Path Associated QuadD,CA1 Neurogliaform,-69.668196
CA1 Perforant Path Associated QuadD,CA1 Neurogliaform Projecting,-71.90973046
CA1 Perforant Path Associated QuadD,CA1 Oriens Alveus,-36.75600001
CA1 Perforant Path Associated QuadD,CA1 Perforant Path Associated,-28.47840173
CA1 Perforant Path Associated QuadD,CA1 Perforant Path Associated QuadD,-47.70372486
CA1 Perforant Path Associated QuadD,CA1 Schaffer Collateral Associated,-56.07772036
CA1 Perforant Path Associated QuadD,CA1 Radial Trilaminar,-35.02076964
CA1 Radiatum,CA1 Pyramidal,-53.54274288
CA1 Radiatum,CA1 Radiatum Giant,-92.04617872
CA1 Radiatum,CA1 Axo Axonic,-46.49493507
CA1 Radiatum,CA1 Basket,-55.40466012
CA1 Radiatum,CA1 Basket CCK+,-60.22073793
CA1 Radiatum,CA1 Ivy,-49.41774056
CA1 Radiatum,CA1 LMR,-79.28456652
CA1 Radiatum,CA1 Oriens Alveus,-55.27097398
CA1 Radiatum,CA1 OR LM,-52.51985281
CA1 Radiatum,CA1 Perforant Path Associated,-44.05437391
CA1 Radiatum,CA1 Perforant Path Associated QuadD,-127.6348814
CA1 Radiatum,CA1 Radiatum,-69.40554762
CA1 Radiatum,CA1 R Receiving Apical Targeting,-95.85726641
CA1 Radiatum,CA1 Schaffer Collateral Associated,-187.914491
CA1 Radiatum,CA1 Radial Trilaminar,-65.74362196
CA1 R Receiving Apical Targeting,CA1 Pyramidal,-404.5567742
CA1 R Receiving Apical Targeting,CA1 Radiatum Giant,-501.1680042
CA1 R Receiving Apical Targeting,CA1 Axo Axonic,-287.6613762
CA1 R Receiving Apical Targeting,CA1 Basket,-293.7216113
CA1 R Receiving Apical Targeting,CA1 Basket CCK+,-346.6326679
CA1 R Receiving Apical Targeting,CA1 Ivy,-158.8387052
CA1 R Receiving Apical Targeting,CA1 LMR,-514.5635425
CA1 R Receiving Apical Targeting,CA1 Neurogliaform,-196.082512
CA1 R Receiving Apical Targeting,CA1 Neurogliaform Projecting,-182.1592344
CA1 R Receiving Apical Targeting,CA1 Oriens Alveus,-335.3059984
CA1 R Receiving Apical Targeting,CA1 OR LM,-162.5291355
CA1 R Receiving Apical Targeting,CA1 Perforant Path Associated,-258.7916192
CA1 R Receiving Apical Targeting,CA1 Perforant Path Associated QuadD,-533.8510166
CA1 R Receiving Apical Targeting,CA1 Radiatum,-205.6718949
CA1 R Receiving Apical Targeting,CA1 R Receiving Apical Targeting,-321.3514595
CA1 R Receiving Apical Targeting,CA1 Schaffer Collateral Associated,-776.8062131
CA1 R Receiving Apical Targeting,CA1 Radial Trilaminar,-334.4196654
CA1 Schaffer Collateral Associated,CA2 Wide Arbor Basket,-443.1285121
CA1 Schaffer Collateral Associated,CA1 Pyramidal,-3894.845751
CA1 Schaffer Collateral Associated,CA1 Radiatum Giant,-2068.5043
CA1 Schaffer Collateral Associated,CA1 Axo Axonic,-3486.26687
CA1 Schaffer Collateral Associated,CA1 Horizontal Axo Axonic,-479.3159851
CA1 Schaffer Collateral Associated,CA1 Basket,-3955.520413
CA1 Schaffer Collateral Associated,CA1 Basket CCK+,-3862.545739
CA1 Schaffer Collateral Associated,CA1 Horizontal Basket,-1716.658943
CA1 Schaffer Collateral Associated,CA1 Ivy,-4047.230123
CA1 Schaffer Collateral Associated,CA1 LMR,-1804.848703
CA1 Schaffer Collateral Associated,CA1 Recurrent O LM,-1019.818307
CA1 Schaffer Collateral Associated,CA1 O LMR,-976.7291701
CA1 Schaffer Collateral Associated,CA1 Oriens Alveus,-3289.104325
CA1 Schaffer Collateral Associated,CA1 Oriens Bistratified,-374.4270097
CA1 Schaffer Collateral Associated,CA1 OR LM,-1902.307207
CA1 Schaffer Collateral Associated,CA1 Perforant Path Associated,-1034.149921
CA1 Schaffer Collateral Associated,CA1 Perforant Path Associated QuadD,-6078.856652
CA1 Schaffer Collateral Associated,CA1 Radiatum,-1808.216101
CA1 Schaffer Collateral Associated,CA1 R Receiving Apical Targeting,-2754.728517
CA1 Schaffer Collateral Associated,CA1 Schaffer Collateral Associated,-1396.621908
CA1 Schaffer Collateral Associated,CA1 SO SO,-1163.67254
CA1 Schaffer Collateral Associated,CA1 Trilaminar,-1235.632097
CA1 Schaffer Collateral Associated,CA1 Radial Trilaminar,-4850.984727
CA1 SO SO,CA1 Pyramidal,-346.5687588
CA1 SO SO,CA1 Axo Axonic,-243.0433345
CA1 SO SO,CA1 Horizontal Axo Axonic,-264.0743927
CA1 SO SO,CA1 Basket,-266.0782447
CA1 SO SO,CA1 Basket CCK+,-281.1392181
CA1 SO SO,CA1 Horizontal Basket,-672.6813269
CA1 SO SO,CA1 Ivy,-319.1981693
CA1 SO SO,CA1 Recurrent O LM,-314.7203896
CA1 SO SO,CA1 O LMR,-433.5533275
CA1 SO SO,CA1 Oriens Alveus,-258.669745
CA1 SO SO,CA1 Oriens Bistratified,-271.3138717
CA1 SO SO,CA1 OR LM,-189.2637037
CA1 SO SO,CA1 Perforant Path Associated QuadD,-285.2076875
CA1 SO SO,CA1 SO SO,-395.1764375
CA1 SO SO,CA1 Trilaminar,-478.4402722
CA1 SO SO,CA1 Radial Trilaminar,-300.1673762
CA1 Trilaminar,CA2 Wide Arbor Basket,-289.6362162
CA1 Trilaminar,CA1 Pyramidal,-1386.795538
CA1 Trilaminar,CA1 Radiatum Giant,-438.2087403
CA1 Trilaminar,CA1 Axo Axonic,-1090.943252
CA1 Trilaminar,CA1 Horizontal Axo Axonic,-287.4419315
CA1 Trilaminar,CA1 Basket,-1154.230815
CA1 Trilaminar,CA1 Basket CCK+,-1398.383515
CA1 Trilaminar,CA1 Horizontal Basket,-938.1924893
CA1 Trilaminar,CA1 Ivy,-1522.398754
CA1 Trilaminar,CA1 LMR,-386.5629212
CA1 Trilaminar,CA1 Recurrent O LM,-332.4078516
CA1 Trilaminar,CA1 O LMR,-387.8934971
CA1 Trilaminar,CA1 Oriens Alveus,-1232.649303
CA1 Trilaminar,CA1 Oriens Bistratified,-292.2285021
CA1 Trilaminar,CA1 OR LM,-450.7104248
CA1 Trilaminar,CA1 Perforant Path Associated,-208.1400153
CA1 Trilaminar,CA1 Perforant Path Associated QuadD,-1795.454016
CA1 Trilaminar,CA1 Radiatum,-333.3007612
CA1 Trilaminar,CA1 R Receiving Apical Targeting,-449.8235353
CA1 Trilaminar,CA1 Schaffer Collateral Associated,-744.1385414
CA1 Trilaminar,CA1 SO SO,-419.2093893
CA1 Trilaminar,CA1 Trilaminar,-454.4052241
CA1 Trilaminar,CA1 Radial Trilaminar,-1561.780224
CA1 Radial Trilaminar,CA2 Wide Arbor Basket,-10.85107795
CA1 Radial Trilaminar,CA1 Pyramidal,-165.9451447
CA1 Radial Trilaminar,CA1 Radiatum Giant,-67.97182818
CA1 Radial Trilaminar,CA1 Axo Axonic,-112.8749017
CA1 Radial Trilaminar,CA1 Horizontal Axo Axonic,-35.48995634
CA1 Radial Trilaminar,CA1 Basket,-129.842552
CA1 Radial Trilaminar,CA1 Basket CCK+,-151.4109639
CA1 Radial Trilaminar,CA1 Horizontal Basket,-109.6984926
CA1 Radial Trilaminar,CA1 Ivy,-154.6752381
CA1 Radial Trilaminar,CA1 LMR,-43.27466965
CA1 Radial Trilaminar,CA1 Recurrent O LM,-65.58008433
CA1 Radial Trilaminar,CA1 O LMR,-71.74620535
CA1 Radial Trilaminar,CA1 Oriens Alveus,-127.0550594
CA1 Radial Trilaminar,CA1 Oriens Bistratified,-37.39440663
CA1 Radial Trilaminar,CA1 OR LM,-89.34415113
CA1 Radial Trilaminar,CA1 Perforant Path Associated,-29.25511401
CA1 Radial Trilaminar,CA1 Perforant Path Associated QuadD,-230.4427104
CA1 Radial Trilaminar,CA1 Radiatum,-47.44399797
CA1 Radial Trilaminar,CA1 R Receiving Apical Targeting,-78.59515673
CA1 Radial Trilaminar,CA1 Schaffer Collateral Associated,-144.6234077
CA1 Radial Trilaminar,CA1 SO SO,-76.23423341
CA1 Radial Trilaminar,CA1 Trilaminar,-94.47194715
CA1 Radial Trilaminar,CA1 Radial Trilaminar,-149.2316954
EC LI II Multipolar Pyramidal,EC LI II Multipolar Pyramidal,335584.7113
EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,135890.6828
EC LI II Multipolar Pyramidal,MEC LII III Pyramidal Multiform,392297.2757
EC LI II Multipolar Pyramidal,MEC LII Oblique Pyramidal,160408.487
EC LI II Multipolar Pyramidal,MEC LII Stellate,241611.0723
EC LI II Multipolar Pyramidal,EC LII III Pyramidal Tripolar,495186.0715
EC LI II Multipolar Pyramidal,LEC LIII Multipolar Principal,199992.3132
EC LI II Multipolar Pyramidal,EC LIII Pyramidal,498454.1441
EC LI II Multipolar Pyramidal,LEC LIII Complex Pyramidal,368742.2195
EC LI II Multipolar Pyramidal,MEC LIII Complex Pyramidal,145068.7766
EC LI II Multipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal,320940.9448
EC LI II Multipolar Pyramidal,EC LIII Stellate,306846.4176
EC LI II Multipolar Pyramidal,EC LIII V Bipolar Pyramidal,321940.9837
EC LI II Multipolar Pyramidal,EC LV Deep Pyramidal,127246.0526
EC LI II Multipolar Pyramidal,MEC LV Pyramidal,105271.3599
EC LI II Multipolar Pyramidal,MEC LV Superficial Pyramidal,55913.64716
EC LI II Multipolar Pyramidal,MEC LIII Superficial Trilayered Interneuron,397502.8195
EC LI II Pyramidal Fan,DG Granule,142125.1931
EC LI II Pyramidal Fan,DG Semilunar Granule,136026.2638
EC LI II Pyramidal Fan,DG AIPRIM,34801.9822
EC LI II Pyramidal Fan,DG Axo Axonic,222073.5687
EC LI II Pyramidal Fan,DG Basket,94455.78857
EC LI II Pyramidal Fan,DG HICAP,31780.3616
EC LI II Pyramidal Fan,DG MOLAX,26447.06764
EC LI II Pyramidal Fan,DG MOPP,100491.4275
EC LI II Pyramidal Fan,DG Neurogliaform,39929.12723
EC LI II Pyramidal Fan,DG Total Molecular Layer,16818.39394
EC LI II Pyramidal Fan,CA1 Neurogliaform Projecting,32254.53265
EC LI II Pyramidal Fan,EC LI II Multipolar Pyramidal,137058.641
EC LI II Pyramidal Fan,EC LI II Pyramidal Fan,18762.87758
EC LI II Pyramidal Fan,MEC LII III Pyramidal Multiform,39692.19529
EC LI II Pyramidal Fan,MEC LII Oblique Pyramidal,24009.68269
EC LI II Pyramidal Fan,MEC LII Stellate,48948.58746
EC LI II Pyramidal Fan,EC LII III Pyramidal Tripolar,36616.84396
EC LI II Pyramidal Fan,LEC LIII Multipolar Principal,22434.36749
EC LI II Pyramidal Fan,EC LIII Pyramidal,34343.22161
EC LI II Pyramidal Fan,LEC LIII Complex Pyramidal,36640.95344
EC LI II Pyramidal Fan,MEC LIII Complex Pyramidal,31668.93257
EC LI II Pyramidal Fan,MEC LIII Bipolar Complex Pyramidal,21473.24633
EC LI II Pyramidal Fan,EC LIII Stellate,30940.80849
EC LI II Pyramidal Fan,EC LIII V Bipolar Pyramidal,34791.03196
EC LI II Pyramidal Fan,EC LV Deep Pyramidal,19250.9001
EC LI II Pyramidal Fan,MEC LV Pyramidal,31115.86314
EC LI II Pyramidal Fan,MEC LV Superficial Pyramidal,17570.49647
EC LI II Pyramidal Fan,MEC LIII Superficial Trilayered Interneuron,40543.03879
MEC LII III Pyramidal Multiform,EC LI II Multipolar Pyramidal,1904.338272
MEC LII III Pyramidal Multiform,EC LI II Pyramidal Fan,451.0219131
MEC LII III Pyramidal Multiform,MEC LII III Pyramidal Multiform,5645.585231
MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,1803.987626
MEC LII III Pyramidal Multiform,MEC LII Stellate,3084.321829
MEC LII III Pyramidal Multiform,EC LII III Pyramidal Tripolar,1734.321078
MEC LII III Pyramidal Multiform,EC LIII Pyramidal,1765.85409
MEC LII III Pyramidal Multiform,MEC LIII Complex Pyramidal,13433.54615
MEC LII III Pyramidal Multiform,MEC LIII Bipolar Complex Pyramidal,5047.307409
MEC LII III Pyramidal Multiform,EC LIII Stellate,1348.903647
MEC LII III Pyramidal Multiform,EC LIII V Bipolar Pyramidal,7262.665097
MEC LII III Pyramidal Multiform,EC LIV VI Deep Multipolar Principal,5838.751829
MEC LII III Pyramidal Multiform,EC LV Deep Pyramidal,5981.216397
MEC LII III Pyramidal Multiform,MEC LV Multipolar Pyramidal,33908.96009
MEC LII III Pyramidal Multiform,MEC LV Pyramidal,24788.02921
MEC LII III Pyramidal Multiform,MEC LV Superficial Pyramidal,26638.98261
MEC LII III Pyramidal Multiform,MEC LV VI Pyramidal Polymorphic,20148.50722
MEC LII III Pyramidal Multiform,MEC LIII Superficial Trilayered Interneuron,4328.393772
MEC LII Oblique Pyramidal,MEC LII III Pyramidal Multiform,628.8219653
MEC LII Oblique Pyramidal,EC LII III Pyramidal Tripolar,205.480954
MEC LII Oblique Pyramidal,EC LIII Pyramidal,248.2894188
MEC LII Oblique Pyramidal,MEC LIII Complex Pyramidal,4761.525295
MEC LII Oblique Pyramidal,MEC LIII Bipolar Complex Pyramidal,601.5577032
MEC LII Oblique Pyramidal,EC LIII Stellate,107.9520834
MEC LII Oblique Pyramidal,EC LIII V Bipolar Pyramidal,623.6028552
MEC LII Oblique Pyramidal,EC LIV VI Deep Multipolar Principal,384.766445
MEC LII Oblique Pyramidal,MEC LV Multipolar Pyramidal,2899.551279
MEC LII Oblique Pyramidal,MEC LV Superficial Pyramidal,3325.886793
MEC LII Oblique Pyramidal,MEC LIII Superficial Trilayered Interneuron,413.987343
MEC LII Stellate,DG Granule,15769.82675
MEC LII Stellate,DG Semilunar Granule,14868.42313
MEC LII Stellate,DG AIPRIM,3814.839623
MEC LII Stellate,DG Axo Axonic,24402.1129
MEC LII Stellate,DG Basket,10303.38998
MEC LII Stellate,DG HICAP,3572.191624
MEC LII Stellate,DG MOLAX,2965.984514
MEC LII Stellate,DG MOPP,11013.22595
MEC LII Stellate,DG Neurogliaform,4405.42992
MEC LII Stellate,DG Total Molecular Layer,1867.446437
MEC LII Stellate,CA3 Pyramidal,272974.242
MEC LII Stellate,CA3 Granule,225689.7189
MEC LII Stellate,CA3 Axo Axonic,110217.5931
MEC LII Stellate,CA3 Basket,175066.742
MEC LII Stellate,CA3 LMR Targeting,124132.6094
MEC LII Stellate,CA2 Basket,159516.2325
MEC LII Stellate,CA2 Wide Arbor Basket,103327.4391
MEC LII Stellate,CA1 Neurogliaform Projecting,3582.516889
MEC LII Stellate,EC LI II Multipolar Pyramidal,21641.0418
MEC LII Stellate,EC LI II Pyramidal Fan,6188.429777
MEC LII Stellate,MEC LII III Pyramidal Multiform,39846.43182
MEC LII Stellate,MEC LII Oblique Pyramidal,21471.68603
MEC LII Stellate,EC LII III Pyramidal Tripolar,13369.98924
MEC LII Stellate,EC LIII Pyramidal,13962.67577
MEC LII Stellate,MEC LIII Complex Pyramidal,33420.19482
MEC LII Stellate,MEC LIII Bipolar Complex Pyramidal,23557.37955
MEC LII Stellate,EC LIII Stellate,10627.74699
MEC LII Stellate,EC LIII V Bipolar Pyramidal,21451.9253
MEC LII Stellate,EC LIV VI Deep Multipolar Principal,11938.21052
MEC LII Stellate,EC LV Deep Pyramidal,21732.14951
MEC LII Stellate,MEC LV Multipolar Pyramidal,50972.30139
MEC LII Stellate,MEC LV Pyramidal,68250.30627
MEC LII Stellate,MEC LV Superficial Pyramidal,51171.25715
MEC LII Stellate,MEC LV VI Pyramidal Polymorphic,48648.55767
MEC LII Stellate,MEC LIII Superficial Trilayered Interneuron,40392.24114
EC LII III Pyramidal Tripolar,DG Granule,59273.61832
EC LII III Pyramidal Tripolar,DG Semilunar Granule,55352.57052
EC LII III Pyramidal Tripolar,DG AIPRIM,14370.23038
EC LII III Pyramidal Tripolar,DG Axo Axonic,92369.40096
EC LII III Pyramidal Tripolar,DG Basket,39275.77593
EC LII III Pyramidal Tripolar,DG HICAP,13201.77092
EC LII III Pyramidal Tripolar,DG MOLAX,11010.21372
EC LII III Pyramidal Tripolar,DG MOPP,41549.67481
EC LII III Pyramidal Tripolar,DG Neurogliaform,16451.77799
EC LII III Pyramidal Tripolar,DG Total Molecular Layer,6997.990704
EC LII III Pyramidal Tripolar,CA1 Neurogliaform Projecting,13417.91545
EC LII III Pyramidal Tripolar,EC LI II Multipolar Pyramidal,77336.67835
EC LII III Pyramidal Tripolar,EC LI II Pyramidal Fan,18827.74804
EC LII III Pyramidal Tripolar,MEC LII III Pyramidal Multiform,36533.61109
EC LII III Pyramidal Tripolar,MEC LII Oblique Pyramidal,18337.84404
EC LII III Pyramidal Tripolar,MEC LII Stellate,31925.57868
EC LII III Pyramidal Tripolar,EC LII III Pyramidal Tripolar,39081.82328
EC LII III Pyramidal Tripolar,LEC LIII Multipolar Principal,13694.27001
EC LII III Pyramidal Tripolar,EC LIII Pyramidal,34424.72732
