variant,motif,description,motif_count,edges_removed,dominant_eigenvalue_before,dominant_real_before,dominant_imag_before,spectral_radius_before,dominant_eigenvalue_after,dominant_real_after,dominant_imag_after,spectral_radius_after,delta_dominant_real,delta_spectral_radius
with_self,all_excitatory_edges_E_to_E,All edges with excitatory source and excitatory receiver.,355,355,(1.0000000000000016+0j),1.0000000000000016,0.0,1.0000000000000016,(0.6629272176409797+0j),0.6629272176409797,0.0,0.6629272176409797,-0.3370727823590218,-0.3370727823590218
with_self,all_excitatory_E_E_E_chains,Two-step chains containing only excitatory nodes.,4472,355,(1.0000000000000016+0j),1.0000000000000016,0.0,1.0000000000000016,(0.6629272176409797+0j),0.6629272176409797,0.0,0.6629272176409797,-0.3370727823590218,-0.3370727823590218
with_self,all_inhibitory_edges_I_to_I,All edges with inhibitory source and inhibitory receiver.,692,692,(1.0000000000000016+0j),1.0000000000000016,0.0,1.0000000000000016,(0.9991863552330158+0j),0.9991863552330158,0.0,0.9991863552330158,-0.0008136447669857549,-0.0008136447669857549
with_self,all_inhibitory_I_I_I_chains,Two-step chains containing only inhibitory nodes.,9553,692,(1.0000000000000016+0j),1.0000000000000016,0.0,1.0000000000000016,(0.9991863552330158+0j),0.9991863552330158,0.0,0.9991863552330158,-0.0008136447669857549,-0.0008136447669857549
with_self,E_I_I_E_disinhibitory_feedback,Expected-sign E->I->I->E disinhibitory feedback paths.,12468,1202,(1.0000000000000016+0j),1.0000000000000016,0.0,1.0000000000000016,(1.0419282697498573+0j),1.0419282697498573,0.0,1.0419282697498573,0.04192826974985575,0.04192826974985575
with_self,E_I_E_inhibitory_feedback,Expected-sign E->I->E inhibitory feedback paths.,1341,515,(1.0000000000000016+0j),1.0000000000000016,0.0,1.0000000000000016,(1.0419282697498582+0j),1.0419282697498582,0.0,1.0419282697498582,0.04192826974985664,0.04192826974985664
no_self,all_excitatory_edges_E_to_E,All edges with excitatory source and excitatory receiver.,355,355,(0.9999999999999987+0j),0.9999999999999987,0.0,0.9999999999999987,(0.11695068327730705+0.025636739041392978j),0.11695068327730705,0.025636739041392978,0.6457039792064848,-0.8830493167226916,-0.35429602079351386
no_self,all_excitatory_E_E_E_chains,Two-step chains containing only excitatory nodes.,4472,355,(0.9999999999999987+0j),0.9999999999999987,0.0,0.9999999999999987,(0.11695068327730705+0.025636739041392978j),0.11695068327730705,0.025636739041392978,0.6457039792064848,-0.8830493167226916,-0.35429602079351386
no_self,all_inhibitory_edges_I_to_I,All edges with inhibitory source and inhibitory receiver.,692,692,(0.9999999999999987+0j),0.9999999999999987,0.0,0.9999999999999987,(0.9855191909677544+0j),0.9855191909677544,0.0,0.9855191909677544,-0.014480809032244246,-0.014480809032244246
no_self,all_inhibitory_I_I_I_chains,Two-step chains containing only inhibitory nodes.,9553,692,(0.9999999999999987+0j),0.9999999999999987,0.0,0.9999999999999987,(0.9855191909677544+0j),0.9855191909677544,0.0,0.9855191909677544,-0.014480809032244246,-0.014480809032244246
no_self,E_I_E_inhibitory_feedback,Expected-sign E->I->E inhibitory feedback paths.,1341,515,(0.9999999999999987+0j),0.9999999999999987,0.0,0.9999999999999987,(1.1716432575833915+0j),1.1716432575833915,0.0,1.1716432575833915,0.17164325758339283,0.17164325758339283
no_self,E_I_I_E_disinhibitory_feedback,Expected-sign E->I->I->E disinhibitory feedback paths.,11255,1159,(0.9999999999999987+0j),0.9999999999999987,0.0,0.9999999999999987,(1.1716432575833915+0j),1.1716432575833915,0.0,1.1716432575833915,0.17164325758339283,0.17164325758339283
