variant,inhibitory_cell,ii_chain_order,score,I_to_E_abs,E_to_I_abs,II_chain_participation,positive_disinhibitory_drive_to_E
with_self,CA1 Perforant Path Associated,2,2.7575139403977222,0.07415843497187746,35.94133356475247,0.006571411572364454,0.0
with_self,MEC LIII Superficial Multipolar Interneuron,2,1.5420572814615288,0.06316394868943959,22.015365842850407,0.06075076012466239,0.0
with_self,DG AIPRIM,2,0.4886851446909587,0.030742911379953764,14.03439452631805,0.05729992527238846,0.0
with_self,CA1 Basket CCK+,2,0.22164117647487266,0.012802673277689431,15.642120563803086,0.04025813396194819,0.0
with_self,CA1 Back Projection,2,0.1784749799444305,0.0191608100822196,8.07074404049945,0.02688205239565379,0.0
with_self,CA1 Trilaminar,2,0.1385681112601865,0.002253839757823589,59.7276390249595,0.01240402916491555,0.0
with_self,CA1 Basket,2,0.13490369331873028,0.007599707338740596,16.25629282444888,0.028678042652934655,0.0
with_self,MEC LIII Superficial Trilayered Interneuron,2,0.10896162795927297,0.043587015436840675,1.4641999915043584,0.014473014877317381,0.0
with_self,CA2 Wide Arbor Basket,2,0.08735632793751638,0.02149468000921929,2.923776742959107,0.035759909645678156,0.0
with_self,DG Total Molecular Layer,2,0.07888260728990598,0.021368946173572916,2.6094313319311726,0.022726167016543414,0.0
with_self,CA3 Basket CCK+,2,0.0609914448843631,0.032951551965160336,0.7755135217856031,0.042483197395898675,0.0
with_self,CA3 Basket,2,0.06094435428625997,0.014480153167200124,3.0151990726418383,0.048221931191927,0.0
with_self,DG MOLAX,2,0.03966102651240852,0.009607795833213003,3.0672648879018904,0.014933826548440245,0.0
with_self,DG Basket,2,0.037439547401520994,0.009053485046684991,3.090481717738366,0.010974835239268604,0.0
with_self,CA1 Horizontal Basket,2,0.02641946377266723,0.0035720289209810437,6.194594881379235,0.02802266030075371,0.0
with_self,CA2 Basket,2,0.024182832919264267,0.002589557548918925,8.287918184756094,0.005456363716296896,0.0
with_self,CA3 O LM,2,0.022878515761902505,0.012399967108513758,0.8302661803369308,0.00807549611189462,0.0
with_self,CA1 Bistratified,2,0.021979799452773962,0.002289992456519364,8.417580464599403,0.019178689618586514,0.0
with_self,DG HIPP,2,0.021129750095792574,0.012312016548137981,0.701086269807703,0.008878416125859177,0.0
with_self,DG Axo Axonic,2,0.019800319860546756,0.001105257487301526,16.59817467709233,0.01798438488622333,0.0
no_self,CA1 Perforant Path Associated,1,10.264406730326336,0.1310110708779417,63.49530705286835,0.21478030311359686,0.0004133322754856405
no_self,MEC LIII Superficial Multipolar Interneuron,1,5.14215429604764,0.11158779930861505,38.893170492814015,0.15512727413051045,0.0006810327323155141
no_self,DG AIPRIM,1,2.2089255887790205,0.05431157957042623,24.793687416862454,0.5767949484627235,0.003469601272637183
no_self,CA1 Basket CCK+,1,1.03201139920228,0.022617682490826116,27.633956496558383,0.5935108704915233,0.0018859390601656454
no_self,CA1 Back Projection,1,0.8596915895258724,0.03385020528969369,14.258078935033785,0.6644912398082291,0.008905371275682892
no_self,CA1 Basket,1,0.5737863244936429,0.013425927841990313,28.718976233035363,0.43804355415252844,0.0010574698389978479
no_self,CA1 Trilaminar,1,0.5663428020303303,0.003981717796117531,105.51708585326125,0.3353331564207276,0.0016963660965595856
no_self,CA2 Wide Arbor Basket,1,0.38104033045047625,0.037973307382422654,5.165253585089182,0.6275771196677539,0.006248108586280581
no_self,MEC LIII Superficial Trilayered Interneuron,1,0.3190294284931985,0.07700245522871912,2.586710587126117,0.15512727413051045,0.016323395279044882
no_self,DG Total Molecular Layer,1,0.28247306251184034,0.03775118127552909,4.609919199459904,0.33379746195249055,0.004650221666321313
no_self,CA3 Basket,1,0.2551818986957597,0.025581181340071632,5.326763699460297,0.57669486792811,0.0025378503721645114
no_self,CA3 Basket CCK+,1,0.22015334442138257,0.05821344681401258,1.3700512559088542,0.5956742414064324,0.005369346232099936
no_self,DG MOLAX,1,0.1354971938876491,0.01697349224485656,5.418745120264813,0.24368089846728777,0.002056946319869259
no_self,DG Basket,1,0.12880112950460476,0.015994226032324317,5.4597608420828525,0.2466369719559344,0.0014171518956917863
no_self,CA1 Horizontal Basket,1,0.1074377755126093,0.006310480181009372,10.943603507440141,0.4254737459086071,0.0010487873513026604
no_self,CA1 Bistratified,1,0.09162407556391526,0.004045586508733393,14.870813162206229,0.4270163023689848,0.003373242694854105
no_self,CA2 Basket,1,0.07893822707030218,0.004574809429467888,14.641746918545754,0.10313612187219921,0.0006627261966118783
no_self,DG Axo Axonic,1,0.07870047093839816,0.0019525893050756497,29.322957528562142,0.3292138789417234,0.0
no_self,CA3 O LM,1,0.062202720740285496,0.02190624667785533,1.4667793547818144,0.15109482720223355,0.002521688170740706
no_self,DG HIPP,1,0.05737551087487531,0.02175086992127309,1.238565282832092,0.17836591088057135,0.0027613676469692384
