variant,motif,E_source,I_middle,E_receiver,E_to_I,I_to_E,signed_contribution,abs_contribution
with_self,E-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,DG Granule,29.51680665294874,-0.0006983350568499332,-0.020612620852015446,0.020612620852015446
with_self,E-I-E,EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,1.333366542090602,-0.015335705705200414,-0.020448116886662194,0.020448116886662194
with_self,E-I-E,DG Semilunar Granule,DG AIPRIM,DG Hilar Ectopic Granule,1.6744762111676674,-0.012063923192853404,-0.020200752399786918,0.020200752399786918
with_self,E-I-E,EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,1.333366542090602,-0.014714947928216553,-0.019620419236089374,0.019620419236089374
with_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA1 Pyramidal,6.237137836109077,-0.0030499161753801966,-0.01902274757442491,0.01902274757442491
with_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,DG Mossy,6.237137836109077,-0.0026448284734727425,-0.016496159741915453,0.016496159741915453
with_self,E-I-E,CA3c Pyramidal,CA1 Bistratified,CA1 Pyramidal,7.417384403119963,-0.0022076793634634544,-0.016375206477643636,0.016375206477643636
with_self,E-I-E,DG Semilunar Granule,DG AIPRIM,DG Mossy,1.6744762111676674,-0.009181942400868488,-0.015374944122566021,0.015374944122566021
with_self,E-I-E,CA3 Pyramidal,CA1 Horizontal Basket,CA1 Pyramidal,4.548459376947171,-0.003260380321643854,-0.014829707446395021,0.014829707446395021
with_self,E-I-E,DG Semilunar Granule,DG AIPRIM,DG Granule,1.6744762111676674,-0.008851225240131863,-0.014821166104287629,0.014821166104287629
with_self,E-I-E,DG Granule,DG Total Molecular Layer,DG Hilar Ectopic Granule,1.7058338752319124,-0.008247490695680747,-0.01406884901435223,0.01406884901435223
with_self,E-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,1.6789451712394614,-0.00796535851434445,-0.013373400214849744,0.013373400214849744
with_self,E-I-E,CA3c Pyramidal,DG AIPRIM,DG Hilar Ectopic Granule,1.0317351496555047,-0.012063923192853404,-0.01244677360081112,0.01244677360081112
with_self,E-I-E,CA2 Pyramidal,DG AIPRIM,DG Hilar Ectopic Granule,1.024493603627726,-0.012063923192853404,-0.012359412145734485,0.012359412145734485
with_self,E-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,1.5290396361113443,-0.00796535851434445,-0.012179348884269635,0.012179348884269635
with_self,E-I-E,DG Granule,DG Basket,DG Granule,1.3290856835877705,-0.009053485046684991,-0.012032857362124979,0.012032857362124979
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII V Bipolar Pyramidal,15.570332158163962,-0.000771661225425057,-0.012015021593443975,0.012015021593443975
with_self,E-I-E,EC LIII Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,0.16495408607704418,-0.07220663505536314,-0.011910779494256086,0.011910779494256086
with_self,E-I-E,DG Granule,DG Total Molecular Layer,DG Granule,1.7058338752319124,-0.006960956040014377,-0.011874234617056712,0.011874234617056712
with_self,E-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Radiatum Giant,13.314089769914585,-0.0008728589049074752,-0.011621321816407463,0.011621321816407463
no_self,E-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,52.14549700201241,-0.12756294798674275,-6.651833321810559,6.651833321810559
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,27.507132408334723,-0.0270926325221019,-0.7452406300758124,0.7452406300758124
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,27.507132408334723,-0.02599597856561931,-0.7150748244887217,0.7150748244887217
no_self,E-I-E,CA2 Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,3.969522814160257,-0.12756294798674275,-0.5063640322749136,0.5063640322749136
no_self,E-I-E,EC LIII Pyramidal Stellate,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,3.9136582424680495,-0.12756294798674275,-0.49923778282183884,0.49923778282183884
no_self,E-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Pyramidal,23.521170035249977,-0.021075657232328664,-0.49572411736624844,0.49572411736624844
no_self,E-I-E,CA3 Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,3.081432963171972,-0.12756294798674275,-0.3930766728057408,0.3930766728057408
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,27.507132408334723,-0.014071900914396784,-0.3870776416892788,0.3870776416892788
no_self,E-I-E,DG Granule,DG AIPRIM,DG Hilar Ectopic Granule,15.113323215471299,-0.021312578900624397,-0.32210389348037044,0.32210389348037044
no_self,E-I-E,CA3c Pyramidal,CA1 Basket,CA1 Pyramidal,23.75884755384106,-0.012698615868550379,-0.30170447856567545,0.30170447856567545
no_self,E-I-E,DG Granule,DG AIPRIM,DG Mossy,15.113323215471299,-0.016221163609150324,-0.2451556885561298,0.2451556885561298
no_self,E-I-E,DG Granule,DG AIPRIM,DG Granule,15.113323215471299,-0.015636906276828677,-0.23632561865174373,0.23632561865174373
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII Stellate,27.507132408334723,-0.008531717969290186,-0.23468309585183378,0.23468309585183378
no_self,E-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Pyramidal,82.72098568137669,-0.0027151081269391197,-0.2245964204919204,0.2245964204919204
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LII Stellate,27.507132408334723,-0.007221942323491191,-0.1986549237376287,0.1986549237376287
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII Pyramidal,27.507132408334723,-0.005179006466739306,-0.14245961662421988,0.14245961662421988
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LII Oblique Pyramidal,27.507132408334723,-0.004946784699312637,-0.136071861719517,0.136071861719517
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII Pyramidal Stellate,27.507132408334723,-0.004563354845013526,-0.12552480594800283,0.12552480594800283
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LV Superficial Pyramidal,27.507132408334723,-0.00432138294665431,-0.11886885290073977,0.11886885290073977
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LII III Pyramidal Tripolar,27.507132408334723,-0.0037588129611850814,-0.10339416582148277,0.10339416582148277
no_self,E-I-E,CA3 Pyramidal,CA1 Trilaminar,SUB CA1 Projecting Pyramidal,82.72098568137669,-0.0012125640268817793,-0.10030449150544013,0.10030449150544013
no_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA3 Pyramidal,11.018761485889685,-0.007917769100420967,-0.08724400921788597,0.08724400921788597
no_self,E-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,2.966087470870238,-0.0270926325221019,-0.08035911787669797,0.08035911787669797
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LI II Multipolar Pyramidal,27.507132408334723,-0.002835974445392511,-0.07800952457606543,0.07800952457606543
no_self,E-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,2.966087470870238,-0.02599597856561931,-0.0771063463164947,0.0771063463164947
