variant,motif,E_source,I_first,I_second,E_receiver,E_to_I,I_to_I,I_to_E,signed_contribution,abs_contribution
with_self,E-I-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,1.6789451712394614,-0.1789938833343111,-0.014714947928216553,0.0044221496318329724,0.0044221496318329724
with_self,E-I-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,1.5290396361113443,-0.1789938833343111,-0.015335705705200414,0.004197210005813748,0.004197210005813748
with_self,E-I-I-E,CA3c Pyramidal,CA1 OR LM,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,13.624940861972437,-0.00417765180206035,-0.07220663505536314,0.004110020350455963,0.004110020350455963
with_self,E-I-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,1.5290396361113443,-0.1789938833343111,-0.014714947928216553,0.004027315590595553,0.004027315590595553
with_self,E-I-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Basket CCK+,CA1 Pyramidal,46.8239729387239,-0.006659266306275778,-0.011929814372781955,0.003719874851393162,0.003719874851393162
with_self,E-I-I-E,EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,1.333366542090602,-0.1789938833343111,-0.015335705705200414,0.003660087848417569,0.003660087848417569
with_self,E-I-I-E,EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,1.333366542090602,-0.1789938833343111,-0.014714947928216553,0.0035119350317148546,0.0035119350317148546
with_self,E-I-I-E,CA3c Pyramidal,CA1 Basket,CA1 Basket CCK+,CA1 Pyramidal,13.448626436843563,-0.01954958135689342,-0.011929814372781955,0.0031365273446367775,0.0031365273446367775
with_self,E-I-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Horizontal Basket,CA1 Pyramidal,13.314089769914585,-0.05812453152432546,-0.003260380321643854,0.0025231275730898846,0.0025231275730898846
with_self,E-I-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Basket,CA1 Pyramidal,46.8239729387239,-0.007335821891274717,-0.007188014515186289,0.002469027823132942,0.002469027823132942
with_self,E-I-I-E,CA3c Pyramidal,CA1 Basket,CA1 Basket,CA1 Pyramidal,13.448626436843563,-0.025024621462370063,-0.007188014515186289,0.0024191031811600368,0.0024191031811600368
with_self,E-I-I-E,DG Granule,DG AIPRIM,DG Basket,DG Granule,8.554852573701082,-0.03108981350161072,-0.009053485046684991,0.0024079442915876364,0.0024079442915876364
with_self,E-I-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,1.6789451712394614,-0.1789938833343111,-0.00796535851434445,0.002393756837839866,0.002393756837839866
with_self,E-I-I-E,CA3c Pyramidal,CA1 LMR,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,13.086698098688611,-0.002509922736077846,-0.07220663505536314,0.002371742538298533,0.002371742538298533
with_self,E-I-I-E,CA3c Pyramidal,CA1 Schaffer Collateral Associated,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,3.4724074631549198,-0.00872613339881211,-0.07220663505536314,0.002187910918081777,0.002187910918081777
with_self,E-I-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,1.5290396361113443,-0.1789938833343111,-0.00796535851434445,0.002180028953278831,0.002180028953278831
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,EC LIII V Bipolar Pyramidal,15.570332158163962,-0.1789938833343111,-0.000771661225425057,0.0021506153733561397,0.0021506153733561397
with_self,E-I-I-E,DG Semilunar Granule,DG AIPRIM,DG AIPRIM,DG Hilar Ectopic Granule,1.6744762111676674,-0.10451361641756898,-0.012063923192853404,0.002111253687657616,0.002111253687657616
with_self,E-I-I-E,CA3c Pyramidal,CA1 Trilaminar,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,6.328006789873572,-0.0046052129419029055,-0.07220663505536314,0.0021042326724265412,0.0021042326724265412
with_self,E-I-I-E,EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,1.333366542090602,-0.1789938833343111,-0.00796535851434445,0.0019010479509107498,0.0019010479509107498
with_self,E-I-I-E,DG Granule,DG AIPRIM,DG Total Molecular Layer,DG Hilar Ectopic Granule,8.554852573701082,-0.025677983787481394,-0.008247490695680747,0.0018117375446505197,0.0018117375446505197
