variant,timestep,mean,median,max,sum
no_self,0,0.30904545616422535,0.28215759438969573,0.9212872441148805,131.34431886979579
no_self,1,0.2638456160375964,0.11205518209985349,2.9449630295240534,112.13438681597846
no_self,2,0.1709348360865023,0.07196129147083213,1.889812436363274,72.64730533676348
no_self,3,0.15181847840588142,0.07137217223018966,1.6469143463653337,64.5228533224996
no_self,4,0.1315993934301466,0.05487160053662423,2.8985995186347955,55.9297422078123
no_self,5,0.12772446046359526,0.06858672503484319,2.37554863175482,54.28289569702798
no_self,6,0.11639268110279681,0.048746741246753766,2.676507369508434,49.46688946868864
no_self,7,0.11130987336114159,0.05368073306715337,2.093569697427504,47.306696178485176
no_self,8,0.10420695219698398,0.045644369934912866,2.367178625216545,44.28795468371819
no_self,9,0.098230242234887,0.04802261598296842,1.9428488338939833,41.74785294982697
no_self,10,0.09289761665633932,0.040134451068210536,2.0872752304384186,39.48148707894421
with_self,0,0.30108969476421066,0.2800539576445877,0.8722342185236424,127.96312027478953
with_self,1,0.1890501942862053,0.057784458480206184,3.32453434560709,80.34633257163725
with_self,2,0.08067037352943522,0.043527048099694314,1.1853559627552945,34.28490875000997
with_self,3,0.0564866772418762,0.02712639816359385,0.5876078002442939,24.006837827797384
with_self,4,0.05386771892412354,0.02554272130727782,0.6207744130691889,22.893780542752502
with_self,5,0.05193400445369071,0.024352159846998626,0.63927062523944,22.07195189281855
with_self,6,0.04966978221956482,0.023255509534440694,0.6101162499804207,21.109657443315047
with_self,7,0.04745027664974026,0.021805431484434454,0.5855808980150334,20.16636757613961
with_self,8,0.04518439903012819,0.020709719669998204,0.5578888181536982,19.20336958780448
with_self,9,0.042956088158428544,0.01967117634200369,0.5307941989804685,18.25633746733213
with_self,10,0.04081954433062698,0.018686774834793866,0.5044025295390472,17.34830634051647
