variant,seed_mode,eigenvalue,timestep,loading_rank,cell_type,initial_mode_loading,signal_real,signal_imag,signal_magnitude
with_self,0,(0.9499999999999992+0j),7,4,CA1 Perforant Path Associated (I),(0.22740329471565918+1.56939674446114e-05j),0.15880420195454262,1.0959682790253198e-05,0.15880420233272732
with_self,0,(0.9499999999999992+0j),7,5,DG Axo Axonic (I),(0.19408939572586037+1.3394848397753649e-05j),0.13553986381166633,9.354122211672925e-06,0.13553986413444813
with_self,0,(0.9499999999999992+0j),8,1,MEC LIII Superficial Multipolar Interneuron (I),(0.6703921326931578+4.6266314297536504e-05j),0.44475183780408606,3.069401818542677e-05,0.4447518388632416
with_self,0,(0.9499999999999992+0j),8,2,CA1 Trilaminar (I),(0.4927893978156722+3.4009273155162734e-05j),0.3269265548335484,2.256244666442544e-05,0.32692655561210854
with_self,0,(0.9499999999999992+0j),8,3,CA1 Perforant Path Associated QuadD (I),(0.2874237007986318+1.983620425897386e-05j),0.19068275554652545,1.3159743184626287e-05,0.19068275600062742
with_self,0,(0.9499999999999992+0j),8,4,CA1 Perforant Path Associated (I),(0.22740329471565918+1.56939674446114e-05j),0.15086399185681534,1.041169865074053e-05,0.15086399221609081
with_self,0,(0.9499999999999992+0j),8,5,DG Axo Axonic (I),(0.19408939572586037+1.3394848397753649e-05j),0.1287628706210829,8.886416101089271e-06,0.12876287092772562
with_self,0,(0.9499999999999992+0j),9,1,MEC LIII Superficial Multipolar Interneuron (I),(0.6703921326931578+4.6266314297536504e-05j),0.4225142459138814,2.915931727615541e-05,0.42251424692007916
with_self,0,(0.9499999999999992+0j),9,2,CA1 Trilaminar (I),(0.4927893978156722+3.4009273155162734e-05j),0.3105802270918707,2.143432433120415e-05,0.31058022783150285
with_self,0,(0.9499999999999992+0j),9,3,CA1 Perforant Path Associated QuadD (I),(0.2874237007986318+1.983620425897386e-05j),0.18114861776919902,1.2501756025394963e-05,0.1811486182005959
