variant,normalization,original_spectral_radius,achieved_spectral_radius,scale_factor,matrix_fro_norm,non_normality
with_self,spectral_radius,26213.130120909373,0.9499999999999992,3.624137962990598e-05,77.18213429907071,5869.90345291372
no_self,spectral_radius,14837.865933421039,0.9499999999999971,6.402537967809814e-05,136.34662276427372,18319.82922620786
