mode,eigenvalue,variance_fraction
1,1.5161643086936638,0.03460408487187881
2,1.0728796479164375,0.024486804089063317
3,0.6504923959747839,0.014846474059409635
4,0.610363332627702,0.013930590796672845
5,0.5162921099129193,0.011783561905306515
6,0.5134273885860691,0.011718179110473402
7,0.511234120499595,0.01166812118827068
8,0.5089484430906234,0.011615954167456201
9,0.5066362938249872,0.011563182967813952
10,0.5029759627533655,0.011479641621842878
