model,replicate,commutator_index,henrici_index,spectral_abscissa,numerical_abscissa,Gmax_at_90pct_stability
empirical,0,0.9853655860086126,0.9998761695600968,0.01560701803866301,0.5023791216283382,639.412492707557
symmetric,1,0.0,0.0,1.000000000000001,0.9999999999999997,1.0
weight_shuffled,2,0.6269623284828254,0.9872939757504453,0.181393674575982,0.5000303693875856,3.6190079943153144
weight_shuffled,3,0.6119537890453034,0.980089328649602,0.15768130254655663,0.5196494168176918,7.6366373767602616
weight_shuffled,4,0.77579487258778,0.9708806279400976,0.11857339934945459,0.5129703135869166,17.901351610596038
weight_shuffled,5,0.5306577462127473,0.8534555624776213,0.7492283953324653,0.7638159043919952,1.0
weight_shuffled,6,0.5008282206964354,0.8117730174448141,0.7708296238537067,0.8053248981635207,1.0
weight_shuffled,7,0.5984690973604114,0.9756490402907214,0.21240466629841964,0.5139060224867975,3.9510731905889163
weight_shuffled,8,0.6806253473417123,0.9752042047957297,0.20120249861826156,0.500335698319965,3.0136485287287176
weight_shuffled,9,0.6170658304847821,0.9813422986392801,0.15459027483207816,0.5021062763896755,5.115512644644551
weight_shuffled,10,0.680774025950954,0.9791384103253422,0.1399593682988242,0.5338701596355898,10.744916496848967
weight_shuffled,11,0.5968586555955466,0.921520874247938,0.6277576323951777,0.6284819203121947,1.0
weight_shuffled,12,0.5950876337423547,0.9518884629899148,0.42576269035806363,0.5005835555301605,1.024802357929546
weight_shuffled,13,0.5816576010961259,0.9736958854586965,0.2906900555848679,0.5027406651314105,1.6490374794037084
weight_shuffled,14,0.605107230537426,0.9582908138736094,0.42744527060118864,0.5013927811524633,1.0233217328030662
weight_shuffled,15,0.5909783719614666,0.9876700238530788,0.09671923601475278,0.5040985593744669,915.590601259684
weight_shuffled,16,0.6568622366729527,0.9869558439588652,0.08098934560965962,0.5291369414934686,101.59615478904094
weight_shuffled,17,0.6274094970280738,0.9807813568837828,0.13020331798774937,0.5039093136711733,15.994345125583198
weight_shuffled,18,0.6276400102277883,0.9908063636369395,0.08215551052590264,0.5215859352221963,31.834954345507395
weight_shuffled,19,0.6353580600774241,0.9855010919850132,0.11151630733232827,0.5065373765394217,91.98112316134029
weight_shuffled,20,0.5766897010347569,0.9845903365964802,0.1345576640200642,0.5311797449900877,22.1302227071709
weight_shuffled,21,0.6019414413604194,0.9827732845997449,0.1451624848204465,0.5062318670528141,5.909827008582548
weight_shuffled,22,0.6201899149779638,0.9819396460844901,0.12395064102547994,0.5001238806462038,
weight_shuffled,23,0.5812464355205481,0.9779787245752688,0.12201222100951789,0.5267603119643172,
weight_shuffled,24,0.5996098648689773,0.9791595495961114,0.15671951433287357,0.5000311948376791,
weight_shuffled,25,0.6017015899015283,0.9707702323618633,0.28268390148101175,0.5072903607954777,
weight_shuffled,26,0.6047984260316401,0.9885169523263928,0.09668830469427925,0.5020288936861994,
weight_shuffled,27,0.6672356996385774,0.9863921668959525,0.08892074514478494,0.5197426665220518,
weight_shuffled,28,0.5998497506091803,0.9802206977725093,0.16003367122857984,0.5305095314113607,
weight_shuffled,29,0.621688633373189,0.9450291913236716,0.318976698582704,0.5011197724191682,
weight_shuffled,30,0.49615713379161575,0.8028969614338483,0.8214353429372272,0.9123574593659265,
weight_shuffled,31,0.5896649814625877,0.9664489459188216,0.2860481361921107,0.5067053102343756,
weight_shuffled,32,0.7945885084576735,0.9909401208538693,0.06736015071086261,0.5004391372889239,
weight_shuffled,33,0.6050541728561526,0.9611110125582112,0.42739668287265764,0.5287221640280607,
weight_shuffled,34,0.5898508499820257,0.9704636574842076,0.2870209053433858,0.5130278070574256,
weight_shuffled,35,0.5869859096755187,0.9618832369066421,0.3321348781316016,0.5176638105222803,
weight_shuffled,36,0.6716163952971557,0.9905069412986865,0.06607251382298027,0.5324465428931887,
weight_shuffled,37,0.5897049990462003,0.9858633024360524,0.09079440180038836,0.5084243759985487,
weight_shuffled,38,0.5911687138811245,0.9690411168593126,0.29126140680297996,0.5008319547539875,
weight_shuffled,39,0.589825847599335,0.9643584705264197,0.168037341950371,0.5041078797913747,
weight_shuffled,40,0.5975029645120287,0.9737473615967442,0.16726335321510827,0.5009834033076221,
weight_shuffled,41,0.5922289189606323,0.9867230136369273,0.15840539676072787,0.5003584716804443,
weight_shuffled,42,0.6316550330286079,0.9718154788448508,0.3189190600483708,0.5001377675677532,
weight_shuffled,43,0.6166384849967633,0.9885411692822725,0.07212569705394205,0.5007766373615903,
weight_shuffled,44,0.5892104981649003,0.9839716108563019,0.11335423491467655,0.5008970978461678,
weight_shuffled,45,0.5733027049020473,0.9174552889692669,0.6285394227390922,0.6304253037026681,
weight_shuffled,46,0.6013110224930881,0.9688727163134941,0.2877311218491454,0.5024610765699695,
weight_shuffled,47,0.617329044462376,0.9800142302683947,0.10684943338411572,0.502006235633236,
weight_shuffled,48,0.532043573601356,0.8868643622231909,0.7413900209946696,0.7492784041411281,
weight_shuffled,49,0.6494186695376515,0.990235169529548,0.07907973014587523,0.5030777170812499,
weight_shuffled,50,0.586003068101966,0.9436609250502294,0.4237299928129871,0.5074587672543851,
weight_shuffled,51,0.6032175189808251,0.9889990162690391,0.07812379501349598,0.5004769520077478,
direction_randomized,52,0.6746142873506086,0.9587886657188516,0.21781585172696766,0.6271431104836898,21.029971578122694
direction_randomized,53,0.7471654239115052,0.933719957887694,0.26063956447396863,0.5950305844863091,6.4433245133033115
direction_randomized,54,0.8254756122907012,0.9595701663889292,0.20375730222479727,0.5618892784010074,10.079735945523815
direction_randomized,55,0.6339987063760957,0.9482130125679932,0.2485352051813916,0.6286836298022095,21.385685066835734
direction_randomized,56,0.7997003010780259,0.955738041666095,0.20413288871353824,0.562657106691508,11.80178457634683
direction_randomized,57,0.6307639881441756,0.9586877991555752,0.21369145397744851,0.6489601732136131,31.59245220816057
direction_randomized,58,0.8474402426194647,0.9513776954379709,0.21260307670987427,0.5494876118562311,7.8133924164353905
direction_randomized,59,0.6086303068219179,0.8745302243944013,0.40813896940279676,0.6740678949820431,2.922896127444297
direction_randomized,60,0.7566313139843449,0.8932908827123626,0.3298607931712239,0.5820608966961073,2.911735072572502
direction_randomized,61,0.6309954379581658,0.910106761310581,0.32239540513052445,0.6384241840411436,5.570197343418671
direction_randomized,62,0.6431975471227348,0.9351949443537911,0.2867192616665231,0.6450829369222926,7.781503520339168
direction_randomized,63,0.6368582175834759,0.9621807086707771,0.21736383313661503,0.6575222442303112,20.779033055762053
direction_randomized,64,0.6379989028171358,0.9302894660108686,0.2958339539048025,0.6558936682803056,8.235155295724706
direction_randomized,65,0.6122503305690516,0.909986709877225,0.3401255635265007,0.6745459698850849,5.507274024756717
direction_randomized,66,0.7841961792893223,0.9257895408087332,0.27327691408291643,0.5706396845167518,4.455577067198806
direction_randomized,67,0.6229037779314611,0.9378829677786993,0.28567269940320045,0.668976441803588,9.982310557421947
direction_randomized,68,0.7569792053988844,0.9431408180588069,0.2383128877113135,0.5762707926010184,9.151248778371853
direction_randomized,69,0.6305517424855909,0.9324556756476043,0.2963435289187576,0.6546351030241786,8.635307417890617
direction_randomized,70,0.612281938885324,0.9053838925927425,0.31930958491793615,0.6522389795382892,7.130436372735116
direction_randomized,71,0.6839630209907945,0.9469124684499044,0.25473308031117414,0.6313714504090854,11.74432151280185
direction_randomized,72,0.6258502154586026,0.9371512008369175,0.2757925611987163,0.6388576104850603,
direction_randomized,73,0.6609416110234889,0.955954696510373,0.2136622746917273,0.6280113304920921,
direction_randomized,74,0.6595668512826371,0.9051523573013059,0.35774833342141765,0.6591421428096165,
direction_randomized,75,0.6290031251341064,0.9082069494482762,0.3342391496482442,0.6477165282238105,
direction_randomized,76,0.610917926266761,0.8725036735614994,0.41693948464357367,0.6744462652499538,
direction_randomized,77,0.6698475647647418,0.9210186898454109,0.291446501281409,0.6072421190695492,
direction_randomized,78,0.720821811414387,0.9275819716292119,0.28910125151584,0.622282327958082,
direction_randomized,79,0.8439602782823457,0.9841776475905035,0.10736151662292084,0.5347673543833986,
direction_randomized,80,0.6178472559329655,0.9248508552470802,0.31709284753541567,0.6651841624418013,
direction_randomized,81,0.6446808496224411,0.9423859599157252,0.26927367304997507,0.6329414884891785,
direction_randomized,82,0.9131359568349879,0.9354514122866532,0.2355407253398886,0.528947623378256,
direction_randomized,83,0.6541963924320181,0.9191422089563983,0.32233998834010097,0.6595957876234895,
direction_randomized,84,0.6249891948379827,0.9294745353917548,0.3124532009040909,0.675784408533677,
direction_randomized,85,0.6649070294054863,0.8815524875470858,0.37315910697198207,0.629567564731632,
direction_randomized,86,0.7218722380313601,0.9664432682170502,0.1835262765350921,0.5759487225166373,
direction_randomized,87,0.6202301340306798,0.8992227489987694,0.3593450003593593,0.6677705390543286,
direction_randomized,88,0.770726806645015,0.8774098753371675,0.34890716791827403,0.5772483577706159,
direction_randomized,89,0.6592613750536017,0.936704991571336,0.2785787254048171,0.6230469400345651,
direction_randomized,90,0.6172901540135368,0.8934898502188148,0.3824341356498486,0.6708184063960075,
direction_randomized,91,0.7563931058845224,0.9498179089358538,0.1960705320236757,0.5600723892758741,
direction_randomized,92,0.6564594188255831,0.952075454605026,0.2292423806747864,0.6202208927750609,
direction_randomized,93,0.7532841443058728,0.9320378849985235,0.26890965434409264,0.590855961704892,
direction_randomized,94,0.7743774438408685,0.9766737920290035,0.14521225456241021,0.5737015719290115,
direction_randomized,95,0.6545023423913131,0.9471158005273461,0.2460611264683103,0.6185683710116293,
direction_randomized,96,0.6914524154873429,0.9265053129393339,0.29941028946657916,0.6201420085823933,
direction_randomized,97,0.7058786079729957,0.9646390210710205,0.19729798857647768,0.5928679082851133,
direction_randomized,98,0.6591040513033475,0.9272689729748447,0.3088283047253548,0.6479839909515948,
direction_randomized,99,0.6417356663212325,0.9654412665919362,0.21895976387002647,0.6521937604555953,
direction_randomized,100,0.711759736661463,0.9605682419454923,0.2091752939835455,0.6092149320314246,
direction_randomized,101,0.623068960524314,0.9453602570459013,0.2629807670158452,0.6501161833538491,
