target,source,weight,absolute_weight,weight_share,cumulative_weight_share
CA2 Wide Arbor Basket,CA1 Basket CCK+,-840.2643693921808,840.2643693921808,6.842314886509915e-05,0.9870009164706706
EC LIII Pyramidal,CA1 Basket,820.3720180263381,820.3720180263381,6.680330472037302e-05,0.987067719775391
DG AIPRIM,DG Basket,-814.9613267525268,814.9613267525268,6.636270941730325e-05,0.9871340824848083
LEC LIII Complex Pyramidal,LEC LIII Multipolar Principal,814.9191961799069,814.9191961799069,6.635927870365269e-05,0.987200441763512
CA1 Schaffer Collateral Associated,CA1 Perforant Path Associated QuadD,-809.5001785193163,809.5001785193163,6.591800537873305e-05,0.9872663597688907
MEC LII Stellate,DG HICAP,809.0861253559721,809.0861253559721,6.58842888220569e-05,0.9873322440577127
DG Basket,DG Axo Axonic,-783.9151475012219,783.9151475012219,6.383460347590624e-05,0.9873960786611886
CA3 O LM,CA3 Basket,-782.3590533842801,782.3590533842801,6.370788995181781e-05,0.9874597865511404
MEC LII Stellate,EC LII III Pyramidal Tripolar,779.0692730636243,779.0692730636243,6.344000149097956e-05,0.9875232265526314
EC LI II Pyramidal Fan,CA1 Neurogliaform Projecting,764.5540503966188,764.5540503966188,6.225801963201651e-05,0.9875854845722634
CA3 Basket,CA3 Basket CCK+,-751.4316450105925,751.4316450105925,6.118945558253082e-05,0.9876466740278459
MEC LII III Pyramidal Multiform,MEC LV Multipolar Pyramidal,750.744376370936,750.744376370936,6.113349095264231e-05,0.9877078075187985
MEC LII Stellate,DG Granule,746.9483238875063,746.9483238875063,6.0824376495770445e-05,0.9877686318952943
CA1 Basket CCK+,CA1 Bistratified,-744.3094987034007,744.3094987034007,6.0609495638057006e-05,0.9878292413909323
LEC LIII Complex Pyramidal,LEC LIII Complex Pyramidal,744.1845437655309,744.1845437655309,6.0599320494820265e-05,0.9878898407114272
CA1 Basket,CA1 Horizontal Basket,-730.8073859758965,730.8073859758965,5.951001182938897e-05,0.9879493507232565
MEC LII Stellate,EC LIII Pyramidal Stellate,723.0169044557828,723.0169044557828,5.8875629013457905e-05,0.9880082263522699
CA3 LMR Targeting,CA3 Basket,-722.4866737044521,722.4866737044521,5.883245205754652e-05,0.9880670588043274
CA3c Pyramidal,CA3 Basket CCK+,715.8102548996459,715.8102548996459,5.8288787927056915e-05,0.9881253475922545
CA1 Ivy,CA1 Perforant Path Associated QuadD,-694.5422768954598,694.5422768954598,5.655692581550179e-05,0.98818190451807
CA1 Horizontal Basket,CA1 Radial Trilaminar,-689.3946947481963,689.3946947481963,5.613775562051623e-05,0.9882380422736905
EC LIII V Bipolar Pyramidal,LEC LVI Multipolar Pyramidal,689.2334744065386,689.2334744065386,5.612462736726742e-05,0.9882941669010578
EC LI II Pyramidal Fan,MEC LV Pyramidal,688.9052098564124,688.9052098564124,5.6097896620375624e-05,0.9883502647976782
DG Semilunar Granule,CA3 Mossy Fiber Associated ORDEN,687.4220516208517,687.4220516208517,5.5977122301674386e-05,0.9884062419199798
EC LI II Pyramidal Fan,SUB CA1 Projecting Pyramidal,687.3512535869128,687.3512535869128,5.597135718227623e-05,0.9884622132771621
EC LI II Pyramidal Fan,EC LIII V Bipolar Pyramidal,685.3833295401618,685.3833295401618,5.581110814053303e-05,0.9885180243853027
DG AIPRIM,DG HIPROM,-684.0365710827739,684.0365710827739,5.570144092415226e-05,0.9885737258262268
MEC LII Stellate,EC LIII Pyramidal,674.0780930568393,674.0780930568393,5.489051706582987e-05,0.9886286163432927
DG AIPRIM,DG Total Molecular Layer,-673.1003302638511,673.1003302638511,5.481089735139668e-05,0.9886834272406441
CA1 Basket CCK+,CA1 OR LM,-668.9370378029282,668.9370378029282,5.4471878359042246e-05,0.9887378991190031
MEC LV Pyramidal,MEC LV Multipolar Pyramidal,662.4278400096001,662.4278400096001,5.394183111935334e-05,0.9887918409501225
EC LIV VI Deep Multipolar Principal,MEC LV Superficial Pyramidal,661.0676619796182,661.0676619796182,5.383107114044835e-05,0.988845672021263
CA1 Basket,CA1 Basket,-655.9736586196078,655.9736586196078,5.3416263892970476e-05,0.9888990882851559
MEC LIII Complex Pyramidal,MEC LIII Superficial Trilayered Interneuron,649.2359809662346,649.2359809662346,5.2867611423730006e-05,0.9889519558965797
EC LIII Pyramidal Stellate,MEC LIII Complex Pyramidal,647.4324185181202,647.4324185181202,5.272074642936627e-05,0.9890046766430091
CA3c Pyramidal,CA3c Pyramidal,639.8640695461409,639.8640695461409,5.210445197819567e-05,0.9890567810949873
EC LII III Pyramidal Tripolar,EC LIII V Bipolar Pyramidal,635.0999918117437,635.0999918117437,5.171651073981928e-05,0.9891084976057272
EC LV Deep Pyramidal,MEC LV VI Pyramidal Polymorphic,633.5577406795122,633.5577406795122,5.1590924456915986e-05,0.9891600885301841
CA1 Basket,CA1 Radial Trilaminar,-631.1171530677354,631.1171530677354,5.1392186184103445e-05,0.9892114807163682
EC LII III Pyramidal Tripolar,DG MOPP,620.5755624968898,620.5755624968898,5.0533779178906196e-05,0.9892620144955471
EC LII III Pyramidal Tripolar,LEC LIII Multipolar Principal,618.570176482825,618.570176482825,5.037047959038312e-05,0.9893123849751374
DG Mossy,DG HIPP,613.0234907771255,613.0234907771255,4.991881019254405e-05,0.98936230378533
CA3 Basket,CA3 Axo Axonic,-610.1782909541363,610.1782909541363,4.968712414452065e-05,0.9894119909094745
DG Semilunar Granule,CA3 Mossy Fiber Associated,609.2590300449657,609.2590300449657,4.961226826781658e-05,0.9894616031777423
EC LV Deep Pyramidal,LEC LVI Multipolar Pyramidal,608.8907703194651,608.8907703194651,4.9582280693742515e-05,0.9895111854584361
CA1 Trilaminar,CA1 Perforant Path Associated QuadD,-607.6175480609322,607.6175480609322,4.947860156690179e-05,0.989560664060003
CA1 Back Projection,CA1 LMR,-607.4492455976291,607.4492455976291,4.946489661293679e-05,0.9896101289566159
EC LIII V Bipolar Pyramidal,EC LIII Pyramidal Stellate,601.3553812101552,601.3553812101552,4.896867018071347e-05,0.9896590976267966
CA1 Basket CCK+,CA1 Axo Axonic,-601.3361936537688,601.3361936537688,4.896710772837727e-05,0.989708064734525
CA2 Pyramidal,CA3 Granule,592.9863345985209,592.9863345985209,4.828717451931701e-05,0.9897563519090443
MEC LII III Pyramidal Multiform,MEC LV Superficial Pyramidal,589.7870748828476,589.7870748828476,4.802665719672487e-05,0.989804378566241
EC LI II Pyramidal Fan,DG Semilunar Granule,580.9097213417157,580.9097213417157,4.7303769847220366e-05,0.9898516823360882
CA2 Wide Arbor Basket,CA3 Basket CCK+,-578.7281860003933,578.7281860003933,4.712612633066646e-05,0.9898988084624188
EC LIII V Bipolar Pyramidal,LEC LIII Complex Pyramidal,578.5387259197909,578.5387259197909,4.711069850131743e-05,0.9899459191609201
MEC LIII Complex Pyramidal,MEC LII Oblique Pyramidal,569.2148212010752,569.2148212010752,4.6351448265544405e-05,0.9899922706091857
MEC LV Pyramidal,MEC LV Pyramidal,565.2447275074132,565.2447275074132,4.602816154566799e-05,0.9900382987707314
DG HIPP,DG AIPRIM,-561.3452951927815,561.3452951927815,4.5710628817312e-05,0.9900840093995487
CA1 Bistratified,CA1 Trilaminar,-557.8856530916332,557.8856530916332,4.542890842652824e-05,0.9901294383079752
CA1 Back Projection,CA1 Trilaminar,-557.8829332191739,557.8829332191739,4.542868694595027e-05,0.9901748669949211
LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179,556.0635991085179,4.528053765719867e-05,0.9902201475325783
DG Total Molecular Layer,DG MOLAX,-554.467384930797,554.467384930797,4.515055713644687e-05,0.9902652980897148
DG HIPP,DG HICAP,-554.4265999454675,554.4265999454675,4.5147235994643986e-05,0.9903104453257094
CA3 Trilaminar,CA1 Perforant Path Associated QuadD,-554.0088993235377,554.0088993235377,4.5113222423586554e-05,0.9903555585481331
MEC LIII Complex Pyramidal,EC LI II Multipolar Pyramidal,552.0532459996851,552.0532459996851,4.495397259296089e-05,0.990400512520726
CA1 Back Projection,CA3 Lucidum ORAX,-551.4132245194545,551.4132245194545,4.4901855322951736e-05,0.9904454143760489
DG MOLAX,DG Axo Axonic,-550.8667669744976,550.8667669744976,4.4857357011100086e-05,0.99049027173306
CA1 Horizontal Basket,CA1 Horizontal Basket,-549.1605773609149,549.1605773609149,4.471842113547001e-05,0.9905349901541955
MEC LII III Pyramidal Multiform,MEC LV Pyramidal,548.8069668104904,548.8069668104904,4.468962645106673e-05,0.9905796797806466
EC LII III Pyramidal Tripolar,DG Total Molecular Layer,546.6716764298945,546.6716764298945,4.451574868484964e-05,0.9906241955293315
EC LIII Pyramidal,CA1 Quadrilaminar,542.7166345839955,542.7166345839955,4.4193687644482786e-05,0.990668389216976
LEC LIII Multipolar Principal,EC LI II Multipolar Pyramidal,539.4518276519966,539.4518276519966,4.392783277920323e-05,0.9907123170497552
LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449,538.1000722266449,4.3817758657215945e-05,0.9907561348084124
SUB CA1 Projecting Pyramidal,CA1 LMR,529.5048308792063,529.5048308792063,4.311784384508049e-05,0.9907992526522574
MEC LV Pyramidal,DG Semilunar Granule,525.4341809218159,525.4341809218159,4.278636877823491e-05,0.9908420390210356
CA2 Wide Arbor Basket,CA1 Bistratified,-524.6485527681231,524.6485527681231,4.2722394683806005e-05,0.9908847614157195
MEC LIII Complex Pyramidal,MEC LIII Bipolar Complex Pyramidal,523.6053163655115,523.6053163655115,4.263744342051608e-05,0.9909273988591399
CA2 Wide Arbor Basket,CA3 Axo Axonic,-521.1771700681137,521.1771700681137,4.243971825017085e-05,0.9909698385773901
CA1 Basket,CA1 Basket CCK+,-512.4557199175513,512.4557199175513,4.17295261919224e-05,0.991011568103582
EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,511.5294987890816,511.5294987890816,4.1654103541071304e-05,0.9910532222071231
CA2 Pyramidal,CA1 Oriens Bistratified,511.097839403616,511.097839403616,4.161895330090095e-05,0.991094841160424
CA1 Ivy,CA1 Trilaminar,-510.5863982831911,510.5863982831911,4.157730639405438e-05,0.9911364184668181
EC LI II Pyramidal Fan,DG Neurogliaform,509.2126286221898,509.2126286221898,4.146543964182134e-05,0.9911778839064599
CA2 Wide Arbor Basket,CA2 Basket,-509.1925879443356,509.1925879443356,4.14638077193763e-05,0.9912193477141793
MEC LV Pyramidal,MEC LIII Superficial Trilayered Interneuron,502.9527822034839,502.9527822034839,4.0955697209579915e-05,0.9912603034113889
EC LIII V Bipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal,498.6740977178184,498.6740977178184,4.0607281786799047e-05,0.9913009106931757
MEC LIII Complex Pyramidal,MEC LII III Pyramidal Multiform,496.8518298322453,496.8518298322453,4.0458893599285094e-05,0.991341369586775
EC LIII Pyramidal,MEC LIII Superficial Multipolar Interneuron,496.4579948605953,496.4579948605953,4.042682342009496e-05,0.9913817964101951
LEC LIII Multipolar Principal,LEC LIII Multipolar Principal,496.4095848183002,496.4095848183002,4.0422881366080555e-05,0.9914222192915612
MEC LV Superficial Pyramidal,MEC LIII Complex Pyramidal,495.9622533998108,495.9622533998108,4.0386454944403916e-05,0.9914626057465056
CA2 Wide Arbor Basket,CA1 OR LM,-494.35979533382607,494.35979533382607,4.025596598070043e-05,0.9915028617124862
DG Semilunar Granule,DG Granule,488.2288969219253,488.2288969219253,3.975672384930107e-05,0.9915426184363355
CA1 Horizontal Basket,CA1 Basket,-483.5280988852144,483.5280988852144,3.937393550843247e-05,0.991581992371844
MEC LII III Pyramidal Multiform,MEC LIII Bipolar Complex Pyramidal,482.7749536321309,482.7749536321309,3.931260651288545e-05,0.9916213049783569
CA1 Basket CCK+,CA1 Ivy,-482.5912549741983,482.5912549741983,3.929764783907291e-05,0.9916606026261959
MEC LII Stellate,EC LV Deep Pyramidal,481.14979017513406,481.14979017513406,3.9180268637808526e-05,0.9916997828948337
EC LIV VI Deep Multipolar Principal,MEC LV Pyramidal,479.0772940932867,479.0772940932867,3.9011504242820367e-05,0.9917387943990765
SUB CA1 Projecting Pyramidal,CA1 Back Projection,477.1459483921526,477.1459483921526,3.885423379409926e-05,0.9917776486328707
CA1 Back Projection,CA3 Mossy Fiber Associated ORDEN,-476.568301606318,476.568301606318,3.880719572672625e-05,0.9918164558285973
DG MOLAX,DG AIPRIM,-474.9538748387004,474.9538748387004,3.8675732145648305e-05,0.991855131560743
DG MOLAX,DG HICAP,-472.0979319834816,472.0979319834816,3.844317128712445e-05,0.9918935747320301
EC LIII V Bipolar Pyramidal,EC LIII V Bipolar Pyramidal,471.82519386819655,471.82519386819655,3.842096208565987e-05,0.9919319956941157
EC LII III Pyramidal Tripolar,MEC LV Pyramidal,470.4055175072192,470.4055175072192,3.830535712783251e-05,0.9919703010512435
CA2 Basket,CA2 Basket,-469.44380375494126,469.44380375494126,3.8227044294830524e-05,0.9920085280955383
CA1 Back Projection,CA1 Perforant Path Associated,-467.9332789471777,467.9332789471777,3.810404150243461e-05,0.9920466321370407
DG Semilunar Granule,CA3 Spiny Lucidum,462.5715872249977,462.5715872249977,3.766743625742004e-05,0.9920842995732981
SUB CA1 Projecting Pyramidal,CA1 R Receiving Apical Targeting,460.1612013814821,460.1612013814821,3.747115732973862e-05,0.9921217707306279
MEC LV Multipolar Pyramidal,MEC LIII Complex Pyramidal,457.2402797600769,457.2402797600769,3.723330521770718e-05,0.9921590040358456
MEC LII Oblique Pyramidal,MEC LIII Complex Pyramidal,455.4398944649327,455.4398944649327,3.7086698940502674e-05,0.9921960907347861
MEC LV Pyramidal,MEC LV Superficial Pyramidal,453.2801715688166,453.2801715688166,3.691083162229756e-05,0.9922330015664084
EC LII III Pyramidal Tripolar,MEC LV Superficial Pyramidal,438.2727778018677,438.2727778018677,3.5688772023916754e-05,0.9922686903384322
EC LII III Pyramidal Tripolar,SUB CA1 Projecting Pyramidal,436.50277366050136,436.50277366050136,3.5544639699295926e-05,0.9923042349781316
CA3 Basket CCK+,CA3c Pyramidal,-433.6715861128751,433.6715861128751,3.531409467788037e-05,0.9923395490728094
EC LIII V Bipolar Pyramidal,EC LV Deep Pyramidal,430.7344261554038,430.7344261554038,3.5074920270002e-05,0.9923746239930794
CA3 Basket CCK+,CA3 Pyramidal,-430.0917332357797,430.0917332357797,3.502258546334372e-05,0.9924096465785428
CA3 Trilaminar,CA1 Trilaminar,-429.0116268417959,429.0116268417959,3.493463185817162e-05,0.992444581210401
EC LI II Pyramidal Fan,EC LV Deep Pyramidal,426.2149282942818,426.2149282942818,3.470689529332621e-05,0.9924792881056943
CA2 Wide Arbor Basket,CA1 Axo Axonic,-422.6284678666892,422.6284678666892,3.441484802263989e-05,0.992513702953717
MEC LII Stellate,EC LIII V Bipolar Pyramidal,422.6029284808215,422.6029284808215,3.441276833764454e-05,0.9925481157220546
LEC LIII Complex Pyramidal,EC LIII Stellate,422.07977447495017,422.07977447495017,3.4370167644663835e-05,0.9925824858896992
EC LIII Pyramidal Stellate,MEC LIII Bipolar Complex Pyramidal,418.9168875087689,418.9168875087689,3.4112612173298254e-05,0.9926165985018726
CA1 Horizontal Basket,CA1 Basket CCK+,-418.0473811598559,418.0473811598559,3.4041807835380345e-05,0.992650640309708
CA3c Pyramidal,CA3 Trilaminar,415.4058964621792,415.4058964621792,3.382671041214347e-05,0.9926844670201201
CA1 Back Projection,CA3 Axo Axonic,-412.59479017064496,412.59479017064496,3.3597800617479204e-05,0.9927180648207377
LEC LIII Multipolar Principal,EC LIII Stellate,407.20715251546153,407.20715251546153,3.31590825821322e-05,0.9927512239033198
CA1 Back Projection,CA3 O LM,-406.0966533461606,406.0966533461606,3.306865407802865e-05,0.9927842925573979
LEC LIII Multipolar Principal,EC LIII Pyramidal Stellate,406.0536249631236,406.0536249631236,3.306515025522572e-05,0.9928173577076531
DG Basket,DG Total Molecular Layer,-403.2172190261984,403.2172190261984,3.283418029775332e-05,0.9928501918879509
EC LII III Pyramidal Tripolar,EC LV Deep Pyramidal,402.69113718335626,402.69113718335626,3.279134118954021e-05,0.9928829832291404
MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,-401.9968491463907,401.9968491463907,3.273480496660966e-05,0.9929157180341069
CA2 Pyramidal,CA3 LMR Targeting,401.9931719312679,401.9931719312679,3.2734505529138646e-05,0.992948452539636
EC LIII Pyramidal Stellate,LEC LIII Multipolar Principal,400.0823418406856,400.0823418406856,3.257890567687025e-05,0.9929810314453129
EC LIII Pyramidal,CA1 Pyramidal,399.8181948870682,399.8181948870682,3.2557396058007435e-05,0.9930135888413709
EC LV Deep Pyramidal,EC LV Deep Pyramidal,398.1782023002817,398.1782023002817,3.242385063945717e-05,0.9930460126920104
MEC LV Pyramidal,EC LI II Multipolar Pyramidal,397.3319836201498,397.3319836201498,3.235494262808335e-05,0.9930783676346385
CA1 Perforant Path Associated,CA1 LMR,-393.0028488398775,393.0028488398775,3.2002419012519454e-05,0.993110370053651
EC LIII Pyramidal Stellate,SUB CA1 Projecting Pyramidal,389.79456390732304,389.79456390732304,3.174116676199189e-05,0.993142111220413
EC LI II Pyramidal Fan,MEC LV Superficial Pyramidal,389.0107918291259,389.0107918291259,3.1677343808721146e-05,0.9931737885642217
MEC LV Pyramidal,MEC LII Oblique Pyramidal,388.1786160658594,388.1786160658594,3.1609579319108074e-05,0.9932053981435408
MEC LV Pyramidal,MEC LIII Bipolar Complex Pyramidal,388.0471277671555,388.0471277671555,3.159887216102312e-05,0.9932369970157018
CA1 Back Projection,CA1 Oriens Alveus,-387.6543581593633,387.6543581593633,3.156688873494605e-05,0.9932685639044367
MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,-385.7248447647463,385.7248447647463,3.140976749186325e-05,0.9932999736719286
SUB CA1 Projecting Pyramidal,CA1 OR LM,385.0131625856294,385.0131625856294,3.135181485521679e-05,0.9933313254867838
CA1 Back Projection,CA1 Radial Trilaminar,-384.5921097228289,384.5921097228289,3.131752830950462e-05,0.9933626430150934
EC LIII V Bipolar Pyramidal,MEC LV Superficial Pyramidal,384.0111387577682,384.0111387577682,3.127021955255066e-05,0.9933939132346459
CA3c Pyramidal,CA3 Pyramidal,382.3961213101277,382.3961213101277,3.11387078721023e-05,0.993425051942518
CA3c Pyramidal,CA3 Granule,376.32060309984416,376.32060309984416,3.064397537828544e-05,0.9934556959178963
EC LII III Pyramidal Tripolar,EC LI II Pyramidal Fan,372.0363013112631,372.0363013112631,3.0295102535711923e-05,0.993485991020432
DG Basket,DG MOLAX,-371.4702751004077,371.4702751004077,3.0249010737585433e-05,0.9935162400311696
MEC LV Pyramidal,MEC LII III Pyramidal Multiform,371.36559757132704,371.36559757132704,3.0240486793912446e-05,0.9935464805179635
EC LI II Pyramidal Fan,EC LI II Pyramidal Fan,370.7544610085407,370.7544610085407,3.0190721637212203e-05,0.9935766712396007
CA1 Back Projection,CA1 Basket,-370.3578392858256,370.3578392858256,3.0158424531485705e-05,0.9936068296641322
CA1 Bistratified,CA1 LMR,-368.01134441906805,368.01134441906805,2.9967348278073363e-05,0.9936367970124103
LEC LIII Complex Pyramidal,EC LII III Pyramidal Tripolar,366.36278097895246,366.36278097895246,2.9833104930639522e-05,0.9936666301173409
DG Total Molecular Layer,DG Total Molecular Layer,-364.8268314734505,364.8268314734505,2.970803179236013e-05,0.9936963381491333
EC LIII Pyramidal,CA1 Radial Trilaminar,361.2188813424776,361.2188813424776,2.9414234604353705e-05,0.9937257523837376
EC LIII Pyramidal Stellate,EC LIII Pyramidal Stellate,360.1830629372671,360.1830629372671,2.932988739231115e-05,0.99375508227113
EC LIII V Bipolar Pyramidal,MEC LV Multipolar Pyramidal,357.100892631283,357.100892631283,2.9078904719052623e-05,0.993784161175849
CA2 Pyramidal,CA3 Trilaminar,351.1978318712904,351.1978318712904,2.8598215521874276e-05,0.9938127593913709
CA2 Wide Arbor Basket,CA1 Ivy,-350.3181993762556,350.3181993762556,2.852658660680094e-05,0.9938412859779777
CA3c Pyramidal,DG Semilunar Granule,350.2833916824777,350.2833916824777,2.852375219884581e-05,0.9938698097301766
CA1 Back Projection,CA1 Basket CCK+,-344.9751917024145,344.9751917024145,2.8091502813209823e-05,0.9938979012329898
EC LIII V Bipolar Pyramidal,EC LII III Pyramidal Tripolar,340.43569682470206,340.43569682470206,2.77218494694476e-05,0.9939256230824592
DG Basket,DG Basket,-340.4290163310755,340.4290163310755,2.7721305473502333e-05,0.9939533443879327
EC LIII V Bipolar Pyramidal,EC LIII Stellate,338.62065230287004,338.62065230287004,2.757404948406451e-05,0.9939809184374168
CA1 Horizontal Basket,CA1 Bistratified,-334.4837806563393,334.4837806563393,2.7237181951872074e-05,0.9940081556193686
CA3 O LM,CA3 Axo Axonic,-333.0721548394777,333.0721548394777,2.712223255388819e-05,0.9940352778519225
CA3 LMR Targeting,CA3 LMR Targeting,-329.7500831496275,329.7500831496275,2.685171459066719e-05,0.9940621295665132
EC LV Deep Pyramidal,EC LIV VI Deep Multipolar Principal,326.6081416722669,326.6081416722669,2.6595864720957276e-05,0.9940887254312342
DG Total Molecular Layer,DG Basket,-324.88467420225913,324.88467420225913,2.6455521900816272e-05,0.994115180953135
LEC LIII Complex Pyramidal,EC LIII V Bipolar Pyramidal,324.0973058650725,324.0973058650725,2.6391406102373028e-05,0.9941415723592374
EC LII III Pyramidal Tripolar,CA1 Neurogliaform Projecting,318.0551929557946,318.0551929557946,2.5899393818964758e-05,0.9941674717530563
SUB CA1 Projecting Pyramidal,CA1 Basket CCK+,317.8185794217695,317.8185794217695,2.5880126260263197e-05,0.9941933518793166
CA3c Pyramidal,DG HIPP,317.71454604696333,317.71454604696333,2.5871654770395726e-05,0.994219223534087
CA2 Wide Arbor Basket,CA2 Wide Arbor Basket,-316.75689476205247,316.75689476205247,2.5793672746148155e-05,0.9942450172068331
DG AIPRIM,DG Hilar Ectopic Granule,-316.23318842292275,316.23318842292275,2.5751027076393304e-05,0.9942707682339095
CA1 Basket,CA1 OR LM,-315.3446292139412,315.3446292139412,2.567867125452788e-05,0.994296446905164
CA1 Basket CCK+,CA1 Pyramidal,-312.7177764720282,312.7177764720282,2.5464765318784565e-05,0.9943219116704829
LEC LIII Multipolar Principal,EC LII III Pyramidal Tripolar,312.6527957360244,312.6527957360244,2.5459473904873763e-05,0.9943473711443878
MEC LV Multipolar Pyramidal,MEC LV VI Pyramidal Polymorphic,310.0494867467437,310.0494867467437,2.524748514871092e-05,0.9943726186295365
CA1 Bistratified,CA1 R Receiving Apical Targeting,-308.5798668736339,308.5798668736339,2.5127813265651493e-05,0.9943977464428022
CA1 Bistratified,CA1 Perforant Path Associated,-308.31491185557314,308.31491185557314,2.510623784569594e-05,0.9944228526806479
MEC LII III Pyramidal Multiform,MEC LII Stellate,308.0929075038045,308.0929075038045,2.5088159920029816e-05,0.994447940840568
MEC LII III Pyramidal Multiform,MEC LII III Pyramidal Multiform,307.79730677822744,307.79730677822744,2.506408900474702e-05,0.9944730049295727
EC LIII V Bipolar Pyramidal,EC LIII Pyramidal,304.9686783779771,304.9686783779771,2.4833752375985313e-05,0.9944978386819486
LEC LIII Complex Pyramidal,EC LIII Pyramidal,304.8668842320541,304.8668842320541,2.4825463227648433e-05,0.9945226641451763
CA1 Schaffer Collateral Associated,CA1 Trilaminar,-304.52326183682845,304.52326183682845,2.479748188373055e-05,0.9945474616270601
LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717,304.0317537911717,2.4757458137155776e-05,0.9945722190851972
MEC LII III Pyramidal Multiform,MEC LIII Superficial Trilayered Interneuron,303.6801070675597,303.6801070675597,2.4728823368154403e-05,0.9945969479085653
CA3 Pyramidal,CA1 Radiatum Giant,303.66294985857763,303.66294985857763,2.472742624802525e-05,0.9946216753348134
CA3 O LM,CA3 Basket CCK+,-303.2058606456646,303.2058606456646,2.4690205244256634e-05,0.9946463655400576
CA1 Basket,CA1 Bistratified,-301.34936378720096,301.34936378720096,2.4539029774319556e-05,0.9946709045698319
DG HIPP,DG Basket,-301.039627987728,301.039627987728,2.4513807832882816e-05,0.9946954183776647
CA3 O LM,CA3 LMR Targeting,-300.6736022548803,300.6736022548803,2.448400217395048e-05,0.9947199023798386
CA1 O LMR,CA1 Perforant Path Associated QuadD,-300.04872024930523,300.04872024930523,2.443311771895269e-05,0.9947443354975576
CA1 Back Projection,DG AIPRIM,-299.0210946950686,299.0210946950686,2.4349437654872412e-05,0.9947686849352124
EC LIII V Bipolar Pyramidal,MEC LII III Pyramidal Multiform,296.4189780032186,296.4189780032186,2.4137545988087108e-05,0.9947928224812005
CA3 Trilaminar,CA3 Lucidum ORAX,-291.84006757875693,291.84006757875693,2.3764683016592162e-05,0.9948165871642171
SUB CA1 Projecting Pyramidal,CA1 Oriens Alveus,291.40030992433583,291.40030992433583,2.37288733303207e-05,0.9948403160375474
CA2 Basket,CA2 Wide Arbor Basket,-290.3257066321017,290.3257066321017,2.3641367845483053e-05,0.9948639574053929
CA1 SO SO,CA1 Trilaminar,-289.19322251482055,289.19322251482055,2.354914909604335e-05,0.994887506554489
SUB CA1 Projecting Pyramidal,CA1 Quadrilaminar,287.9595174934797,287.9595174934797,2.3448687877639093e-05,0.9949109552423666
CA3c Pyramidal,CA3 LMR Targeting,282.84957352592227,282.84957352592227,2.303258257849685e-05,0.9949339878249451
CA3 LMR Targeting,CA3 Axo Axonic,-282.6086438983953,282.6086438983953,2.301296355813756e-05,0.9949570007885032
CA1 Schaffer Collateral Associated,CA1 LMR,-281.97550172104155,281.97550172104155,2.2961406473210606e-05,0.9949799621949764
CA3 LMR Targeting,CA3 Basket CCK+,-280.1129767232144,280.1129767232144,2.2809740128862953e-05,0.9950027719351053
CA1 Basket,CA1 Axo Axonic,-280.0288878399418,280.0288878399418,2.280289272894021e-05,0.9950255748278343
EC LIII V Bipolar Pyramidal,MEC LIII Superficial Trilayered Interneuron,279.2154674338043,279.2154674338043,2.2736655497461127e-05,0.9950483114833317
CA3 Trilaminar,CA3 Mossy Fiber Associated ORDEN,-276.85834323578854,276.85834323578854,2.2544713692275427e-05,0.995070856197024
CA1 Neurogliaform,CA1 LMR,-274.6823644846484,274.6823644846484,2.2367522651645854e-05,0.9950932237196756
CA1 Trilaminar,CA1 Trilaminar,-274.6652377283173,274.6652377283173,2.2366128011291335e-05,0.9951155898476869
CA1 Bistratified,CA1 Radial Trilaminar,-274.1662723951528,274.1662723951528,2.23254970140561e-05,0.995137915344701
CA1 Perforant Path Associated,CA1 Perforant Path Associated,-272.08416505614923,272.08416505614923,2.215594996957912e-05,0.9951600712946705
CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,-271.3804407552845,271.3804407552845,2.2098645346948404e-05,0.9951821699400175
CA3 Trilaminar,CA3 Basket,-269.1578830202166,269.1578830202166,2.191766135630528e-05,0.9952040876013738
MEC LIII Bipolar Complex Pyramidal,MEC LII Stellate,268.5769974548232,268.5769974548232,2.1870359553489035e-05,0.9952259579609273
MEC LII Stellate,EC LIV VI Deep Multipolar Principal,267.8934439986594,267.8934439986594,2.1814697452854945e-05,0.9952477726583802
CA2 Pyramidal,CA1 Radiatum Giant,263.0645063940111,263.0645063940111,2.1421474642726588e-05,0.9952691941330228
CA1 Ivy,CA1 Horizontal Basket,-262.19709298570547,262.19709298570547,2.135084073401163e-05,0.9952905449737568
CA1 Bistratified,CA1 Basket,-261.8974648443558,261.8974648443558,2.132644186424333e-05,0.995311871415621
MEC LII Stellate,DG Hilar Ectopic Granule,257.1632982955139,257.1632982955139,2.094093630870264e-05,0.9953328123519297
SUB CA1 Projecting Pyramidal,CA1 Radial Trilaminar,257.11625948178613,257.11625948178613,2.0937105914517936e-05,0.9953537494578443
