target,source,weight,absolute_weight,weight_share,cumulative_weight_share
CA3c Pyramidal,CA2 Wide Arbor Basket,35550.869791810896,35550.869791810896,0.002894925150531403,0.7847889275071659
EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,34951.71066668793,34951.71066668793,0.0028461353225849597,0.7876350628297508
DG Granule,DG Basket,34839.49596572401,34839.49596572401,0.002836997623226767,0.7904720604529776
DG Semilunar Granule,DG Axo Axonic,34666.62485819252,34666.62485819252,0.0028229206422717636,0.7932949810952493
CA2 Pyramidal,CA1 OR LM,32481.56918359376,32481.56918359376,0.002644990463214249,0.7959399715584635
DG Granule,DG HIPROM,32190.630761502,32190.630761502,0.0026212992016417017,0.7985612707601052
EC LI II Multipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal,30698.001365671505,30698.001365671505,0.002499753641611338,0.8010610244017166
EC LIII Pyramidal Stellate,CA1 Neurogliaform,30016.644753149405,30016.644753149405,0.002444270431056375,0.8035052948327729
CA3 Pyramidal,CA3 Lucidum ORAX,29826.70196982501,29826.70196982501,0.002428803294982692,0.8059340981277556
EC LI II Multipolar Pyramidal,EC LIII Stellate,29349.85984134182,29349.85984134182,0.0023899738013960993,0.8083240719291517
EC LI II Multipolar Pyramidal,EC LII III Pyramidal Tripolar,28854.49238765121,28854.49238765121,0.002349635781290218,0.8106737077104419
EC LI II Multipolar Pyramidal,MEC LIII Superficial Trilayered Interneuron,27888.797815518337,27888.797815518337,0.002270998788131668,0.8129447064985735
EC LIII Pyramidal Stellate,CA1 LMR,27535.29163227331,27535.29163227331,0.002242212602400142,0.8151869191009736
CA3c Pyramidal,DG AIPRIM,27045.00772823565,27045.00772823565,0.002202288538291131,0.8173892076392648
CA2 Pyramidal,DG AIPRIM,26855.18413993293,26855.18413993293,0.0021868311083278213,0.8195760387475927
EC LII III Pyramidal Tripolar,DG Axo Axonic,26617.550570681276,26617.550570681276,0.0021674804876463654,0.821743519235239
CA3 Pyramidal,CA3 Basket,26609.14835620569,26609.14835620569,0.0021667962911091788,0.8239103155263482
CA3c Pyramidal,CA1 SO SO,25658.205172837872,25658.205172837872,0.002089360510933358,0.8259996760372815
CA3 Pyramidal,CA3 Mossy Fiber Associated ORDEN,25136.947520606773,25136.947520606773,0.0020469142389803055,0.8280465902762618
DG Granule,DG Hilar Ectopic Granule,25114.71428869603,25114.71428869603,0.0020451037757592107,0.830091694052021
CA3c Pyramidal,CA2 Pyramidal,24424.535819448454,24424.535819448454,0.001988902196988266,0.8320805962490092
CA3c Pyramidal,CA1 Back Projection,24419.861364669992,24419.861364669992,0.0019885215537921233,0.8340691178028014
EC LI II Multipolar Pyramidal,MEC LII Stellate,24134.5300159425,24134.5300159425,0.001965286879014728,0.8360344046818161
EC LI II Multipolar Pyramidal,EC LIII Pyramidal,24063.94192432837,24063.94192432837,0.0019595388553253377,0.8379939435371414
MEC LII Stellate,CA3 Basket,23789.545893236005,23789.545893236005,0.0019371946489453783,0.8399311381860868
EC LIII Pyramidal Stellate,CA1 Basket CCK+,22851.847964781304,22851.847964781304,0.0018608374365176247,0.8417919756226044
DG Granule,CA2 Bistratified,22415.841894656765,22415.841894656765,0.0018253332436362838,0.8436173088662408
EC LI II Multipolar Pyramidal,MEC LII III Pyramidal Multiform,21388.04746977641,21388.04746977641,0.0017416394283348232,0.8453589482945756
DG Semilunar Granule,DG HICAP,21051.84914301629,21051.84914301629,0.0017142626300341347,0.8470732109246097
CA3 Pyramidal,CA3 Axo Axonic,20360.53655663908,20360.53655663908,0.0016579686995367353,0.8487311796241465
MEC LII Stellate,CA3 Granule,19640.6765649223,19640.6765649223,0.0015993501395103289,0.8503305297636568
CA3 Pyramidal,CA1 Basket CCK+,19480.68949141701,19480.68949141701,0.0015863223119054733,0.8519168520755622
CA3 Pyramidal,CA1 Oriens Alveus,19387.15107140628,19387.15107140628,0.001578705431468629,0.8534955575070309
EC LI II Multipolar Pyramidal,EC LIII Pyramidal Stellate,18633.40329894681,18633.40329894681,0.0015173273724667486,0.8550128848794977
EC LI II Multipolar Pyramidal,EC LI II Multipolar Pyramidal,18296.078460202098,18296.078460202098,0.0014898588417303793,0.856502743721228
CA2 Pyramidal,DG Axo Axonic,18257.859744977144,18257.859744977144,0.0014867466725887062,0.8579894903938168
CA3c Pyramidal,CA1 Horizontal Axo Axonic,17812.204512643828,17812.204512643828,0.0014504567435911092,0.8594399471374079
DG Mossy,DG Axo Axonic,17690.93784711118,17690.93784711118,0.0014405819382198942,0.8608805290756278
CA3c Pyramidal,CA1 Horizontal Basket,17660.686830129318,17660.686830129318,0.0014381185827407514,0.8623186476583686
CA3c Pyramidal,DG HICAP,17635.07453713618,17635.07453713618,0.001436032960881629,0.8637546806192503
CA1 Pyramidal,CA1 Horizontal Basket,17544.24204022055,17544.24204022055,0.0014286364251190303,0.8651833170443693
CA3c Pyramidal,CA2 SP SR,17336.697291204084,17336.697291204084,0.0014117359521543182,0.8665950529965236
CA2 Pyramidal,CA1 LMR,17301.22519183053,17301.22519183053,0.001408847441318437,0.868003900437842
CA1 Pyramidal,CA1 Perforant Path Associated QuadD,17183.209099730822,17183.209099730822,0.0013992373317715371,0.8694031377696135
EC LI II Multipolar Pyramidal,LEC LIII Complex Pyramidal,17153.888049247696,17153.888049247696,0.0013968497039306242,0.8707999874735441
DG Granule,CA3 Mossy Fiber Associated,16762.962040262293,16762.962040262293,0.0013650164030286757,0.8721650038765728
CA2 Pyramidal,CA1 Basket,16261.335277243674,16261.335277243674,0.0013241686842261173,0.8734891725607989
MEC LV Pyramidal,DG AIPRIM,16067.114464103774,16067.114464103774,0.0013083531860397727,0.8747975257468387
EC LI II Multipolar Pyramidal,MEC LII Oblique Pyramidal,16023.203768902797,16023.203768902797,0.001304777516114985,0.8761023032629537
EC LIII Pyramidal Stellate,CA1 Oriens Alveus,15952.937417697553,15952.937417697553,0.0012990556919083942,0.877401358954862
CA2 Pyramidal,CA2 Basket,15840.857857426205,15840.857857426205,0.0012899289971245505,0.8786912879519866
DG Mossy,DG AIPRIM,15833.66734308341,15833.66734308341,0.0012893434699366615,0.8799806314219233
CA3 Pyramidal,CA3 O LM,15462.048370600378,15462.048370600378,0.0012590823506966598,0.8812397137726199
CA1 Pyramidal,CA1 SO SO,15427.927297516017,15427.927297516017,0.0012563038546088427,0.8824960176272287
DG Granule,CA2 Wide Arbor Basket,15015.578771168455,15015.578771168455,0.0012227261073779413,0.8837187437346067
MEC LII Stellate,CA3 Axo Axonic,14953.26880542341,14953.26880542341,0.0012176521756282986,0.884936395910235
EC LIII Pyramidal Stellate,CA1 Axo Axonic,14513.822865445269,14513.822865445269,0.0011818678724202045,0.8861182637826552
