response_target,DG Granule,DG Hilar Ectopic Granule,DG Semilunar Granule,DG Mossy,DG AIPRIM,DG Axo Axonic,DG Basket,DG HICAP,DG HIPP,DG HIPROM,DG MOLAX,DG Total Molecular Layer,DG MOPP,DG Neurogliaform,CA3 Pyramidal,CA3c Pyramidal,CA3 Granule,CA3 Axo Axonic,CA3 Horizontal Axo Axonic,CA3 Basket,CA3 Basket CCK+,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Spiny Lucidum,CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated ORDEN,CA3 O LM,CA3 Trilaminar,CA2 Pyramidal,CA2 Basket,CA2 Wide Arbor Basket,CA2 Bistratified,CA2 SP SR,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Axo Axonic,CA1 Horizontal Axo Axonic,CA1 Back Projection,CA1 Basket,CA1 Horizontal Basket,CA1 Basket CCK+,CA1 Bistratified,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 O LM,CA1 Recurrent O LM,CA1 O LMR,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 OR LM,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Quadrilaminar,CA1 R Receiving Apical Targeting,CA1 Radiatum,CA1 Schaffer Collateral Associated,CA1 SO SO,CA1 Trilaminar,CA1 Radial Trilaminar,SUB CA1 Projecting Pyramidal,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,MEC LII Oblique Pyramidal,MEC LII Stellate,MEC LII III Pyramidal Multiform,EC LII III Pyramidal Tripolar,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Bipolar Complex Pyramidal,EC LIII Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,EC LV Deep Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,LEC LVI Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron
CA1 Perforant Path Associated QuadD,3.2580029026397084e-08,2.9123819092300378e-08,3.001889072695705e-09,2.4019845856219254e-08,1.8616124788020352e-07,2.4719479317757696e-07,6.337345290173082e-08,1.1596114047075527e-07,7.610854291122088e-09,1.741818356509126e-08,5.206409360273702e-08,4.2133236455697135e-08,1.1398071914820792e-08,6.148012706590195e-09,1.6277150524053234e-10,7.645918760284395e-10,1.2548679404632245e-10,4.409893222841802e-09,3.5250679607434207e-10,3.789845086739969e-09,2.054817844288652e-10,8.033803033944169e-10,4.124947229002542e-09,9.86010571924684e-10,8.589706139131605e-09,2.5479674070472743e-09,8.814251321314384e-10,3.23160798409246e-11,2.0988155644128275e-09,2.5734695120699125e-08,2.209296523729658e-08,1.2738376636781486e-08,2.0942688822900597e-10,3.376976067485623e-07,2.196709747557589e-08,1.8759452382860475e-05,1.0390681555344448e-07,1.4418953900304256e-07,3.520687131575162e-05,1.298850130238996e-06,3.5213965048352946e-05,6.140051757414481e-07,3.9167098968342017e-07,0.00017138743187417038,3.554510190258598e-05,1.1850202531837997e-05,2.345487753634523e-08,3.7950381913352297e-08,3.0015248778072436e-08,4.108259479324028e-05,7.632981084621172e-09,6.037485097788571e-07,0.00011890696004379642,1.0,2.2345874693796564e-05,1.566408895780659e-07,4.5716840249749074e-08,7.576703677458774e-06,1.279554325885167e-07,6.105274712718543e-07,3.0650671673293495e-05,3.3105502656357516e-06,5.518663080241765e-10,4.71452658376288e-11,3.3619331007417496e-10,5.95407822019853e-10,5.501650232714012e-10,6.895469474547896e-10,1.845418720075905e-08,1.568047757181927e-09,2.271990628662555e-09,7.403875572496435e-10,5.776807590930306e-10,1.4370642920110296e-09,7.250946297938125e-10,3.21864707802217e-08,3.123662130885408e-08,2.2282453168672294e-08,1.95102151676932e-08,3.945669069432083e-08,7.957935172759593e-09,7.857588033788965e-08,6.007323844263114e-08,1.1338157522185746e-08,6.661906025221062e-10
CA1 Quadrilaminar,1.5837274419512816e-08,1.0106802484363983e-08,7.033544049893483e-10,9.936176407907374e-09,6.999596157609996e-08,9.719066347567788e-08,1.4790848165941839e-08,3.120923380159332e-08,3.185538053109366e-09,1.3257531626251551e-08,1.5897390812349878e-08,1.1638626784377623e-08,2.214817792090893e-09,1.2435883341966438e-09,7.396319952769905e-09,6.121520202029501e-09,5.659402910947095e-09,2.632714852232636e-08,1.0558840917446147e-08,5.556160809046025e-08,1.5351894477009116e-08,1.0690210350014658e-08,3.595998543650403e-08,1.4687812450311653e-09,1.3455936134490422e-08,3.1621581109875505e-08,2.6384219055743308e-08,1.3459674777386168e-09,3.2391509771421507e-09,9.398235818631077e-09,1.45310163554204e-07,1.3200109491366126e-08,2.8463050677704025e-09,2.743199605382317e-06,8.581913595753393e-09,5.1522819186808955e-06,3.2010151255854294e-06,4.086969258082289e-06,1.1901731364965665e-05,5.972406147848759e-06,1.1248805061777252e-05,5.584990526184459e-06,2.963931745947523e-06,3.1440567680053014e-05,1.9933040567481054e-06,6.184699924362657e-07,8.217721001746431e-07,9.55884661959638e-07,1.1047807578772612e-06,1.2250242633133389e-05,1.9727185058606994e-07,5.887580219998014e-06,2.5975261188644858e-05,5.573132043335799e-05,1.0,1.6515781233407708e-05,4.68896297142115e-06,2.4913892247810045e-06,4.976495929451084e-06,2.0910517179934334e-05,1.3358832301471575e-05,5.466364350312292e-07,3.5699063526550796e-09,3.0350530357444194e-10,2.1557583055992558e-09,3.849057361416283e-09,3.5996024049911787e-09,4.469817857065653e-09,1.3152436055590467e-07,1.038953533640627e-08,1.516011798275459e-08,4.884021334224178e-09,3.758262373555297e-09,9.48681166256109e-09,4.718090237572619e-09,2.304806041270323e-07,2.2344267207034746e-07,1.5941227386639547e-07,1.3969428502669134e-07,2.8254504726876745e-07,5.677907498214166e-08,5.62125372213767e-07,4.30260811022502e-07,7.483503735987973e-08,4.3045688871843065e-09
CA1 R Receiving Apical Targeting,4.6601345431235167e-07,3.350647108845661e-07,1.864312094530617e-08,3.4007668999797413e-07,2.3303882119384243e-06,3.0581519859211005e-06,4.798327301488229e-07,1.04431948333935e-06,1.0832507659217484e-07,4.6553240245671857e-07,5.512216867834952e-07,4.1277898306502326e-07,9.475715998707987e-08,5.2823562687660624e-08,2.3429786290471457e-08,1.685307784255954e-08,2.9083863830639105e-08,6.129591800716834e-08,4.349010143257203e-08,1.5245640241425465e-07,4.5100525940462844e-08,2.7659131304137137e-08,1.1142530844239247e-07,1.0830545591639841e-08,9.378033809886201e-08,9.32115813311134e-08,1.0882417296558172e-07,5.412978190595213e-09,3.3463566952702605e-08,3.6677059080523697e-07,1.3351926071228312e-07,1.5151642048708096e-07,7.144597620681177e-09,8.51431177183296e-05,6.486909051725261e-06,0.00015733588823470382,1.3191425706169154e-05,1.5623761606463655e-05,0.0003508402787163459,9.266454071531764e-06,0.00031078004487716224,0.00010932253874469241,5.058791242818478e-05,0.0015367984371351011,9.916320044153509e-05,2.972155473191878e-05,3.2380994708050954e-06,6.756908236176273e-06,3.4194991072799294e-06,0.0003805896276863918,1.1540351254932395e-06,0.00014461702399651334,0.0010794135376730831,0.0013116446925390815,0.00021997067710000096,1.0,0.00015919003886293332,8.380533332046245e-05,1.8023018564827e-05,9.525139860385724e-05,0.0002960919636380411,2.438741388201365e-05,1.1141634882614595e-07,9.487336864126769e-09,6.741912778151201e-08,1.2012725314847132e-07,1.1237387514696434e-07,1.3951299958307849e-07,4.095484243337822e-06,3.2382379430504224e-07,4.7256717290709226e-07,1.5249821079260167e-07,1.1731272040475857e-07,2.963580668676212e-07,1.4727327042079151e-07,7.1784657398712525e-06,6.9588503009728945e-06,4.96474512951897e-06,4.350843968771568e-06,8.800013999642185e-06,1.7681026593891789e-06,1.7506809260270766e-05,1.3400787916235602e-05,2.3366333363394654e-06,1.3434721364453824e-07
CA1 Radiatum,5.317808199835167e-08,3.695313548395524e-08,1.911638405879562e-09,3.8993211035697246e-08,2.5714909258183655e-07,3.421126369089058e-07,4.9974509586562635e-08,1.1063671292289383e-07,1.2427033368374333e-08,5.5730606851005483e-08,6.007586692910351e-08,4.5242480978737845e-08,1.6400542242442077e-08,9.065313807828933e-09,2.9242289933740736e-09,2.3664318081902803e-09,3.8402433516405645e-09,8.942600949490755e-09,5.4372252339870464e-09,2.0404116546881564e-08,5.740736824653938e-09,3.7281644616407455e-09,1.544898327628889e-08,1.2148363899761648e-09,1.0519035775242987e-08,1.2591255853516297e-08,1.360616689700481e-08,6.795512301095563e-10,3.939268397637673e-09,4.2315117257404193e-08,2.851396239865934e-08,1.7162003660916286e-08,9.555388709076365e-10,1.1147114647114265e-05,1.191558562332884e-06,2.5234553244546376e-05,1.638009781714371e-06,1.950127448407408e-06,6.58597371423486e-05,5.79283615989462e-07,5.3659160317076626e-05,3.475279652520591e-05,1.554840854756101e-05,0.0002364284195430777,3.236049691664536e-07,1.0520266432068059e-07,4.062526299722328e-07,8.687000243777299e-07,4.191217051662795e-07,6.241253642413902e-05,1.459856009535117e-07,4.577633350644206e-05,0.00018358069894741647,0.00031236526792000063,3.9497180461145476e-05,0.00017939081762063935,1.0,1.7641539673762807e-05,2.273665683180774e-06,1.2108219865212554e-05,5.807800680179831e-05,4.362962494174558e-06,1.4503400627120631e-08,1.2331183009654406e-09,8.758627388913462e-09,1.5637515756426334e-08,1.4623813285764747e-08,1.8159391000047708e-08,5.342984409261798e-07,4.220853826288813e-08,6.158873999314179e-08,1.984170290105514e-08,1.5268503357273252e-08,3.85413839646344e-08,1.9167945707729104e-08,9.362619246623264e-07,9.076803339265425e-07,6.47571917158751e-07,5.674687766847646e-07,1.1477594868882966e-06,2.3065505037830656e-07,2.2834927540163672e-06,1.7478112786953915e-06,3.04022852117424e-07,1.7488109806933917e-08
CA1 Schaffer Collateral Associated,2.305042400113915e-06,1.3889345607313434e-06,1.1624901051528029e-07,1.303563473162185e-06,9.565833998825422e-06,1.3628087913956968e-05,2.1395223763760922e-06,4.367438559862221e-06,4.1910418100750245e-07,1.658703401319375e-06,2.1469082457941458e-06,1.5382165414917108e-06,1.2371965480104855e-07,7.236175065691468e-08,1.631138567474007e-06,1.3865918041288796e-06,1.1906152294060565e-06,5.886060649472901e-06,2.1627752761107334e-06,1.2386833354266926e-05,3.658172671156327e-06,2.193474178597831e-06,7.379103143471955e-06,2.9742749042623136e-07,2.7724942677059602e-06,7.327084342893089e-06,5.395981835638425e-06,2.773043049636933e-07,8.493044337753064e-07,2.7949208560424562e-06,9.260572397710197e-05,3.9179334449953204e-06,6.963176150702714e-07,0.000354264855592642,1.1585597566392273e-05,0.0006531678110572226,0.0004244062413354847,0.0008376755539088302,0.001596417752681575,0.0006847643832237949,0.001348117854706409,0.0008503893446676742,0.0005204431628416799,0.002009784983996427,3.899644737162542e-06,1.276275548390988e-06,0.00011547196620042158,0.00011312013685508971,0.00016035081723426853,0.0015086545301289795,2.453600297589817e-05,0.0006640585522689943,0.0016285611901519677,0.005855697351660408,0.0009377528624586735,0.0017381452262849872,0.0005188880583404194,1.0,0.000536109150509182,0.0024540411100253696,0.0014902523308554319,2.269468527069981e-05,4.6076784634157454e-07,3.916357631397348e-08,2.7815763208664367e-07,4.967983057908748e-07,4.6458956670420304e-07,5.769152736086015e-07,1.6981975791472705e-05,1.3412327434510063e-06,1.957078924583135e-06,6.303560980881296e-07,4.850723352653454e-07,1.2246993095953492e-06,6.089557415386925e-07,2.9758740858978144e-05,2.8850065879916065e-05,2.05827010834547e-05,1.803677363815663e-05,3.6481099133671065e-05,7.331114121654119e-06,7.257947648662235e-05,5.555356881090702e-05,9.658589372993456e-06,5.55589405353319e-07
CA1 SO SO,5.102716761815008e-07,2.4174096249087395e-07,2.87411582168495e-08,2.3912441219182946e-07,1.660666830160104e-06,2.6385239182676213e-06,3.860396716718111e-07,7.412933674113716e-07,7.0002753960785e-08,2.561630107517542e-07,3.356017696860725e-07,3.159679231184563e-07,1.0465363814263267e-08,3.8552614463960545e-09,5.960679908815103e-07,4.861446233409063e-07,4.958652005212242e-07,2.135232050476818e-06,8.751715103639206e-07,4.46697425599097e-06,1.1809572965330358e-06,9.062819573793928e-07,3.004473110229143e-06,1.252993525659563e-07,1.1596988119671559e-06,2.46865226671536e-06,2.1874378796392154e-06,1.1090921190353845e-07,2.9004982118160065e-07,8.950949843390818e-07,1.015879653024546e-06,1.0619603227283836e-06,2.1653737182446936e-07,7.117936315129472e-05,2.997780810742992e-07,0.00012924822093349897,0.0006501013798019847,0.00034642811854760936,0.00030922407934291205,0.0007646916839088324,0.00024422336032218285,0.0001563353579845286,9.785074910725274e-05,1.2650226012884293e-05,4.940831926381773e-07,1.5921621322424887e-07,0.0001221777429201912,7.739799622380314e-05,0.00021129922526145573,0.00028899499408162923,3.602315358419396e-05,0.00016306693160496292,1.384253780252183e-05,0.0006862966177844733,0.00016570442905167957,1.0147734939235425e-05,2.8192674733582313e-06,1.4776312811775793e-06,1.0,0.002134704462763838,0.00025605251375632984,4.284084519892318e-06,9.15946583393476e-08,7.76174234240009e-09,5.5076835694952113e-08,9.875925433489776e-08,9.230486380315942e-08,1.1466635254861478e-07,3.390498281891347e-06,2.673017024795955e-07,3.899510135217637e-07,1.251961743557478e-07,9.639740768673608e-08,2.441051074058101e-07,1.2101666294735216e-07,5.9387302654181314e-06,5.758078140903014e-06,4.107953082747258e-06,3.5995039786064517e-06,7.280314114385943e-06,1.4635416849174367e-06,1.4485707545381669e-05,1.108634535120062e-05,1.9183234058554834e-06,1.1044059513361156e-07
CA1 Trilaminar,1.9128072402769215e-06,1.0234333147085572e-06,9.998343153159047e-08,9.368541720215092e-07,6.9938794875349e-06,1.0553741437590135e-05,1.5898756176729914e-06,3.1670222590164133e-06,3.0283515859092824e-07,1.1701190483400516e-06,1.5076998440484012e-06,1.084091341133309e-06,5.625111464026053e-08,3.477719234939579e-08,1.951478557745846e-06,1.6806048340280904e-06,1.4038664255985068e-06,7.114747360636985e-06,2.5155340559147357e-06,1.491274716416752e-05,4.494504145966445e-06,2.5640141042740074e-06,8.62973153498002e-06,3.5082913505673285e-07,3.302906263124386e-06,8.936434908183914e-06,6.272139784014022e-06,3.2346166476104265e-07,1.1005361365164537e-06,3.955350916844941e-06,0.00013612159189275067,5.237749269320344e-06,8.641139006721271e-07,0.0002882360631281948,5.178962297096206e-06,0.0005898763013477476,0.0007281566032182797,0.0009756894395148153,0.0013627830859042288,0.0010734808273139232,0.0012401428009362729,0.0007632424408484334,0.00047617896371034336,0.0011376169593050832,2.4542084801057067e-06,8.129343361263069e-07,0.0001138157836629809,9.359108092830695e-05,0.0001943485873560665,0.0013918694584885674,4.065369687756524e-05,0.000393722916589106,0.0008525567917637133,0.004393061466723636,0.0008202881920054638,0.0008309162328112013,0.0002552594562896587,9.2346516322213e-05,0.0005419875182571761,1.0,0.001371168422735674,0.00012733051319084522,3.7344800907619805e-07,3.170534150950155e-08,2.2511018012206094e-07,4.026535161810801e-07,3.7647396373047974e-07,4.675597980452369e-07,1.3786474101154922e-05,1.0880964001904703e-06,1.587591976677569e-06,5.107383253943994e-07,3.9310506541570926e-07,9.935956353930337e-07,4.935010789271526e-07,2.415541086940989e-05,2.3418758101497273e-05,1.670770805438575e-05,1.4640648411274308e-05,2.961207564899554e-05,5.951434428838185e-06,5.891545917241248e-05,4.509319362393948e-05,7.825775463140777e-06,4.502948291353582e-07
CA1 Radial Trilaminar,2.3090835830395051e-07,1.3283843245737116e-07,1.1877968019066282e-08,1.2331634678814124e-07,9.155565621707493e-07,1.3283420700131392e-06,2.063966672576103e-07,4.1642580491082766e-07,3.977920059444648e-08,1.5505957828146838e-07,2.0151817018709962e-07,1.4456311782820367e-07,8.402185543386546e-09,5.080122180510519e-09,1.8258562183507008e-07,1.5183516115542074e-07,1.4223619551662387e-07,6.549656958856114e-07,2.5556562783639424e-07,1.3760605849984867e-06,3.850490966044381e-07,2.6150842148671297e-07,8.734075313007869e-07,3.566943315921973e-08,3.310092028712847e-07,7.870980167550363e-07,6.382611696350249e-07,3.254225377610274e-08,9.03141134673735e-08,2.793877855175759e-07,4.978020816929268e-06,3.69165722269537e-07,7.195122287916617e-08,3.4524202244425576e-05,8.265840696645833e-07,6.0918936276882496e-05,8.971760459869572e-05,9.998265373832875e-05,0.00015324759715731125,0.00012581904084477564,0.00013411128230833395,7.995210156578312e-05,4.832941270472164e-05,0.00012678962056787593,3.52584931549676e-07,1.1519879827000344e-07,2.2239454988371945e-05,1.718376016321806e-05,3.552651170796265e-05,0.00014330178045865428,5.1783726520085116e-06,7.7944265737832e-05,0.0001199510543207678,0.0005627545504720537,9.300866965709519e-05,0.00014578924536816536,3.6378821746375044e-05,1.2659361081135412e-05,9.624198119303226e-05,0.0004367126695625659,1.0,1.189375087839804e-06,4.479551119630262e-08,3.804928027000292e-09,2.701882862364448e-08,4.829860977166977e-08,4.5161609376862126e-08,5.608542300701455e-08,1.652558467074927e-06,1.3046746313396838e-07,1.903638791335042e-07,6.127060314702692e-08,4.715522362597926e-08,1.1913487339361963e-07,5.919828965724051e-08,2.895596179158631e-06,2.807256816402444e-06,2.002792454131648e-06,1.7550253422263473e-06,3.549703523240549e-06,7.133938156066731e-07,7.0623306738669635e-06,5.405486697793574e-06,9.388161601085267e-07,5.401363127908355e-08
SUB CA1 Projecting Pyramidal,3.3076858127920257e-06,2.6441301979203064e-06,1.2998268772784732e-07,3.8083698505668594e-06,1.7817642839286447e-05,1.3499699736248606e-05,5.623071487272187e-06,1.1928719164361787e-05,1.117116110017191e-06,2.0083542630351255e-06,6.320594776968838e-06,6.27539185927095e-06,8.795148812043693e-07,4.892389451877821e-07,8.928544746879314e-06,8.277305851876425e-06,5.285806665773469e-06,3.383134155129987e-05,9.4655051011847e-06,7.03873352325833e-05,2.418053518069465e-05,9.576105691786714e-06,3.302437193924422e-05,1.3755392445950909e-06,1.3257773496061235e-05,4.601076199340152e-05,2.3497172435860413e-05,1.2593495846938098e-06,6.3776790295869566e-06,2.827100974231279e-05,0.0014055437673261243,3.689042904507163e-05,4.87177250673372e-06,0.0007728812415580976,5.901036713864945e-05,0.0013095747874429116,9.876751086779234e-05,0.0035709221668737976,0.0017394229339251328,6.563703360854696e-05,0.0022796200259965053,0.001044151516390983,0.00020588719250989033,0.0037631904484115197,0.00074384585713488,0.00016246584740914785,2.2279217396781693e-05,5.182703933588553e-05,2.3252173645363795e-05,0.0021400619526343125,8.965114423624795e-06,0.0028306001973047146,0.010065321644928725,0.021813308450553782,0.002107570250047101,0.0033200961933097027,0.0009108180741357621,0.0011801110433869544,0.00013539596366498333,0.0006904158952576237,0.0018121466344778279,1.0,1.0069512999991305e-06,8.558492959400502e-08,6.07918669629745e-07,1.0856858850647478e-06,1.0154113872227357e-06,1.2608100435272958e-06,3.71124176111776e-05,2.9307894345962764e-06,4.276798188289454e-06,1.377810195071325e-06,1.0601264683661161e-06,2.676050779848333e-06,1.3308743196783194e-06,6.504617920252072e-05,6.305712652277677e-05,4.498758122457067e-05,3.942432482368812e-05,7.973959476237108e-05,1.6022001445909432e-05,0.0001586364805820047,0.00012142842635121216,2.1111422685028066e-05,1.2141726706428177e-06
EC LI II Multipolar Pyramidal,0.021963686643618547,0.017698602640119653,0.0017263955703534098,0.019361667261760595,0.1264980731351834,0.25769381759424315,0.04036347840793248,0.058065820646599355,0.006218675782598593,0.01574859850988784,0.02619043940390921,0.02296488971831862,0.003916749688360072,0.0013170930731809239,0.014971936440377503,0.002829190354688455,0.072125770300167,0.06290211928399246,0.0025528019971256186,0.09610316776320327,0.02172634181854257,0.03727991239385232,0.014372900977462744,0.000786892094392191,0.011135840529605798,0.009181482282102723,0.005407693779174546,0.0006551938464802609,0.027245990190710515,0.08594416713755765,0.03571802516715493,0.028828281500112383,0.0034136240583799112,0.024093230824790677,0.0010224650755581983,0.054258167017786865,0.036558825943079694,0.052128583191652166,0.06015133076301926,0.03693473788759645,0.08811601632825374,0.015711044841227467,0.005660228562927186,0.10204313049334374,0.09252338392007652,0.01097692376323861,0.015331627478548458,0.02257422141585058,0.014608725108694091,0.06720439938620515,0.00288519300881174,0.050277351473179896,0.235994352419287,0.25312389480875797,0.03195114086663886,0.07158560108106572,0.013945657943746402,0.016570477503940317,0.059650007881741685,0.39689579521128404,0.018851193990970322,0.0035083172609346753,1.0,0.02572071638364866,0.1554453243360059,0.22782382327576356,0.19926849441693611,0.27057048631171426,0.08883225467555499,0.16337410229011878,0.13788173461127284,0.2750465457664092,0.22354251264013586,0.17725310058774127,0.27445266982094224,0.06278234624230085,0.005146069776751905,0.00963286222676646,0.02958401198978105,0.030399480088100582,0.016501542046347985,0.022818693460236468,0.005842086944784702,3.7713090142087116,0.2642767079461221
EC LI II Pyramidal Fan,0.0502230914276583,0.0336441604881739,0.004332127775567894,0.033995169386224364,0.22410873771861597,0.5865307476349376,0.08771083566659908,0.10948338337562341,0.010772747936477084,0.02421885212115091,0.046454638234170634,0.04033699312307735,0.011153124837029378,0.0037783044584796346,0.00391247994044007,0.001799268162045468,0.018082675489567802,0.022249765506350386,0.0007461258982304597,0.031194956337242535,0.0063578321708107205,0.010739134514944649,0.009545559268573865,0.0014573238969515785,0.013408865778463579,0.0065370049623500095,0.0016147577687030288,0.0001946825203440111,0.009441569131143173,0.05229633861370481,0.01909635433249354,0.02193072918211654,0.0012513335188474983,0.007307815888349763,0.00030964500566900476,0.01471549709296435,0.010340488530915608,0.014726336602868768,0.02155357316180624,0.010235726812109486,0.026106807846058955,0.007877337202434321,0.003020946260620912,0.029003512321012823,0.017531466951316566,0.006456372100104764,0.00433794566313806,0.006397957586202229,0.004164467366940573,0.020676562742321776,0.0008200846737708921,0.021082144937504866,0.0693060487359461,0.08148289756918678,0.010221444494257532,0.03125124669181725,0.006756744260348369,0.005954477087323629,0.016904384297568,0.1122402638422575,0.006685667179064667,0.0051526497890154056,0.06947739729382749,1.0,0.03300918678869018,0.055685537667706286,0.03607771071132481,0.04443770971323168,0.016607588200110667,0.029068827291104736,0.035294362690111485,0.04350705398827134,0.0359850035523084,0.03200556987606183,0.0491230925353775,0.011820090712046627,0.0013220224018287592,0.002311871780799099,0.00843579835077299,0.006620905721858561,0.004805940504632072,0.005695731184459987,0.0016782956870147858,0.6982355751716248,0.048141136651768925
MEC LII Oblique Pyramidal,7.573195927026341e-06,6.23133559959172e-06,5.698049562693794e-07,6.759904715381649e-06,4.391157019038323e-05,8.452914599321333e-05,1.3438941677928772e-05,2.0465616527375567e-05,2.1711086851230602e-06,5.795294450343145e-06,9.333466113707055e-06,8.026575479823899e-06,1.180934397359496e-06,3.9218923999470103e-07,4.812647291230245e-06,9.374143800019197e-07,2.3105262908958896e-05,2.0607808894460536e-05,8.246734126215442e-07,3.125130372370759e-05,7.017472912545025e-06,1.1989700753740039e-05,4.758461600446165e-06,2.734558095470677e-07,3.7887828807143632e-06,3.0361032591321864e-06,1.7428035779809146e-06,2.135882536069969e-07,8.970810255358615e-06,2.865997484760399e-05,1.1856174237972501e-05,9.68942061487109e-06,1.1402339107406048e-06,2.7689896903479836e-05,1.2386928836483665e-06,7.306601969990678e-05,1.5202171974102281e-05,2.0880068542487695e-05,5.750516328430064e-05,1.4651690689439884e-05,0.00011504651974497304,5.808565265673073e-06,2.0484605804307075e-06,0.00013643274757721722,0.00014810947322619318,1.5007520157195106e-05,5.812691015719711e-06,9.016475219593889e-06,5.632032545681675e-06,8.30349502629775e-05,1.22429670020782e-06,1.7974554155830142e-05,0.0002933350138029601,0.00024789289495911316,3.8215731334719644e-05,2.386958982706121e-05,4.644870353792772e-06,1.6004749608720373e-05,2.391868878914746e-05,0.00015306387866472404,2.2923998832880972e-05,4.25606429588906e-06,4.216007279830824e-05,3.1659843094319296e-06,1.0,6.872477984640623e-05,0.0002604410701074598,9.837351881351242e-05,1.3977412827096477e-05,1.7357521323387545e-05,0.0033396637836808065,0.00042032171772371507,9.334738832039719e-05,0.0003283076557311133,8.44473493031395e-05,9.451913265042235e-05,6.633330720498379e-05,0.0004760503774511135,1.5380983100091065e-05,9.722438040268064e-06,0.0005393325275764128,2.130373562544395e-05,7.928826306932154e-06,0.006381632384191836,0.00023338722228169356
MEC LII Stellate,0.006999299253367563,0.006703078890621692,0.0005535261117292302,0.008521247219166084,0.053762980215668416,0.08709770839173692,0.014164345708534046,0.022039880190339933,0.002833157922473514,0.007388527953601335,0.010121683925242814,0.009479038446229474,0.0012651432503270345,0.000430349306650157,0.02933758702796318,0.0037215800206718886,0.14341581939991294,0.11630276628661121,0.004215700466055675,0.18154142617524516,0.04177845896410206,0.07296882483735263,0.01865765012811309,0.0002972288738564146,0.009630461902781386,0.011566932734078057,0.008908711774448215,0.0010718475567446754,0.049160346535605984,0.1282553411890201,0.0573766883795717,0.0340436398529009,0.005203021768503068,0.013691522652843824,0.0005266855022034388,0.019462504427516625,0.05456767596337818,0.07920155676471625,0.04558348287333948,0.05665669519751995,0.03518962630824354,0.0199093840131374,0.007079545510280071,0.03786033237473371,0.003761891374598823,0.0008701661605721317,0.02384386346231613,0.03427061384834095,0.022536701357582154,0.031267364653385255,0.004256585390112783,0.07041805463182733,0.11134871824723261,0.19055359314981923,0.016119124286052604,0.10279485273792237,0.019139547835748578,0.01235045949051491,0.09044111972488604,0.6125601755559311,0.00935391764812701,0.0023260611566664796,0.011216718112074519,0.0012352672769495494,0.017383464991799647,1.0,0.01781584629921953,0.009642774444913588,0.0027019862755580178,0.003545478142099204,0.02471789223777113,0.018841897792932005,0.008009106368786286,0.007742659343617568,0.011017690263812939,0.0045089300060127315,0.0025488164033603666,0.00871203377098115,0.01159016121165085,0.004492855370289832,0.008516588383368443,0.02428072107374502,0.0026783558191898487,0.32824650640736514,0.023624618744803646
MEC LII III Pyramidal Multiform,0.00065801430453263,0.0005074018244954054,3.8746775579415915e-05,0.0005119671263171287,0.0035166231225983043,0.0050242627382958,0.0009002413642922076,0.0017075279497893504,0.00016318867436166586,0.0005603075994044777,0.0008389998074789258,0.0006692791456684359,2.7700009361922884e-05,9.128611163452772e-06,0.00016841846369645383,4.355847165262978e-05,0.0008026909492856582,0.0007680008497394528,2.9089902140267822e-05,0.00114421791839233,0.0002517675778948091,0.00042913365564728955,0.00022457359025370398,2.152427523091569e-05,0.00023426081991228756,0.00014812925178876596,6.199145618127015e-05,7.505187084860973e-06,0.0003288802052156095,0.001279579310890165,0.0005008490006993357,0.0004846807499504538,4.1610046800257744e-05,0.0002365028249859294,9.96165540765297e-06,0.0004988453324405901,0.0004054823620950829,0.0005795847189507129,0.0006520952112998498,0.00040882261254367825,0.0008365884956075988,0.00021498138312754173,7.979050666950943e-05,0.0009532562484661748,0.0007473915622817148,8.585350447130654e-05,0.00017141687692870863,0.000251454431072369,0.0001634383925649913,0.0006516100620471656,3.197928245779069e-05,0.0006360947435120044,0.002259643967279614,0.002625759858341654,0.00031540926705758167,0.0009251358743078333,0.0001890749931544023,0.00017951188687486753,0.0006642183307430449,0.004431269962259023,0.00019330659643992555,3.417522273027461e-05,0.0011235619681429962,0.0001071794678411216,0.001596897540532472,0.002636170718985681,1.0,0.0011441214280587457,0.0002563362763216087,0.0003864749666148843,0.009675743978625213,0.0037545856137600423,0.0009337117162948992,0.0015341709982878305,0.0013114366112179803,0.0011470933452739104,0.0010085350294574695,0.005563307477198119,0.004100861581883973,0.0010449549866811752,0.004356195147993306,0.00978598216067363,8.865706874053525e-05,0.05377850912476966,0.0026239556887399248
