g,spectral_abscissa_J,numerical_abscissa_J
0.0,-1.0,-1.0
0.28833182539113006,-0.9955,-0.8551481108225087
0.5766636507822601,-0.991,-0.7102962216450174
0.8649954761733902,-0.9865,-0.565444332467526
1.1533273015645202,-0.982,-0.42059244329003476
1.4416591269556502,-0.9775,-0.2757405541125435
1.7299909523467805,-0.973,-0.13088866493505213
2.0183227777379105,-0.9685,0.013963224242439232
2.3066546031290405,-0.964,0.1588151134199305
2.5949864285201705,-0.9595,0.30366700259742174
2.8833182539113005,-0.955,0.448518891774913
3.1716500793024305,-0.9505,0.5933707809524043
3.459981904693561,-0.946,0.7382226701298957
3.748313730084691,-0.9415,0.883074559307387
4.036645555475821,-0.937,1.0279264484848785
4.324977380866951,-0.9325,1.1727783376623697
4.613309206258081,-0.9279999999999999,1.317630226839861
4.901641031649211,-0.9235,1.4624821160173522
5.189972857040341,-0.919,1.6073340051948435
5.478304682431471,-0.9145,1.7521858943723347
5.766636507822601,-0.91,1.897037783549826
6.054968333213731,-0.9055,2.0418896727273173
6.343300158604861,-0.901,2.1867415619048085
6.631631983995991,-0.8965,2.3315934510822998
6.919963809387122,-0.892,2.4764453402597915
7.208295634778252,-0.8875,2.6212972294372827
7.496627460169382,-0.883,2.766149118614774
7.784959285560512,-0.8785,2.9110010077922652
8.073291110951642,-0.874,3.055852896969757
8.361622936342771,-0.8694999999999999,3.2007047861472477
8.649954761733902,-0.865,3.3455566753247394
8.938286587125031,-0.8605,3.4904085645022302
9.226618412516162,-0.856,3.635260453679722
9.514950237907293,-0.8514999999999999,3.7801123428572136
9.803282063298422,-0.847,3.9249642320347045
10.091613888689553,-0.8425,4.069816121212196
10.379945714080682,-0.838,4.214668010389687
10.668277539471813,-0.8335,4.359519899567179
10.956609364862942,-0.829,4.5043717887446695
11.244941190254073,-0.8245,4.649223677922161
11.533273015645202,-0.8200000000000001,4.794075567099652
11.821604841036333,-0.8155,4.938927456277144
12.109936666427462,-0.8109999999999999,5.0837793454546345
12.398268491818593,-0.8065,5.228631234632126
12.686600317209722,-0.802,5.373483123809617
12.974932142600853,-0.7975,5.518335012987109
13.263263967991982,-0.793,5.6631869021645995
13.551595793383113,-0.7885,5.808038791342091
13.839927618774244,-0.784,5.952890680519583
14.128259444165373,-0.7795,6.097742569697074
14.416591269556504,-0.7749999999999999,6.242594458874565
14.704923094947633,-0.7705,6.387446348052056
14.993254920338764,-0.766,6.532298237229548
15.281586745729893,-0.7615,6.677150126407039
15.569918571121024,-0.757,6.8220020155845305
15.858250396512153,-0.7525,6.966853904762021
16.146582221903284,-0.748,7.111705793939514
16.434914047294413,-0.7435,7.256557683117004
16.723245872685542,-0.739,7.4014095722944955
17.011577698076675,-0.7344999999999999,7.546261461471987
17.299909523467804,-0.73,7.691113350649479
17.588241348858933,-0.7255,7.835965239826969
17.876573174250062,-0.7210000000000001,7.9808171290044605
18.164904999641195,-0.7164999999999999,8.125669018181952
18.453236825032324,-0.712,8.270520907359444
18.741568650423453,-0.7075,8.415372796536934
19.029900475814586,-0.703,8.560224685714427
19.318232301205715,-0.6984999999999999,8.705076574891917
19.606564126596844,-0.694,8.849928464069409
19.894895951987973,-0.6895,8.994780353246899
20.183227777379106,-0.6849999999999999,9.139632242424392
20.471559602770235,-0.6805,9.284484131601882
20.759891428161364,-0.6759999999999999,9.429336020779374
21.048223253552493,-0.6715,9.574187909956864
21.336555078943626,-0.667,9.719039799134357
21.624886904334755,-0.6625,9.863891688311847
21.913218729725884,-0.6579999999999999,10.008743577489339
22.201550555117013,-0.6535,10.153595466666829
22.489882380508146,-0.649,10.298447355844322
22.778214205899275,-0.6445,10.443299245021812
