quantile,nonzero_weight
0.0,-4691.989954689168
0.01,-1153.3878499977448
0.05,-403.2172190261984
0.25,-33.41134185774516
0.5,-0.7862956495514265
0.75,538.1000722266449
0.95,21388.04746977641
0.99,159095.46940980118
1.0,1227402.8954207087
