matrix,frobenius_norm,spectral_norm,spectral_radius,spectral_abscissa,numerical_abscissa,reactivity_gap,asymmetry_index,commutator_index,henrici_departure,henrici_index,eigenvector_condition,diagonalization_warning,alpha_A,omega_A,g_react,g_stab,reactive_to_stable_ratio,stable_reactive_width,Gmax_at_90pct_stability
positive,1.2679664064137,1.0,0.01626142293760892,0.01626142293760892,0.5027901757126039,0.48652875277499497,1.414048156127036,0.9853843929987951,1.267798167231146,0.9998673157414085,1168177.9065991652,no,0.01626142293760892,0.5027901757126039,1.988901232174438,61.495233463686056,0.03234236411752005,59.50633223151162,620.197872860827
negative,1.8325005754836532,0.9999999999999997,0.7719364373796634,0.02655452885685872,0.25795899890853613,0.2314044700516774,1.0876881114206849,0.4857823673845845,1.409006384210417,0.768898194664161,5.510773035002485e+17,yes,0.02655452885685872,0.25795899890853613,3.8765850551101244,37.65835972426646,0.10294088971198906,33.781774669156334,13.463104634546253
signed,1.267982065545376,0.9999999999999998,0.01560701803866301,0.01560701803866301,0.5023791216283382,0.4867721035896752,1.4140952981262,0.9853655860086126,1.2678250507684101,0.9998761695600968,123278.46242014311,no,0.01560701803866301,0.5023791216283382,1.9905285808031716,64.07373897580668,0.03106621546706938,62.083210395003505,639.1334696257334
