q,spectral_abscissa,numerical_abscissa,commutator_index,henrici_index,g_react,g_stab,Gmax_at_90pct_stability
0.0,1.000000000000001,0.9999999999999997,0.0,0.0,1.0000000000000004,0.9999999999999989,1.0
0.05,0.9554921456002414,0.9566830088589595,0.09827447768838689,0.07061067441118396,1.0452783113527906,1.046581078248214,1.0
0.1,0.9087488517085405,0.9133048932341943,0.19508991671040474,0.14069620930681676,1.094924605581386,1.1004140452226137,1.0
0.15000000000000002,0.8637955923984358,0.8736324636365336,0.2890586016980242,0.20975076968005874,1.1446461087737696,1.157681294973242,1.0
0.2,0.8204147755933445,0.8372495073401343,0.37892826528559126,0.27730550010714483,1.1943870868039197,1.2188956485782145,1.0
0.25,0.7783699512265385,0.8037705672082185,0.46363303476793793,0.3429431838725817,1.2441361263990498,1.2847361314812085,1.0
0.30000000000000004,0.7374357203128056,0.7728636261406294,0.5423273520588757,0.4063089285279754,1.293889330765375,1.3560503952477647,1.0
0.35000000000000003,0.6973964505756797,0.7442442076273904,0.6144015525757011,0.46711644587714957,1.3436449887704802,1.4339046308230137,1.0
0.4,0.6580410678398104,0.7176678654488736,0.6794801828557735,0.5251500071113395,1.3934022242650346,1.5196619920436851,1.0
0.45,0.6191564746498179,0.6929236025970182,0.7374059662366114,0.5802625761938995,1.4431605392745834,1.6151006101738326,1.0026031841381318
0.5,0.5805194777176671,0.6698284227272026,0.7882133744755139,0.6323709077178008,1.4929196284751636,1.722595086613692,1.0292938775232043
0.55,0.5418862790409842,0.6482228705478275,0.8320960294988783,0.6814485120742623,1.5426792935505005,1.8454056481551318,1.0763689026327026
0.6000000000000001,0.5029777374752626,0.6279673814801259,0.8693718007661579,0.7275173843518563,1.5924393997073372,1.9881595655099582,1.1418185185873897
0.65,0.4634570841673829,0.6089392827797868,0.9004487124439388,0.7706392802646412,1.642199851904831,2.1576970860129054,1.2420994200792832
0.7000000000000001,0.4228935597909577,0.5910303178382518,0.9257938626752319,0.8109071656942469,1.6919605810706848,2.364661217575208,1.3800828667417735
0.75,0.38069792454125695,0.5741445917133206,0.9459066673723412,0.8484372759097546,1.7417215357125855,2.6267545356466164,1.5753307973719535
0.8,0.33599599242478684,0.5581968573071292,0.9612969878232582,0.8833620616113078,1.791482676603074,2.9762259745519177,1.8763572927768348
0.8500000000000001,0.28734500598058055,0.5431110784360786,0.9724681357264922,0.9158241412084954,1.8412439732946726,3.480137044969497,2.408441336099179
0.9,0.23195573387743618,0.5288192191654391,0.9799043740543342,0.9459713297026895,1.8910054017669011,4.311167408038265,3.47646500450425
0.9500000000000001,0.1626255248129048,0.5152602190137587,0.9840623216922628,0.9739527798411116,1.9407669427965242,6.149096220599235,6.682869656263441
1.0,0.015607018038662837,0.502379121628338,0.9853655860086118,0.999876169560097,1.9905285808031725,64.07373897580739,639.1334696257512
