g,Gmax
0.0,1.0
2.73009844331698,1.3607549878463778
5.46019688663396,4.347493584916448
8.19029532995094,9.531809991561557
10.92039377326792,16.791395046496156
13.6504922165849,26.5837337108723
16.38059065990188,39.18560560951594
19.11068910321886,54.55123830771458
21.84078754653584,72.65993935631988
24.57088598985282,93.33000717150378
27.3009844331698,116.13687901235632
30.031082876486778,140.301158379434
32.76118131980376,170.85395442566448
35.49127976312074,207.3794249584872
38.22137820643772,245.80970601542467
40.951476649754696,283.16719117895803
43.68157509307168,326.6307536107173
46.41167353638866,383.40755291261877
49.14177197970564,429.6732621577635
51.87187042302262,497.07067244167774
54.6019688663396,544.4336409532282
57.33206730965658,624.0673702294994
60.062165752973556,700.7010844039326
62.79226419629054,778.2776356309354
