node,single_node_peak_gain,time_to_peak,integrated_energy,final_grid_energy,perturbability_rank
CA1 Radiatum Giant,1.0,0.0,0.5016467793967694,7.46460322286121e-13,22
CA1 Pyramidal,1.0,0.0,1.3668020722507748,4.978872919702816e-10,22
CA2 SP SR,1.0,0.0,0.5433058464219335,2.256908038571616e-11,22
CA2 Bistratified,1.0,0.0,2.0074337963938897,1.3455372678552118e-09,22
CA2 Wide Arbor Basket,1.0,0.0,0.7263916445188858,6.547785101084231e-10,22
CA2 Pyramidal,1.0,0.0,0.6316305727366988,2.960065504774809e-10,22
CA3 Trilaminar,1.0,0.0,0.5003483185290827,4.955930868045662e-13,22
CA3 O LM,1.0,0.0,0.5272529767962432,3.032658599495547e-11,22
CA3 Mossy Fiber Associated ORDEN,1.0,0.0,0.5841855009982937,9.136881971115563e-11,22
CA3 Mossy Fiber Associated,1.0,0.0,0.5498673044379585,1.3950391493751757e-10,22
CA3 Spiny Lucidum,1.0,0.0,0.5003853368773845,6.483274044975074e-13,22
CA3 Lucidum ORAX,1.0,0.0,0.6247857417583369,2.2553458390624567e-10,22
CA3 Basket CCK+,1.0,0.0,0.502513237986788,9.738961915959829e-11,22
MEC LIII Superficial Trilayered Interneuron,1.0,0.0,0.6952575891055943,1.990907278596244e-09,22
