node,absolute_in_strength,absolute_out_strength,signed_in_strength,signed_out_strength,positive_in_strength,positive_out_strength,negative_in_strength,negative_out_strength,in_degree,out_degree,out_weight_share,in_weight_share
CA1 Trilaminar,3085.9577928146427,1569024.5069452203,-3085.9577928146427,1562272.240206716,0.0,1565648.3735759682,-3085.9577928146427,-3376.133369252162,28,18,0.1277664522290294,0.00025129109020998787
CA1 Perforant Path Associated QuadD,89.90399861014436,1294472.1518093906,-89.90399861014436,1280689.3689250716,0.0,1287580.7603672312,-89.90399861014436,-6891.391442159502,12,31,0.10540951630383791,7.320927680081657e-06
CA1 Perforant Path Associated,3684.485225320779,944687.7334300647,-3684.485225320779,939581.9734736631,0.0,942134.853451864,-3684.485225320779,-2552.8799782006736,26,27,0.0769263957512274,0.0003000294791099446
CA1 R Receiving Apical Targeting,971.5598493304743,652169.2744456213,-971.5598493304743,649401.7951400791,0.0,650785.5347928503,-971.5598493304743,-1383.7396527710885,19,18,0.053106470982359495,7.911460562129954e-05
MEC LIII Superficial Multipolar Interneuron,6502.103609794381,584337.2008343751,-6502.103609794381,569846.0981617477,0.0,577091.6494980614,-6502.103609794381,-7245.551336313701,17,17,0.04758287122067019,0.0005294695567670937
CA1 OR LM,562.9945694044485,465205.27401756076,-562.9945694044485,460443.0196293522,0.0,462824.14682345645,-562.9945694044485,-2381.1271941043665,14,27,0.03788189869333403,4.5844930043229615e-05
DG Axo Axonic,28.972258331744243,440836.97304980276,-28.972258331744243,429343.25211060565,0.0,435090.1125802042,-28.972258331744243,-5746.860469598581,3,25,0.035897575728512196,2.3592255211595225e-06
CA1 Basket,3832.3882691894796,431453.71558512544,-3832.3882691894796,420802.9225966423,0.0,426128.31909088383,-3832.3882691894796,-5325.396494241533,10,35,0.03513349236887909,0.00031207329812317947
CA1 Basket CCK+,8311.926643604671,414637.2985370055,-8311.926643604671,405420.58487483975,0.0,410028.94170592265,-8311.926643604671,-4608.356831082868,10,35,0.033764123097760966,0.000676844353762787
CA1 LMR,455.56615038585903,407254.5141799734,-455.56615038585903,400845.58178392844,0.0,404050.0479819509,-455.56615038585903,-3204.4661980225337,19,27,0.03316293926621811,3.709698002344195e-05
DG AIPRIM,10870.15346997453,373369.095484074,-10870.15346997453,362401.72428903263,0.0,367885.4098865533,-10870.15346997453,-5483.685597520627,12,24,0.030403632633398608,0.0008851620467979141
CA1 Oriens Alveus,1121.2756864672433,326802.52880976873,-1121.2756864672433,323054.07279067126,0.0,324928.30080022,-1121.2756864672433,-1874.2280095486553,21,31,0.026611693763019795,9.130604129919491e-05
CA1 SO SO,1022.6849409671371,235904.47421568292,-1022.6849409671371,234272.59763874253,0.0,235088.5359272127,-1022.6849409671371,-815.9382884701936,20,18,0.019209819605797058,8.327774746477394e-05
CA1 Bistratified,5055.54641605557,223400.36439589853,-5055.54641605557,217901.8996476394,0.0,220651.13202176898,-5055.54641605557,-2749.2323741295572,27,27,0.018191603674252148,0.000411675679251297
CA2 Basket,1752.906368784767,218306.51586703496,-1752.906368784767,216198.03974989,0.0,217252.27780846244,-1752.906368784767,-1054.2380585724695,5,9,0.01777680903475218,0.00014274004442756585
CA1 Back Projection,11538.569999467925,212515.40883685809,-11538.569999467925,210603.51857547378,0.0,211559.46370616593,-11538.569999467925,-955.9451306921507,53,19,0.017305236285920587,0.0009395915399043549
CA1 Axo Axonic,6.974160952871499,193836.35404017655,-6.974160952871499,189182.62101016837,0.0,191509.48752517244,-6.974160952871499,-2326.8665150041143,2,35,0.015784191489105977,5.679094228792238e-07
CA2 Bistratified,297.5221954874719,179016.627046379,-297.5221954874719,175073.8517112544,0.0,177045.2393788167,-297.5221954874719,-1971.3876675623017,31,8,0.014577413690149395,2.4227381540926562e-05
DG HICAP,91.28959078490513,172934.03736483282,-91.28959078490513,162321.06157463908,0.0,167627.54946973597,-91.28959078490513,-5306.487895096887,10,25,0.014082105362882338,7.433757145537335e-06
CA1 Quadrilaminar,35.92304366855626,171416.57233614818,-35.92304366855626,169051.71814464073,0.0,170234.14524039446,-35.92304366855626,-1182.4270957537274,28,31,0.013958537424817346,2.925231455903687e-06
CA1 Horizontal Basket,3228.6234311613603,167770.2562778835,-3228.6234311613603,156989.1870659426,0.0,162379.72167191305,-3228.6234311613603,-5390.534605970457,10,22,0.013661616080116845,0.000262908424665801
CA1 Radiatum,193.92837429534077,165842.4616140327,-193.92837429534077,165066.26186433053,0.0,165454.36173918165,-193.92837429534077,-388.0998748510937,17,18,0.013504634794142024,1.579168474461824e-05
CA1 Radial Trilaminar,397.81324111265815,163941.79056540836,-397.81324111265815,152322.81746769472,0.0,158132.30401655153,-397.81324111265815,-5809.486548856819,27,35,0.013349862197753483,3.239413166697615e-05
CA1 Horizontal Axo Axonic,3.5145234150686893,148818.6172742468,-3.5145234150686893,146990.00923687563,0.0,147904.31325556122,-3.5145234150686893,-914.304018685567,2,18,0.012118374614670123,2.8618940369097523e-07
CA1 Pyramidal,282155.3904817298,112113.43210664732,282155.3904817298,109704.62451134234,282155.3904817298,110909.02830899484,0.0,-1204.4037976525078,30,36,0.009129452984373683,0.022976054905180458
CA1 Schaffer Collateral Associated,3730.002527562471,106674.64810340368,-3730.002527562471,106241.47621466138,0.0,106458.06215903252,-3730.002527562471,-216.58594437115173,27,27,0.008686570076261975,0.0003037359758515283
CA1 Ivy,3610.6717177874075,92016.61279096847,-3610.6717177874075,88514.4764717846,0.0,90265.54463137653,-3610.6717177874075,-1751.0681595919584,27,27,0.007492958911982649,0.00029401880818519217
CA3 Basket,4605.073827016978,88255.56842937716,-4605.073827016978,69820.04283383436,0.0,79037.80563160576,-4605.073827016978,-9217.762797771404,6,20,0.0071866951840233685,0.0003749934704820136
CA1 Recurrent O LM,403.0838582885688,87769.48661911214,-403.0838582885688,87500.91414899369,0.0,87635.2003840529,-403.0838582885688,-134.28623505922693,26,18,0.007147113298516978,3.2823320666027904e-05
DG Basket,3069.207686976019,83165.54207663823,-3069.207686976019,78856.85673009639,0.0,81011.19940336731,-3069.207686976019,-2154.3426732709213,7,25,0.0067722117862414714,0.0002499271206939041
DG MOLAX,2444.727933746531,82894.79083672003,-2444.727933746531,77910.43640701748,0.0,80402.61362186875,-2444.727933746531,-2492.1772148512746,13,25,0.006750164377034136,0.00019907542130628126
CA2 Wide Arbor Basket,11405.413043708972,77388.06634396527,-11405.413043708972,75894.61407138608,0.0,76641.34020767568,-11405.413043708972,-746.7261362895923,21,23,0.006301749040799658,0.0009287485022388296
DG Total Molecular Layer,5165.52918038773,70352.50742331082,-5165.52918038773,66450.21866766857,0.0,68401.36304548969,-5165.52918038773,-1951.144377821119,15,25,0.005728839950622074,0.0004206316308905865
CA1 O LM,634.9530034103881,61528.020516943834,-634.9530034103881,61183.0065323937,0.0,61355.51352466877,-634.9530034103881,-172.5069922750645,14,18,0.005010257557691103,5.1704541400604434e-05
CA3 Axo Axonic,1.247463729292763,60391.30833575501,-1.247463729292763,52402.303476277666,0.0,56396.805906016336,-1.247463729292763,-3994.50242973867,2,20,0.004917694514887662,1.0158159689069491e-07
CA1 O LMR,1050.3691104831546,59751.77144748253,-1050.3691104831546,59174.29707247222,0.0,59463.03425997738,-1050.3691104831546,-288.73718750515616,19,18,0.004865616705444613,8.553208326788711e-05
DG Mossy,61533.9693950561,58111.46169744704,61533.9693950561,57131.56546900792,61533.9693950561,57621.51358322748,0.0,-489.9481142195647,12,13,0.004732045460131975,0.005010741977818247
