beta,spectral_abscissa,numerical_abscissa,commutator_index,henrici_index,g_react,g_stab,Gmax_at_90pct_stability
0.0,0.01626142293760892,0.5027901757126039,0.9853843929987951,0.9998673157414085,1.988901232174438,61.495233463686056,620.197872860827
0.05,0.016224605754448673,0.5027696023811035,0.9853846461295785,0.9998691805314852,1.9889826180103702,61.63477961403204,621.5013722459216
0.1,0.016188256690183013,0.5027490312259244,0.9853847736249999,0.9998710460011377,1.9890640018968468,61.773174168063846,622.7655283869116
0.15000000000000002,0.01615236943731581,0.5027284622462294,0.9853847754855227,0.9998728092260987,1.9891453838358848,61.91042149455563,623.9905858378222
0.2,0.016116937718327833,0.5027078954411768,0.9853846517117293,0.9998744650675256,1.9892267638295185,62.046526299026496,625.1768040479086
0.25,0.01608195528874857,0.5026873308099267,0.9853844023043281,0.9998758669274377,1.9893081418797771,62.18149360853097,626.3244566901432
0.30000000000000004,0.01604741594006189,0.5026667683516443,0.9853840272641402,0.9998769716237884,1.98938951798867,62.31532875667105,627.4338309949915
0.35000000000000003,0.016013313502451387,0.5026462080654879,0.9853835265921139,0.9998779760669008,1.9894708921582351,62.44803736883785,628.5052270901215
0.4,0.015979641847386063,0.5026256499506212,0.9853829002893189,0.999878580282394,1.9895522643904897,62.57962534770948,629.5389573475908
0.45,0.015946394890051157,0.5026050940062067,0.9853821483569378,0.9998783606451025,1.989633634687457,62.71009885901502,630.5353457392409
0.5,0.015913566591626724,0.5025845402314069,0.9853812707962804,0.9998782561362999,1.989715003051161,62.83946431758247,631.4947272014145
0.55,0.015881150961417782,0.5025639886253839,0.9853802676087766,0.9998781718372802,1.9897963694836278,62.9677283736824,632.4174470098087
0.6000000000000001,0.015849142058840863,0.5025434391873038,0.9853791387959785,0.9998780967312568,1.989877733986869,63.09489789967443,633.3038601650986
0.65,0.015817533995268737,0.502522891916329,0.9853778843595484,0.9998780026227166,1.989959096562912,63.220979976974604,634.1543307903916
0.7000000000000001,0.015786320935740686,0.5025023468116246,0.9853765043012843,0.9998778693574624,1.9900404572137742,63.3459818833387,634.9692315405941
0.75,0.015755497100538612,0.5024818038723553,0.9853749986230947,0.9998776871230453,1.9901218159414753,63.46991108048341,635.7489430249019
0.8,0.01572505676663663,0.5024612630976871,0.9853733673270113,0.999877457194029,1.990203172748031,63.59277520203738,636.4938532423357
0.8500000000000001,0.01569499426902659,0.5024407244867852,0.9853716104151896,0.9998771861309004,1.9902845276354608,63.714582041833424,637.2043570310635
0.9,0.015665304001924178,0.5024201880388158,0.9853697278898991,0.9998768796150884,1.9903658806057816,63.83533954254379,637.8808555317947
0.9500000000000001,0.015635980419860574,0.5023996537529443,0.9853677197535337,0.999876540627914,1.9904472316610142,63.955055784657795,638.523755665487
1.0,0.01560701803866301,0.5023791216283382,0.9853655860086126,0.9998761695600968,1.9905285808031716,64.07373897580668,639.1334696257334
