variant,commutator_index,henrici_index,spectral_abscissa,numerical_abscissa,alpha_A,omega_A,g_react,g_stab,reactive_to_stable_ratio,stable_reactive_width,Gmax_at_90pct_stability
raw,0.9853655860086118,0.999876169560097,0.01560701803866301,0.5023791216283382,0.01560701803866301,0.5023791216283382,1.9905285808031716,64.07373897580668,0.03106621546706938,62.083210395003505,639.412492707557
no_diagonal,0.9854455907020367,0.9999084925273223,0.008834359316935311,0.5020844164957676,0.008834359316935311,0.5020844164957676,1.9916969480538131,113.19439974362574,0.017595366489550828,111.20270279557192,2574.732953958476
remove_top_1pct_edges,0.798103442639354,0.9978339427499934,0.07134799654358324,0.5165304045574118,0.07134799654358324,0.5165304045574118,1.9359944568158542,14.015810512480831,0.13812932581329387,12.079816055664978,45.51938647340486
remove_top_5pct_edges,0.5613178927323665,0.9812172159523536,0.2751692944821402,0.5853976710919282,0.2751692944821402,0.5853976710919282,1.7082404822942394,3.634126408914802,0.4700553283187368,1.9258859266205628,3.5140139678372098
remove_top_10pct_edges,0.49481280358964197,0.9523132017027428,0.3143887415744947,0.6375318390087319,0.3143887415744947,0.6375318390087319,1.5685491120801947,3.1807754787651934,0.4931341814446834,1.6122263666849987,5.722788539130185
winsor_95pct,0.8042719790852147,0.9910429293280537,0.1494202051700904,0.5509640159046798,0.1494202051700904,0.5509640159046798,1.8150005647065819,6.6925353158340535,0.2711977567622874,4.877534751127472,12.110690003273808
winsor_99pct,0.9647186808607713,0.9991963123286581,0.03916262910957771,0.5103618560288702,0.03916262910957771,0.5103618560288702,1.9593940812524828,25.534547162346602,0.07673502368359277,23.57515308109412,131.41354668112015
weight_noise_1pct,0.9848762891372045,0.9998763873942867,0.01558333003386852,0.5023957037537601,0.01558333003386852,0.5023957037537601,1.990462881207542,64.1711365816304,0.031018039998021957,62.180673700422865,644.072198589597
weight_noise_5pct,0.9957561978926319,0.9998845944602028,0.01483337399641599,0.5019277429561407,0.01483337399641599,0.5019277429561407,1.9923186435370672,67.41554552872583,0.029552807559617512,65.42322688518877,676.4688258209432
