seed,length_edges__branch_and_bound,length_edges__dynamic_programming,length_edges__greedy_tree_path,length_edges__maximum_spanning_tree,length_edges__maximum_weight_asymmetric_hamiltonian_path,length_edges__milp_subtour_elimination,n_nodes_visited__branch_and_bound,n_nodes_visited__dynamic_programming,n_nodes_visited__greedy_tree_path,n_nodes_visited__maximum_spanning_tree,n_nodes_visited__maximum_weight_asymmetric_hamiltonian_path,n_nodes_visited__milp_subtour_elimination,summed_weight__branch_and_bound,summed_weight__dynamic_programming,summed_weight__greedy_tree_path,summed_weight__maximum_spanning_tree,summed_weight__maximum_weight_asymmetric_hamiltonian_path,summed_weight__milp_subtour_elimination,terminus__branch_and_bound,terminus__dynamic_programming,terminus__greedy_tree_path,terminus__maximum_spanning_tree,terminus__maximum_weight_asymmetric_hamiltonian_path,terminus__milp_subtour_elimination,transition_weight_sum__branch_and_bound,transition_weight_sum__dynamic_programming,transition_weight_sum__greedy_tree_path,transition_weight_sum__maximum_spanning_tree,transition_weight_sum__maximum_weight_asymmetric_hamiltonian_path,transition_weight_sum__milp_subtour_elimination
EC LII III Pyramidal Tripolar,24,4,15,6,31,28,25,5,16,7,32,29,232244.06169885187,113531.91343162605,159915.302446034,114610.21586127703,222957.69183759412,241747.34760305565,CA1 Radiatum Giant,CA1 Pyramidal,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,DG Hilar Ectopic Granule,232244.06169885187,113531.91343162605,159915.302446034,114610.21586127703,222957.69183759412,241747.34760305565
EC LIII Pyramidal,25,4,16,6,31,28,26,5,17,7,32,29,138395.67995068483,96993.61823825716,70863.65275640332,110393.82015762746,223001.4159637535,241759.0694505681,CA3 Granule,CA1 Pyramidal,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA3 Granule,138395.67995068483,96993.61823825716,70863.65275640332,110393.82015762746,223001.4159637535,241759.0694505681
EC LIII Pyramidal Stellate,24,4,16,6,31,28,25,5,17,7,32,29,142184.53192520654,90474.29632285325,75217.68818495833,110393.82015762746,222758.68625479582,241576.43295081673,CA3 Granule,CA1 Pyramidal,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,DG Hilar Ectopic Granule,142184.53192520654,90474.29632285325,75217.68818495833,110393.82015762746,222758.68625479582,241576.43295081673
EC LIII Stellate,24,4,22,6,31,29,25,5,23,7,32,30,219353.1364135805,90289.4715648583,194837.7148272929,110393.82015762746,222999.5050939138,241581.7907107547,CA1 Radiatum Giant,CA1 Pyramidal,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA3 Granule,219353.1364135805,90289.4715648583,194837.7148272929,110393.82015762746,222999.5050939138,241581.7907107547
EC LIII V Bipolar Pyramidal,26,4,16,6,31,28,27,5,17,7,32,29,145060.1756774032,97206.87989814453,108993.79474688401,110393.82015762746,222925.53129916138,241705.05042960646,CA3 Granule,CA1 Pyramidal,CA3 Granule,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,DG Hilar Ectopic Granule,145060.1756774032,97206.87989814453,108993.79474688401,110393.82015762746,222925.53129916138,241705.05042960646
EC LIV VI Deep Multipolar Principal,26,4,17,7,31,28,27,5,18,8,32,29,136786.64471042476,97459.9354324922,69254.61751614326,58407.13279806113,222800.26063472958,241611.76813426102,CA3 Granule,CA1 Pyramidal,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,DG Hilar Ectopic Granule,136786.64471042476,97459.9354324922,69254.61751614326,58407.13279806113,222800.26063472958,241611.76813426102
EC LV Deep Pyramidal,26,4,17,7,31,28,27,5,18,8,32,29,136484.19937138673,97153.2542367543,68952.1721771052,58407.13279806113,222787.87116496585,241619.38687743832,CA3 Granule,CA1 Pyramidal,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,CA3 Granule,136484.19937138673,97153.2542367543,68952.1721771052,58407.13279806113,222787.87116496585,241619.38687743832
LEC LIII Complex Pyramidal,20,4,14,6,31,28,21,5,15,7,32,29,220736.75029636052,94167.10313878124,155794.07654363938,110638.43602772972,222733.4748220167,241504.75943869192,CA1 Radiatum Giant,CA1 Pyramidal,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,DG Hilar Ectopic Granule,220736.75029636052,94167.10313878124,155794.07654363938,110638.43602772972,222733.4748220167,241504.75943869192
LEC LIII Multipolar Principal,26,4,17,6,31,28,27,5,18,7,32,29,143743.26083996645,94175.8566577482,76211.23364568492,110933.27198527945,222392.20248380917,241084.32799945504,CA3 Granule,CA1 Pyramidal,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,DG Hilar Ectopic Granule,143743.26083996645,94175.8566577482,76211.23364568492,110933.27198527945,222392.20248380917,241084.32799945504
LEC LVI Multipolar Pyramidal,24,4,15,7,31,28,25,5,16,8,32,29,137308.2437021637,90268.64355266205,74349.04896581652,58407.13279806113,221997.26081653853,240726.4740533644,CA3 Granule,CA1 Pyramidal,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,DG Hilar Ectopic Granule,137308.2437021637,90268.64355266205,74349.04896581652,58407.13279806113,221997.26081653853,240726.4740533644
MEC LII III Pyramidal Multiform,26,4,18,6,31,28,27,5,19,7,32,29,137899.99787034604,105560.6600470898,71071.14371673469,110497.64468019406,222873.10186593278,241761.20648552285,CA3 Granule,CA1 Pyramidal,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,DG Hilar Ectopic Granule,137899.99787034604,105560.6600470898,71071.14371673469,110497.64468019406,222873.10186593278,241761.20648552285
MEC LII Oblique Pyramidal,28,4,22,6,31,29,29,5,23,7,32,30,226106.23716999684,90231.62893970466,195127.34249268565,110393.82015762746,222838.94807573286,241816.87624811297,CA1 Radiatum Giant,CA1 Pyramidal,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,DG Hilar Ectopic Granule,226106.23716999684,90231.62893970466,195127.34249268565,110393.82015762746,222838.94807573286,241816.87624811297
MEC LII Stellate,29,4,22,6,31,29,30,5,23,7,32,30,230528.89843912577,118817.21194184356,194238.90435129302,111573.68975652223,222534.20415766205,241153.68357201904,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,DG Hilar Ectopic Granule,230528.89843912577,118817.21194184356,194238.90435129302,111573.68975652223,222534.20415766205,241153.68357201904
MEC LIII Bipolar Complex Pyramidal,25,4,13,6,31,29,26,5,14,7,32,30,230973.9907462514,105521.14413704081,125000.90537671298,110504.660577025,221620.52690329414,240272.97196340648,CA1 Radiatum Giant,CA1 Pyramidal,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA3 Granule,230973.9907462514,105521.14413704081,125000.90537671298,110504.660577025,221620.52690329414,240272.97196340648
MEC LIII Complex Pyramidal,29,4,21,6,31,29,30,5,22,7,32,30,231311.95628027228,106445.65185989958,194671.9025982207,110945.87340362713,222106.2391398325,241045.75609427708,CA1 Radiatum Giant,CA1 Pyramidal,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,DG Hilar Ectopic Granule,231311.95628027228,106445.65185989958,194671.9025982207,110945.87340362713,222106.2391398325,241045.75609427708
MEC LV Multipolar Pyramidal,29,4,21,7,31,29,30,5,22,8,32,30,231469.79164425572,97096.56668962711,194829.73796220415,58407.13279806113,222721.24105271135,241597.86679536878,CA1 Radiatum Giant,CA1 Pyramidal,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,DG Hilar Ectopic Granule,231469.79164425572,97096.56668962711,194829.73796220415,58407.13279806113,222721.24105271135,241597.86679536878
MEC LV Pyramidal,25,4,17,4,31,28,26,5,18,5,32,29,208179.92328274035,120293.11600550936,193715.34808400166,110545.50294065647,222879.74263891645,241765.05146223312,CA3 Granule,CA1 Pyramidal,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA3 Granule,208179.92328274035,120293.11600550936,193715.34808400166,110545.50294065647,222879.74263891645,241765.05146223312
MEC LV Superficial Pyramidal,27,4,21,7,31,28,28,5,22,8,32,29,226053.46580290186,105387.57962368772,195006.64800196647,58407.13279806113,222900.43939921146,241743.24111451756,CA1 Radiatum Giant,CA1 Pyramidal,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,DG Hilar Ectopic Granule,226053.46580290186,105387.57962368772,195006.64800196647,58407.13279806113,222900.43939921146,241743.24111451756
MEC LV VI Pyramidal Polymorphic,26,5,17,7,31,28,27,6,18,8,32,29,137299.15952357117,97546.71139837561,69767.13232928966,58407.13279806113,219037.89036654704,237730.01588219294,CA3 Granule,CA1 Pyramidal,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,DG Hilar Ectopic Granule,137299.15952357117,97546.71139837561,69767.13232928966,58407.13279806113,219037.89036654704,237730.01588219294
SUB CA1 Projecting Pyramidal,25,5,16,7,31,30,26,6,17,8,32,31,133529.2378614637,61683.9281408852,70570.04312511656,58513.34136166145,150476.12575723822,141695.85883682192,CA3 Granule,DG Mossy,CA1 Radiatum Giant,CA3 Granule,CA3 Granule,CA1 Radiatum Giant,133529.2378614637,61683.9281408852,70570.04312511656,58513.34136166145,150476.12575723822,141695.85883682192
