method,n_seeds,mean_length,median_length,mean_transition_weight,mean_summed_weight,median_summed_weight,max_summed_weight,n_unique_termini
branch_and_bound,32,25.71875,26.0,177627.43620111348,177627.43620111348,171725.20448542119,232244.06169885187,2
dynamic_programming,32,4.46875,4.0,109772.17884459582,109772.17884459582,105454.36188036427,150349.91474987887,3
greedy_tree_path,32,16.6875,16.0,125314.2411090784,125314.2411090784,121527.33390020541,195127.34249268565,4
maximum_spanning_tree,32,5.46875,6.0,95745.16627732743,95745.16627732743,109051.22021120865,114610.21586127703,2
maximum_weight_asymmetric_hamiltonian_path,32,31.0,31.0,204189.12316579281,204189.12316579281,222249.22081182082,223058.6184528637,4
milp_subtour_elimination,32,28.46875,28.0,227744.97587749845,227744.97587749845,241065.04204686606,241901.4201681698,5
