g,spectral_abscissa
0.0,0.4269843226784502
0.1,0.42123871391357715
0.2,0.4156382147629157
0.30000000000000004,0.41017889177686495
0.4,0.40485685660953247
0.5,0.39966827271915223
0.6000000000000001,0.3946093612882053
0.7000000000000001,0.3896764063990726
0.8,0.3848657595043261
0.9,0.38017384323314435
1.0,0.3755971545766999
1.1,0.37113226749613415
1.2000000000000002,0.36677583499675553
1.3,0.3625245907116171
1.4000000000000001,0.35837535003666726
1.5,0.35432501085836376
1.6,0.35037055391300187
1.7000000000000002,0.3465090428152094
1.8,0.3427376237910672
1.9000000000000001,0.33905352514917547
2.0,0.33545405652092314
