sender,receiver,inhibitory_weight,is_self_connection,baseline_terminal_peak,ablated_terminal_peak,delta_terminal_peak
CA1 Ivy,CA1 Bistratified,0.0052592767299035545,False,0.0008288548062565291,0.000828852125929036,-2.680327493048869e-09
CA1 R Receiving Apical Targeting,CA1 Neurogliaform,0.0006491757929398085,False,0.0008288548062565291,0.0008288520928452906,-2.7134112384275336e-09
CA1 Basket,CA1 Radial Trilaminar,0.029507936802532872,False,0.0008288548062565291,0.0008288520777263843,-2.728530144771417e-09
CA1 Schaffer Collateral Associated,CA1 LMR,0.013183788848397824,False,0.0008288548062565291,0.0008288520726006958,-2.733655833273528e-09
DG Basket,DG HICAP,0.04117089663398235,False,0.0008288548062565291,0.0008288520595542238,-2.7467023052708817e-09
CA2 Wide Arbor Basket,CA3 Axo Axonic,0.02436768343648912,False,0.0008288548062565291,0.0008288519353538497,-2.8709026793230855e-09
DG Total Molecular Layer,DG HIPP,0.0015281685622491688,False,0.0008288548062565291,0.0008288517997748428,-3.0064816862202665e-09
CA1 SO SO,CA1 Bistratified,0.0010384998075848905,False,0.0008288548062565291,0.0008288516928977016,-3.1133588274719765e-09
CA1 Perforant Path Associated QuadD,CA1 LMR,0.001112712210610507,False,0.0008288548062565291,0.0008288516364726863,-3.1697838427397623e-09
CA1 R Receiving Apical Targeting,CA1 Perforant Path Associated QuadD,0.008447047880429982,False,0.0008288548062565291,0.0008288516108389058,-3.195417623211294e-09
CA1 Back Projection,CA1 Schaffer Collateral Associated,0.001855534386163272,False,0.0008288548062565291,0.0008288515050509804,-3.3012055486144123e-09
CA1 LMR,CA1 LMR,0.003976774116568137,True,0.0008288548062565291,0.0008288514409461164,-3.365310412609644e-09
CA1 Trilaminar,CA1 Radiatum,0.0016732010148513736,False,0.0008288548062565291,0.000828851438690934,-3.367565595087038e-09
CA3 Basket CCK+,CA3 Axo Axonic,0.07770331854455928,False,0.0008288548062565291,0.0008288513768353057,-3.429421223345372e-09
CA1 Horizontal Basket,CA1 Radial Trilaminar,0.03223270827888261,False,0.0008288548062565291,0.0008288513472889886,-3.4589675404527245e-09
CA1 Back Projection,DG Axo Axonic,0.009351264876809389,False,0.0008288548062565291,0.0008288513391161613,-3.4671403677764834e-09
CA1 Basket CCK+,CA1 Ivy,0.022563595655758252,False,0.0008288548062565291,0.0008288513346725875,-3.4715839415406374e-09
CA1 Perforant Path Associated,CA1 Schaffer Collateral Associated,0.0008097140686161451,False,0.0008288548062565291,0.0008288513307884792,-3.4754680498533946e-09
CA1 Schaffer Collateral Associated,CA1 Bistratified,0.005509246142704507,False,0.0008288548062565291,0.0008288512830232485,-3.523233280534714e-09
CA1 OR LM,CA1 Neurogliaform,0.0011750720879099101,False,0.0008288548062565291,0.0008288512596555984,-3.546600930688995e-09
CA1 LMR,CA1 R Receiving Apical Targeting,0.0018858255993106923,False,0.0008288548062565291,0.0008288512395305234,-3.56672600568958e-09
CA1 Bistratified,CA1 OR LM,0.0062442140659075655,False,0.0008288548062565291,0.0008288512021097916,-3.604146737458923e-09
CA1 Neurogliaform,CA1 Neurogliaform,0.0027844306622069994,True,0.0008288548062565291,0.0008288511237995397,-3.6824569894051626e-09
DG HICAP,DG AIPRIM,0.0008265263197470952,False,0.0008288548062565291,0.0008288511038960218,-3.7023605072581192e-09
DG MOLAX,DG Axo Axonic,0.02575582309478839,False,0.0008288548062565291,0.0008288510760718004,-3.730184728700618e-09
CA1 Oriens Alveus,CA1 Bistratified,0.0015369594093527564,False,0.0008288548062565291,0.0008288510525242278,-3.753732301229641e-09
CA1 Oriens Bistratified,CA1 Pyramidal,0.0003095570689469632,False,0.0008288548062565291,0.0008288510364274071,-3.769829121937594e-09
CA1 Back Projection,CA1 O LMR,0.0024397461344089493,False,0.0008288548062565291,0.000828850844765617,-3.961490912108949e-09
DG AIPRIM,DG HIPROM,0.0319821887458119,False,0.0008288548062565291,0.0008288508401300457,-3.966126483332701e-09
CA1 Bistratified,CA1 Perforant Path Associated QuadD,0.043616249074225885,False,0.0008288548062565291,0.0008288507219124037,-4.08434412538846e-09
DG HIPP,DG Total Molecular Layer,0.008404085415206564,False,0.0008288548062565291,0.000828850369128433,-4.437128096044553e-09
CA1 Quadrilaminar,CA1 Pyramidal,1.785108798741501e-05,False,0.0008288548062565291,0.0008288502677920222,-4.5384645068783855e-09
CA1 Perforant Path Associated,DG Axo Axonic,0.004064997370659157,False,0.0008288548062565291,0.000828850197116529,-4.609140000005549e-09
CA1 Horizontal Basket,CA1 Ivy,0.010021072253459636,False,0.0008288548062565291,0.0008288498744919645,-4.931764564547643e-09
DG HIPP,DG MOLAX,0.010931875806027405,False,0.0008288548062565291,0.0008288498124097152,-4.993846813828272e-09
CA1 Back Projection,DG HIPP,0.0009331438910895474,False,0.0008288548062565291,0.0008288497448452029,-5.061411326189903e-09
CA1 Neurogliaform,CA1 LMR,0.012842797589298596,False,0.0008288548062565291,0.0008288497222773143,-5.0839792147200705e-09
CA3 Mossy Fiber Associated,DG AIPRIM,0.004920692421411053,False,0.0008288548062565291,0.0008288496994518264,-5.106804702639106e-09
CA1 Schaffer Collateral Associated,CA1 R Receiving Apical Targeting,0.011327304352327443,False,0.0008288548062565291,0.0008288495383919562,-5.267864572832369e-09
CA1 OR LM,CA1 LMR,0.005909845453374917,False,0.0008288548062565291,0.0008288494401212051,-5.3661353239609424e-09
CA2 Bistratified,CA2 Basket,0.002889263760689877,False,0.0008288548062565291,0.000828849439399495,-5.366857034087499e-09
CA1 Back Projection,CA1 OR LM,0.00482453332466566,False,0.0008288548062565291,0.0008288492596715609,-5.54658496812032e-09
CA1 Recurrent O LM,CA1 Back Projection,0.0002800981928795902,False,0.0008288548062565291,0.0008288490415515086,-5.7647050204136935e-09
CA1 Bistratified,CA1 LMR,0.01720640207756726,False,0.0008288548062565291,0.0008288489465574863,-5.859699042719095e-09
CA1 Back Projection,CA3 Axo Axonic,0.019290904920315207,False,0.0008288548062565291,0.0008288489111199592,-5.8951365698722835e-09
DG Basket,DG HIPP,0.002444858790110427,False,0.0008288548062565291,0.0008288489021468033,-5.904109725749472e-09
DG Total Molecular Layer,DG Axo Axonic,0.04425679933368531,False,0.0008288548062565291,0.0008288488530963286,-5.9531602004773976e-09
CA3 Basket,CA3 Axo Axonic,0.02852893850251563,False,0.0008288548062565291,0.0008288487737019241,-6.032554604939663e-09
DG Basket,DG Axo Axonic,0.03665202018131751,False,0.0008288548062565291,0.0008288487550630006,-6.051193528460591e-09
CA2 Bistratified,CA1 Pyramidal,1.5479364995863014e-05,False,0.0008288548062565291,0.000828848585643176,-6.220613353092631e-09
