variant,omega,gain_2norm,gain_fro
with_self,0.01,69.38654122253386,85.2145489112833
with_self,0.01123654800138751,69.37873116937293,85.20563319360737
with_self,0.012626001098748564,69.368878876707,85.19438423150135
with_self,0.014187266741165962,69.35645318770094,85.18019406364762
with_self,0.01594159037455999,69.34078649218873,85.16229788087205
with_self,0.01791284454622004,69.32104067052047,85.13973448434334
with_self,0.020127853758499396,69.29616512682938,85.11129731943596
with_self,0.022616759492228647,69.26484542503441,85.0754741615694
with_self,0.025413430367026365,69.22544097882574,85.03037333400991
with_self,0.028555923019901074,69.17591034156875,84.97363425504531
with_self,0.032086999973704504,69.11372301647172,84.9023202538359
with_self,0.03605471154250502,69.03575754597047,84.81279213233749
with_self,0.04051304969235382,68.93818720461874,84.70056213862338
with_self,0.045522682755073096,68.8163572603981,84.56013020832373
with_self,0.051151780992931425,68.66466190060606,84.3848079814595
with_self,0.05747694424835353,68.47643494123763,84.16654172949372
with_self,0.06458424430196978,68.24387653798071,83.89575338383386
with_self,0.07257039612324216,67.95804785870904,83.56122944367738
with_self,0.08154407395185162,67.6089753266756,83.15009988947644
with_self,0.09162739011886736,67.1859116131228,82.6479609081473
with_self,0.10295755673125127,66.67779488216158,82.03920121685633
with_self,0.1156887528316282,66.07392051939367,81.30758383214727
with_self,0.12999422244132455,65.3647798615171,80.43710269189471
with_self,0.1460686320364989,64.54292462599787,79.41306750076069
with_self,0.16413071953751293,63.603600723059266,78.22327090523083
with_self,0.18442627085855348,62.544811833751325,76.85898010007627
with_self,0.20723146452190294,61.36650348395116,75.31541744297229
with_self,0.23285662984981953,60.068774436331765,73.5914167685866
with_self,0.2616504698748821,58.649409764016205,71.68811491071963
with_self,0.29400480643347093,57.10143537688731,69.60685290444917
with_self,0.33035991201283377,55.411584562813516,67.34682393543372
with_self,0.3712105009066361,53.56040492047034,64.9032620382509
with_self,0.4171124612056518,51.52430055255515,62.26698260626851
with_self,0.46869041923141924,49.27932594501436,59.42582405230658
with_self,0.5266462393484278,46.806195432196105,56.36807215548298
with_self,0.5917685748188821,44.095758223440754,53.087410187379305
with_self,0.6649435996665045,41.154043622300776,49.58846387022413
with_self,0.7471670675868078,38.00588302486697,45.89170677082261
with_self,0.8395578619995112,34.69614262583624,42.036440932347695
with_self,0.9433732216299774,31.287874796878707,38.0808270887055
with_self,1.0600258488068823,27.857273731435267,34.09851232527722
with_self,1.1911031332830067,24.48610759243768,30.172196599552066
with_self,1.3383887531737564,21.25303972163751,26.38528469610271
with_self,1.5038869469554101,18.225625617803786,22.813310258604982
with_self,1.689849786812457,15.454572026764996,19.516865626096155
with_self,1.8988078244652633,12.971126310345106,16.537284361086652
with_self,2.133604526501411,10.787546748842182,13.895502443441725
with_self,2.3974349678010762,8.899877160070107,11.593708396058103
with_self,2.6938893095901726,7.291940698122328,9.618867698673673
with_self,3.0270016537634614,5.939558064220761,7.94707057249373
with_self,3.401304938279253,4.814306996446027,6.547822085884414
with_self,3.8218926206331187,3.886485134343925,5.387707565456213
with_self,4.294487988789272,3.127206056233888,4.433181398671167
with_self,4.825522042741279,2.5097185972314127,3.652463776186461
with_self,5.422221006501586,2.010109570917433,3.016667839653035
with_self,6.092704661368674,1.6075609867895047,2.5003348844204214
with_self,6.846096838574658,1.2843126764443946,2.0815559383749296
with_self,7.692649574879138,1.0254491704227628,1.7418305469948547
with_self,8.643882620598271,0.8185968690406215,1.4657767949018925
with_self,9.712740198471169,0.6535893599366238,1.24077151534714
with_self,10.913767146512727,0.5221368853458987,1.056571312225713
with_self,12.26330684177563,0.417520258996212,0.904944609745788
with_self,13.779723598335568,0.33431894752899544,0.7793314914692671
with_self,15.48365256585499,0.2681763305291617,0.6745397639279483
with_self,17.39828052930364,0.21560120703130795,0.5864806312711767
with_self,19.549661430912597,0.1738025159728865,0.5119441981528317
with_self,21.967070907932353,0.14055330951958167,0.44841290552570845
with_self,24.683404670686485,0.114079791596608,0.39390957934935705
with_self,27.73562614198415,0.09297139961959065,0.34687590727065937
with_self,31.165269449294303,0.07610827308739435,0.3060767901749398
with_self,35.01900461431709,0.06260290645905643,0.2705260608490456
with_self,39.349272630958495,0.05175326316210678,0.23942940604376883
with_self,44.21499907374487,0.04300509606784288,0.2121408475193153
with_self,49.68239594734388,0.03592165183645963,0.18812972502354622
with_self,55.82586268862695,0.030159312669204706,0.16695570198359366
with_self,62.728998581962436,0.025448037237081004,0.1482498363166808
with_self,70.48574036451903,0.021575701302274493,0.13170020274122637
with_self,79.20164050192548,0.018375616306120276,0.1170409151365378
with_self,88.99530352885225,0.01571663546295986,0.10404368375953414
with_self,100.0,0.013495356797148217,0.09251126307824512
no_self,0.01,193.43387105090972,205.5469657727132
no_self,0.01123654800138751,193.3996652383753,205.5137218266943
no_self,0.012626001098748564,193.35650876743503,205.47177865732067
no_self,0.014187266741165962,193.30207001369374,205.4188699850038
no_self,0.01594159037455999,193.23341617926266,205.35214511291008
no_self,0.01791284454622004,193.14686195554816,205.26802175228195
no_self,0.020127853758499396,193.03778225428215,205.16200386984852
no_self,0.022616759492228647,192.90038176358982,205.02845748386414
no_self,0.025413430367026365,192.7274134164241,204.86033666440798
no_self,0.028555923019901074,192.5098376771489,204.6488517848568
no_self,0.032086999973704504,192.23641531537834,204.38307276187686
no_self,0.03605471154250502,191.89322875537877,204.04946229070387
no_self,0.04051304969235382,191.4631322223044,203.63133894146475
no_self,0.045522682755073096,190.9251402466192,203.10827885496676
no_self,0.051151780992931425,190.25377960161057,202.4554795323972
no_self,0.05747694424835353,189.41845376341058,201.6431320533196
no_self,0.06458424430196978,188.3829037471,200.63588107903036
no_self,0.07257039612324216,187.1048958114049,199.39249618421078
no_self,0.08154407395185162,185.53632304217683,197.86593134425894
no_self,0.09162739011886736,183.62396590225043,196.0040036194332
no_self,0.10295755673125127,181.31119769354666,193.75095905692436
no_self,0.1156887528316282,178.5409117799409,191.05018229127603
no_self,0.12999422244132455,175.259842617584,187.84820322885227
no_self,0.1460686320364989,171.42420491640073,184.09991659386048
no_self,0.16413071953751293,167.00616389543205,179.77454269012816
no_self,0.18442627085855348,162.0001228646431,174.86137345860732
no_self,0.20723146452190294,156.42732680568173,169.37392100246012
no_self,0.23285662984981953,150.33708559017577,163.3509573886425
no_self,0.2616504698748821,143.80328076046376,156.85333656352253
no_self,0.29400480643347093,136.91584728882518,149.95648397817874
no_self,0.33035991201283377,129.76843350800164,142.73979463763257
no_self,0.3712105009066361,122.44495162930706,135.27540376298788
no_self,0.4171124612056518,115.00861765606939,127.61935700222499
no_self,0.46869041923141924,107.49685981397434,119.80781701783583
no_self,0.5266462393484278,99.92403819431624,111.85967677472898
no_self,0.5917685748188821,92.29162737010883,103.78517686508987
no_self,0.6649435996665045,84.60311635089099,95.59834323739433
no_self,0.7471670675868078,76.8792442512566,87.32978828822549
no_self,0.8395578619995112,69.1689613480904,79.03611271215415
no_self,0.9433732216299774,61.55282026206618,70.80303956322919
no_self,1.0600258488068823,54.137853039426965,62.74124876418695
no_self,1.1911031332830067,47.04541118754122,54.97590914940668
no_self,1.3383887531737564,40.395103813566244,47.632383092240104
no_self,1.5038869469554101,34.28866044184246,40.82129244798938
no_self,1.689849786812457,28.79741917503987,34.62619524864374
no_self,1.8988078244652633,23.956116064065135,29.096423389331267
no_self,2.133604526501411,19.763685924386913,24.246067806739923
no_self,2.3974349678010762,16.189587573905914,20.05821785637676
no_self,2.6938893095901726,13.182874727692932,16.49232636611408
no_self,3.0270016537634614,10.681329185597681,13.492438640871766
no_self,3.401304938279253,8.618969339630851,10.99466584170472
no_self,3.8218926206331187,6.931349115864287,8.93310442209648
no_self,4.294487988789272,5.558798747489431,7.244029055514616
no_self,4.825522042741279,4.448072177134335,5.868536062347966
no_self,5.422221006501586,3.5529007928251253,4.753954283048195
no_self,6.092704661368674,2.8338655353087656,3.854358916992321
no_self,6.846096838574658,2.25788567609636,3.1304845939803694
no_self,7.692649574879138,1.7975239066904147,2.5492737532748313
no_self,8.643882620598271,1.4302337288415041,2.0832345700694037
no_self,9.712740198471169,1.1376240035446805,1.7097283266735885
no_self,10.913767146512727,0.9047814728170616,1.410262652158243
no_self,12.26330684177563,0.7196701518639782,1.1698346450655386
no_self,13.779723598335568,0.5726129246643494,0.9763451916255074
no_self,15.48365256585499,0.45585274620889027,0.8200909122831728
no_self,17.39828052930364,0.3631866370060942,0.6933312573511158
no_self,19.549661430912597,0.28966380462174357,0.5899237079560224
no_self,21.967070907932353,0.23133881735115588,0.5050184412916958
no_self,24.683404670686485,0.18507116556741096,0.434804012996436
no_self,27.73562614198415,0.1483633732831734,0.3762966352938696
no_self,31.165269449294303,0.11923081400544976,0.32716680666574166
