variant,raw_spectral_radius,achieved_spectral_radius,matrix_fro_norm,non_normality,cumulative_path_fro_norm,gramian_trace,gramian_condition,peak_frequency,peak_frequency_gain
with_self,26213.130120909373,0.9500000000000002,77.18213429907071,5869.90345291372,131.96330370972265,9546.597885497407,5767.198603109547,0.01,69.38654122253386
no_self,14837.865933421039,0.9500000000000016,136.34662276427372,18319.82922620786,323.86733536837886,56245.572757578666,42740.433658632704,0.01,193.43387105090972
